Name	TaxaId	Approx Genome completion	Max Coverage in completed segments	Reads	Total Letters In Reads
Abiotrophia defectiva	46125	6.35129087544239184e-05	1	1	130
Acidovorax temperans	80878	0.00062764535000373572	2	19	2831
Acinetobacter indicus	756892	0.000770624435382841628	2	16	2316
Acinetobacter johnsonii	40214	0.0133075784446009787	5	370	48179
Actinomyces oris	544580	4.84098021193234297e-05	1	1	151
Actinomyces pacaensis	1852377	0.00015957297848248211	1	2	302
Aeromonas hydrophila	644	0.000145665297863793042	1	4	603
Agathobacter rectalis	39491	0.000491348925279307949	3	10	1695
Aggregatibacter sp. 2125159857	2820817	0.000302073403837132423	2	4	604
Akkermansia muciniphila	239935	0.000146891023377108967	1	3	418
Alistipes finegoldii	214856	3.66749027325717098e-05	1	1	151
Anaerostipes hadrus	649756	8.16361266652272652e-05	2	2	259
Bacteroides caccae	47678	6.60715414775040622e-05	1	2	302
Bacteroides eggerthii	28111	0.000584059380958131664	2	17	2576
Bacteroides salyersiae	291644	2.38007087322155815e-05	1	1	126
Bacteroides stercoris	46506	1.98258007306193786e-05	1	1	77
Bacteroides uniformis	820	0.000614437073465143263	3	18	2908
Bacteroides xylanisolvens	371601	0.000239045781895884678	1	11	1563
Bifidobacterium catenulatum	1686	0.000139935668062977783	2	2	291
Blautia wexlerae	418240	0.000865877167483036432	2	26	3823
Bradyrhizobium sp. PSBB068	2715960	0.118141166578600454	6	5792	890535
Burkholderia cenocepacia	95486	6.65919612021456389e-05	1	1	232
Campylobacter rectus	203	2.29421922859017118e-05	1	1	59
Campylobacter showae	204	0.000215454678488709365	2	3	452
Capnocytophaga gingivalis	1017	0.000106389162396715323	1	2	302
Capnocytophaga leadbetteri	327575	0.000120605824622358004	1	2	302
Capnocytophaga sp. FDAARGOS_737	2545799	0.000341159391552591888	2	6	905
Clostridiales bacterium CCNA10	2109688	6.21080308775274596e-05	1	1	221
Clostridioides difficile	1496	0.000323371126081744161	2	10	1374
Collinsella aerofaciens	74426	0.00039958425576218158	2	6	905
Corynebacterium accolens	38284	0.000105044274742286648	1	2	259
Corynebacterium kefirresidentii	1979527	0.00137416902238499076	2	25	3395
Corynebacterium kroppenstedtii	161879	0.000243244200855216354	1	3	611
Corynebacterium matruchotii	43768	0.000104655714097334	2	3	300
Corynebacterium tuberculostearicum	38304	0.00306593712548073378	3	49	7440
Cutibacterium acnes	1747	0.00486510550761451273	6	79	12173
Delftia tsuruhatensis	180282	1.56968169879305878e-05	1	1	109
Desulfovibrio fairfieldensis	44742	8.1636801653929163e-05	2	2	302
Dorea longicatena	88431	0.000145961852831742855	2	3	453
Enterocloster bolteae	208479	0.00033693397415375118	2	14	2146
Enterococcus faecalis	1351	0.00420276099704298082	3	87	12341
Escherichia coli	562	0.000441834374002206969	2	14	2133
Faecalibacillus intestinalis	1982626	0.000105227067467971947	1	2	302
Faecalibacterium prausnitzii	853	0.00554031992884563351	2	108	16050
Flavonifractor plautii	292800	2.04269761790031636e-05	1	1	78
Fusobacterium animalis	76859	0.000120072122791637096	2	2	302
Fusobacterium nucleatum	851	0.000436649472997988717	2	8	1069
Fusobacterium polymorphum	76857	0	0	0	0
Gardnerella vaginalis	2702	6.0027291616148649e-05	1	1	101
Gemella morbillorum	29391	8.51820197792649927e-05	1	1	150
Gemella sanguinis	84135	0.000838246295240809347	2	10	1506
Haemophilus parainfluenzae	729	0.00108237234562180095	2	15	2169
Herbaspirillum huttiense	863372	1.70421293736560656e-05	1	1	97
Intestinimonas butyriciproducens	1297617	3.16898352928214823e-05	1	1	107
Klebsiella aerogenes	548	0.00148323922345436054	2	58	7702
Lachnoanaerobaculum umeaense	617123	0.000214556922164939833	1	4	603
Lachnospiraceae bacterium Choco86	2109690	6.24768404815456339e-05	1	1	174
Lachnospiraceae bacterium oral taxon 096	712982	6.73512407347440519e-05	1	1	151
Lactococcus carnosus	2749961	3.80267105179562591e-05	1	1	82
Lautropia mirabilis	47671	9.52077104374132254e-05	1	2	302
Leclercia adecarboxylata	83655	4.43387992178885614e-05	1	2	213
Ligilactobacillus animalis	1605	0.000840609677831237519	2	16	1829
Limosilactobacillus fermentum	1613	0.000444481994805805449	2	6	847
Massilistercora timonensis	2086584	0.000109041292348731384	2	2	302
Megamonas funiformis	437897	0.00101721293961457699	2	16	2566
Megasphaera stantonii	2144175	0.000101403744474626823	2	3	269
Micrococcus luteus	1270	0.00136362073066700431	2	26	3535
Mogibacterium diversum	114527	0.000332078996251307251	1	4	603
Morococcus cerebrosus	1056807	5.86572690729354584e-05	1	1	151
Neisseria perflava	33053	0.00019827808830159279	1	3	453
Neisseria sp. oral taxon 014	641148	6.03478594494356876e-05	1	1	151
Neisseria subflava	28449	0.0008734581903194094	1	13	1960
Oscillibacter sp. PEA192	2109687	7.95069604729941358e-05	1	1	264
Paraburkholderia fungorum	134537	0.00214819417669360518	3	64	9247
Peptoniphilus harei	54005	8.42647094932286888e-05	1	1	151
Phascolarctobacterium sp. Marseille-Q4147	2823317	0.000154236645956485148	1	3	368
Phascolarctobacterium succinatutens	626940	6.39393548007585765e-05	1	1	150
Phocaeicola coprophilus	387090	3.98676103621753616e-05	1	1	164
Prevotella denticola	28129	0.000248591997971752705	1	2	302
Prevotella histicola	470565	8.63867448178751452e-05	1	1	180
Prevotella intermedia	28131	0	0	0	0
Prevotella jejuni	1177574	0.000541007642250955446	2	7	977
Prevotella melaninogenica	28132	0.0008615956934690106	2	13	1642
Prevotella nigrescens	28133	6.77838888021015699e-05	1	1	151
Pseudomonas aeruginosa	287	2.65292111531735092e-05	1	1	181
Pseudomonas fluorescens	294	5.209275705778719e-05	2	2	300
Pseudomonas fragi	296	0.000230861198218895668	1	8	1149
Pseudomonas sp. TKP	1415630	0.000525904954372611646	4	25	3688
Pusillibacter faecalis	2714358	7.64289093560051681e-05	1	1	221
Romboutsia ilealis	1115758	0.00201914957897264678	3	35	5213
Roseburia intestinalis	166486	0.000138114263489233595	2	4	576
Rothia dentocariosa	2047	0.000120509475755847802	1	2	302
