feature	metadata	value	log2fc	stderr	pval	qval
LKT_f__Candidatus_Nanogingivalaceae	cohort	MDACC	-0.19565352947420092	0.2797767407059722	0.48735341755194417	1
LKT_f__Weeksellaceae	cohort	MDACC	-1.4853451096857404	0.2605914594460867	6.540818605195999e-8	4.251532093377399e-6
LKT_p__Bacteroidetes	cohort	MDACC	-0.2896479244707756	0.34470717195145745	0.40325999340758367	1
s__Abiotrophia_defectiva	cohort	MDACC	0.9838123246920139	0.380645902869814	0.011665791591843194	0.38497112253082544
s__Actinomyces_graevenitzii	cohort	MDACC	1.7816738216275967	0.2964279359324194	6.939236834063942e-8	4.441111573800923e-6
s__Actinomyces_naeslundii	cohort	MDACC	1.0937287155676911	0.30113165248499973	5.453904538579418e-4	0.024542570423607378
s__Actinomyces_oris	cohort	MDACC	-0.06662223577627185	0.35013412288013673	0.8493250900837138	1
s__Actinomyces_sp_ICM47	cohort	MDACC	1.9305618490254666	0.2793033272461177	5.252889787942408e-10	3.5194361579214136e-8
s__Aggregatibacter_sp_oral_taxon_458	cohort	MDACC	0.1921870964888182	0.2575069433126299	0.4577071343343774	1
s__Alloprevotella_SGB1466	cohort	MDACC	-0.8587422050619222	0.31090538931205447	0.007920338269369994	0.2772118394279498
s__Bacteroidaceae_bacterium	cohort	MDACC	0.8508391743552769	0.25719160440738903	0.0017265982360641623	0.06733733120650233
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	0.3723299224894068	0.32634984982114174	0.25791704085180023	1
s__Campylobacter_concisus	cohort	MDACC	-0.246444892153399	0.28401106355491584	0.3876838768120814	1
s__Candidatus_Saccharibacteria_unclassified_SGB19850	cohort	MDACC	1.004327987031422	0.273974567837088	4.08216229764453e-4	0.019594379028693744
s__Capnocytophaga_gingivalis	cohort	MDACC	-0.10470650592088333	0.27984744896020275	0.7091494657126252	1
s__Capnocytophaga_leadbetteri	cohort	MDACC	0.38910779840402343	0.35903152831988316	0.2812682796091139	1
s__Capnocytophaga_ochracea	cohort	MDACC	1.195777120886941	0.31707238716397995	4.4557593037312574e-4	0.02094206872753691
s__Capnocytophaga_sputigena	cohort	MDACC	0.9666820459414848	0.3429169454777918	0.006121017177496854	0.22035661838988677
s__Corynebacterium_durum	cohort	MDACC	0.8853239330292858	0.2689653018844065	0.0016470715163644377	0.0658828606545775
s__Corynebacterium_matruchotii	cohort	MDACC	0.0060092839516928225	0.2921266621013676	0.9836362326986476	1
s__Fusobacterium_nucleatum	cohort	MDACC	-0.1613234774573661	0.31167022361446073	0.6056104108029022	1
s__Fusobacterium_pseudoperiodonticum	cohort	MDACC	-0.9425937798209423	0.2636435053135919	5.160388828793954e-4	0.02373778861245219
s__Gemella_haemolysans	cohort	MDACC	-1.6714190636584942	0.40091977128204376	4.9035539008954306e-5	0.0027950257235103953
s__Gemella_morbillorum	cohort	MDACC	0.6599149767010739	0.28926189946541914	0.026349795148332765	0.8168436495983157
s__Gemella_sanguinis	cohort	MDACC	1.2488760347453285	0.3247148704350895	2.2100659082439014e-4	0.011271336132043897
s__Gemella_SGB7284	cohort	MDACC	0.11312810146086388	0.2476281287578377	0.6490843088344886	1
s__Granulicatella_adiacens	cohort	MDACC	1.0330608181792802	0.2604186488299344	1.4304950647634753e-4	0.007798104555840052
s__Granulicatella_elegans	cohort	MDACC	-0.6194939264029676	0.3346797514537701	0.06721167575176579	1
s__Haemophilus_haemolyticus	cohort	MDACC	-1.4550569366708224	0.3724607618788033	1.4828023460472943e-4	0.00785885243405066
s__Haemophilus_influenzae	cohort	MDACC	-2.2163670136041795	0.2900084548310294	3.788361088969737e-11	2.5760855404994214e-9
s__Haemophilus_parahaemolyticus	cohort	MDACC	-1.6528181524972314	0.24543325557778398	8.808171746799062e-9	5.813393352887381e-7
s__Haemophilus_parainfluenzae	cohort	MDACC	-1.1438830405492086	0.29796844826972035	1.6952991470529322e-4	0.008815555564675247
s__Haemophilus_paraphrohaemolyticus	cohort	MDACC	-1.3008587228888555	0.2542420904178008	5.412994210785983e-6	3.2477965264715895e-4
s__Haemophilus_sputorum	cohort	MDACC	0.1921989553487415	0.2714857137372433	0.4808247808749452	1
s__Isoptericola_variabilis	cohort	MDACC	1.4927773281033352	0.2738332651097797	4.807974478713454e-7	2.932864432015207e-5
s__Kingella_oralis	cohort	MDACC	0.14642369476955402	0.31998593829433164	0.6485326407182788	1
s__Lachnoanaerobaculum_sp_ICM7	cohort	MDACC	0.8130246242972965	0.27657935531958	0.004546588814824959	0.16822378614852349
s__Lautropia_mirabilis	cohort	MDACC	1.8746678685274396	0.41964129756249574	1.694188374673176e-5	9.995711410571739e-4
s__Leptotrichia_sp_oral_taxon_215	cohort	MDACC	-0.19569545238981226	0.26849897820098684	0.4686719552698253	1
