feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	0.7728401301163128	0.8473072657187936	0.36745964462368785	1
s__Lautropia_mirabilis	cohort	MDACC	0.6819718301022009	0.4205714043758349	0.11503116780847267	1
s__Neisseria_subflava	cohort	MDACC	0.08354220027315375	0.8065698016787326	0.9181513523684748	1
s__Veillonella_dispar	cohort	MDACC	0.5498388559305486	0.6313208463858337	0.39027730571839003	1
s__Neisseria_sicca	cohort	MDACC	-0.7981304911117455	0.4201605782180927	0.06713944955640584	1
s__Rothia_mucilaginosa	cohort	MDACC	2.843873771778579	0.6048948228493227	3.534488211014601e-5	0.006326733897716135
s__Prevotella_histicola	cohort	MDACC	1.596452567398222	0.8249553323495011	0.06312500227101972	1
s__Actinomyces_sp_ICM47	cohort	MDACC	1.1593591844219648	0.8959981115443906	0.20467246890742533	1
s__Streptococcus_salivarius	cohort	MDACC	1.3619719013577858	1.0331440747102416	0.19597290243667476	1
s__Veillonella_rogosae	cohort	MDACC	-0.7511971464577111	0.439469089680857	0.0970725641111219	1
s__Porphyromonas_pasteri	cohort	MDACC	-0.8690924094305337	0.7127979369777169	0.23165354860128767	1
s__Prevotella_pallens	cohort	MDACC	-0.5330915169337772	0.643591751106452	0.41295457191819185	1
s__Prevotella_nanceiensis	cohort	MDACC	-1.358480531665763	0.5990264960413937	0.030228677890371487	1
s__Veillonella_parvula	cohort	MDACC	0.01876250193887846	0.4819517529214701	0.9691553014496076	1
s__Bacteroidaceae_bacterium	cohort	MDACC	0.044391509678623035	0.9565101256976712	0.9635579050016743	1
s__Prevotella_jejuni	cohort	MDACC	-0.5914659495419348	0.4468147622218831	0.19629640349134034	1
s__Haemophilus_parainfluenzae	cohort	MDACC	-0.14875417268972002	0.4129701619196966	0.7208580641889781	1
s__Actinomyces_graevenitzii	cohort	MDACC	1.4542060496540463	0.6469010842179345	0.030797815002899152	1
s__Actinomyces_SGB17168	cohort	MDACC	0.6905752532053354	0.49034859756684324	0.1794207326563786	1
s__Streptococcus_parasanguinis	cohort	MDACC	0.059995779469035414	0.6088377892408715	0.9220810149567309	1
