feature	metadata	value	log2fc	stderr	pval	qval
s__Parabacteroides_distasonis	cohort	MDACC	-0.21917410110623933	0.406732396798691	0.5906644206196916	1
s__Bacteroides_xylanisolvens	cohort	MDACC	-2.7830185390059605	0.5655503187763363	2.4174405126905524e-6	2.635010158832702e-4
s__Blautia_wexlerae	cohort	MDACC	1.0290310000039784	0.529966105881718	0.05355839086128589	1
s__Akkermansia_muciniphila	cohort	MDACC	0.22233463659166672	0.45075495333840715	0.6228566846955239	1
s__Bifidobacterium_longum	cohort	MDACC	2.8334608964144934	0.4302243858131091	1.9442232997733736e-9	2.3136257267303146e-7
s__Bifidobacterium_adolescentis	cohort	MDACC	1.63404722807359	0.5457331328170011	0.003613804118485172	0.2746491130048731
s__Bacteroides_uniformis	cohort	MDACC	-1.5739555191425272	0.5315297714942461	0.0034297909843086596	0.2640939057917668
s__Faecalibacterium_prausnitzii	cohort	MDACC	0.05696423034863282	0.4268845010452847	0.8939717876007749	1
s__Phocaeicola_vulgatus	cohort	MDACC	-1.9658322375308128	0.41339779185703873	3.808833264839647e-6	4.113539926026819e-4
s__Alistipes_onderdonkii	cohort	MDACC	-0.3003307068206485	0.436832702161568	0.4927899867882156	1
s__Bacteroides_ovatus	cohort	MDACC	-2.254010280882948	0.45726391366839886	1.7655902520942664e-6	1.9421492773036931e-4
s__Phocaeicola_massiliensis	cohort	MDACC	-2.509326468776025	0.4602237345812477	8.533810409523701e-7	9.643205762761782e-5
s__Bacteroides_fragilis	cohort	MDACC	-2.3384022468809307	0.5902847108251073	1.326091795300782e-4	0.012995699593947663
s__Bacteroides_stercoris	cohort	MDACC	-0.9951695826656174	0.43464361933181656	0.023693333582017476	1
s__Alistipes_finegoldii	cohort	MDACC	-0.23080144028540664	0.41764024499614616	0.5814093245581134	1
s__Bacteroides_caccae	cohort	MDACC	-1.7728280449507352	0.38296531617106216	9.055508079820453e-6	9.508283483811476e-4
s__Lacrimispora_celerecrescens	cohort	MDACC	2.193666212160212	0.4744306736308682	1.1873718886154028e-5	0.0012229930452738649
s__Escherichia_coli	cohort	MDACC	1.2127587758053135	0.5351813214192158	0.025766205978281873	1
s__Alistipes_putredinis	cohort	MDACC	-1.1829988168557155	0.3644300426836513	0.0014089841782342592	0.11976365514991204
s__Eubacterium_rectale	cohort	MDACC	-1.2794629470814742	0.4948333210276787	0.010426817607090135	0.7298772324963094
s__Eubacterium_siraeum	cohort	MDACC	0.5327493837392783	0.4299408836170413	0.21832112290052896	1
s__Phocaeicola_dorei	cohort	MDACC	-1.2739782664349786	0.38125710065447854	0.0012055088428364472	0.10367376048393447
s__Ruminococcus_torques	cohort	MDACC	-0.01956012153166273	0.5197605473431831	0.9700188361838151	1
s__Candidatus_Cibiobacter_qucibialis	cohort	MDACC	0.7063614727208488	0.3979648789614632	0.07767745438470704	1
s__Odoribacter_splanchnicus	cohort	MDACC	-1.5050384792293017	0.35237576861568387	3.325758062517313e-5	0.0033257580625173128
s__Clostridia_bacterium	cohort	MDACC	0.362896832990569	0.3808712154065848	0.341788404065979	1
s__Eggerthella_lenta	cohort	MDACC	1.8601506839803907	0.564275671529434	0.001521854894489296	0.12783581113710085
s__Roseburia_sp_AF02_12	cohort	MDACC	-0.7878633795576307	0.44993770956397006	0.08327038380257892	1
LKT_f__Ruminococcaceae	cohort	MDACC	-0.25183965527948526	0.415907303055557	0.5455074506061555	1
s__Parabacteroides_merdae	cohort	MDACC	-1.369912521973622	0.38847702231405257	5.581945371396156e-4	0.05135389741684463
s__Dorea_longicatena	cohort	MDACC	0.787137317517993	0.42760399780204983	0.06781297286826932	1
s__Gemmiger_formicilis	cohort	MDACC	-0.04248748757066773	0.4177203027566502	0.9191169808964887	1
s__Haemophilus_parainfluenzae	cohort	MDACC	-0.9773288506307981	0.37722236936971615	0.011168227458272137	0.7706076946207774
s__Anaerobutyricum_hallii	cohort	MDACC	2.237846509474459	0.3924453320206013	8.642834528719379e-8	1.002568805331448e-5
s__Bacteroides_cellulosilyticus	cohort	MDACC	-0.20888209204314476	0.3600638909477493	0.5632037206245778	1
s__Fusicatenibacter_saccharivorans	cohort	MDACC	1.3954790751602837	0.3991807773173002	6.079634024412378e-4	0.055324669622152635
s__Ruminococcus_gnavus	cohort	MDACC	-0.5622557185770789	0.6269541725270391	0.37235588932253405	1
s__Clostridiales_bacterium_KLE1615	cohort	MDACC	-0.3265098072347772	0.437407512852035	0.45674424763692045	1
s__Ruthenibacterium_lactatiformans	cohort	MDACC	0.6146771125892742	0.48609784520377625	0.207628085426555	1
s__Blautia_massiliensis	cohort	MDACC	1.4634817670408913	0.45640243873372083	0.001728968361973379	0.1400464373198437
s__Alistipes_communis	cohort	MDACC	-1.5755933950356023	0.41170806095762785	2.0985364102183338e-4	0.01993609589707417
s__Sutterella_wadsworthensis	cohort	MDACC	-0.8379768881092828	0.3835468419421871	0.032158757368660994	1
s__Dysosmobacter_welbionis	cohort	MDACC	-0.43734612362326225	0.5413408551652127	0.4201065873777654	1
s__Streptococcus_parasanguinis	cohort	MDACC	0.6810131216755185	0.5242518731844525	0.1988262025569011	1
s__Ruminococcus_bromii	cohort	MDACC	-0.067109897735767	0.36373771225515245	0.8539869316792924	1
s__Longicatena_caecimuris	cohort	MDACC	1.9248790472940576	0.5066199212833333	3.2913025771763886e-4	0.03093824422545805
s__Roseburia_intestinalis	cohort	MDACC	-1.0193677061206978	0.5121127652017685	0.048495453919281395	1
s__Anaerostipes_hadrus	cohort	MDACC	0.7867631674873371	0.477538339555388	0.10191928257141852	1
s__Flavonifractor_plautii	cohort	MDACC	0.689162337013272	0.44631293719068693	0.12475319800056367	1
s__Blautia_faecis	cohort	MDACC	1.887031770124822	0.3929164151634566	3.840837483158534e-6	4.113539926026819e-4
LKT_p__Firmicutes	cohort	MDACC	0.4686467520117877	0.5161923172192395	0.36516292307809683	1
s__Bilophila_wadsworthia	cohort	MDACC	1.2924815682284911	0.3843087932078932	0.0010300527992406082	0.09064464633317353
s__Dorea_formicigenerans	cohort	MDACC	0.1273981284747698	0.3819899772368142	0.7392298504005443	1
