feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	glioma_progression_overall	Y	0.30349504069224814	0.38502783673830626	0.4340667959769806	1
s__Prevotella_oris	age_at	SURGERY	0.01337749760920514	0.01553329690952824	0.39299961122046423	1
s__Prevotella_oris	grade_category	HIGH	0.607696266686132	0.5796082281126695	0.299184289678294	1
s__Prevotella_oris	glioma_idh_mutation	MUTANT	0.23582586484289797	0.45770863151539526	0.6085337417693097	1
s__Prevotella_salivae	glioma_progression_overall	Y	0.27338436870166855	0.35047429933889945	0.43936203637394966	1
s__Prevotella_salivae	age_at	SURGERY	0.02366380807097133	0.015351760457006446	0.13006172539005426	1
s__Prevotella_salivae	grade_category	HIGH	0.8434501217891025	0.5201388886382977	0.11172726025988718	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	1.2186696944761835	0.4673962298394696	0.012260539958467544	0.968582656718936
s__Prevotella_oulorum	glioma_progression_overall	Y	0.23549308536385763	0.3255910826716484	0.47622196102541026	1
s__Prevotella_oulorum	age_at	SURGERY	0.005006255367844989	0.015449317380715217	0.7486004076773743	1
s__Prevotella_oulorum	grade_category	HIGH	1.3006752492340985	0.5205094786231756	0.01939311775469282	1
s__Prevotella_oulorum	glioma_idh_mutation	MUTANT	1.2011863339146915	0.48188336446324426	0.019662964427252384	1
LKT_p__Bacteroidetes	glioma_progression_overall	Y	-0.2579746985610342	0.39295406706547725	0.5151699115741761	1
LKT_p__Bacteroidetes	age_at	SURGERY	0.019903007593098675	0.01626103969699171	0.22795116447644947	1
LKT_p__Bacteroidetes	grade_category	HIGH	0.2822364933982067	0.711645402509138	0.6937213872497696	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	0.6401004359215625	0.6438760215920377	0.32598781928722476	1
s__Prevotella_melaninogenica	glioma_progression_overall	Y	-0.2315881838857247	0.38649969101534626	0.5509245187529662	1
s__Prevotella_melaninogenica	age_at	SURGERY	0.029605268167708	0.018765483817106143	0.11903105460531836	1
s__Prevotella_melaninogenica	grade_category	HIGH	1.519765613434437	0.6773394956851921	0.027926066603088145	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	0.6039377990435137	0.5817353317029047	0.30266679222849147	1
s__Prevotella_jejuni	glioma_progression_overall	Y	0.370824821177991	0.3268520616513957	0.26555477191212096	1
s__Prevotella_jejuni	age_at	SURGERY	0.022606811024673133	0.014944579815124292	0.1408177257389849	1
s__Prevotella_jejuni	grade_category	HIGH	0.22781477996082639	0.4867743202931973	0.6431604992692377	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	0.29699376841449104	0.44113358737952035	0.5059412691139449	1
s__Prevotella_histicola	glioma_progression_overall	Y	-0.12943406706489155	0.4324484738487152	0.7661164709569306	1
s__Prevotella_histicola	age_at	SURGERY	0.061012580843637094	0.018235432571169177	0.0016862356078083472	0.1433300266637095
s__Prevotella_histicola	grade_category	HIGH	-0.37717404481253086	0.6765960257476644	0.580039507533206	1
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	-0.49536702304272046	0.6078033106213145	0.4194551577609058	1
