feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	glioma_progression_overall	Y	0.8388892020727483	0.27434948198858466	0.004128816591239506	0.652353021415842
s__Prevotella_maculosa	age_at	SURGERY	0.0032874314877235507	0.012613996978923077	0.7958323401763175	1
s__Prevotella_maculosa	grade_category	HIGH	-2.0087730063829783	0.44977984538754134	7.237779823339642e-5	0.01252135909437758
s__Prevotella_maculosa	glioma_idh_mutation	MUTANT	0.3392027010979946	0.3947958818304946	0.39577094896257403	1
s__Prevotella_oris	glioma_progression_overall	Y	0.1401430409038428	0.36953508994840817	0.7055801522264973	1
s__Prevotella_oris	age_at	SURGERY	-0.0057374530127911345	0.015931609682435312	0.7197619950694298	1
s__Prevotella_oris	grade_category	HIGH	-0.7118128076643752	0.5771582476513024	0.22131298222107582	1
s__Prevotella_oris	glioma_idh_mutation	MUTANT	-0.022278645967471786	0.5819571174382085	0.9695643359123414	1
s__Prevotella_salivae	glioma_progression_overall	Y	0.2902456575889131	0.4233883432216535	0.49515119579964206	1
s__Prevotella_salivae	age_at	SURGERY	-5.250077463621737e-4	0.014811025409523974	0.9718186813603593	1
s__Prevotella_salivae	grade_category	HIGH	0.36885160002460243	0.5522907379345872	0.5063021008306106	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	0.7083004758202538	0.5821657905966916	0.22759819709912726	1
s__Prevotella_sp_HJM029	glioma_progression_overall	Y	-0.47244962640919214	0.3533438523863271	0.19550040421566076	1
s__Prevotella_sp_HJM029	age_at	SURGERY	0.015954235426088603	0.014277681456679073	0.2764342810423592	1
s__Prevotella_sp_HJM029	grade_category	HIGH	0.726023725780703	0.6271890366829315	0.2600311843170579	1
s__Prevotella_sp_HJM029	glioma_idh_mutation	MUTANT	0.6999254264961993	0.6522501473817055	0.2954061231857806	1
s__Prevotella_oulorum	glioma_progression_overall	Y	1.240812828170578	0.41565422940458496	0.0040739333288386725	0.647755399285349
s__Prevotella_oulorum	age_at	SURGERY	-0.02648036573710311	0.017012470723639362	0.12475636108856969	1
s__Prevotella_oulorum	grade_category	HIGH	-0.9956523855392398	0.7741404247565884	0.20325493302881648	1
s__Prevotella_oulorum	glioma_idh_mutation	MUTANT	-0.6114794471691556	0.782078358990808	0.437318467893165	1
LKT_p__Bacteroidetes	glioma_progression_overall	Y	0.3388469711576199	0.37551733396160814	0.369686584627519	1
LKT_p__Bacteroidetes	age_at	SURGERY	-0.010716222139753356	0.013463427315117573	0.4285078467732164	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.22682143395727747	0.5721770096407497	0.6928929387390532	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	0.47791078414499844	0.582666458555069	0.4146263973126709	1
s__Prevotella_melaninogenica	glioma_progression_overall	Y	0.0836730718525711	0.4369335443929319	0.8486246893371844	1
s__Prevotella_melaninogenica	age_at	SURGERY	0.005702778804005134	0.014731297853122787	0.6997083489958787	1
s__Prevotella_melaninogenica	grade_category	HIGH	0.6363534018694291	0.5427495276441894	0.2445349217123926	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	0.9533609478396912	0.5479773402645058	0.08579184934533493	1
s__Prevotella_sp_F0091	glioma_progression_overall	Y	-0.43715598143525036	0.36308633593772616	0.24337534745429562	1
s__Prevotella_sp_F0091	age_at	SURGERY	-0.020703374479063737	0.014353957064926532	0.16548736005950893	1
s__Prevotella_sp_F0091	grade_category	HIGH	-2.716654256078717	0.44711816984177105	7.645510064270675e-6	0.0013532552813759096
s__Prevotella_sp_F0091	glioma_idh_mutation	MUTANT	-0.35749480189411953	0.4095398498660819	0.39360623679964346	1
s__Prevotella_jejuni	glioma_progression_overall	Y	0.7704063633704761	0.47339923387333477	0.1089831217730526	1
s__Prevotella_jejuni	age_at	SURGERY	0.012454866085132252	0.0207791997964061	0.5512070273597847	1
s__Prevotella_jejuni	grade_category	HIGH	-0.02593407735526868	0.8197682222735478	0.9748692195174491	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	0.2377245080406446	0.8552329580707343	0.782011292758231	1
s__Prevotella_histicola	glioma_progression_overall	Y	0.37659034094001015	0.52857385192892	0.478893322991377	1
s__Prevotella_histicola	age_at	SURGERY	-0.008064567032781475	0.01862359718796387	0.6665206612139971	1
s__Prevotella_histicola	grade_category	HIGH	-0.5010128103085135	0.823819393156238	0.5453401410716474	1
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	0.013084984064660441	0.7507355709807358	0.9861508186898897	1
s__Prevotella_denticola	glioma_progression_overall	Y	1.2604608927216583	0.40490249729986894	0.0027844176518792576	0.45664449490819825
s__Prevotella_denticola	age_at	SURGERY	-9.736394941551977e-4	0.016845368157387602	0.9540919514098953	1
s__Prevotella_denticola	grade_category	HIGH	0.1833421911301216	0.5857319430443081	0.755304055086445	1
s__Prevotella_denticola	glioma_idh_mutation	MUTANT	0.7142215276748523	0.5997200513576411	0.23815086817483405	1
s__Prevotella_sp_A2879	glioma_progression_overall	Y	-0.9127317460986836	0.37660409293620606	0.01975549541512212	1
s__Prevotella_sp_A2879	age_at	SURGERY	0.02430426523784409	0.01742078995931179	0.17031081042486645	1
s__Prevotella_sp_A2879	grade_category	HIGH	-0.34637647310924946	0.6714535693034822	0.6086569017347552	1
s__Prevotella_sp_A2879	glioma_idh_mutation	MUTANT	-0.04222265515717848	0.6863446738688971	0.951238380675812	1
s__Prevotella_veroralis	glioma_progression_overall	Y	0.020892686715216942	0.30623987154263527	0.9461506346000139	1
s__Prevotella_veroralis	age_at	SURGERY	6.443021844080747e-4	0.014839744991790697	0.9657137840119877	1
s__Prevotella_veroralis	grade_category	HIGH	0.19552543716549978	0.5396511694400512	0.7201591871858646	1
s__Prevotella_veroralis	glioma_idh_mutation	MUTANT	-0.09296737652163796	0.5345952387043724	0.8633427112441062	1
s__Prevotella_pallens	glioma_progression_overall	Y	1.09729545114159	0.6136349636257332	0.07795269525170559	1
s__Prevotella_pallens	age_at	SURGERY	0.011252915302628208	0.020111710496165617	0.5775429911066827	1
s__Prevotella_pallens	grade_category	HIGH	-0.8408882364141573	0.7171370421088205	0.2448361492494788	1
s__Prevotella_pallens	glioma_idh_mutation	MUTANT	0.98830502389933506	0.8187042857200164	0.2313223884114152	1
s__Prevotella_nigrescens	glioma_progression_overall	Y	0.05601334808434704	0.41183202540068115	0.8921927971802648	1
s__Prevotella_nigrescens	age_at	SURGERY	-9.528447705273651e-4	0.017492826096378596	0.9567110929767484	1
s__Prevotella_nigrescens	grade_category	HIGH	-0.05481398629991029	0.6817464631479964	0.9361403639282113	1
s__Prevotella_nigrescens	glioma_idh_mutation	MUTANT	0.6752656855228257	0.7196910132370126	0.3512417245005012	1
LKT_f__Prevotellaceae	glioma_progression_overall	Y	0.33020816349510085	0.30990825526153554	0.30000195600131846	1
LKT_f__Prevotellaceae	age_at	SURGERY	-0.036208672997643875	0.014130998235743372	0.01905261955737082	1
LKT_f__Prevotellaceae	grade_category	HIGH	-0.47904650160500756	0.5231313907705554	0.37128590095574987	1
LKT_f__Prevotellaceae	glioma_idh_mutation	MUTANT	0.17167775710314306	0.45910203660081556	0.7125874075196424	1
s__Prevotella_buccae	glioma_progression_overall	Y	1.0884042026369423	0.3061191983504669	0.001364204641297297	0.22782217509664862
s__Prevotella_buccae	age_at	SURGERY	0.03008942778096868	0.014236712196718978	0.04359807482606372	1
s__Prevotella_buccae	grade_category	HIGH	0.48739490036608946	0.488259436704009	0.32671726657312194	1
s__Prevotella_buccae	glioma_idh_mutation	MUTANT	1.2653875562430132	0.45970027518520745	0.01025769939376491	1
s__Prevotella_pleuritidis	glioma_progression_overall	Y	-0.7913679733265392	0.35020669453767034	0.03016826824723247	1
s__Prevotella_pleuritidis	age_at	SURGERY	-0.00845446574689558	0.014981704429457855	0.5761356569153717	1
s__Prevotella_pleuritidis	grade_category	HIGH	1.2341251340017552	0.4493316346214801	0.009447931584145947	1
s__Prevotella_pleuritidis	glioma_idh_mutation	MUTANT	1.1554106596552862	0.4498561537737977	0.014641840608791442	1
s__Prevotella_nanceiensis	glioma_progression_overall	Y	0.7446908646892095	0.5206964690495783	0.15760573713797563	1
s__Prevotella_nanceiensis	age_at	SURGERY	-0.027897248016401584	0.015161395612777953	0.07047712552185387	1
s__Prevotella_nanceiensis	grade_category	HIGH	-0.5652341461457473	1.002759392529845	0.5749738335367844	1
s__Prevotella_nanceiensis	glioma_idh_mutation	MUTANT	0.6650089973064226	0.9128892896394333	0.469027464382745	1
s__Prevotella_loescheii	glioma_progression_overall	Y	1.5297061450147689	0.4050073258981527	4.1610705688437035e-4	0.07323484201164918
s__Prevotella_loescheii	age_at	SURGERY	-0.00472496478349986	0.016514382355000915	0.775951254652461	1
s__Prevotella_loescheii	grade_category	HIGH	-0.42829265423578344	0.9235188703081213	0.6447918629331981	1
s__Prevotella_loescheii	glioma_idh_mutation	MUTANT	0.5584133163992859	0.8681840675100045	0.5229779583965024	1
s__Prevotella_conceptionensis	glioma_progression_overall	Y	0.5071918166330357	0.3611321739268857	0.16690163121837184	1
s__Prevotella_conceptionensis	age_at	SURGERY	-0.023102542344452533	0.013382188602839544	0.09099322617753237	1
s__Prevotella_conceptionensis	grade_category	HIGH	-1.0056099297258962	0.5487319391563493	0.07333844815462215	1
s__Prevotella_conceptionensis	glioma_idh_mutation	MUTANT	-0.35947049768629014	0.510536722555503	0.48491789227557613	1
s__Prevotella_oralis	glioma_progression_overall	Y	0.4239926991719858	0.32994014261086946	0.20930033728544858	1
s__Prevotella_oralis	age_at	SURGERY	-0.0016512512234234731	0.0151964290431529	0.91424675851674	1
s__Prevotella_oralis	grade_category	HIGH	0.71507396084835	0.5207221993204844	0.1805768405696771	1
