feature	metadata	value	log2fc	stderr	pval	qval
LKT_f__Clostridia_unclassified	glioma_progression_overall	Y	0.26646419711728403	0.8642007110645178	0.7597079226066857	1
LKT_f__Clostridia_unclassified	age_at	SURGERY	0.020187150210031746	0.022558084681529894	0.377134232338323	1
LKT_f__Clostridia_unclassified	steroids_at_surgery	Y	-1.434544354364481	0.9785462754684103	0.15183773157369357	1
LKT_f__Clostridia_unclassified	grade_category	HIGH	1.538799517395352	1.0322575325117394	0.14525687618732014	1
LKT_f__Clostridia_unclassified	glioma_idh_mutation	MUTANT	0.580428148549594	0.7738640326584536	0.45839031274665065	1
LKT_f__Clostridiaceae	glioma_progression_overall	Y	-0.4072025348449764	0.5347194105899374	0.4544296865001266	1
LKT_f__Clostridiaceae	age_at	SURGERY	-0.007809836015796289	0.018448920567425527	0.6761699769479952	1
LKT_f__Clostridiaceae	steroids_at_surgery	Y	2.0705013881726937	0.5299380064233169	7.563415439172009e-4	0.13689781944901336
LKT_f__Clostridiaceae	grade_category	HIGH	-3.4754453311490394	0.7609084171552338	1.5084967271701986e-4	0.027756339779931655
LKT_f__Clostridiaceae	glioma_idh_mutation	MUTANT	-0.023340378291906924	0.6189675364012593	0.9702601329757436	1
LKT_f__Eggerthellaceae	glioma_progression_overall	Y	-0.47726289230906077	0.40629834184492253	0.2539271896522435	1
LKT_f__Eggerthellaceae	age_at	SURGERY	-0.013223287577340457	0.015183694869586472	0.39414935025682774	1
LKT_f__Eggerthellaceae	steroids_at_surgery	Y	0.3745858916169381	0.597128851637814	0.5375515562535934	1
LKT_f__Eggerthellaceae	grade_category	HIGH	-0.3039228461238554	0.7391643488355399	0.68531966415053025	1
LKT_f__Eggerthellaceae	glioma_idh_mutation	MUTANT	-0.9673205096969081	0.6115064320449765	0.12936634569921188	1
LKT_f__Lachnospiraceae	glioma_progression_overall	Y	-0.1298582587808323	0.5861962042389647	0.8258380097316733	1
LKT_f__Lachnospiraceae	age_at	SURGERY	0.00409727125575364	0.017763069101660752	0.8187828814094944	1
LKT_f__Lachnospiraceae	steroids_at_surgery	Y	-0.4658742971295277	0.5436140122813311	0.3966834580568205	1
LKT_f__Lachnospiraceae	grade_category	HIGH	-0.3722058524194776	0.8737029552629314	0.6724428877751847	1
LKT_f__Lachnospiraceae	glioma_idh_mutation	MUTANT	0.56214646175236	0.5544963044867528	0.3169283578513003	1
LKT_f__Marinilabiliaceae	glioma_progression_overall	Y	0.0768550409909327	0.42012937683044826	0.8566931854190407	1
LKT_f__Marinilabiliaceae	age_at	SURGERY	-0.006077828728579627	0.016068093710764703	0.7092265889380649	1
LKT_f__Marinilabiliaceae	steroids_at_surgery	Y	0.058376344645759845	0.47769530152428435	0.9039569359527372	1
LKT_f__Marinilabiliaceae	grade_category	HIGH	-0.5690409948973845	0.677738834432095	0.4110477600169269	1
LKT_f__Marinilabiliaceae	glioma_idh_mutation	MUTANT	-0.2754954617262374	0.5157549616188402	0.5991190576018874	1
LKT_f__Ruminococcaceae	glioma_progression_overall	Y	-0.40422214303934184	0.7612456327767931	0.5982830861862618	1
