feature	metadata	value	log2fc	stderr	pval	qval
LKT_f__Weeksellaceae	br_m_progression_overall	Y	-0.0650509886346207	0.3473988879306475	0.8552080589173312	1
LKT_f__Weeksellaceae	shotgun_seq_batch_batch	10	0.4108297962561654	1.0246473781721845	0.6968918379061639	1
LKT_f__Weeksellaceae	shotgun_seq_batch_batch	2	1.4656775282944385	1.0414446772379347	0.1896380412007572	1
LKT_f__Weeksellaceae	shotgun_seq_batch_batch	6	0	1.3417351489339862	1	1
LKT_p__Bacteroidetes	br_m_progression_overall	Y	-0.37182520890297793	0.25983399901074794	0.18021764260936982	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	10	-0.49620509097230525	0.983699772532225	0.6239121300712753	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	2	1.107118858085678	1.122043825384639	0.3449970510013999	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	6	-1.5934434810570495	1.3131307130710377	0.25036360041613603	1
LKT_p__Firmicutes	br_m_progression_overall	Y	0.11214557057862712	0.14520410069157969	0.4748226541869767	1
LKT_p__Firmicutes	shotgun_seq_batch_batch	10	1.1649086063743577	1.0256837431303705	0.307555733810731	1
LKT_p__Firmicutes	shotgun_seq_batch_batch	2	1.4845306600322237	1.0865991288779357	0.23010877144595818	1
LKT_p__Firmicutes	shotgun_seq_batch_batch	6	0	1.408412648539773	1	1
s__Abiotrophia_defectiva	br_m_progression_overall	Y	2.29022771785802	0.34233457702033193	2.227851448251542e-5	0.0012921538399858943
s__Abiotrophia_defectiva	shotgun_seq_batch_batch	10	2.1355188347373986	1.1055266895878881	0.07735595139053346	1
s__Abiotrophia_defectiva	shotgun_seq_batch_batch	2	0.7262182842748816	1.2049267327580158	0.5579218340284984	1
s__Abiotrophia_defectiva	shotgun_seq_batch_batch	6	0	1.434886061310969	1	1
s__Actinobaculum_sp_oral_taxon_183	br_m_progression_overall	Y	0.9066892114358667	0.29647980136142793	0.01562566341632296	0.6250265366529184
s__Actinobaculum_sp_oral_taxon_183	shotgun_seq_batch_batch	10	-0.6560548760156552	1.0386672904336336	0.5452491813469829	1
s__Actinobaculum_sp_oral_taxon_183	shotgun_seq_batch_batch	2	0.6113966560663973	1.0667506835957263	0.5822978311588439	1
s__Actinobaculum_sp_oral_taxon_183	shotgun_seq_batch_batch	6	0	1.3699664160034797	1	1
s__Actinomyces_dentalis	br_m_progression_overall	Y	-0.14227167981297276	0.23214066541864226	0.5593401438494442	1
s__Actinomyces_dentalis	shotgun_seq_batch_batch	10	-1.1484530317624089	1.0339518043399132	0.30337058814225926	1
s__Actinomyces_dentalis	shotgun_seq_batch_batch	2	-0.3447245451251782	1.098384885115295	0.7627834745357835	1
s__Actinomyces_dentalis	shotgun_seq_batch_batch	6	0	1.3961342729881947	1	1
s__Actinomyces_gerencseriae	br_m_progression_overall	Y	0.7425063577123643	0.23591546296331348	0.01988170689861242	0.7356231552486595
s__Actinomyces_gerencseriae	shotgun_seq_batch_batch	10	-0.3308702468362151	1.0574420804572493	0.7649495172510424	1
s__Actinomyces_gerencseriae	shotgun_seq_batch_batch	2	-0.10685960275564936	1.1078034553921416	0.9262958953203413	1
s__Actinomyces_gerencseriae	shotgun_seq_batch_batch	6	0	1.4242412909150926	1	1
s__Actinomyces_graevenitzii	br_m_progression_overall	Y	0.5205894170064775	0.3080948288710049	0.14204372453431713	1
s__Actinomyces_graevenitzii	shotgun_seq_batch_batch	10	-4.097272012994155	1.028198195832841	0.007242570708148414	0.42006910107260803
s__Actinomyces_graevenitzii	shotgun_seq_batch_batch	2	-2.7796671689855366	1.0881080818651616	0.043222630793046384	1
s__Actinomyces_graevenitzii	shotgun_seq_batch_batch	6	-4.252439854164577	1.382338941364504	0.02176680826322509	1
s__Actinomyces_naeslundii	br_m_progression_overall	Y	-0.3221067690265346	0.22455530508848012	0.18527156852480745	1
s__Actinomyces_naeslundii	shotgun_seq_batch_batch	10	-1.3217693037066984	1.0150846021603988	0.22520897910920962	1
s__Actinomyces_naeslundii	shotgun_seq_batch_batch	2	1.9235178085160478	1.0699257534059732	0.1057574071194925	1
s__Actinomyces_naeslundii	shotgun_seq_batch_batch	6	0	1.363874656857668	1	1
s__Actinomyces_oris	br_m_progression_overall	Y	-0.36071598169098457	0.5881830512227054	0.5466085734290134	1
s__Actinomyces_oris	shotgun_seq_batch_batch	10	-0.43356870971512496	1.233468485001684	0.7288866146965213	1
s__Actinomyces_oris	shotgun_seq_batch_batch	2	0.38934899457204425	1.361900045679463	0.7779050500243369	1
s__Actinomyces_oris	shotgun_seq_batch_batch	6	-3.2647446590927376	1.4492459946747769	0.035664254902611596	1
s__Bacteroidaceae_unclassified_SGB1468	br_m_progression_overall	Y	2.2552791568259694	0.18279208199559602	6.19437407075508e-5	0.0035307932203303954
s__Bacteroidaceae_unclassified_SGB1468	shotgun_seq_batch_batch	10	0	1.031767563043984	1	1
s__Bacteroidaceae_unclassified_SGB1468	shotgun_seq_batch_batch	2	-0.7337484720003798	1.0755410291121401	0.5254193607496901	1
s__Bacteroidaceae_unclassified_SGB1468	shotgun_seq_batch_batch	6	-3.12148057113552	1.4086747803051998	0.0775270522648859	1
s__Campylobacter_concisus	br_m_progression_overall	Y	-0.502380075218127	0.21330531216986529	0.04630271434875789	1
s__Campylobacter_concisus	shotgun_seq_batch_batch	10	-2.4833448618847864	1.0001785705133834	0.037939676652204754	1
s__Campylobacter_concisus	shotgun_seq_batch_batch	2	-0.49662052492246195	1.0506179527477555	0.6490590255611872	1
s__Campylobacter_concisus	shotgun_seq_batch_batch	6	-0.4984546634051012	1.3526514905503295	0.7220597562333215	1
s__Campylobacter_gracilis	br_m_progression_overall	Y	0.29703860726750225	0.27386270408881785	0.3197338961954936	1
s__Campylobacter_gracilis	shotgun_seq_batch_batch	10	-0.2306706238472345	1.102449896295123	0.8411882418000183	1
s__Campylobacter_gracilis	shotgun_seq_batch_batch	2	2.0673936590551434	1.1844586785221303	0.13151857516932333	1
s__Campylobacter_gracilis	shotgun_seq_batch_batch	6	0	1.4751672686601829	1	1
s__Capnocytophaga_gingivalis	br_m_progression_overall	Y	-0.8647244856376789	0.2380732096945514	0.010936627188375292	0.45933834191176226
s__Capnocytophaga_gingivalis	shotgun_seq_batch_batch	10	0	1.02123414576545	1	1
s__Capnocytophaga_gingivalis	shotgun_seq_batch_batch	2	2.8300315408184384	1.1196172597487708	0.04481998288119025	1
s__Capnocytophaga_gingivalis	shotgun_seq_batch_batch	6	1.0986374337438187	1.3953972014235616	0.4610490360470981	1
s__Capnocytophaga_leadbetteri	br_m_progression_overall	Y	-0.13054072020255325	0.5757314787393284	0.8234982640168493	1
s__Capnocytophaga_leadbetteri	shotgun_seq_batch_batch	10	-0.23982228942703027	1.1667319888728558	0.8397345383639206	1
s__Capnocytophaga_leadbetteri	shotgun_seq_batch_batch	2	1.6525020971592679	1.1716463513129942	0.17756377201148274	1
s__Capnocytophaga_leadbetteri	shotgun_seq_batch_batch	6	0.6451441317996306	1.3341255175862239	0.6352418366129553	1
s__Capnocytophaga_ochracea	br_m_progression_overall	Y	0.8002500611728007	0.31012085557833585	0.027395346320759854	0.9588371212265949
s__Capnocytophaga_ochracea	shotgun_seq_batch_batch	10	-0.38984099036461484	1.11965798945575	0.7349243151892129	1
s__Capnocytophaga_ochracea	shotgun_seq_batch_batch	2	2.6346215027693667	1.2416417874960062	0.05983338375264789	1
s__Capnocytophaga_ochracea	shotgun_seq_batch_batch	6	0	1.481068637493931	1	1
s__Capnocytophaga_sputigena	br_m_progression_overall	Y	1.5404936117616699	0.1492711148625663	1.7374954860040334e-5	0.0010251223367423797
s__Capnocytophaga_sputigena	shotgun_seq_batch_batch	10	-1.0009204775568779	1.007539678951176	0.3535916270352386	1
s__Capnocytophaga_sputigena	shotgun_seq_batch_batch	2	0.1382146631215415	1.0932296521632974	0.902948094066326	1
s__Capnocytophaga_sputigena	shotgun_seq_batch_batch	6	0	1.382466407227498	1	1
s__Corynebacterium_matruchotii	br_m_progression_overall	Y	2.5048939349791763	0.5453422605779638	0.005876226660466808	0.27618265304193995
s__Corynebacterium_matruchotii	shotgun_seq_batch_batch	10	2.522892996268161	1.0657598664400805	0.06417318253560349	1
s__Corynebacterium_matruchotii	shotgun_seq_batch_batch	2	2.8409152008537064	1.206102198204947	0.06511771495112212	1
s__Corynebacterium_matruchotii	shotgun_seq_batch_batch	6	0	1.420835657813033	1	1
s__Eikenella_corrodens	br_m_progression_overall	Y	0.7011364075399431	0.16974938656755695	0.009081260162747774	0.4082342963292081
s__Eikenella_corrodens	shotgun_seq_batch_batch	10	0.0795554354284794	1.0302615522526057	0.9414443598070501	1
s__Eikenella_corrodens	shotgun_seq_batch_batch	2	1.6535450259778985	1.1254916286286136	0.20172834167679785	1
s__Eikenella_corrodens	shotgun_seq_batch_batch	6	0	1.412720503342383	1	1
s__Fusobacterium_nucleatum	br_m_progression_overall	Y	-0.17765208915296546	0.30830578425564664	0.5772041487351608	1
s__Fusobacterium_nucleatum	shotgun_seq_batch_batch	10	2.4060821017770206	1.0107852018680983	0.03858546094482093	1
s__Fusobacterium_nucleatum	shotgun_seq_batch_batch	2	1.933750618145312	1.0526041432421236	0.0960518166699506	1
s__Fusobacterium_nucleatum	shotgun_seq_batch_batch	6	0	1.3427280796099874	1	1
s__Gemella_haemolysans	br_m_progression_overall	Y	1.1517190338457033	0.6409161788745156	0.13226941287981847	1
