feature	metadata	value	log2fc	stderr	pval	qval
LKT_f__Clostridia_unclassified	br_m_progression_overall	Y	-0.4381046505428861	1.0347503958373998	0.676763617836203	1
LKT_f__Clostridiaceae	br_m_progression_overall	Y	1.3975694101758764	0.9798682568981479	0.18154568529781748	1
LKT_f__Eggerthellaceae	br_m_progression_overall	Y	-1.6034980056230774	0.8087469009463959	0.07871738162677683	1
LKT_f__Lachnospiraceae	br_m_progression_overall	Y	-1.098587644929375	1.047681902948534	0.30824362768325886	1
LKT_f__Ruminococcaceae	br_m_progression_overall	Y	-0.9205240478929878	1.11020411117629	0.41731587725542685	1
LKT_p__Firmicutes	br_m_progression_overall	Y	-2.654407642110219	0.8496749083894459	0.005587493991202405	0.6034493510498598
s__Adlercreutzia_equolifaciens	br_m_progression_overall	Y	-0.3862545499133059	0.7350312721702945	0.6080869776380974	1
s__Akkermansia_muciniphila	br_m_progression_overall	Y	-2.1863801913661525	1.0577439975492748	0.06561052614190133	1
s__Alistipes_finegoldii	br_m_progression_overall	Y	-0.48602343333223097	0.7139452093897696	0.5114792374951751	1
s__Alistipes_onderdonkii	br_m_progression_overall	Y	-0.3368951206017747	0.8151973703418709	0.6856704316579708	1
s__Alistipes_putredinis	br_m_progression_overall	Y	-2.020287168848591	0.4933142272027517	0.0012641444034977147	0.14032002878824631
s__Alistipes_shahii	br_m_progression_overall	Y	-1.5840723710173583	0.9040391048355197	0.11783469608089737	1
s__Anaerobutyricum_hallii	br_m_progression_overall	Y	0.821130731626411	1.4000774288288331	0.5668836308869382	1
s__Anaerostipes_hadrus	br_m_progression_overall	Y	0.009392626323100152	0.6570095342047014	0.9888108817024495	1
s__Anaerotruncus_colihominis	br_m_progression_overall	Y	-1.0878697423273878	0.9059582628538617	0.24845046370283005	1
s__Anaerotruncus_rubiinfantis	br_m_progression_overall	Y	-1.6775628923631674	0.405898627964832	0.004387680801566563	0.47825720737075533
s__Bacteroides_caccae	br_m_progression_overall	Y	0.7768267721450044	0.6321187773224677	0.23935664903485737	1
s__Bacteroides_cellulosilyticus	br_m_progression_overall	Y	-2.0969570047690684	0.6769357058003103	0.02117802589796016	1
s__Bacteroides_ovatus	br_m_progression_overall	Y	0.6355311958695294	0.6625760127870348	0.354967485673371	1
s__Bacteroides_stercoris	br_m_progression_overall	Y	0.17935935783281334	0.638707921981126	0.7832710776471004	1
s__Bacteroides_thetaiotaomicron	br_m_progression_overall	Y	1.535957731921009	0.9720707874105265	0.13640904057266048	1
s__Bacteroides_uniformis	br_m_progression_overall	Y	-0.2654890163385071	0.48995483079252267	0.5953783140958971	1
s__Bacteroides_xylanisolvens	br_m_progression_overall	Y	1.1586481352415956	0.6920673465119416	0.11993780342222721	1
s__Bittarella_massiliensis	br_m_progression_overall	Y	0.09822368266916376	0.9281330524403295	0.9186866587715516	1
s__Blautia_faecis	br_m_progression_overall	Y	0.8280894396938572	0.8615666926607652	0.35078118808340386	1
s__Blautia_hydrogenotrophica	br_m_progression_overall	Y	0.17126297920815436	0.7253290691934764	0.817323399826174	1
s__Blautia_massiliensis	br_m_progression_overall	Y	1.2446878249715292	1.068456515909642	0.26868467076640407	1
s__Blautia_obeum	br_m_progression_overall	Y	1.5959872853035664	1.1332939127141712	0.1808687556700219	1
s__Blautia_producta	br_m_progression_overall	Y	0.6544715158004893	0.6260395078358074	0.3164329824466545	1
s__Blautia_SGB4805	br_m_progression_overall	Y	0.22648348811246127	0.9339415889180324	0.8164673185598402	1
s__Blautia_SGB4815	br_m_progression_overall	Y	0.9525586425108636	0.7572146993227403	0.24005691509310548	1
s__Blautia_wexlerae	br_m_progression_overall	Y	0.4814951630445961	0.9437893363043862	0.6161297738977953	1
s__Candidatus_Avimicrobium_caecorum	br_m_progression_overall	Y	0.7241915095760487	0.3889807390167684	0.12169411491107553	1
s__Candidatus_Cibiobacter_qucibialis	br_m_progression_overall	Y	0.8989964068377535	0.5429474318861204	0.12876685435648622	1
s__Christensenellaceae_bacterium	br_m_progression_overall	Y	-1.259630983341642	0.43095602209722333	0.011874740789860378	1
s__Clostridia_bacterium	br_m_progression_overall	Y	-1.7279203215889567	0.797728285724575	0.043233173376943976	1
s__Clostridia_unclassified_SGB14844	br_m_progression_overall	Y	0.683933064702805	0.6694491305507857	0.33685101794787253	1
s__Clostridia_unclassified_SGB4121	br_m_progression_overall	Y	-0.4802900374679346	0.7801640779247169	0.5518938144737878	1
s__Clostridiaceae_bacterium	br_m_progression_overall	Y	-0.4578162026794411	0.8561502240648425	0.6001839747515261	1
s__Clostridiales_bacterium	br_m_progression_overall	Y	-0.2664239967849177	0.7073054787761796	0.7116904817555831	1
s__Clostridiales_bacterium_KLE1615	br_m_progression_overall	Y	0.4851886266701371	1.0094751359705287	0.6422441410400597	1
s__Clostridium_fessum	br_m_progression_overall	Y	-1.8640225528029097	0.7788141566088004	0.03248306350489136	1
s__Clostridium_innocuum	br_m_progression_overall	Y	-1.4156997590390665	1.2374764004847671	0.2668236281565676	1
s__Clostridium_leptum	br_m_progression_overall	Y	-0.9878372259859743	0.6126644321059792	0.12529153516205008	1
s__Clostridium_phoceensis	br_m_progression_overall	Y	-1.021243772829901	0.7859001572818567	0.21113367639561048	1
s__Clostridium_scindens	br_m_progression_overall	Y	-1.1037422669349857	0.810096014269426	0.1945628596180915	1
s__Clostridium_sp_AF34_10BH	br_m_progression_overall	Y	0.6043526648911001	0.9471194161170575	0.5364690578845811	1
s__Clostridium_sp_AF36_4	br_m_progression_overall	Y	-1.6306525452242637	0.6254144836967718	0.03505000699399364	1
s__Clostridium_sp_AM49_4BH	br_m_progression_overall	Y	0.59773587257196	0.46528083032213124	0.25520066692900656	1
s__Clostridium_sp_AT4	br_m_progression_overall	Y	0.48606178670966627	0.8001093231200326	0.5558562189784648	1
s__Clostridium_symbiosum	br_m_progression_overall	Y	-1.624086052117193	0.6272208073558858	0.022455599825981706	1
