feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	2.5580285552932347	0.5747439130826382	8.557986810936503e-6	4.963632350343172e-4
s__Lautropia_mirabilis	cohort	MDACC	1.323679791844698	0.879448827626818	0.1322921253298028	1
s__Neisseria_subflava	cohort	MDACC	-1.9826613642034068	0.6833598467657263	0.0037156682211501955	0.17092073817290898
s__Veillonella_dispar	cohort	MDACC	-0.1912478155569245	0.7415198279035745	0.7964738308130157	1
s__Neisseria_sicca	cohort	MDACC	-0.6989295025271005	0.8029036094943922	0.38402591943866166	1
s__Rothia_mucilaginosa	cohort	MDACC	0.014305577867441466	0.5615594079538146	0.9796762994114243	1
s__Prevotella_histicola	cohort	MDACC	1.284952222748371	0.6536532061066661	0.04932158519524452	1
s__Actinomyces_sp_ICM47	cohort	MDACC	-0.6945828998355239	0.7208772057695638	0.3352843399709364	1
s__Streptococcus_salivarius	cohort	MDACC	-0.8211014969771597	0.6969943430045962	0.23877249198613767	1
s__Veillonella_rogosae	cohort	MDACC	-1.0837957259471542	0.7619333991910479	0.15490191579518117	1
s__Porphyromonas_pasteri	cohort	MDACC	-2.3093286251174074	0.5811684377393114	7.079558162894473e-5	0.0038229614079630155
s__Prevotella_pallens	cohort	MDACC	-0.6089042947153483	0.5477970181185745	0.2663312729619098	1
s__Prevotella_nanceiensis	cohort	MDACC	-1.8255528339717615	0.5895069764870419	0.001956580456794067	0.09195928146932114
s__Veillonella_parvula	cohort	MDACC	0.046858553771917943	0.5925519433565217	0.9369696006646985	1
s__Bacteroidaceae_bacterium	cohort	MDACC	-1.0183842231308624	0.6256221654658014	0.10356849999893145	1
s__Prevotella_jejuni	cohort	MDACC	0.20511747200144215	0.630246842188957	0.7448361516134392	1
s__Haemophilus_parainfluenzae	cohort	MDACC	-2.1373216832876727	0.43570510421742487	9.32220179268328e-7	5.779765111463633e-5
s__Actinomyces_graevenitzii	cohort	MDACC	0.05057319133262517	0.6008291745340577	0.9329194178501389	1
s__Streptococcus_parasanguinis	cohort	MDACC	-0.7330997876844392	0.7284287071646997	0.31421716237647584	1
s__Abiotrophia_defectiva	cohort	MDACC	0.7233255611907569	0.8940941860340573	0.4185129816496504	1
s__Veillonella_atypica	cohort	MDACC	1.0717344860206248	0.6095930576474017	0.07872800332629319	1
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	0.13108719443532624	0.5992057879314607	0.8268305899450182	1
s__Alloprevotella_SGB1466	cohort	MDACC	0.4477480352758074	0.8738828139992998	0.6083947269788212	1
s__Actinomyces_oris	cohort	MDACC	-0.5975095476635458	0.5859858111513896	0.3078871027374751	1
s__Streptococcus_oralis	cohort	MDACC	-2.740094804766912	0.559723359275359	9.808362520596284e-7	5.9831011375637334e-5
s__Rothia_aeria	cohort	MDACC	1.8058470783972194	0.6714653062673172	0.00715779442652893	0.3221007491938018
LKT_p__Bacteroidetes	cohort	MDACC	1.1806860179155856	0.6359283682918231	0.06336329077654003	1
s__Capnocytophaga_leadbetteri	cohort	MDACC	0.7656759826263136	0.668210630164441	0.25185299139126643	1
s__Streptococcus_sanguinis	cohort	MDACC	-2.0156729982548938	0.6163001276959418	0.0010731848244073356	0.052586056395959445
s__Capnocytophaga_sputigena	cohort	MDACC	1.4179542553238407	0.8344639795348358	0.08927404409624347	1
s__Streptococcus_sp_A12	cohort	MDACC	-1.1550827244356034	0.7138192995017286	0.10562543844021066	1
s__Prevotella_salivae	cohort	MDACC	1.3564220160515235	0.5941891892174325	0.022441464180494676	0.9201000314002817
s__Granulicatella_elegans	cohort	MDACC	-2.785331630909189	0.7367091623999258	1.5634088064011892e-4	0.008286066673926302
s__Actinomyces_naeslundii	cohort	MDACC	1.7721464533925557	0.6954053493099377	0.010822925617001738	0.4762087271480765
s__Isoptericola_variabilis	cohort	MDACC	-0.06972862201669561	0.6327193557799381	0.9122470659681088	1
