feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	1.4704222474494724	0.7991253846834123	0.0657624431342509	1
s__Lautropia_mirabilis	cohort	MDACC	2.5524693124820517	1.5282723531395415	0.09488642271736025	1
s__Neisseria_subflava	cohort	MDACC	1.046435072758501	1.8109664879240597	0.5633772930308314	1
s__Veillonella_dispar	cohort	MDACC	1.4913094686503	1.8069186581564465	0.409182601822552	1
s__Neisseria_sicca	cohort	MDACC	1.3238832757080026	1.732148369817163	0.44468770231264637	1
s__Rothia_mucilaginosa	cohort	MDACC	4.528489823797043	0.948764233790132	1.8146555607719726e-6	3.230086898174111e-4
s__Prevotella_histicola	cohort	MDACC	0.9949379706385926	1.8577350845759508	0.5922591936346586	1
s__Actinomyces_sp_ICM47	cohort	MDACC	0.46216881037094404	0.9470983833367612	0.6255612094327239	1
s__Streptococcus_salivarius	cohort	MDACC	1.1643496273664034	1.153596556439991	0.312820546813074	1
s__Veillonella_rogosae	cohort	MDACC	1.8359994725514444	1.8057443882539566	0.30927003709756923	1
s__Porphyromonas_pasteri	cohort	MDACC	-1.8915111727694522	0.8449291487801636	0.02517788639916924	1
s__Prevotella_pallens	cohort	MDACC	-0.3874660339488446	0.7010911360754586	0.5804952649486328	1
s__Prevotella_nanceiensis	cohort	MDACC	-0.7048204661834181	1.3177270213171262	0.5927356534416239	1
s__Veillonella_parvula	cohort	MDACC	0.6120200953946966	0.65074257376703	0.346963745881173	1
s__Bacteroidaceae_bacterium	cohort	MDACC	0.013271561359174622	2.082948177621285	0.9949162910659765	1
s__Prevotella_jejuni	cohort	MDACC	1.3716065064621932	2.324785201966298	0.5551954835789552	1
s__Haemophilus_parainfluenzae	cohort	MDACC	-0.39642740811217214	0.5490279890525988	0.47026177923991136	1
s__Actinomyces_graevenitzii	cohort	MDACC	1.7347829663320464	0.6212285411739481	0.005230187815077489	0.8054489235219333
s__Actinomyces_SGB17168	cohort	MDACC	-0.0036859532172393017	2.012639426903783	0.9985387529030051	1
s__Streptococcus_parasanguinis	cohort	MDACC	1.5522997332756194	1.589219344102847	0.32868366863210596	1
s__Abiotrophia_defectiva	cohort	MDACC	1.4521613459817497	1.5321418248075567	0.34323216971896103	1
s__Veillonella_atypica	cohort	MDACC	1.7532567900220812	1.7281802697786977	0.3103392878464324	1
s__Rothia_dentocariosa	cohort	MDACC	9.647005709160679	0.80971713772174	1.0000649754475689e-32	1.8801221538414295e-30
s__Actinomyces_sp_ICM58	cohort	MDACC	0.3687582963145175	1.7074900900230223	0.829014938854089	1
LKT_p__Firmicutes	cohort	MDACC	-0.9923803643939926	1.1621221123490795	0.3931392801986095	1
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	2.207058505814121	1.9400809414753848	0.2552827175284173	1
s__Abiotrophia_sp_HMSC24B09	cohort	MDACC	2.6585031305686364	1.472111151615742	0.07093209311440418	1
s__Streptococcus_mitis	cohort	MDACC	9.931385085789824	0.8483840834990389	1.1841965070821742e-31	2.2144474682436658e-29
s__Alloprevotella_SGB1466	cohort	MDACC	-0.07829770468456473	1.9458132693433503	0.9679025342651075	1
s__Actinomyces_oris	cohort	MDACC	3.105582139203129	1.7510587117255514	0.07613837442208103	1
s__Streptococcus_oralis	cohort	MDACC	-1.0593000986074361	0.6623863784002677	0.1097722126109141	1
s__Actinomyces_dentalis	cohort	MDACC	5.814116657431922	1.2552913852480914	3.6269838033835047e-6	6.347221655921134e-4
s__Rothia_aeria	cohort	MDACC	2.964813655935954	1.387378042589594	0.03259876671561983	1
LKT_p__Proteobacteria	cohort	MDACC	-1.2374724531776493	1.585348463544132	0.43505655426781464	1
LKT_f__Prevotellaceae	cohort	MDACC	0.4840076879300519	1.448452365066484	0.7382625531353527	1
s__Streptococcus_infantis	cohort	MDACC	9.215032861070984	0.9050578895676646	2.3932954213246454e-24	4.45152948366384e-22
LKT_p__Bacteroidetes	cohort	MDACC	0.48634301266135427	1.037796636241171	0.639333871500444	1
s__Capnocytophaga_leadbetteri	cohort	MDACC	0.7083560528143839	0.9519543216096409	0.4568116314053914	1
s__Streptococcus_sanguinis	cohort	MDACC	1.2523820977225177	0.9316275883342148	0.1788530850391925	1
s__Prevotella_sp_A2879	cohort	MDACC	0.8864721497682271	2.1482346848389398	0.6798620028486912	1
s__Capnocytophaga_sputigena	cohort	MDACC	1.3215106760240474	1.5235003431715701	0.38571336250902993	1
s__Prevotella_sp_HJM029	cohort	MDACC	0.47535229871385365	1.7118268038193762	0.7812525290874182	1
s__Streptococcus_sp_A12	cohort	MDACC	0.7403086694887009	1.5175586049838627	0.62567116777658	1
s__Peptostreptococcus_SGB749	cohort	MDACC	-0.355156031927389	1.6006150526039389	0.8244016758244392	1
s__Actinomyces_SGB17154	cohort	MDACC	0.9525975443057697	1.6827296242740832	0.571324064667162	1
s__Prevotella_salivae	cohort	MDACC	-0.06647598438214866	0.9089903801676402	0.9417013402257431	1
LKT_f__Lachnospiraceae	cohort	MDACC	-0.23838363351437522	1.1802796810648346	0.8399384907844872	1
s__Eubacterium_sulci	cohort	MDACC	0.5334360518568407	1.5064570962539192	0.7232641440175617	1
s__Granulicatella_elegans	cohort	MDACC	-2.2249705448242976	0.9069867673564375	0.01416130287127307	1
s__Actinomyces_naeslundii	cohort	MDACC	5.86043495875108	0.9538328787440782	8.042328475361579e-10	1.471746110991169e-7
s__Alloprevotella_tannerae	cohort	MDACC	-1.1788411332702426	1.158210761723493	0.3087671762122237	1
s__Isoptericola_variabilis	cohort	MDACC	2.8525036130624093	1.2711835118884325	0.024834030565420294	1
s__Trueperella_pyogenes	cohort	MDACC	3.6578858954286346	1.5985174725021403	0.022120116112556296	1
s__Streptococcus_gordonii	cohort	MDACC	2.0083181255899514	1.519165350306697	0.1861721989326794	1
s__Granulicatella_adiacens	cohort	MDACC	3.1003864646984143	1.5161229342113702	0.040860381497871516	1
s__Alloscardovia_omnicolens	cohort	MDACC	2.4601856873511694	1.4775502281018327	0.09590403920334681	1
s__Tannerella_sp_oral_taxon_HOT_286	cohort	MDACC	2.5388195374590254	1.0510807883311544	0.015716336470743938	1
s__Lancefieldella_parvula	cohort	MDACC	6.559232171065182	1.0174980872498802	1.1451400230074241e-10	2.1070576423336603e-8
s__Actinomyces_massiliensis	cohort	MDACC	4.301389908033724	0.8962098375558161	1.5903495178033512e-6	2.8467256368679985e-4
