feature	metadata	value	log2fc	stderr	pval	qval
LKT_f__Clostridia_unclassified	cohort	MDACC	1.6155037313725913	0.5955588042269204	0.006676070695039195	0.6008463625535275
LKT_f__Clostridiaceae	cohort	MDACC	3.4657242939641124	0.9524787975666349	2.740851466476026e-4	0.029053025544645877
LKT_f__Lachnospiraceae	cohort	MDACC	3.216247750573743	0.9714118020198677	9.299629324175397e-4	0.09299629324175397
LKT_f__Ruminococcaceae	cohort	MDACC	0.9888421310252724	0.7585123171421756	0.19234954974376955	1
LKT_p__Firmicutes	cohort	MDACC	2.67713233308632	0.6272894111069778	1.9742911350438995e-5	0.002191463159898728
s__Adlercreutzia_equolifaciens	cohort	MDACC	3.7085573565654117	0.8644112271127036	1.7845620656891566e-5	0.0019987095135718556
s__Agathobaculum_butyriciproducens	cohort	MDACC	0.1991617419532863	0.6927992943978777	0.7737494539929621	1
s__Akkermansia_muciniphila	cohort	MDACC	1.8908160725101288	1.2896317377982844	0.14260267469308227	1
s__Alistipes_communis	cohort	MDACC	-0.6382846061854893	1.0371706810956909	0.5382843726633331	1
s__Alistipes_finegoldii	cohort	MDACC	0.6672934881690917	1.1970616138210717	0.577224866890126	1
s__Alistipes_ihumii	cohort	MDACC	1.4613262530180304	0.9755438552165132	0.1341434888993102	1
s__Alistipes_indistinctus	cohort	MDACC	-1.1512720571030817	1.0264081212133602	0.26201070833649254	1
s__Alistipes_onderdonkii	cohort	MDACC	0.3589758361743829	1.0784729053044673	0.7392432230227577	1
s__Alistipes_putredinis	cohort	MDACC	-1.1371743943321242	1.0961317235006651	0.2995293576704852	1
s__Alistipes_shahii	cohort	MDACC	-1.432668297082933	1.056205383025918	0.17496250503290545	1
s__Anaerobutyricum_hallii	cohort	MDACC	2.63455910349349	0.918093753689446	0.0041099521873870885	0.3904454578017734
s__Anaerostipes_hadrus	cohort	MDACC	2.11817566454948	1.0814567959404215	0.050155923345184816	1
s__Anaerotignum_faecicola	cohort	MDACC	-0.3256775016187622	0.8143098408086337	0.68919851727934	1
s__Bacteroides_caccae	cohort	MDACC	-0.1877877021098251	1.3424504026256103	0.8887514253743654	1
s__Bacteroides_cellulosilyticus	cohort	MDACC	-2.9377848554996366	1.0911077108927127	0.007092295176739474	0.6312142707298132
s__Bacteroides_fragilis	cohort	MDACC	-0.0625550697404923	1.161035997990678	0.9570318347306285	1
s__Bacteroides_ovatus	cohort	MDACC	-0.7553991344264059	0.9132471969636734	0.40814788001737984	1
s__Bacteroides_stercoris	cohort	MDACC	2.026689074619825	1.3085616169340855	0.12143185594198062	1
s__Bacteroides_thetaiotaomicron	cohort	MDACC	-0.167888634108166	1.2098366801314118	0.8896321636782045	1
s__Bacteroides_uniformis	cohort	MDACC	0.4462234284714238	0.8592686508083616	0.6035473192433953	1
s__Bacteroides_xylanisolvens	cohort	MDACC	-1.3689489389460174	1.3177474716300064	0.29887204012157076	1
s__Barnesiella_intestinihominis	cohort	MDACC	-0.18069773936023925	1.1080311485221588	0.8704554326996721	1
s__Bifidobacterium_adolescentis	cohort	MDACC	1.1368292976258432	1.3118431388728622	0.38616704895062576	1
s__Bifidobacterium_longum	cohort	MDACC	4.997357668396129	1.461946090768289	6.301561379574903e-4	0.064275926071664
s__Bilophila_wadsworthia	cohort	MDACC	4.496025055587653	0.872618357484002	2.572583001100809e-7	3.009922111287947e-5
s__Blautia_faecis	cohort	MDACC	4.892477789819132	0.6801895546796676	6.346880820500037e-13	7.616256984600045e-11
s__Blautia_massiliensis	cohort	MDACC	3.409199571427861	0.967604159707217	4.26142426915237e-4	0.04389266997226941
s__Blautia_obeum	cohort	MDACC	2.2744108246234287	0.8872390253230882	0.010363158892782444	0.8912316647792902
s__Blautia_wexlerae	cohort	MDACC	3.3781785311388854	0.7150925887493271	2.311213500025525e-6	2.611671255028843e-4
s__Candidatus_Avimicrobium_caecorum	cohort	MDACC	1.250295846801687	0.8581504896876551	0.14512584281309635	1
s__Candidatus_Borkfalkia_ceftriaxoniphila	cohort	MDACC	0.010133689095740306	0.9084512266283137	0.9910998563743628	1
s__Candidatus_Cibiobacter_qucibialis	cohort	MDACC	0.8016685209475738	1.0987056637723636	0.4656053011592946	1
s__Christensenellaceae_bacterium	cohort	MDACC	3.372795389553797	0.7094653593955143	1.9943511126549356e-6	2.2735602684266265e-4
s__Clostridia_bacterium	cohort	MDACC	2.548225868890115	0.6219641650309472	4.184265057714509e-5	0.004560848912908815
s__Clostridia_unclassified_SGB4121	cohort	MDACC	0.624838686966538	0.8155410245059946	0.44357835134608586	1
s__Clostridiaceae_bacterium	cohort	MDACC	1.1256587703046128	0.7677761779906238	0.1426131996917041	1
s__Clostridiaceae_bacterium_OM08_6BH	cohort	MDACC	-0.5663039710211414	0.7576959687032665	0.4548205493487824	1
s__Clostridiales_bacterium	cohort	MDACC	0.04754079359478702	0.8446471699468776	0.9551149307222816	1
s__Clostridiales_bacterium_KLE1615	cohort	MDACC	0.9795870322350887	0.807077832431952	0.22484494973834024	1
