feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	glioma_progression_overall	Y	0.6950017074571314	0.8342822865679009	0.40481460523774176	1
s__Prevotella_oris	age_at	SURGERY	0.021999039331604013	0.029663847515154582	0.45832298107896874	1
s__Prevotella_oris	grade_category	HIGH	-0.6084644178565113	1.090646189101091	0.5769171114978114	1
s__Prevotella_oris	glioma_idh_mutation	MUTANT	1.3074426751707793	1.1818246932762615	0.26860034676997735	1
s__Prevotella_salivae	glioma_progression_overall	Y	-0.8368562095046813	0.7246303562543477	0.24814233801150704	1
s__Prevotella_salivae	age_at	SURGERY	0.0592728310795225	0.02549125342871937	0.02006007620737173	1
s__Prevotella_salivae	grade_category	HIGH	0.5851673669731631	0.9888277115691356	0.5539986599897426	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	0.49259980334113473	1.0941015158758611	0.6525429739315272	1
s__Prevotella_oulorum	glioma_progression_overall	Y	0.292541828601232	0.8343206489931402	0.7258623682037231	1
s__Prevotella_oulorum	age_at	SURGERY	-0.00833706583802988	0.03176935758098402	0.7929939905361051	1
s__Prevotella_oulorum	grade_category	HIGH	0.8583996057914363	1.4135553301321968	0.5436765036653758	1
s__Prevotella_oulorum	glioma_idh_mutation	MUTANT	-0.08309927417817295	1.4586942797149545	0.9545704793566364	1
LKT_p__Bacteroidetes	glioma_progression_overall	Y	0.10938988577807893	0.7265357208052843	0.8803199203776234	1
LKT_p__Bacteroidetes	age_at	SURGERY	0.006378308841591186	0.026059834361713198	0.8066451263170064	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.35614397964049654	0.9892190184354361	0.7188281338208059	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	1.1362742562669834	1.0435038917042003	0.2761967738696949	1
s__Prevotella_melaninogenica	glioma_progression_overall	Y	-0.005006335211347274	0.8533499962696968	0.9953190898514432	1
s__Prevotella_melaninogenica	age_at	SURGERY	0.0020816566762603007	0.026955122455863213	0.9384431566554856	1
s__Prevotella_melaninogenica	grade_category	HIGH	0.2705937795755894	1.291483104310502	0.8340409705326225	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	0.0396116037497205	1.3346985372086113	0.9763236063467243	1
s__Prevotella_jejuni	glioma_progression_overall	Y	-0.3077309391703277	1.0462437468214671	0.7686591037010584	1
s__Prevotella_jejuni	age_at	SURGERY	0.07417609741742388	0.03254266262812499	0.022646305694669945	1
s__Prevotella_jejuni	grade_category	HIGH	-0.5641381023116816	1.3249435573579864	0.6702661627028833	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	0.03952379692461605	1.3099906805617803	0.9759306351856721	1
s__Prevotella_histicola	glioma_progression_overall	Y	-1.4358650491533147	1.0403129097319046	0.1675176264076268	1
s__Prevotella_histicola	age_at	SURGERY	0.05458386142734452	0.03606406701169725	0.13014639517687043	1
s__Prevotella_histicola	grade_category	HIGH	-0.637811357244759	1.4410910478900965	0.6580628862754887	1
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	-0.9875516625645859	1.6004898879724312	0.5372143665927464	1
s__Prevotella_denticola	glioma_progression_overall	Y	0.1614558790402165	0.9753031288765353	0.8685155801836351	1
s__Prevotella_denticola	age_at	SURGERY	0.048551955580724684	0.03910806073894095	0.21442772360758452	1
s__Prevotella_denticola	grade_category	HIGH	1.7387325084957665	1.1617791099062793	0.13449425679558485	1
s__Prevotella_denticola	glioma_idh_mutation	MUTANT	1.4510319734834813	1.2751735371617041	0.2551583095441857	1
s__Prevotella_pallens	glioma_progression_overall	Y	0.06800688137595609	0.8922363722413662	0.9392435139120768	1
s__Prevotella_pallens	age_at	SURGERY	0.08677174914751842	0.02462681863630257	4.259423297064773e-4	0.03705698268446352
s__Prevotella_pallens	grade_category	HIGH	-0.7984948823664777	1.1291399913414162	0.4794603139640461	1
s__Prevotella_pallens	glioma_idh_mutation	MUTANT	0.9635907055895322	1.135120420821128	0.3959433217427558	1
s__Prevotella_nigrescens	glioma_progression_overall	Y	0.3214532105508945	0.8248196210039774	0.6967395639813286	1
s__Prevotella_nigrescens	age_at	SURGERY	0.04034969065421601	0.0268973187774199	0.1335786530444856	1
s__Prevotella_nigrescens	grade_category	HIGH	0.04564584353657311	1.195482131659224	0.9695426091736061	1
s__Prevotella_nigrescens	glioma_idh_mutation	MUTANT	1.094486655937411	1.1452876964697603	0.3392524147744468	1
s__Prevotella_nanceiensis	glioma_progression_overall	Y	0.06839239186683502	0.8498878291320765	0.9358616603100246	1
s__Prevotella_nanceiensis	age_at	SURGERY	0.005630940127298667	0.024552652825711712	0.818603567072193	1
s__Prevotella_nanceiensis	grade_category	HIGH	0.7992757294601815	1.445809927882537	0.5803852106942633	1
s__Prevotella_nanceiensis	glioma_idh_mutation	MUTANT	1.478988074355668	1.3151955770415913	0.26078464301395077	1
s__Alloprevotella_tannerae	glioma_progression_overall	Y	1.0921018052819584	0.7939643434303417	0.16897498307158065	1
s__Alloprevotella_tannerae	age_at	SURGERY	-0.014063381260096333	0.02605479778879833	0.5893614014642568	1
s__Alloprevotella_tannerae	grade_category	HIGH	-0.09306818085760138	1.2467934481996545	0.9404963497932197	1
s__Alloprevotella_tannerae	glioma_idh_mutation	MUTANT	-0.0820490875682198	1.2443136270422566	0.947426204229607	1
s__Bacteroidaceae_unclassified_SGB1468	glioma_progression_overall	Y	-0.27887325417621567	0.8667467931017704	0.7476443042230204	1
s__Bacteroidaceae_unclassified_SGB1468	age_at	SURGERY	0.030594985180685774	0.03255137940721542	0.3472697449836125	1
s__Bacteroidaceae_unclassified_SGB1468	grade_category	HIGH	-1.4145863305509705	1.0815358477606016	0.19089292893551008	1
s__Bacteroidaceae_unclassified_SGB1468	glioma_idh_mutation	MUTANT	-0.3560339499310329	1.263787664527909	0.7781584062639932	1
s__Porphyromonas_endodontalis	glioma_progression_overall	Y	0.17880613687445898	0.6183074088448791	0.7724386851926064	1
s__Porphyromonas_endodontalis	age_at	SURGERY	-0.011329818910133672	0.024278921606656224	0.6407485353882383	1
s__Porphyromonas_endodontalis	grade_category	HIGH	-0.2886014555623341	1.0367799819618868	0.7807335197270086	1
s__Porphyromonas_endodontalis	glioma_idh_mutation	MUTANT	0.5358404062951557	1.0814503732085006	0.6202591336274687	1
s__Porphyromonas_pasteri	glioma_progression_overall	Y	0.2510695460341801	0.7593714352520643	0.7409254069772294	1
s__Porphyromonas_pasteri	age_at	SURGERY	-0.023462796133225095	0.030183634661473658	0.43696114117161855	1
s__Porphyromonas_pasteri	grade_category	HIGH	-3.5711003875441225	1.3822794686732676	0.009780728640068247	0.831361934405801
s__Porphyromonas_pasteri	glioma_idh_mutation	MUTANT	-1.6205364463752878	1.4059265967000156	0.24905548688637646	1
s__Tannerella_sp_oral_taxon_HOT_286	glioma_progression_overall	Y	0.4304419363940414	0.7484752853351008	0.5652292700388373	1
s__Tannerella_sp_oral_taxon_HOT_286	age_at	SURGERY	0.02792559463047327	0.020947994059270638	0.182501750127248	1
s__Tannerella_sp_oral_taxon_HOT_286	grade_category	HIGH	-0.32778359119337336	1.087167863478157	0.763031510528858	1
s__Tannerella_sp_oral_taxon_HOT_286	glioma_idh_mutation	MUTANT	0.5232018095907829	1.0249830568831872	0.6097367763625352	1
LKT_f__Weeksellaceae	glioma_progression_overall	Y	-0.1209173564870608	0.6077716378331531	0.8423003263439123	1
LKT_f__Weeksellaceae	age_at	SURGERY	-0.003896259261174503	0.023230881503455824	0.8668043803854409	1
LKT_f__Weeksellaceae	grade_category	HIGH	1.1194096461453698	0.8931105784554442	0.2100663430306549	1
LKT_f__Weeksellaceae	glioma_idh_mutation	MUTANT	1.634056332184894	0.8572615611130716	0.05663268272580023	1
s__Capnocytophaga_leadbetteri	glioma_progression_overall	Y	0.5629500592665213	0.8646694451315007	0.51500897276501	1
s__Capnocytophaga_leadbetteri	age_at	SURGERY	-0.012437203779344885	0.03112841015092007	0.6894915986511813	1
s__Capnocytophaga_leadbetteri	grade_category	HIGH	0.6265374183628414	1.4254681607231188	0.6602768390010534	1
s__Capnocytophaga_leadbetteri	glioma_idh_mutation	MUTANT	1.366832321690516	1.4268632717589278	0.33809905149763875	1
s__Capnocytophaga_sputigena	glioma_progression_overall	Y	-0.8686370503277728	0.8986513012461986	0.33374364364011905	1
s__Capnocytophaga_sputigena	age_at	SURGERY	-0.013255420497487791	0.035860157158298316	0.711649246730925	1
s__Capnocytophaga_sputigena	grade_category	HIGH	1.1618525709721848	1.6776426067532222	0.4885915546600597	1
s__Capnocytophaga_sputigena	glioma_idh_mutation	MUTANT	0.6518631142442789	1.4984812659507538	0.6635509165459377	1
s__Capnocytophaga_ochracea	glioma_progression_overall	Y	1.320000695783397	0.8033804146344133	0.1003709133780873	1
s__Capnocytophaga_ochracea	age_at	SURGERY	0.03472117260132008	0.03436504620090913	0.3123213879443823	1
