feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	br_m_progression_overall	Y	0.30190750038350367	1.4402776762073335	0.8339661687915518	1
s__Prevotella_maculosa	shotgun_seq_batch_batch	10	-0.16427414567862852	2.0359380105033824	0.9356907133261987	1
s__Prevotella_maculosa	shotgun_seq_batch_batch	2	-0.3831296824503065	2.098207793598995	0.8551130289764287	1
s__Prevotella_maculosa	shotgun_seq_batch_batch	6	-3.314524463234153	1.9335013923995763	0.08648095109729687	1
s__Prevotella_maculosa	shotgun_seq_batch_batch	8	-3.472787318326397	2.3717928245530238	0.14313835843498046	1
s__Prevotella_oris	br_m_progression_overall	Y	1.6155334620090045	1.2530622971898173	0.1973048374371629	1
s__Prevotella_oris	shotgun_seq_batch_batch	10	-1.784535439872165	1.36467270274842	0.1909867830423463	1
s__Prevotella_oris	shotgun_seq_batch_batch	2	-1.052330782394143	1.2866868792101271	0.4134366662406077	1
s__Prevotella_oris	shotgun_seq_batch_batch	6	-2.1967133073872547	1.478033494184136	0.13721550638512356	1
s__Prevotella_oris	shotgun_seq_batch_batch	8	0.6813717147768837	0.8687660540356349	0.4328651133023584	1
s__Prevotella_salivae	br_m_progression_overall	Y	2.317824153017194	1.1711594344488379	0.04780642896546049	1
s__Prevotella_salivae	shotgun_seq_batch_batch	10	-0.6663209774779453	1.144146918590823	0.5603150496279115	1
s__Prevotella_salivae	shotgun_seq_batch_batch	2	0.40789065866879665	1.4019750674742972	0.77109719057306	1
s__Prevotella_salivae	shotgun_seq_batch_batch	6	-2.284241370014716	1.6225535934066433	0.15918839802415485	1
s__Prevotella_salivae	shotgun_seq_batch_batch	8	-4.23555846789665	2.3474490837521476	0.07118054639017182	1
s__Prevotella_oulorum	br_m_progression_overall	Y	-1.3605705184051236	1.445395319000445	0.34654408767740996	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	10	-2.951960625670729	1.6891887682266822	0.08054005170037432	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	2	0.12875482433400864	1.846952263923689	0.9444228524299041	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	6	-4.32496851994944	2.8091840503540872	0.12366233476886801	1
s__Prevotella_oulorum	shotgun_seq_batch_batch	8	-2.504150061822103	1.7663391633342853	0.15627654620518747	1
LKT_p__Bacteroidetes	br_m_progression_overall	Y	1.1310367792021596	1.125766330755677	0.3150501649087739	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	10	-2.140685795458639	1.1687868063148488	0.06701921651155159	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	2	-0.7322044074823899	0.9451706962081299	0.43852903921133607	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	6	-3.8395847950372977	2.0251430216834234	0.057965684550076294	1
LKT_p__Bacteroidetes	shotgun_seq_batch_batch	8	-5.2251854956243236	1.292814455184102	5.306206340488421e-5	0.007375626813278905
s__Prevotella_melaninogenica	br_m_progression_overall	Y	0.8517916829625477	1.0684231783610787	0.42531057864628513	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	10	-1.0958131232760069	1.0411661447182055	0.2925764840288307	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	2	-0.2968474593427815	1.2050392597087514	0.8054202763102662	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	6	1.3085110360033687	0.5136073174461593	0.010843950510338854	1
s__Prevotella_melaninogenica	shotgun_seq_batch_batch	8	-5.410116531136283	2.8408951698510982	0.05686196780838814	1
s__Prevotella_jejuni	br_m_progression_overall	Y	1.107708303726043	2.0142315185670854	0.5823599069311025	1
s__Prevotella_jejuni	shotgun_seq_batch_batch	10	2.045116485126314	2.19644299897059	0.3517998584746171	1
s__Prevotella_jejuni	shotgun_seq_batch_batch	2	8.416429369112421	2.6178552478324866	0.0013044022653683133	0.18000751262082723
s__Prevotella_jejuni	shotgun_seq_batch_batch	6	-1.3363385281224365	2.097980814989506	0.5241482074429853	1
s__Prevotella_jejuni	shotgun_seq_batch_batch	8	3.6619810860285265	5.091346895507851	0.4719832876179379	1
s__Prevotella_histicola	br_m_progression_overall	Y	2.7222210997898326	1.9198379341857075	0.1562073552264033	1
s__Prevotella_histicola	shotgun_seq_batch_batch	10	-0.9483986862259727	2.3620942594657066	0.6880464783646654	1
s__Prevotella_histicola	shotgun_seq_batch_batch	2	-1.2080594476856166	2.701984550584544	0.6548022831668129	1
s__Prevotella_histicola	shotgun_seq_batch_batch	6	1.1106923947420446	2.698648172509001	0.6806519711455736	1
s__Prevotella_histicola	shotgun_seq_batch_batch	8	-6.546409289793725	2.058634738022685	0.001472871934818426	0.19736483926566908
s__Prevotella_denticola	br_m_progression_overall	Y	0.5632000532159783	1.616333108359269	0.7275074694910331	1
s__Prevotella_denticola	shotgun_seq_batch_batch	10	-1.081977131370626	1.8474073422346489	0.5580950883614691	1
s__Prevotella_denticola	shotgun_seq_batch_batch	2	-0.14932266445645387	2.08673711268339	0.9429536921310081	1
s__Prevotella_denticola	shotgun_seq_batch_batch	6	-0.8062807953945806	2.1290392964700384	0.7049059044494992	1
s__Prevotella_denticola	shotgun_seq_batch_batch	8	-0.3776872489647679	1.6753819633241995	0.8216420395185312	1
s__Prevotella_sp_A2879	br_m_progression_overall	Y	2.965855494990326	0	0	0
s__Prevotella_sp_A2879	shotgun_seq_batch_batch	10	-3.0397802345120657	1.9469907992265711	0.11845982754944553	1
s__Prevotella_sp_A2879	shotgun_seq_batch_batch	2	-1.1695279795297475	2.3044978125290716	0.6118054549688419	1
s__Prevotella_sp_A2879	shotgun_seq_batch_batch	6	-1.2128666546563878	2.5824187238942997	0.638595770655489	1
s__Prevotella_sp_A2879	shotgun_seq_batch_batch	8	-3.778592411038591	1.8926425187485791	0.04588345446433687	1
s__Prevotella_pallens	br_m_progression_overall	Y	1.0648397627842914	1.7569265189504837	0.5444609741901558	1
s__Prevotella_pallens	shotgun_seq_batch_batch	10	-3.6131702968192987	2.110220274259137	0.08685535271691117	1
s__Prevotella_pallens	shotgun_seq_batch_batch	2	-1.161144012695938	1.9297618783789616	0.5473716797956654	1
s__Prevotella_pallens	shotgun_seq_batch_batch	6	-6.465510708268813	2.189775768822305	0.003151198825186633	0.4348654378757554
s__Prevotella_pallens	shotgun_seq_batch_batch	8	-2.538714681590814	3.0768375737477744	0.40931186777524986	1
s__Prevotella_nigrescens	br_m_progression_overall	Y	3.7219694918752193	1.4981384659553827	0.012977133986242454	1
s__Prevotella_nigrescens	shotgun_seq_batch_batch	10	-0.1768059388660429	2.0630177044615574	0.9317028515158322	1
s__Prevotella_nigrescens	shotgun_seq_batch_batch	2	0.8187137545280381	1.474716647708643	0.5787805602808374	1
s__Prevotella_nigrescens	shotgun_seq_batch_batch	6	-2.538994730535162	1.9381895406029634	0.19020169458863884	1
s__Prevotella_nigrescens	shotgun_seq_batch_batch	8	-2.6890958978651898	3.1447881657594454	0.3924979833479534	1
s__Prevotella_buccae	br_m_progression_overall	Y	-0.810794948289189	0.9903928764564544	0.41298047259788967	1
s__Prevotella_buccae	shotgun_seq_batch_batch	10	5.180758781752865	1.1366699844030936	5.168263064720852e-6	7.235568290609193e-4
s__Prevotella_buccae	shotgun_seq_batch_batch	2	3.860713876007052	1.3809460756582226	0.005178710759204081	0.6939472417333469
s__Prevotella_buccae	shotgun_seq_batch_batch	6	1.1707978071196394	0.849920427728575	0.1683459306674706	1
s__Prevotella_buccae	shotgun_seq_batch_batch	8	4.650366430111956	0.9802032118624908	2.092408821424677e-6	2.9502964382087946e-4
s__Prevotella_pleuritidis	br_m_progression_overall	Y	-0.02499424541642048	1.7247208194225054	0.9884376507208601	1
s__Prevotella_pleuritidis	shotgun_seq_batch_batch	10	0.8494156667466565	2.2151119404818522	0.7013757639901872	1
s__Prevotella_pleuritidis	shotgun_seq_batch_batch	2	0.07528628519757918	1.9680518196622674	0.9694849920379676	1
s__Prevotella_pleuritidis	shotgun_seq_batch_batch	6	0.21308017675437735	2.311660221943827	0.9265580053134209	1
s__Prevotella_pleuritidis	shotgun_seq_batch_batch	8	-1.7389094334319402	2.333135916069803	0.4560843621150584	1
s__Prevotella_nanceiensis	br_m_progression_overall	Y	-0.9572031187907795	1.59650101446653	0.5487974363787536	1
s__Prevotella_nanceiensis	shotgun_seq_batch_batch	10	-3.2972989811290936	2.2454621379214235	0.14198806035626793	1
s__Prevotella_nanceiensis	shotgun_seq_batch_batch	2	-1.9974057229778615	2.160264635934657	0.35516798135700733	1
s__Prevotella_nanceiensis	shotgun_seq_batch_batch	6	-0.8953316086983439	2.5198150935056787	0.7223525762430845	1
s__Prevotella_nanceiensis	shotgun_seq_batch_batch	8	-4.606890584670791	1.9075497572789508	0.015731633597560486	1
s__Prevotella_loescheii	br_m_progression_overall	Y	0.06349382915615331	1.3492832758904671	0.9624674403949869	1
s__Prevotella_loescheii	shotgun_seq_batch_batch	10	-1.4037642537599284	1.7434781044810652	0.42073217974900246	1
s__Prevotella_loescheii	shotgun_seq_batch_batch	2	-0.38519231616080035	2.2145347639367694	0.8619139864028185	1
s__Prevotella_loescheii	shotgun_seq_batch_batch	6	1.4687179440305935	2.4531593047406237	0.5493698391914494	1
s__Prevotella_loescheii	shotgun_seq_batch_batch	8	0.9914651988578207	1.9259333237630483	0.6066946999428882	1
s__Prevotella_conceptionensis	br_m_progression_overall	Y	3.0151652820346335	1.4747051021139157	0.040895431546635504	1
s__Prevotella_conceptionensis	shotgun_seq_batch_batch	10	-5.316967843624403	1.95564352016737	0.006552283278308728	0.8386922596235172
s__Prevotella_conceptionensis	shotgun_seq_batch_batch	2	-4.489771537633802	1.628636405822623	0.00583758837982163	0.7763992545162768
s__Prevotella_conceptionensis	shotgun_seq_batch_batch	6	-3.7036163541034	1.844313990582405	0.04462981892210555	1
s__Prevotella_conceptionensis	shotgun_seq_batch_batch	8	-6.792611523955289	1.6226908969015983	2.838922157412357e-5	0.0039744910203773
s__Prevotella_oralis	br_m_progression_overall	Y	1.5504030574794485	1.3523328207975485	0.25160255338060833	1
s__Prevotella_oralis	shotgun_seq_batch_batch	10	0.6497295945106193	2.0015639996067005	0.7454755375961762	1
s__Prevotella_oralis	shotgun_seq_batch_batch	2	-1.2706564235611726	1.91309998612542	0.5065705381102446	1
s__Prevotella_oralis	shotgun_seq_batch_batch	6	-2.2996999817646397	1.7462763176211182	0.18786663705455567	1
s__Prevotella_oralis	shotgun_seq_batch_batch	8	-3.8267970577881996	2.013244775644082	0.05732682204571637	1
s__Alloprevotella_tannerae	br_m_progression_overall	Y	0.13916419641264288	1.3858292410740838	0.9200113368355473	1
s__Alloprevotella_tannerae	shotgun_seq_batch_batch	10	-1.7864598255878268	1.578082531926602	0.257615679680149	1
s__Alloprevotella_tannerae	shotgun_seq_batch_batch	2	-0.6906732804503064	1.9140188971901628	0.718211754167686	1
s__Alloprevotella_tannerae	shotgun_seq_batch_batch	6	-1.8608947352057186	1.8818945830808125	0.32274088526682565	1
s__Alloprevotella_tannerae	shotgun_seq_batch_batch	8	-5.9833452162718634	1.9430244705373743	0.002074195444508111	0.27379379867507064
s__Bacteroidaceae_bacterium	br_m_progression_overall	Y	1.347951957694315	1.6117162995089231	0.40296046425812226	1
s__Bacteroidaceae_bacterium	shotgun_seq_batch_batch	10	-4.50559904012438	2.2178471466923466	0.042202354838273635	1
s__Bacteroidaceae_bacterium	shotgun_seq_batch_batch	2	-3.4389376988224867	2.859096915139607	0.2290515682919956	1
