feature	metadata	value	log2fc	stderr	pval	qval
s__Bacteroides_caccae	br_m_progression_overall	Y	1.3515374619646485	2.2413508424697888	0.5465078272987318	1
s__Bacteroides_xylanisolvens	br_m_progression_overall	Y	3.0877595302418035	2.460838347689306	0.20956619169359003	1
s__Bacteroides_ovatus	br_m_progression_overall	Y	3.298127051237116	2.5074263066349523	0.18839446376971208	1
s__Bacteroides_thetaiotaomicron	br_m_progression_overall	Y	1.899350347556701	2.6106645618195436	0.4668981640867026	1
s__Bacteroides_salyersiae	br_m_progression_overall	Y	-0.5320256132672145	0	0	0
s__Bacteroides_fragilis	br_m_progression_overall	Y	0.6321080498709347	0	0	0
s__Bacteroides_cellulosilyticus	br_m_progression_overall	Y	-2.8789069151423172	3.1200939862793757	0.35616420172654467	1
s__Bacteroides_uniformis	br_m_progression_overall	Y	1.9221543670479744	2.476436869965725	0.43764423959717547	1
s__Bacteroides_stercoris	br_m_progression_overall	Y	3.2888448782698037	2.9054487067289405	0.2576522413244711	1
s__Phocaeicola_dorei	br_m_progression_overall	Y	4.169526214901391	0	0	0
s__Phocaeicola_vulgatus	br_m_progression_overall	Y	-0.3877279502998452	1.6240477837327771	0.8113058693478757	1
s__Phocaeicola_massiliensis	br_m_progression_overall	Y	1.4226288614250675	0	0	0
s__Parabacteroides_merdae	br_m_progression_overall	Y	4.366230607056362	0	0	0
s__Parabacteroides_goldsteinii	br_m_progression_overall	Y	-3.3760327730425965	2.7516863855490867	0.2198617158691938	1
s__Parabacteroides_distasonis	br_m_progression_overall	Y	3.3416012380073408	2.6963654271048236	0.21523502773305037	1
s__Odoribacter_splanchnicus	br_m_progression_overall	Y	-2.7938019658974085	2.140867956140672	0.19189773345619307	1
s__Alistipes_shahii	br_m_progression_overall	Y	-8.015228966804367	1.4888921883056545	7.31118484769278e-8	1.4403034149954775e-5
s__Alistipes_finegoldii	br_m_progression_overall	Y	-2.737939152400526	2.5830076582888704	0.2891532235764953	1
s__Alistipes_onderdonkii	br_m_progression_overall	Y	0.05779238535742759	2.4257974421047455	0.9809929347273453	1
s__Alistipes_putredinis	br_m_progression_overall	Y	-1.793832462768244	2.648855198936276	0.49827242846769204	1
s__Alistipes_indistinctus	br_m_progression_overall	Y	-0.9934306467857257	0	0	0
s__Alistipes_ihumii	br_m_progression_overall	Y	-3.948586367310213	0	0	0
s__Akkermansia_muciniphila	br_m_progression_overall	Y	-3.50384265241352	2.607597569103172	0.17904370545815754	1
s__Escherichia_coli	br_m_progression_overall	Y	-2.323315376771024	1.6622327396912004	0.16220088322587417	1
