feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1564	cohort	MDACC	0.602009973477467	0.00357644876100192	194	86	0	0
X8235	cohort	MDACC	2.78574796702851	0.00153146242155117	194	78	0	0
X1468	cohort	MDACC	0.468101523565858	0.00442641797721402	194	70	0	0
X1522	cohort	MDACC	1.61496140348108	0.00396530799357077	194	65	0	0
X8249	cohort	MDACC	0.982304986304713	0.0038353525535331	194	95	0	0
X7298	cohort	MDACC	1.30695684664757	0.00336350112686146	194	94	0	0
X9463	cohort	MDACC	2.04110827298263	0.00251966769134478	194	52	0	0
X5266	cohort	MDACC	-0.617202775183452	0.0123551796466145	194	55	0	0
X1525	cohort	MDACC	2.09996763711047	0.00388499787378671	194	73	0	0
X5989	cohort	MDACC	-1.60866389061949	0.00436426891932983	194	115	0	0
X6067	cohort	MDACC	-0.289742250055187	0.00750104057290149	194	68	0	0
X9733	cohort	MDACC	-1.13984746365766	0.00588242420979501	194	80	0	0
X5273	cohort	MDACC	0.255651106758746	0.00712088437753793	194	54	2.88460527625966e-282	1.50887045219736e-281
X2479	cohort	MDACC	-0.0406972490338725	0.00441546925337036	194	94	3.05613111871976e-20	1.48440654337817e-19
X13165	cohort	MDACC	3.09330738221735	0.530215946617576	194	133	5.40972628689884e-09	2.45240925006081e-08
X9632	cohort	MDACC	-5.37489511905685	1.00073832054196	194	59	7.83317650163719e-08	3.3291000131958e-07
X9712	cohort	MDACC	-1.2675253032118	0.244143217497437	194	187	2.08350664499651e-07	8.33402657998604e-07
X2532	cohort	MDACC	-2.30643253907265	0.458247625407982	194	146	4.82466052246119e-07	1.82264953070756e-06
X1552	cohort	MDACC	2.37024662261984	0.486998300385122	194	134	1.13274560612618e-06	4.05403690613581e-06
X16987	cohort	MDACC	2.55592182560052	0.542373823364227	194	123	2.44728897891461e-06	8.32078252830967e-06
X9649	cohort	MDACC	-1.95439757955329	0.540627227268564	194	135	0.000300282967057032	0.000972344845708483
X8130	cohort	MDACC	-1.13079239147989	0.325648280105765	194	170	0.000515760444966179	0.00159416864807728
X9634	cohort	MDACC	-3.95481605782248	1.20741245326844	194	50	0.00105494733723414	0.00311897473617051
X6936	cohort	MDACC	1.90047122223777	0.656212540497273	194	101	0.00377806138387682	0.0107045072543177
X6952	cohort	MDACC	1.69867895481371	0.602211730915058	194	113	0.0047913951677866	0.0125313412080573
