feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X8071	X8235	X6936	X1468	X1466	X15878	X8130	X16987	X1395	X2492	X8047	X2502	X8059	X1522	X8245	X15888	X17153	X8053	X8249	X9649	X7298	X9463	X8255	X2479	X4494	X7285	X19850	X6055	X9447	X17007	X5266	X1525	X2497	X5273	X5989	X6067	X9422	X19351	X9648	X1561	X6001	X9631	X17008	X9733	X2532	X7295	X9634	X19825	X9632	X7284
01-2020-64-OR	97745	3197401	19464	32963	832140	8271	57	0	7684	270	0	0	0	550191	0	0	73007	0	5683	0	2028	0	21271	233626	0	61281	1330	157012	101246	396775	0	14738	11743	15527	0	129	23771	0	0	0	443	49825	18898	0	0	0	0	0	1081	3158	42082	0	0	0	0	352	0	0	0	0	1110	0	2464	0	0	0	0	0
01-2020-90-OR	1503338	695374	39678	2670641	505988	3971955	214824	883868	1981658	18257	3029	1522	2449	1671652	0	66961	204746	141201	300602	43333	890936	0	16233	249743	10549	576486	7973	51201	124400	78732	0	50259	0	326164	318729	9695	80103	0	519	232103	107968	31991	5957	1037	3032	12035	4992	39687	0	60298	86961	22386	0	0	96167	42238	0	22672	4057	0	60012	0	3567	0	0	0	0	0
GBM-BM-323-Or	75872	34305	0	0	2418503	10829	0	0	0	8356	81213	0	0	30516	0	0	144872	0	0	158	0	2063	0	15124	599	0	3372	4864	0	5152	10450	0	0	1441	1157	102	4883	0	0	7014	5601	2021	0	3207	0	0	0	0	0	3570	6216	0	0	0	401	0	510	1174	485	0	0	0	5730	0	0	0	0	0
02-2020-43-OR	1878654	332	19338	0	0	1163431	63066	400021	510444	1028902	3169	15966	0	9556	0	0	104544	21230	973536	0	819581	2236	0	2482	2370	610	2057	0	0	0	8140	83882	0	0	60540	0	0	0	40829	0	108585	0	19297	0	0	3986	0	0	390	365	0	1291	3147	6739	0	55419	0	3455	0	0	0	0	0	0	0	0	0	0
GBM-BM-385-Or-PreOp	1092912	0	1255	729001	66425	1477480	394221	515150	114058	0	10143	15110	1086	46445	0	144552	34042	958067	880003	0	271278	121768	0	125153	59867	0	21174	3248	20097	520	0	84166	589	0	36479	36774	8805	0	235857	0	129601	2716	1178	7595	85923	19003	425	87205	0	4967	2016	60702	38328	22003	1425	24406	2099	17234	60871	1946	13601	30208	2979	25157	0	10374	0	0
02-2020-20-OR	41306	51412	0	0	0	504	0	0	10690	70830	183704	0	3475	971357	0	0	98881	0	0	977270	1008	0	763	632952	19197	19787	6125	0	0	42508	73	0	0	6503	0	83452	1044	472	0	11385	0	0	33404	130886	0	300	0	2983	0	0	126341	0	0	0	2457	0	0	0	646	0	0	0	1555	1241	0	0	0	0
01-2020-12-OR	1004	0	2331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-426-Or-PreOp	399	14842	35242	0	36566	258264	0	0	0	497	32844	117	2572	238505	0	0	50528	0	0	6633	6523	56	0	320072	43922	20237	9895	58	50970	0	201169	15038	15906	87692	13506	18481	37474	61229	7774	0	6641	5452	1663	148594	0	28018	1168	119567	5650	17797	11617	0	8305	4500	9213	186	31155	70734	111004	0	16217	0	2062	38742	0	78	1764	0
GBM-BM-462-Or-PreOp	497773	12394	564121	517273	9554	700366	304619	138164	571914	21182	101430	54493	66053	37438	4856	32893	243033	69921	403757	0	82541	49177	0	20406	33290	36740	2349	0	21115	0	50087	21291	0	35043	19786	5287	8711	0	171457	0	157426	0	7982	3990	6708	3341	42	2448	0	4522	1371	15757	30781	8598	74	13299	0	3070	8609	64146	8190	1288	2881	661	0	13884	0	0
GBM-BM-389-Or-PreOp	46198	0	78359	34285	0	582928	0	29283	33789	0	32562	6897	2227	1292	0	21735	19932	23944	126129	0	8399	2141	0	12690	35949	14601	0	173	12552	0	11756	435	0	0	154936	15347	13373	0	26837	0	67061	2164	1337	0	17137	0	486	5729	1070	419	0	1439	3429	153	666	1447	0	1695	1143	0	5083	0	722	2164	0	5074	0	0
