feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X8071	X8235	X6936	X1468	X1466	X15878	X8130	X16987	X1395	X2492	X8047	X2502	X8059	X1522	X8245	X15888	X17153	X8053	X8249	X9649	X7298	X9463	X8255	X2479	X4494	X7285	X19850	X6055	X9447	X17007	X5266	X1525	X2497	X5273	X5989	X6067	X9422	X19351	X9648	X1561	X6001	X9631	X17008	X9733	X2532	X7295	X9634	X19825	X9632	X7284
01-2020-64-OR	16953.2781099913	554569.833568615	3375.91288692895	5717.23265987665	144329.64188908	1434.55484421441	9.88630469353423	0	1332.74325026521	46.8298643377937	0	0	0	95427.2958884262	0	0	12662.6218729974	0	985.681922339562	0	351.744314359428	0	3689.32609010819	40521.014391783	0	10628.8182092012	230.680442849132	27232.780220021	17560.5053509047	68818.2200838078	0	2556.21681707557	2036.75221081004	2693.06408730712	0	22.3742685169459	4122.93594508776	0	0	0	76.8356663023801	8641.84440974286	3277.74361576158	0	0	0	0	0	187.492901293167	547.735968810195	7298.86796690013	0	0	0	0	61.0522675811237	0	0	0	0	192.52277561093	0	427.365873067866	0	0	0	0	0
01-2020-90-OR	257427.153510321	119073.787428433	6794.34338584038	457312.667329607	86643.8888329704	680145.828497042	36785.8264912489	151350.942581682	339333.25584197	3126.27469114592	518.677002765021	260.622779203817	419.359517917311	286248.74513904	0	11466.2036256681	35060.0995734985	24178.8416861749	51474.1975520538	7420.21477742379	152561.246000481	0	2779.69091643598	42765.2527902095	1806.37956492843	98715.7578791667	1365.27294257032	8767.50783049582	21301.8881294053	13481.834856948	0	8606.20253613971	0	55851.3588411523	54578.2114276304	1660.14313034232	13716.6008426829	0	88.8720252344159	39744.6313544964	18488.121041444	5478.04423752254	1020.05906420311	177.572813425991	519.190713893544	2060.83781058997	854.815317861665	6795.88451922595	0	10325.2512092193	14890.9444824856	3833.31244103591	0	0	16467.3526988788	7232.71021551303	0	3882.2862352884	694.708682805444	0	10276.2774149668	0	610.802531813414	0	0	0	0	0
GBM-BM-323-Or	66705.4782762536	30160.4206066385	0	0	2126310.09236021	9520.68779330386	0	0	0	7346.46478907074	71401.2021200098	0	0	26829.1909410343	0	0	127369.201402855	0	0	138.911134115986	0	1813.75740304607	0	13296.7847618365	526.631451490351	0	2964.60977366521	4276.35288822883	0	4529.5579934529	9187.47690830412	0	0	1266.90471051352	1017.216342862	89.6768081001933	4293.05739169847	0	0	6166.599333478	4924.31178597238	1776.83165853422	0	2819.54434879725	0	0	0	0	0	3138.68828350677	5465.01018775296	0	0	0	352.552941648799	0	448.384040500967	1032.16247754536	426.404430672488	0	0	0	5037.72657268733	0	0	0	0	0
02-2020-43-OR	647206.94968195	114.375881505805	6662.05059204598	0	0	400808.572880062	21726.5944067624	137809.501493475	175850.850781173	354462.569979175	1091.73845931294	5500.37748229424	0	3292.09615563095	0	0	36016.00047031	7313.85531436219	335388.669209746	0	282350.299218101	770.314671828256	0	855.063065956051	816.478431231201	210.148456983558	708.648157401933	0	0	0	2804.27613089535	28897.8243749095	0	0	20856.3730914502	0	0	0	14065.8218855438	0	37408.1478714093	0	6647.92585969135	0	0	1373.19958940404	0	0	134.357210202603	125.744568522949	0	444.756816337334	1084.15933463485	2321.62369116754	0	19092.1595697898	0	1190.26708012819	0	0	0	0	0	0	0	0	0	0
GBM-BM-385-Or-PreOp	166308.662929345	0	190.973630060177	110932.244850597	10107.9070731054	224828.461307816	59988.6975425919	78390.4904585657	17356.2313126722	0	1543.46257346643	2299.29207187989	165.256862346894	7067.54601445809	0	21996.5100975766	5180.17873666018	145789.269187939	133910.252887526	0	41280.4337971829	18529.4637332013	0	19044.5599385827	9109.97474965146	0	3222.05230509496	494.248884809126	3058.16497475647	79.12851604087	0	12807.5590021074	89.6282614386008	0	5551.01757049018	5595.90778632106	1339.85881488435	0	35890.4123227913	0	19721.4130911784	413.29432609039	179.256522877202	1155.73284486617	13074.9220841917	2891.69075062433	64.6723448410956	13270.004310277	0	755.829498413464	306.775169881527	9237.03688598632	5832.38031310474	3348.20142009089	216.842567996615	3713.8664663336	319.405298403435	2622.50162586222	9262.7536536996	296.12325426064	2069.66720513822	4596.75810108192	453.315094780292	3828.1463039234	0	1578.61389501536	0	0
02-2020-20-OR	24194.6492983723	30114.1555640323	0	0	0	295.213848989969	0	0	6261.57945575946	41488.0891348403	107603.104989788	0	2035.45262944473	568964.362526487	0	0	57918.7313531292	0	0	572427.853576244	590.427697979938	0	446.920965832036	370746.420924403	11244.4846409929	11590.0722816756	3587.66830369754	0	0	24898.7108985429	42.759148762436	0	0	3809.07869044002	0	48881.3216783946	611.514401479222	276.470112546161	0	6668.66998164841	0	0	19566.1178802796	76665.3965057561	0	175.722529160696	0	1747.26768162119	0	0	74003.2001889716	0	0	0	1439.1675138261	0	0	0	378.389179459365	0	0	0	910.828442816273	726.905528961412	0	0	0	0
01-2020-12-OR	9304.10756945637	0	21601.4688689271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23593.8823424661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6857.60916473876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-426-Or-PreOp	247.43449118475	9204.06696281719	21854.8529782781	0	22675.9137961443	160158.950955735	0	0	0	308.207874984513	20367.7654848921	72.5559786180846	1594.99125645909	147905.67248125	0	0	31334.2605779024	0	0	4113.36586473295	4045.15084210056	34.727647885579	0	198488.352036304	27237.6384005428	12549.7037546511	6136.25135406792	35.9679210243496	31608.3609415707	0	124752.253526679	9325.61373041672	9863.89227264319	54381.0160425391	8375.56450611838	11460.7439388104	23238.9978011462	37970.3420068949	4820.94169040162	0	4118.32695728803	3380.98457628886	1031.28711488782	92148.573391245	0	17374.9864010384	724.319513042075	74147.8691916968	3503.77161702716	11036.5705253509	7204.12652654948	0	5150.23420874524	2790.61456223402	5713.31821374712	115.345401905673	19320.3548192002	43864.7400989025	68837.6397480501	0	10056.754745722	0	1278.72160607257	24025.3309711268	0	48.3706524120564	1093.92090839574	0
GBM-BM-462-Or-PreOp	110114.05818525	2741.71889023308	124791.124905372	114427.71950198	2113.47283179658	154930.344705259	67385.8049559392	30563.7283161339	126515.040938257	4685.74225697249	22437.675249019	12054.5818529507	14611.8087668683	8281.78730131887	1074.21227456607	7276.37239441961	53762.1564507032	15467.4622013867	89316.4590901918	0	18259.1753202137	10878.61141399	0	4514.08065790675	7364.19411456021	8127.38034752004	519.630278615258	0	4670.92095911501	0	11079.9156087707	4709.85451766601	0	7751.98120626414	4376.92834937484	1169.55525033583	1926.98993487335	0	37928.5860708967	0	34824.7408434592	0	1765.72536564793	882.641469423107	1483.89949295494	739.073972266316	9.2909628360327	541.530405300192	0	1000.32699867952	303.28357257621	3485.65955731827	6809.16969180768	1901.99282057641	16.3697916634862	2941.9170180095	0	679.125140633819	1904.42616798585	14189.9548114322	1811.73775302638	284.922860305003	637.315807871672	146.222057967086	0	3071.32685751138	0	0
GBM-BM-389-Or-PreOp	38275.7357159512	0	64921.6064540937	28405.6365864623	0	482964.588714403	0	24261.404583969	27994.6931491899	0	26978.1052509373	5714.2679170725	1845.10289275344	1070.44137289512	0	18007.7734054764	16513.9608703913	19837.9630283288	104499.7677414	0	6958.69743881281	1773.85060322636	0	10513.855280216	29784.2855373118	12097.1474347072	0	143.333094048651	10399.5202109749	0	9740.02227535223	360.404022607879	0	0	128366.799187987	12715.2196206049	11079.7310214601	0	22234.8569074199	0	55561.0440462229	1792.90644809988	1107.72454764766	0	14198.2614607614	0	402.658287327423	4746.56240349549	886.511044115931	347.147782695865	0	1192.23307708675	2840.97791614348	126.762794158633	551.79098633758	1198.86119704276	0	1404.33291567898	946.992638714495	0	4211.34171704792	0	598.187826029628	1792.90644809988	0	4203.88508209742	0	0
