feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X17168	X8071	X8235	X6936	X16988	X17169	X4303	X1468	X8236	X8163	X1466	X15878	X8130	X15877	X16987	X19288	X1699	X8095	X1395	X2492	X8047	X1542	X2502	X1521	X8059	X749	X17154	X1522	X5089	X3934	X8245	X15888	X1411	X17153	X17137	X8053	X8249	X17300	X2048	X969	X15873	X5825	X1540	X9649	X7298	X9463	X8255	X15494	X5868	X6050	X2479	X4494	X1457	X1544	X7285	X19850	X5265	X2036	X2499	X6055	X9447	X17007	X5266	X4482	X15874	X1464	X1525	X1520	X4479	X2497	X2483	X19322	X15896	X5273	X9731	X1458	X5286	X5989	X6067	X9422	X17151	X15892	X2041	X15872	X19351	X2477	X8028	X2489	X1560	X17152	X6649	X2016	X6833	X9738	X12664	X9648	X8025	X1561	X15897	X6001	X17132	X9631	X17008	X17148	X2037	X3922	X8031	X9418	X7282	X9733	X2480	X14348	X19882	X6893	X2532	X5884	X5880	X1528	X16955	X1541	X15875	X15899	X1547	X15887	X6934	X9460	X7295	X6070	X1526	X9434	X985	X19880	X19300	X4481	X5898	X6653	X19903	X14784	X6629	X1531	X2053	X748	X3931	X19845	X1524	X8026	X19800	X19893	X5285	X19825	X15894	X1454	X17525	X1485	X19849	X3920	X19337	X5878	X1341	X19315	X1533	X9416	X3936	X3607	X19317	X6820	X7281	X3587	X5842	X76214
GBM-BM-460-SL-PreOp	5014	27609	0	387903	13060	1612477	0	82922	558537	0	2949	0	0	81235	0	2226	466705	7878	0	217794	1015	186607	829507	1636	3626	1700	17148	102693	546	140226	580737	233008	43000	0	0	204849	7937	10241	460362	0	739	0	0	493	53299	0	2373	252	8268	42185	0	45628	33196	134578	304487	0	6828	35738	64516	13657	20651	2705	27762	0	53731	7233	11897	0	536	0	0	0	2391	0	1691	0	0	0	37699	4612	229	1304	145880	0	16257	1071	0	4584	97	0	0	2183	3058	0	0	0	0	7413	9222	14241	0	87549	5703	0	2829	0	0	0	0	1920	5559	0	3667	12870	70920	0	17594	35147	11973	0	10985	16369	717	10091	42024	6758	5312	56689	16422	22617	6656	0	493	2286	106	0	399	0	2063	5844	0	40354	0	17368	6195	797	0	5584	3121	8502	4280	840	0	4086	0	371	0	0	0	1095	874	0	0	4133	0	544	1081	2103	14350	0	0	0	0	0	1326	917	0	0	0	0	0	5216	843	0	1196	56	0	252
01-2020-108-SL	43351	30369	38619	0	3191	82730	5230	9998	35460	51413	2792	3274	203	1465	3164	0	16408	21198	12936	0	0	3406	0	0	32175	157	1383	3006	695	0	621	0	18984	895	0	4102	321	2338	2918	0	0	0	4165	0	0	0	5367	2583	0	0	2212	0	533	0	0	0	3573	0	0	0	0	0	0	106	866	0	0	0	3125	3180	0	0	0	5299	0	258	2803	0	0	0	513	0	0	201	0	0	0	0	9729	2867	0	16076	0	0	0	120	0	0	0	0	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	1867	0	0	0	0	2252	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-323-SL	3206550	61292	0	25376	826299	2032984	0	4155	0	932961	750041	36457	29272	114353	0	41073	1461390	77787	3907	2389	3753	877	12214	0	5780	188772	0	6134	3571	11853	6295	24455	1268	0	481	0	13043	62454	6310	0	31251	0	347017	6695	0	0	1290	0	0	7200	50570	101806	113359	1851	18676	0	37613	14600	2881	1153	1608	0	36604	11298	224603	0	4156	1199	41139	12092	94424	0	6731	532	0	40172	0	328	0	5665	575	928	4467	0	13680	44504	0	31019	389	2252	117964	5223	0	0	0	25819	21542	8530	13939	23336	0	1675	1172	0	0	0	883	0	1171	3814	150	0	199	5375	0	16892	19910	6008	20072	0	6889	2308	0	925	297	44129	1401	0	0	7751	4385	0	25152	2243	0	0	531	147	1794	109	42500	0	0	0	397	8123	25193	32065	301	1162	3019	8551	1957	4328	2610	0	829	0	3586	14375	1747	4338	18074	1001	0	54	1089	0	2785	0	790	250	0	4913	0	3109	4313	2168	41	1865	41	2223	0	727	0	1398	116	0
GBM-BM-452-SL-PreOp	265118	60186	2883480	39900	8345	1157447	39397	203114	5626	340270	660754	298951	213825	16493	467356	615412	448054	56424	0	62418	0	78863	45074	123048	150915	53324	835	70873	0	9932	16713	12352	57647	0	0	466669	36204	8855	27992	244067	813	20875	77931	18777	36700	96300	9823	93494	0	13586	0	128385	1224	3072	1590	0	4945	39471	10744	3243	15475	31	180172	15886	74247	0	19153	54537	1972	32762	130	0	27203	97954	3454	2329	0	28799	34083	19035	20348	3794	0	13556	28081	473	37747	1700	3760	0	0	49719	0	8409	0	100908	36775	0	0	690	0	1174	24895	0	3544	0	0	0	7688	14518	57497	16010	0	4426	5832	39081	1214	45688	31789	60524	8888	4587	0	30485	9359	5779	967	21221	1425	1905	4116	0	10200	0	26910	0	0	12460	5871	4955	0	5396	0	0	24786	352	31028	2080	5557	1346	259	0	10747	22004	0	1995	0	1837	3009	4394	13889	651	534	4355	2266	1051	3683	0	917	0	841	12090	715	3260	0	0	1593	933	789	505	2228	0	652	3735	569	0	1269	0
01-2020-10-SL	653289	22081	1230403	272147	295660	586394	28339	26204	678	1955760	1884766	1755401	1745316	45010	1560731	15237	662989	82520	195262	2004	209956	15145	55496	36513	186051	0	26117	501643	702509	20566	268207	4633	40190	1601	0	111578	753326	476024	31574	0	66761	0	395863	390715	857	14320	48536	46443	360792	0	46333	35598	190824	1796	15524	0	269506	43713	6138	4060	7443	72445	11765	0	143643	0	0	1162	210477	198652	8889	0	2355	151584	0	164504	163688	0	35221	215	41854	0	0	143154	59465	3063	0	20330	92905	1314	111861	34319	82590	11492	36178	11082	40633	11134	156	14226	9962	0	15786	65018	0	66570	51605	42406	17214	8457	34176	76811	75465	71715	0	66241	54942	0	67761	0	572	1286	31969	4383	0	57814	0	7372	56143	2352	613	64	50585	0	897	838	31257	0	722	8212	42460	0	0	388	5448	1494	8808	36410	1047	0	2055	0	0	0	25631	0	0	3106	0	10484	1243	1659	0	0	2282	2921	4400	12107	1055	2947	12110	6293	2463	8177	705	0	8308	0	0	5024	14	136	2380	0	0	1975	56	0
GBM-BM-396-SL	1646299	15027	915402	375830	67648	1454169	2170005	1984896	4845	576149	321587	1012503	1428898	8371	1311	1559577	472014	282460	990015	104502	11248	805911	31288	0	129013	23828	364	50188	0	14448	0	38128	45944	23234	0	74967	273211	25637	13475	12246	7334	396447	377828	174053	0	152658	156868	251419	0	246	32437	18510	3920	863	0	0	216682	145032	0	10360	22038	1581	5662	78053	114309	0	116748	295	20215	102348	1127	15924	14839	163463	13185	2842	4395	76716	0	4539	147057	22433	0	0	1720	18072	0	1560	13979	122245	2274	106788	0	407	101648	13512	96878	496	1423	889	968	410	91476	1094	0	17158	7817	0	573	771	23859	1594	0	210	0	1661	16755	4144	44743	0	1667	2110	1263	59027	0	15205	1040	611	13711	11172	5130	50939	10574	1178	37893	140	669	0	0	337	1165	7827	0	0	0	1393	7493	11437	1281	1265	665	525	17471	244	499	3012	0	611	0	1540	10	147	1869	0	3907	756	12446	0	312	791	299	3776	0	962	1034	770	280	0	0	4413	951	0	4313	0	2251	0	304	23
GBM-BM-318-SL	2009009	36109	369819	473417	213646	257590	357876	60157	278010	318	68922	460157	465442	148332	12925	0	395267	4185	0	120257	506	333865	9636	0	5331	72109	10336	14642	0	40901	41223	5565	5780	16866	3962	16107	64149	31663	16714	8447	10806	1783	666	119409	30039	107997	19565	24322	887	10412	978	49154	9839	6013	12373	31808	9760	34542	5300	870	8518	15370	29058	16394	28208	227	101906	0	2459	13782	32773	193278	1515	3522	897	3506	0	4189	39380	2359	26177	27916	854	0	11038	34976	0	10119	3229	528	0	33472	12277	18102	2516	34340	1040	11551	24408	64304	159	53830	41707	7988	20529	0	0	0	10627	611	12002	4531	0	0	806	7644	8400	4332	38155	1788	5792	4520	4092	14289	3881	172	472	13302	233	0	106	471	2236	1620	8083	0	0	3369	5228	18079	0	1119	4294	17071	2944	128	0	3563	743	103	2651	2931	3483	229	0	3365	0	0	0	0	1110	848	1601	0	0	129	13178	2751	0	785	0	0	809	0	387	552	0	0	0	146	0	658	0	0	0	0	0	0
01-2020-64-SL	545413	406600	218051	419444	220102	179436	73842	4534	109618	28346	0	261	7518	192977	0	0	119089	4438	0	97713	0	61699	19044	0	0	1244	150131	783	37874	42733	0	386	26298	0	0	210851	6054	108718	46598	1766	178314	1145	0	0	15804	30898	5824	0	8069	7706	2108	346	12679	0	8856	1053	0	4370	1256	0	23086	0	0	0	12786	2837	15515	1283	38535	18811	193873	5722	0	1399	4731	0	0	0	0	0	3849	24707	0	6784	5745	28780	0	8310	0	0	14802	15088	4418	0	0	0	0	0	0	1667	0	0	8365	0	0	0	2612	0	0	0	0	2286	150	417	0	13934	5863	0	59	0	1368	0	0	0	0	28703	2191	0	0	0	0	0	6411	0	4369	0	5683	0	0	0	1357	0	0	981	0	0	0	19426	13	0	1505	0	1423	0	125	0	0	0	0	111	0	0	2176	2055	136	0	0	0	1469	0	0	292	0	0	273	0	0	0	0	599	0	0	1391	0	0	0	0	0
GBM-BM-385-SL-PreOp	1291862	0	5612	670430	164069	2398080	644681	468441	93667	0	9025	65745	1218	143942	0	371371	44650	414880	0	796123	0	398531	305869	794413	51723	186522	0	39885	0	224688	126055	580670	0	9640	96285	151992	33134	2895	25955	6524	662	0	0	0	12962	187094	37895	9703	3371	0	16086	41613	311058	46184	18565	69071	6618	242145	2213	14298	70307	93	185247	0	101734	3839	128047	0	2148	376	319	0	10983	84370	97064	0	0	27694	2215	148589	0	24397	154	0	5475	16325	0	3102	827	0	0	55746	0	15635	0	33488	6621	3265	38519	919	11232	3933	28450	0	26099	0	59741	0	0	79590	68625	3981	0	9304	145	25710	723	99845	12087	2491	37454	29991	0	56015	37272	1263	2558	52238	0	32788	52091	0	3790	13739	37014	2542	0	1898	42800	0	6504	9621	8860	0	20328	0	32391	1903	4984	3350	7051	5531	30123	14601	0	1933	25280	3567	23641	5524	14793	17193	1421	1452	7069	78	2751	10952	174	413	5287	1898	3494	11411	527	2873	6806	7832	6203	0	2566	0	0	1358	2131	1007	1993	0
GBM-BM-307-SL	92594	287324	88960	665110	297139	254629	1589225	171928	244303	0	34460	47306	11637	92238	29118	1467373	98405	1073936	0	6870	63706	278181	53117	0	71468	49609	2764	138702	0	148140	55469	3709	19728	0	0	11329	35061	12080	370688	49951	54814	5959	161805	5136	388236	138648	30895	16193	6558	30383	12964	355	16623	64881	19367	0	8430	60054	3454	2113	28820	9892	29026	111633	41568	14226	145639	2460	28138	18702	10058	0	27233	144387	101519	10107	0	153278	215	3886	0	27540	0	0	12426	55277	20257	15572	0	0	25032	45456	0	4575	4604	17811	187	27898	23394	0	0	86507	18100	0	17478	10085	0	0	0	0	6556	1104	0	0	2643	13973	5251	20035	16851	4617	25910	9115	900	6137	19690	39704	507	0	55612	4978	1654	262	6298	0	49309	0	1137	1191	0	19934	0	2546	0	409	0	0	0	12274	3221	1774	2966	1464	864	248	9	994	0	248	1302	1385	542	1209	2456	1030	3409	2836	7387	1902	326	2507	0	96	32	0	0	8166	76	3651	0	0	325	2112	2592	0	990	465	0	0
