feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X17168	X8071	X8235	X6936	X16988	X17169	X4303	X1468	X8236	X8163	X1466	X15878	X8130	X15877	X16987	X19288	X1699	X8095	X1395	X2492	X8047	X1542	X2502	X1521	X8059	X749	X17154	X1522	X5089	X3934	X8245	X15888	X1411	X17153	X17137	X8053	X8249	X17300	X2048	X969	X15873	X5825	X1540	X9649	X7298	X9463	X8255	X15494	X5868	X6050	X2479	X4494	X1457	X1544	X7285	X19850	X5265	X2036	X2499	X6055	X9447	X17007	X5266	X4482	X15874	X1464	X1525	X1520	X4479	X2497	X2483	X19322	X15896	X5273	X9731	X1458	X5286	X5989	X6067	X9422	X17151	X15892	X2041	X15872	X19351	X2477	X8028	X2489	X1560	X17152	X6649	X2016	X6833	X9738	X12664	X9648	X8025	X1561	X15897	X6001	X17132	X9631	X17008	X17148	X2037	X3922	X8031	X9418	X7282	X9733	X2480	X14348	X19882	X6893	X2532	X5884	X5880	X1528	X16955	X1541	X15875	X15899	X1547	X15887	X6934	X9460	X7295	X6070	X1526	X9434	X985	X19880	X19300	X4481	X5898	X6653	X19903	X14784	X6629	X1531	X2053	X748	X3931	X19845	X1524	X8026	X19800	X19893	X5285	X19825	X15894	X1454	X17525	X1485	X19849	X3920	X19337	X5878	X1341	X19315	X1533	X9416	X3936	X3607	X19317	X6820	X7281	X3587	X5842	X76214
GBM-BM-460-SL-PreOp	3248.25685251001	17886.1434864278	0	251298.080945191	8460.75677977277	1044622.94869661	0	53719.9750147257	361841.172243794	0	1910.47256841883	0	0	52627.0732775529	0	1442.08610963049	302348.965765992	5103.66323974349	0	141095.104295087	657.554987095664	120890.998499468	537385.679488436	1059.86202846158	2349.05850562451	1101.32362370702	11109.1161760753	66528.3687584384	353.719234437667	90843.6508576123	376223.163094556	150951.302889839	27857.0093055306	0	0	132708.848819271	5141.88564786038	6634.50307669625	298239.732974713	0	478.7518575997	0	0	319.383850875037	34529.086952918	0	1537.31821120986	163.255031278923	5356.31983577039	27329.0218035769	0	29559.5260602965	21505.6111838696	87184.6650772022	197258.074242165	0	4423.43394274797	23152.4139200245	41795.8793571072	8847.51572292165	13378.4906783375	1752.40023654559	17985.2626125614	0	34808.9527208247	4685.80810016053	7707.32185367203	0	347.240860180567	0	0	0	1548.97928487264	0	1095.49308687563	0	0	0	24422.8231118418	2987.82620737458	148.354770487593	844.780003125857	94506.5236625768	0	10531.8930297677	693.833882935424	0	2969.6867594547	62.8402302938713	0	0	1414.22910032496	1981.08684782122	0	0	0	0	4802.41883678833	5974.35673989774	9225.8527795363	0	56717.518783486	3694.61683882421	0	1832.73207733363	0	0	0	0	1243.84785736323	3601.32824952196	0	2375.61984007862	8337.66766888787	45944.6302313542	0	11398.051667942	22769.5420014298	7756.55749802599	0	7116.4941214245	10604.4508214472	464.49943423408	6537.32746283974	27224.7199780376	4378.08532294827	3441.31240537159	36725.2558260749	10638.7862050098	14652.1390572834	4312.00590552585	0	319.383850875037	1480.95635517309	68.6707671252614	0	258.487132858295	0	1336.48860923976	3785.96191584932	0	26142.8314771019	0	11251.6404097315	4013.35285227353	516.326428290881	0	3617.52418516471	2021.90060564095	5507.91379338653	2772.74418203886	544.183437596411	0	2647.06372145111	0	240.347684938415	0	0	0	709.381981152465	566.209910070552	0	0	2677.51208045949	0	352.423559586247	700.312257192524	1362.40210626816	9296.46705893869	0	0	0	0	0	859.032426491478	594.066919376082	0	0	0	0	0	3379.12001250343	546.126949873541	0	774.813561149176	36.2788958397608	0	163.255031278923
01-2020-108-SL	451423.436557222	316239.033581838	402148.086466364	0	33228.5803338815	861485.569107494	54461.1329195237	104111.358877514	369252.72912549	535374.804357834	29073.7061398299	34092.8774719925	2113.88336188591	15255.3651485855	32947.4234335321	0	170860.089664158	220739.40642984	134705.394922937	0	0	35467.4223181449	0	0	335045.306249651	1634.87530943886	14401.481229006	31302.1349055618	7237.18687936309	0	6466.60870803522	0	197684.540601193	9319.83058565463	0	42715.0224160394	3342.64314859792	24346.1049265481	30385.7716747935	0	0	0	43371.0551835213	0	0	0	55887.7438583334	26897.3434667552	0	0	23034.0393915844	0	5550.24547726695	0	0	0	37206.4298128983	0	0	0	0	0	0	1103.80116433451	9017.84724824236	0	0	0	32541.3079108053	33114.0349300354	0	0	0	55179.6449981943	0	2686.61038111608	29188.2515436759	0	0	0	5341.98110663779	0	0	2093.056924823	0	0	0	0	101310.203092552	29854.6975296892	0	167402.901111714	0	0	0	1249.58622377492	0	0	0	0	0	0	17442.1410401916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1353.7184090895	0	0	0	0	0	0	0	0	0	0	19441.4789982315	0	0	0	0	23450.5681328427	0	0	0	0	0	0	0	13589.2501835523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-323-SL	3167248.94297434	60540.7750425796	0	25064.9792384079	816171.472246108	2008066.74621751	0	4104.074272367	0	921526.170209817	740848.12787495	36010.1650415605	28913.2279424132	112951.433277493	0	40569.5890707412	1443478.48396977	76833.604193649	3859.11388258432	2359.71923867263	3707.00138247734	866.251055804058	12064.2991967968	0	5709.15747154784	186458.317338932	0	6058.81867309246	3527.23206416909	11707.7237907018	6217.84537774976	24155.2674682876	1252.45876711465	0	475.104626957528	0	12883.1385642558	61688.5329979323	6232.66153035759	0	30867.9723431387	0	342763.78863393	6612.94278062505	0	0	1274.18912427279	0	0	7111.75325175509	49950.1891585076	100558.215492803	111969.616231348	1828.31323180537	18447.097740247	0	37151.99653587	14421.0552049478	2845.68904420922	1138.868263788	1588.29155955864	0	36155.3633371171	11159.5261442124	221850.154944993	0	4105.06201587419	1184.30446511866	40634.7801422156	11943.7944889198	93266.6929227393	0	6648.50154688382	525.479545824126	0	39679.6321707647	0	323.979870357732	0	5595.56696822119	567.952516633219	916.625974670656	4412.25024660972	0	13512.3311783347	43958.537043904	0	30638.815849471	384.232224296213	2224.39837818784	116518.17508195	5158.984338044	0	0	0	25502.5496120923	21277.9706318484	8425.45211631541	13768.1567466964	23049.982483744	0	1654.47037454025	1157.63539042458	0	0	0	872.177516847187	0	1156.64764691739	3767.25373641582	148.161526078231	0	196.560957930453	5309.12135113661	0	16684.9633234232	19665.9732281172	5934.36299118675	19825.9876762817	0	6804.56502101956	2279.71201459038	0	913.662744149092	293.359821634898	43588.1332287084	1383.82865357068	0	0	7655.99992421579	4331.25527902029	0	24843.7246927978	2215.50868662315	0	0	524.491802316938	145.198295556666	1772.01185189564	107.664042283515	41979.0990554988	0	0	0	392.134172353718	8023.44050888981	24884.2221765925	31671.9955579899	297.31079566365	1147.7579553527	2981.9976482012	8446.19472996636	1933.01404356732	4274.95389911056	2578.01055376122	0	818.839367459024	0	3542.04821677691	14198.8129158305	1725.5879070578	4284.83133418244	17852.4761489197	988.731250695395	0	53.3381493881632	1075.65267932796	0	2750.86566751916	0	780.317370678684	246.935876797052	0	4852.78385081566	0	3070.89456384814	4260.13774650274	2141.42792358403	40.4974837947165	1842.14164090601	40.4974837947165	2195.75381647938	0	718.089529725826	0	1380.86542304911	114.578246833832	0
GBM-BM-452-SL-PreOp	234837.585640411	53311.8646389675	2554143.74520935	35342.8272205297	7391.87702143661	1025249.35684011	34897.2772934138	179915.363610794	4983.42721660903	301406.110735079	585286.076623406	264806.354396105	189403.008281448	14609.254369629	413977.001465611	545122.806652648	396879.576628251	49979.5409296033	0	55288.9370789731	0	69855.6737617202	39925.8795523348	108994.090321598	133678.264911936	47233.6069851511	739.630594715347	62778.2504661806	0	8797.61804396745	14804.1271011708	10941.2180909269	51062.8561599468	0	0	413368.467072115	32068.965330628	7843.62744455616	24794.8977332599	216190.922587294	720.14332156117	18490.7648678837	69030.1220080978	16632.3876370899	32508.3147617404	85301.1093066921	8701.06746333994	82815.5961943912	0	12034.2769578475	0	113721.525631772	1084.20101548693	2721.13196043778	1408.39837796096	0	4380.20753397292	34962.8253940233	9516.87558038525	2872.60121995433	13707.5250936766	27.4593394445219	159593.680851561	14071.5827876024	65766.8895399166	0	16965.4428509976	48308.0643640609	1746.76830272894	29020.0928671427	115.152068638317	0	24096.0132551396	86766.1979338288	3059.50188520576	2062.99359891263	0	25509.7263439608	30190.2150415367	16860.9202040798	18023.9560973268	3360.66883395213	0	12007.7034035464	24873.7326110199	418.976372814801	33435.7318068505	1505.83474373184	3330.55213907749	0	0	44040.3515432962	0	7448.5672706124	0	89382.8072473487	32574.7486474933	0	0	611.191748926454	0	1039.91175831834	22051.6211442378	0	3139.22254810921	0	0	0	6809.91618224142	12859.8287114699	50929.9883884411	14181.4201453805	0	3920.48504456302	5165.89895614359	34617.3691881083	1075.34316405321	40469.751630365	28158.2239226421	53611.2600174271	7872.85835428743	4063.09645264586	0	27003.1600956854	8290.06315681548	5118.9523435449	856.554233640407	18797.2465274903	1262.24382930463	1687.42069812304	3645.8916501178	0	9035.00846239106	0	23836.4782081317	0	0	11036.882886411	5200.44457673509	4389.06538540664	0	4779.69663363355	0	0	21955.0705636103	311.796370466829	27484.1414285363	1842.43309821308	4922.30804171638	1192.26680297827	229.418352133263	0	9519.53293581537	19490.8162947503	0	1767.14136102649	0	1627.18730837376	2665.32749640536	3892.13991997513	12302.6698562892	576.646128334959	473.009266560473	3857.59429938363	2007.18913488021	930.960185683628	3262.34668303787	0	812.264976471824	0	744.945305575577	10709.1423833635	633.336377510746	2887.65956739165	0	0	1411.05573339107	826.437538765771	698.88447812025	447.321497402695	1973.52929943209	0	577.531913478331	3308.4075104932	504.011746578482	0	1124.06134693865	0
01-2020-10-SL	304966.740187529	10307.7972996344	574373.657029212	127042.983184801	138019.263149762	273738.983276201	13229.1412379122	12232.4858674706	316.502267521947	912983.001074812	879841.759215736	819451.912847039	814744.058322026	21011.455842423	728576.549397928	7112.89830417684	309494.86997361	38521.7804069484	91151.7194113132	935.502277454249	98011.1358109702	7069.95109383463	25906.5041864276	17044.9075133169	86851.8633845512	0	12191.872744647	234175.733018454	327943.497720612	9600.56878149905	125203.722220146	2162.7654947333	18761.3954744941	747.374823455216	0	52086.563430035	351665.762807136	222216.335390659	14739.2958624453	0	31165.2033658299	0	184795.777474986	182392.600965837	400.06260068777	6684.82665326589	22657.4543605386	21680.4053252533	168424.020802033	0	21629.0553998442	16617.7694974134	89079.9833298052	838.404236680555	7246.87492774439	0	125810.118157477	20405.9935400986	2865.32583783143	1895.27906510192	3474.52268018562	33818.5940569726	5492.1079312621	0	67055.0666868067	0	0	542.441939322274	98254.3477304082	92734.2307489229	4149.54079056428	0	1099.35522125986	70762.0644838448	0	76793.3466319031	76412.4235488678	0	16441.779298511	100.365763299732	19538.1798006837	0	0	66826.7929274878	27759.3028586911	1429.8620138934	0	9490.3998506212	43369.6801830774	613.398199887666	52218.6727835877	16020.7099101559	38554.4576322088	5364.66675274662	16888.5236495708	5173.27157622155	18968.195628642	5197.54608641497	72.8235305802709	6640.94580791624	4650.4359720555	0	7369.18111371895	30351.5404568465	0	31076.0412226194	24090.1172794544	19795.863062737	8035.79650903066	3947.87562895738	15953.955007124	35856.7192782127	35228.382918206	33477.8172792572	0	30922.4582638957	25647.8872893669	0	31632.0208695496	0	267.01961212766	600.327309783515	14923.6887764146	2046.06111880338	0	26988.5871600499	0	3441.37863742152	26208.5351113343	1097.9547687487	286.159129780167	29.8763202380599	23613.9634256603	0	418.735300836558	391.193068117096	14591.3147137662	0	337.042237685613	3833.50534054605	19821.0712079378	0	0	181.125191443238	2543.22176026485	697.42535055721	4111.72857276299	16996.8253104337	488.75792639451	0	959.309970143953	0	0	0	11964.9994378392	0	0	1449.93516655334	0	4894.11470899718	580.254157123569	774.450238670958	0	0	1065.27754348832	1363.5739283652	2053.99701636661	5651.75951753423	492.492466424268	1375.71118346191	5653.15997004539	2937.68255090798	1149.77151166158	3817.16672791587	329.106340122378	0	3878.31982090314	0	0	2345.2911386877	6.53544505207559	63.4871805058772	1111.02565885285	0	0	921.964569846378	26.1417802083024	0
GBM-BM-396-SL	1223204.08079829	11165.0968154362	680145.867774271	279242.585755334	50262.6252326234	1080451.03287457	1612318.88700211	1474782.45881228	3599.84654760023	428080.080196764	238939.907472263	752292.14220534	1061674.61964352	6219.67295148844	974.076124644768	1158769.42810459	350707.52700082	209868.453216751	735583.504607315	77645.2350706541	8357.29080854641	598793.793812806	23247.058571995	0	95856.9664903092	17704.2607917891	270.452867559646	37289.8036183612	0	10734.8984354444	0	28329.1948744895	34136.5015031878	17262.9173760462	0	55700.6596767691	202996.424172633	19048.3521033699	10011.9571163907	9098.80718718522	5449.17947989681	294561.065894008	280727.104517378	129321.793838898	0	113425.257845935	116553.297880073	186804.916233458	0	182.778586317782	24100.7683105281	13752.974116838	2912.56934295003	641.21105687905	0	0	160995.242441096	107759.121670084	0	7697.50469208222	16374.286525493	1174.68676816428	4206.87949484262	57993.5650319588	84931.859444713	0	86744.0422578393	219.185703104658	15019.7931805446	76044.8079367984	837.363686098133	11831.5699533511	11025.412367356	121453.398598633	9796.4864252031	2111.61277363877	3265.4954750677	57000.1708453455	0	3372.48781827811	109263.70149648	16667.7724669383	0	0	1277.96409945767	13427.5390729064	0	1159.08371811277	10386.4303176272	90828.32635942	1689.58741986438	79343.7385191193	0	302.401970046087	75524.7062684144	10039.4482045767	71980.5848995696	368.529182169187	1057.2923915862	660.529118847596	719.22630713664	304.630977196304	67966.8860244125	812.844607445748	0	12748.4348944736	5808.04963108173	0	425.74036569142	572.854837605733	17727.2938656747	1184.34579914856	0	156.03050051518	0	1234.12695883673	12449.0049339612	3079.00187683289	33244.1556407176	0	1238.58497313717	1567.73502898586	938.412010241298	43857.2016852835	0	11297.3512396824	772.722478741844	453.974456260834	10187.3056788745	8300.82262740758	3811.60222687083	37847.7984082989	7856.50720213102	875.25680765182	28154.5893143891	104.020333676787	497.06859449836	0	0	250.391803207694	865.597776667547	5815.47965491579	0	0	0	1035.00232008403	5567.31685885831	8497.71825901007	951.786053142599	939.898015008109	494.096584964737	390.07625128795	12980.9946404796	181.292581550971	370.758189319404	2237.92317881773	0	453.974456260834	0	1144.22367044465	7.4300238340562	109.221350360626	1388.6714545851	0	2902.91031196576	561.709801854649	9247.40766386634	0	231.816743622553	587.714885273845	222.15771263828	2805.57699973962	0	714.768292836206	768.264464441411	572.111835222327	208.040667353574	0	0	3278.869517969	706.595266618744	0	3204.56927962844	0	1672.49836504605	0	225.872724555308	17.0890548183293
GBM-BM-318-SL	3534608.49765143	63529.4208446529	650651.828833496	832919.987482707	375884.312658249	453198.468951623	629639.563936997	105838.970055991	489124.990695449	559.482561926379	121259.928091478	809590.620277852	818888.938956408	260972.224451773	22739.9751977939	0	695424.508820611	7363.00164044622	0	211577.655501826	890.245837530654	587395.111753304	16953.3772538446	0	9379.25011833185	126867.06936462	18184.9426417329	25760.8291563712	0	71960.3656143108	72526.8856927394	9790.94483371164	10169.2113457059	29673.6883316048	6970.66009544753	28338.3195753088	112862.411525205	55707.2212524369	29406.2627045205	14861.4754735601	19011.8508307436	3136.97298086394	1171.7464976194	210085.702003355	52849.9895525362	190007.667422526	34422.2525914768	42791.6190917402	1560.56928436698	18318.655455275	1720.67278479245	86480.5215375134	17310.5312163322	10579.1466819601	21768.7979204877	55962.3312256424	17171.5402654134	60772.4737549088	9324.70936543966	1530.65983923255	14986.3913914745	27041.657159775	51124.0386303671	28843.261384343	49628.5663736456	399.379061500906	179291.289168772	0	4326.31326973889	24247.7631083942	57660.1320818026	340049.278628952	2665.4593752153	6196.53328020349	1578.16307562252	6168.38321419461	0	7370.03915694844	69284.3499643422	4150.37535718342	46055.2673696441	49114.8276689837	1502.50977322367	0	19420.0267878723	61536.0442953995	0	17803.1573714875	5681.03519641597	928.952178292856	0	58889.9380905653	21599.8975244345	31848.2809307903	4426.5978798955	60417.0791715467	1829.75429057684	20322.5882792818	42942.9256965379	113135.115289666	279.74128096319	94707.3783286069	73378.4251895079	14053.9204549306	36118.2940685115	0	0	0	18696.9219672693	1074.98064571389	21116.0682649069	7971.74681788813	0	0	1418.05957519705	13448.6940357398	14778.7846546591	7621.63037190275	67129.1105355378	3145.76987649172	10190.3238952125	7952.39364750703	7199.37938176964	25139.7683250504	6828.1503862776	302.6132095954	830.426947261796	23403.261128128	409.935336254234	0	186.494187308793	828.667568136241	3933.9717247402	2850.19418339854	14221.0614718583	0	0	5927.34827399362	9198.03406839972	31807.8152109026	0	1968.74524149566	7554.77396513168	30034.3610523435	5179.6121456329	225.200528070995	0	6268.66782435123	1307.21869028711	181.216049932129	4664.11406184538	5156.74021700069	6127.91749430685	402.897819752015	0	5920.3107574914	0	0	0	0	1952.91082936566	1491.95349847035	2816.765980013	0	0	226.95990719655	23185.0981165592	4840.05197440085	0	1381.1126135604	0	0	1423.33771257371	0	680.87972158965	971.177277306168	0	0	0	256.869352330979	0	1157.67146461496	0	0	0	0	0	0
01-2020-64-SL	431859.560243831	321947.033156785	172653.40021365	332116.948783607	174277.387830484	142077.933697789	58468.3050230284	3590.03405886096	86795.8432872122	22444.4431919878	0	206.660540221153	5952.77372177253	152799.73590137	0	0	94295.007947881	3514.0209865957	0	77369.4305234849	0	48853.4431843101	15079.0932106193	0	0	985.002728103888	118874.151585985	619.98162066346	29988.740614314	33836.1105949063	0	305.6358947332	20822.8309836624	0	0	166952.419793756	4793.57436972744	86083.2207347255	36896.4285564188	1398.3238085462	141189.530915689	906.614247330347	0	0	12513.6520216671	24465.1240297057	4611.45971742528	0	6389.05708446163	6101.63265495865	1669.12037849115	273.963781289345	10039.2681588659	0	7012.20591646948	833.768386409481	0	3460.17839374115	994.504362137045	0	18279.5602741209	0	0	0	10123.9910623282	2246.34464600541	12284.8210020352	1015.88303871165	30512.1222889737	14894.6031498089	153509.191242512	4530.69582814345	0	1107.73216769883	3746.01921757194	0	0	0	0	0	3047.64911613494	19563.0726714331	0	5371.5904400778	4548.90729337366	22788.0856228536	0	6579.88156796086	0	0	11720.2655798985	11946.7211910221	3498.18492987378	0	0	0	0	0	0	1319.93532777265	0	0	6623.43072394616	0	0	0	2068.18900788373	0	0	0	0	1810.06128331631	118.770425414456	330.181782652188	0	11032.9807181669	4642.34002803304	0	46.716367329686	0	1083.18627977984	0	0	0	0	22727.1168044742	1734.84001388715	0	0	0	0	0	5076.24798221385	0	3459.38659090505	0	4499.81551753569	0	0	0	1074.47644858278	0	0	776.758582210542	0	0	0	15381.5618940081	10.2934368692529	0	1191.66326832504	0	1126.73543576514	0	98.9753545120466	0	0	0	0	87.8901148066974	0	0	1722.96297134571	1627.15482817805	107.685185709107	0	0	0	1163.15836622557	0	0	231.206428140141	0	0	216.16217425431	0	0	0	0	474.289898821728	0	0	1101.39774501006	0	0	0	0	0
GBM-BM-385-SL-PreOp	585643.872764593	0	2544.10565056863	303928.145279887	74377.9169606459	1087129.1658082	292255.269941952	212359.835184964	42462.3563741647	0	4091.33169928402	29804.3880963355	552.159779471239	65253.6806048022	0	168354.786093607	20241.3252490894	188078.858215951	0	360908.949188819	0	180667.314509403	138660.557953275	360133.749498428	23447.7506351321	84556.6062286818	0	18081.1927784978	0	101858.519318419	57144.9105100551	263236.961531662	0	4370.13158793329	43649.1825668212	68903.0124806179	15020.7406674877	1312.39947583681	11766.2619673038	2957.54548544365	300.106546806207	0	0	0	5876.10431979163	84815.9127917833	17179.0598054701	4398.69157652663	1528.18605631983	0	7292.31708749947	18864.5524656295	141012.903680431	20936.7383046796	8416.12997198978	31312.1741608029	3000.15880175752	109772.356157687	1003.2262659851	6481.75741123135	31872.4939370151	42.1599831615971	83978.6064595309	0	46119.394913569	1740.34597158464	58047.9501493873	0	973.75961108721	170.453265255489	144.613275575801	0	4978.95801143893	38247.7180574618	44002.3290924436	0	0	12554.6083191104	1004.13293228965	67360.3197634253	0	11059.968916059	69.8133054503866	0	2481.99900870692	7400.66371089325	0	1406.23943835779	374.906516931621	0	0	25271.5099067354	0	7087.86383582334	0	15181.2206033932	3001.51880121435	1480.13274217865	17461.9396924899	416.613166940943	5091.83796635547	1782.95928789851	12897.3281822305	0	11831.5419412314	0	27082.575850075	0	0	36080.7855895862	31109.9875748882	1804.71927920772	0	4217.81164876881	65.7333070799094	11655.1953449964	327.759869094997	45263.0485889211	5479.4378115508	1129.25288231762	16979.1398853167	13595.9145698866	0	25393.4565246974	16896.6332516026	572.559771323625	1159.62620352006	23681.2172085539	0	14863.8873968005	23614.5772351694	0	1718.13264712315	6228.34417910949	16779.6732983156	1152.37287308365	0	860.426323018401	19402.6589173802	0	2948.47882239814	4361.51825804006	4016.5317291586	0	9215.35631945103	0	14683.9141353472	862.692988779777	2259.41243093978	1518.66606012205	3196.4520566927	2507.38566523434	13655.754545987	6619.11735637074	0	876.292983348034	11460.262089518	1617.03935416577	10717.2490529389	2504.21233316841	6706.15732160759	7794.15688706816	644.186409383112	658.239737103645	3204.61205343365	35.3599858774685	1247.11950190918	4964.9046837184	78.8799684958913	187.226591889673	2396.77237607918	860.426323018401	1583.94603404968	5172.98460061273	238.90657124905	1302.42614648676	3085.38543438527	3550.50524861966	2812.0255435633	0	1163.25286873826	0	0	615.626420789772	966.052947498531	456.506484341164	903.492972484548	0
GBM-BM-307-SL	89908.8246439949	278991.761150951	86380.2086563901	645822.173779807	288522.131519235	247244.898268525	1543138.34422158	166942.182035475	237218.346620752	0	33460.6788477878	45934.1518738668	11299.5333648203	89563.1484492818	28273.5939259978	1424819.98557501	95551.308822303	1042792.44338589	0	6670.77375752473	61858.5608437948	270113.903150217	51576.6360521749	0	69395.4670891962	48170.3661334854	2683.84551176104	134679.717862619	0	143844.021024704	53860.4293385938	3601.4410286258	19155.8987901671	0	0	11000.4651963607	34044.2501765029	11729.6866071177	359938.250746627	48502.4483205412	53224.4239803436	5786.19225925617	157112.743498732	4987.05880911893	376977.36834445	134627.283833084	29999.0618979224	15723.41185671	6367.82158687732	29501.9096178856	12588.0510906187	344.705194166125	16140.9420918972	62999.4864864574	18805.3675927193	0	8185.53461076179	58312.466846345	3353.83588915436	2051.72415569865	27984.2357630077	9605.13741039806	28184.2618756787	108395.704057316	40362.5507354859	13813.4537808656	141415.54865679	2388.66134548921	27322.0133899899	18159.6522289996	9766.32350119123	0	26443.2578950031	140199.855972012	98575.0045254954	9813.90252799163	0	148833.021834916	208.765117593569	3773.30812543539	0	26741.3550629157	0	0	12065.6527963613	53673.99723358	19669.558079502	15120.4205170561	0	0	24306.0856911731	44137.8008620152	0	4442.32750228175	4470.48651814321	17294.49074167	181.577102279057	27088.9732587227	22715.5867952742	0	0	83998.3443147295	17575.1098997377	0	16971.1475595367	9792.5405159588	0	0	0	0	6365.87958578343	1071.9846038293	0	0	2566.35444558048	13567.7906424881	5098.72387201781	19453.9959580798	16362.3302166011	4483.10952525352	25158.6241713924	8850.66998542037	873.900492252148	5959.0303566127	19119.0007693831	38552.605715977	492.297277302044	0	53999.2824168072	4833.64072270133	1606.03490465006	254.40214330007	6115.36144467114	0	47879.0659694013	0	1104.02762187855	1156.46165141368	0	19355.9249028381	0	2472.16739252663	0	397.139223701254	0	0	0	11918.0607132254	3127.59276171574	1722.55497028368	2879.9876222443	1421.54480073016	838.944472562062	240.808135642814	8.73900492252148	965.17454366515	0	240.808135642814	1264.24271212477	1344.83575752136	526.282296445183	1173.93966125872	2384.77734330142	1000.13056335524	3310.14086454175	2753.75755114121	7172.78104029624	1846.84304029287	316.546178304667	2434.29837119571	0	93.2160525068958	31.0720175022986	0	0	7929.19046636783	73.7960415679592	3545.12299690288	0	0	315.57517775772	2050.75315515171	2516.83341768619	0	961.290541477363	451.515254330277	0	0
