feature	X1934	X1867	X4837	X9226	X17248	X17244	X1836	X15342	X1814	X2303	X1871	X1812	X1855	X1830	X2301	X1877	X4868	X10068	X2318	X4933	X4198	X1815	X4608	X15286	X1790	X14861	X14809	X4938	X15106	X1949	X4581	X15300	X9712	X4532	X1844	X4874	X4584	X5090	X15271	X4826	X2290	X9283	X15078	X8071	X4285	X4041	X4951	X4540	X15132	X4820	X4303	X15452	X4575	X1861	X2295	X4811	X15249	X4914	X2325	X4262	X1965	X4749	X4910	X13976	X4716	X15346	X4993	X5082	X5087	X4577	X5089	X4925	X15254	X15154	X2328	X14027	X5792	X5062	X4557	X5825	X14853	X15120	X9262	X4644	X15234	X15126	X4670	X5075	X4046	X15143	X14797	X4705	X5111	X4936	X5190	X5045	X4940	X4721	X9260	X15265	X15124	X4652	X5121	X15236	X6754	X4552	X15350	X14993	X5043	X3813	X4643	X4959	X4768	X4871	X14837	X4166	X4714	X6747	X4121	X5051	X79840
GBM-01-2020-108	19169093	0	0	0	1800327	0	0	3074404	0	0	0	0	0	0	0	0	0	21137	0	0	0	0	3982	0	0	94721	5340	0	0	0	0	0	0	0	0	0	45078	0	10764	0	0	0	0	0	0	0	0	0	29463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-291	1087510	14253980	0	0	0	0	2372	0	17895	0	3140	0	0	57894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-318	224649	40589	88623	490340	310783	0	784823	3647195	975804	155632	53006	52973	1215	458804	171815	100590	65237	20273	497146	75463	5656	0	135842	228405	62538	66874	5063	0	193351	78328	14414	466406	0	19263	0	564749	0	12459	4624	19318	5474	0	106619	0	0	0	394637	1212	104838	53618	23033	173365	16548	125139	20034	763	15798	9261	0	11975	3215	29957	470259	53761	255682	99753	52700	9950	2801	20006	17702	669	128707	6309	30491	2450	0	131065	9899	48389	6464	115242	199673	0	620	2599	0	7720	38220	6379	89288	182165	0	5944	157899	0	142522	100644	0	714	12709	6376	437	0	17837	2289	30782	56151	1386	6336	13122	27474	11125	0	2995	0	2542	0	102	7523	0
GBM-BM-392	744455	2501	8336	0	291688	712295	6721818	0	333418	483805	33718	15512	1398	3163539	1176228	58082	0	1740704	100419	0	0	0	9331	0	58131	972846	576593	0	1536768	739140	0	0	0	0	239645	0	127	14514	618834	1466	195709	1959796	995486	35822	233553	156376	0	0	653846	334339	835630	326016	0	98682	468647	0	345636	698051	677149	0	0	0	0	476888	0	0	7986	0	0	0	0	0	0	307086	107863	27813	4128	127671	0	0	74821	12155	12515	0	0	0	0	0	206003	133893	2768	0	0	0	0	0	0	59533	0	0	55486	0	0	0	4030	0	0	0	0	0	7100	0	0	0	4752	0	0	0	0	0	5513
GBM-BM-322	0	0	123587	0	7430281	0	0	0	0	0	0	0	0	0	0	0	0	114380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15715	0	0	0	0	0	0	0	0	0	0	0	57643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31254	0	0	0	0	0	0	0	0	0	0
GBM-BM-308	0	0	9501621	8269595	189653	7167807	8251	0	0	0	0	0	0	0	0	0	345149	1005764	0	2541	0	0	442957	139174	0	272108	1766194	0	0	29104	0	0	0	0	0	185622	1112965	0	93445	0	0	0	1322	21829	0	618811	646	0	2400	525071	2511	0	0	38978	0	0	257244	0	0	0	0	0	0	3051	0	0	38381	0	0	0	288482	0	0	0	0	0	0	344653	0	113526	1121	84854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44968	1513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14988	8402	0	0
BM-02-2020-43	0	0	66348	49851	0	0	6140777	7585783	0	0	95385	0	18587	0	2158651	328866	0	168004	0	83187	0	2239593	54418	0	0	759729	128953	0	1553583	0	0	0	0	0	0	493392	13316	0	144143	17239	0	0	823223	3889	0	17448	0	37311	889840	63826	3519	0	0	0	0	0	787473	17750	0	37049	0	0	0	48722	39922	0	0	0	0	0	41117	22007	0	127440	0	0	0	18246	0	14855	25121	200854	0	2352	0	77291	0	0	40673	102577	0	45863	0	171177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5791	43592	0	0	0	1030	0	0	762	0	0	0
GBM-BM-279	0	0	1233927	204910	46177	392	838731	306927	6327608	629975	5502089	0	4318802	0	164385	0	28588	100974	0	1829773	7655	0	113911	0	88290	203491	25877	0	152605	0	140646	0	0	173281	1205653	202368	51601	0	96444	468139	23521	0	77949	24291	220285	12322	55375	255752	124916	155944	3890	44725	39812	0	79011	29991	6103	965	0	77598	0	0	43254	10634	0	0	4556	5722	0	145158	102928	0	0	60969	0	0	281708	221411	0	0	25872	23746	226789	0	3952	4505	0	0	2179	20960	42604	50644	0	9104	0	0	18899	155761	0	0	15424	0	0	0	83004	0	0	0	34836	365	0	14439	0	0	340	7800	0	6978	12242	11613	0
01-2020-90	582412	56116	3943006	0	1693165	6292534	122752	774102	1309022	17730	238545	11900	0	51860	0	0	1037911	6278	360825	2352307	0	0	0	1977756	95825	155903	5084	616	226702	1358278	1476585	1469107	0	1356130	0	1134218	0	0	14399	0	11646	37586	0	27936	0	0	4621	270621	0	106515	23344	122026	773158	16829	141494	308352	4587	0	18422	0	350458	16017	0	125605	0	166964	13078	0	0	259319	0	1423	0	0	8197	0	210426	100482	0	252247	26645	0	1332	0	0	0	34839	226	0	0	40804	106990	0	0	0	0	0	5172	0	457	0	0	12605	0	0	58764	0	149	35885	9767	0	6890	0	0	0	0	0	0	0	0	0
02-2020-20	0	569972	610838	0	0	0	1587893	350209	4319602	0	0	0	0	1850038	0	326205	0	0	0	44335	0	0	278100	607816	0	190345	102879	0	37722	0	90338	0	0	0	0	18655	452802	0	111481	0	0	0	272633	0	0	931676	95822	36448	261890	94227	9390	0	5052	0	0	0	41472	0	0	0	0	0	0	7785	0	0	0	0	0	0	229797	1222	0	16644	0	0	0	31986	35574	12486	107	43242	0	0	0	14527	0	0	0	0	0	20189	0	611	0	0	1438	640	0	0	14589	0	0	0	184	0	12348	0	0	0	3993	0	0	0	0	19167	2596	14270	0	0	0
02-2020-29	2384104	65094	883682	2079069	0	0	0	0	1962176	5657367	3171771	0	342401	0	0	522646	0	161185	0	194501	0	0	159228	252571	236223	221720	104215	0	94626	1201739	4019	156911	5133	168009	0	128610	0	2813	168288	108168	0	0	69104	59500	660472	435394	12423	0	63531	70348	7200	119825	0	560604	0	176052	56054	8152	0	310133	0	0	1850	10156	11968	0	14839	39379	0	205218	35699	45262	0	0	0	0	0	31662	0	109690	76936	0	0	352	0	12436	0	0	2302	8967	0	88045	0	5118	3638	1184	9747	70224	0	0	19416	0	0	0	0	0	0	0	47473	6426	0	0	0	0	2424	16016	0	0	12151	0	0
