feature	X1934	X1867	X4837	X9226	X17248	X17244	X1836	X15342	X1814	X2303	X1871	X1812	X1855	X1830	X2301	X1877	X4868	X10068	X2318	X4933	X4198	X1815	X4608	X15286	X1790	X14861	X14809	X4938	X15106	X1949	X4581	X15300	X9712	X4532	X1844	X4874	X4584	X5090	X15271	X4826	X2290	X9283	X15078	X8071	X4285	X4041	X4951	X4540	X15132	X4820	X4303	X15452	X4575	X1861	X2295	X4811	X15249	X4914	X2325	X4262	X1965	X4749	X4910	X13976	X4716	X15346	X4993	X5082	X5087	X4577	X5089	X4925	X15254	X15154	X2328	X14027	X5792	X5062	X4557	X5825	X14853	X15120	X9262	X4644	X15234	X15126	X4670	X5075	X4046	X15143	X14797	X4705	X5111	X4936	X5190	X5045	X4940	X4721	X9260	X15265	X15124	X4652	X5121	X15236	X6754	X4552	X15350	X14993	X5043	X3813	X4643	X4959	X4768	X4871	X14837	X4166	X4714	X6747	X4121	X5051	X79840
GBM-01-2020-108	618089.361086428	0	0	0	58049.8495769542	0	0	99131.2632309498	0	0	0	0	0	0	0	0	0	681.542670030545	0	0	0	0	128.395841986168	0	0	3054.18948989749	172.18327378356	0	0	0	0	0	0	0	0	0	1453.49768082684	0	347.075048503041	0	0	0	0	0	0	0	0	0	950.00670327435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15231.5452096815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-291	16074285.8339921	210685463.850454	0	0	0	0	35060.0969170209	0	264502.712618081	0	46411.7640469838	0	0	855720.594820407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781742.607860167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1819488.95880752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-318	459071.991654088	82943.9395200858	181101.794872713	1002013.63187757	635087.495525163	0	1603791.94969012	7453071.55874645	1994063.11955106	318035.21139693	108318.176308893	108250.740550334	2482.86201968278	937569.56878892	351105.298692837	205556.453135713	133312.320640367	41428.0343415876	1015921.74620347	154209.231762405	11558.0803154945	0	277594.19133971	466747.407082836	127796.892993351	136657.542966474	10346.2801692625	0	395114.283430193	160063.881710052	29455.1219355618	953104.315351577	0	39364.0914281065	0	1154069.00638175	0	25460.0641178829	9449.18022964047	39476.4843590386	11186.1618895008	0	217876.76187371	0	0	0	806443.801532142	2476.73149617739	214237.274419344	109568.803103993	47068.115966546	354272.735837288	33815.9676557289	255722.526980315	40939.6359689916	1559.19647820408	32283.3367793815	18924.9260611376	0	24471.0063256801	6569.8776899425	61217.3642169852	960977.951040332	109861.024724416	522488.170301673	203846.037077709	107692.862911344	20332.9029595421	5723.86544619873	40882.417749608	36174.1756974688	1367.10674170188	263013.762936059	12892.4909318343	62308.5974009445	5006.59419606815	0	267832.354411295	20228.6840599505	98883.3006340987	13209.2346462794	235497.929936035	408033.339963884	0	1266.97485778051	5311.0768635025	0	15775.8804872025	78102.8694586632	13035.5364802934	182460.727583075	372255.604786431	0	12146.6105720119	322667.84365917	0	291244.823678378	205666.80255881	0	1459.06459428272	25970.9410766654	13029.405956788	893.012923951748	0	36450.0492552113	4677.58943461225	62903.2581809673	114745.008450377	2832.30185948998	12947.6656433828	26814.909812574	56143.3342623577	22734.0246658197	0	6120.30596621393	0	5194.5969169001	0	208.437799183246	15373.3094436819	0
GBM-BM-392	463011.082347849	1555.48786286877	5184.54491198484	0	181414.291781074	443009.287197966	4180610.28205232	0	207368.113659328	300900.761893333	20970.7875890481	9647.63203871267	869.481020508014	1967551.58665014	731550.730894206	36123.8888649116	0	1082624.5281276	62455.2321876926	0	0	0	5803.3815467527	0	36154.3642368751	605058.034962188	358609.921357494	0	955787.273908483	459705.437409366	0	0	0	0	149046.337024065	0	78.9871885583103	9026.929564845	384881.557829082	911.773373436873	121720.501461089	1218888.00147892	619138.900702032	22279.3627443763	145257.439758733	97257.4850235774	0	0	406657.144016511	207940.926262968	519717.042322684	202764.466653749	0	61374.9113489069	291473.298868397	0	214967.054366458	434150.283152103	421150.360197411	0	0	0	0	296598.758875555	0	0	4966.86368367453	0	0	0	0	0	0	190991.021933994	67085.0009406695	17298.19429427	2567.39460132838	79404.5145702995	0	0	46534.6490954436	7559.75808603355	7783.65877800987	0	0	0	0	0	128122.817358879	83274.2648632901	1721.5475427512	0	0	0	0	0	0	37026.3330428495	0	0	34509.3160972158	0	0	0	2506.4438574015	0	0	0	0	0	4415.81920286617	0	0	0	2955.48913408733	0	0	0	0	0	3428.79031907059
GBM-BM-322	0	0	30226.0780630611	0	1817248.20196687	0	0	0	0	0	0	0	0	0	0	0	0	27974.2918660775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3843.46910889499	0	0	0	0	0	0	0	0	0	0	0	14097.9376292735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406.60108377516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7643.89332035659	0	0	0	0	0	0	0	0	0	0
GBM-BM-308	0	0	10925449.8159119	9508803.30529031	218072.719795616	8241911.10849843	9487.4218231909	0	0	0	0	0	0	0	0	0	396869.973924678	1156478.8901442	0	2921.77176738917	0	0	509334.615020624	160029.383689343	0	312883.696214378	2030860.19871395	0	0	33465.2678150707	0	0	0	0	0	213437.669817518	1279744.0830745	0	107447.840536671	0	0	0	1520.1032178231	25100.1007124511	0	711540.538823244	742.803841689652	0	2759.64275550335	603753.492197875	2887.27623294538	0	0	44818.8980516707	0	0	295792.308748627	0	0	0	0	0	0	3508.19585293364	0	0	44132.4369162392	0	0	0	331711.358913799	0	0	0	0	0	0	396299.647755207	0	130538.001442197	1288.98313704969	97569.4693231173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51706.5064289478	1739.72478711524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17233.9690081184	9661.04934655799	0	0
BM-02-2020-43	0	0	27273.5679479602	20492.1721193369	0	0	2524279.53763145	3118275.88004132	0	0	39209.7618423492	0	7640.52883958427	0	887353.269494669	135186.429082623	0	69061.1398916186	0	34195.5491783772	0	920625.970056009	22369.5216222358	0	0	312300.604442272	53008.5067762904	0	638628.918931933	0	0	0	0	0	0	202817.872987581	5473.78716457223	0	59252.6361717434	7086.40860093577	0	0	338400.983101581	1598.64510986944	0	7172.32190203186	0	15337.3740535712	365785.128456215	26236.8533768389	1446.54979213951	0	0	0	0	0	323705.286861459	7296.46456677359	0	15229.6741258814	0	0	0	20028.0758660475	16410.673714633	0	0	0	0	0	16901.900484058	9046.38285752036	0	52386.5602473029	0	0	0	7500.35450621695	0	6106.42147264347	10326.4499370095	82564.7376954785	0	966.832938650788	0	31771.8897369294	0	0	16719.3861027821	42166.165964278	0	18852.8312352641	0	70365.4600082593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2380.49725668653	17919.2948391433	0	0	0	423.400479086017	0	0	313.234140838393	0	0	0
GBM-BM-279	0	0	254670.836314439	42291.4816429106	9530.49508479177	80.905084202923	173106.128006637	63346.8234162004	1305958.31133441	130020.868420246	1135579.01489025	0	891359.79455549	0	33927.5057823916	0	5900.29221222745	20840.0764599642	0	377647.802646008	1579.91943768718	0	23510.1506291815	0	18222.219092541	41998.6134937168	5340.76750999755	0	31496.2254458854	0	29028.0012061334	0	0	35763.5558565477	248835.350725782	41766.8369387171	10649.9572702934	0	19905.1274001702	96619.4520756943	4854.51144269631	0	16087.934715647	5013.43214380919	45464.7359021451	2543.143998848	11428.8750962675	52784.7885078213	25781.4783119702	32185.3633952567	802.859126401455	9230.81604840748	8216.8194190989	0	16307.1214488703	6189.85811308639	1259.6013492103	199.16685269342	0	16015.4916428021	0	0	8927.21559212559	2194.75679952521	0	0	940.315213338054	1180.96656073756	0	29959.2352365508	21243.3635378532	0	0	12583.4236703266	0	0	58141.860868972	45697.1316287076	0	0	5339.73555739292	4900.94930990462	46807.0998502467	0	815.655338698856	929.789296770837	0	0	449.72494509737	4325.94531860527	8793.0617535238	10452.4415417674	0	1878.9793025087	0	0	3900.57445497715	32147.5939299273	0	0	3183.36739475991	0	0	0	17131.2387989271	0	0	0	7189.820186972	75.3325401379257	0	2980.07273164797	0	0	70.1727771147801	1609.84606322143	0	1440.1930550204	2526.63275717394	2396.81311951159	0
01-2020-90	443873.178754553	42767.6409465987	3005079.92120402	0	1290410.44948585	4795723.76427872	93552.8808446234	589965.720864708	997643.860702805	13512.5503240287	181802.104740295	9069.33721691719	0	39524.0191654895	0	0	791022.257155272	4784.64697880724	274995.260612953	1792761.80006007	0	0	0	1507305.55435137	73031.0284715201	118818.225220928	3874.66474040395	469.471573581596	172776.208886518	1035183.29548906	1125348.51213796	1119649.31014568	0	1033546.24201495	0	864420.631890536	0	0	10973.8980324698	0	8875.75640573257	28645.3872802563	0	21290.8407135965	0	0	3521.79893103986	206248.160250365	0	81178.1893831878	17791.1435287155	92999.5750614737	589246.270920778	12825.8719347478	107836.705896679	235004.056261416	3495.88653899152	0	14039.9437151301	0	267094.267425745	12207.0230422994	0	95727.2353891499	0	127248.136057593	9967.1253884742	0	0	197634.576281828	0	1084.5098201406	0	0	6247.17287118237	0	160371.794387144	76580.2640529641	0	192244.798735774	20306.9319449377	0	1015.15606495241	0	0	0	26551.8184285864	172.241194203637	0	0	31097.9189747134	81540.2007426866	0	0	0	0	0	3941.73210805846	0	348.293034296736	0	0	9606.63828733119	0	0	44785.7590096573	0	113.557247505938	27349.0055486616	7443.71568047313	0	5251.07003567726	0	0	0	0	0	0	0	0	0
02-2020-20	0	517705.143531519	554823.700926548	0	0	0	1442282.03048166	318094.574138782	3923491.28274553	0	0	0	0	1680388.1389415	0	296291.75879815	0	0	0	40269.4475140356	0	0	252598.023089056	552078.820574965	0	172890.22188021	93444.9191563431	0	34262.8645342157	0	82053.938187052	0	0	0	0	16944.3226203752	411279.719707914	0	101258.109356315	0	0	0	247632.351056593	0	0	846240.617617834	87035.0513068664	33105.6912820925	237874.492149561	85586.3139935724	8528.93001368658	0	4588.72784122946	0	0	0	37668.9867441544	0	0	0	0	0	0	7071.1097078328	0	0	0	0	0	0	208724.444127277	1109.94169081203	0	15117.7328165921	0	0	0	29052.8600018934	32311.8377323628	11341.024510212	97.1880203902518	39276.6764272455	0	0	0	13194.8632916746	0	0	0	0	0	18337.6536790541	0	554.970845406017	0	0	1306.1343301045	581.311523829543	0	0	13251.1778455456	0	0	0	167.127063100994	0	11215.6792128862	0	0	0	3626.83892914276	0	0	0	0	17409.3718394388	2357.94486853358	12961.4303828868	0	0	0
