feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1525	glioma_progression_overall	Y	0.50937288573566	0.00375783985986243	96	58	0	0
X1525	age_at_surgery	age_at_surgery	0.144679936619788	0.0019571832683703	96	58	0	0
X1525	grade_category	High	-0.586463818823555	0.00528212409241323	96	58	0	0
X1525	glioma_idh_mutation	Mutant	0.215166107266803	0.00545385613289434	96	58	0	0
X1545	glioma_progression_overall	Y	0.712188973554316	0.00222006459093192	96	35	0	0
X1545	age_at_surgery	age_at_surgery	0.897430019746577	0.00112894522799647	96	35	0	0
X1545	grade_category	High	-0.533887952828471	0.00329195112512461	96	35	0	0
X1545	glioma_idh_mutation	Mutant	0.523008080770109	0.003246274297111	96	35	0	0
X1543	glioma_progression_overall	Y	-0.42969526959676	0.00157591150789116	96	49	0	0
X1543	age_at_surgery	age_at_surgery	0.557048774673218	0.000924804076762804	96	49	0	0
X1543	grade_category	High	-0.724969261724742	0.00252393034791758	96	49	0	0
X1543	glioma_idh_mutation	Mutant	-0.839157294749998	0.0027688376190626	96	49	0	0
X1540	glioma_progression_overall	Y	0.224037320516819	0.00331215341725258	96	39	0	0
X1540	age_at_surgery	age_at_surgery	0.0793180928970396	0.0017286802240984	96	39	0	0
X1540	grade_category	High	0.496106537120377	0.00559225195088043	96	39	0	0
X1564	glioma_progression_overall	Y	0.747643408525636	0.00257591518056004	96	44	0	0
X1564	age_at_surgery	age_at_surgery	0.543136240564087	0.00130122593032837	96	44	0	0
X1564	grade_category	High	-0.249996774908453	0.00351901304118608	96	44	0	0
X1564	glioma_idh_mutation	Mutant	0.784392937933849	0.00351832080576015	96	44	0	0
X1561	glioma_progression_overall	Y	-0.350789209226205	0.00407297526161934	96	43	0	0
X1561	age_at_surgery	age_at_surgery	0.320541248499358	0.00218436570034561	96	43	0	0
X1561	grade_category	High	-0.358322580520853	0.00506278915553248	96	43	0	0
X1561	glioma_idh_mutation	Mutant	0.488424821146136	0.00543447209772735	96	43	0	0
X1536	glioma_progression_overall	Y	0.234519801892377	0.00296201597456987	96	42	0	0
X1536	age_at_surgery	age_at_surgery	0.104554339394647	0.00160935298933538	96	42	0	0
X1536	grade_category	High	-0.304455156559237	0.00347059821244467	96	42	0	0
X1536	glioma_idh_mutation	Mutant	0.972371709012949	0.00389625640314697	96	42	0	0
X1411	glioma_progression_overall	Y	0.956097898138574	0.0053870433406705	96	32	0	0
X1411	grade_category	High	-1.60469372720384	0.00865120853390379	96	32	0	0
X1411	glioma_idh_mutation	Mutant	-0.580669633115813	0.00891865324513577	96	32	0	0
X1468	glioma_progression_overall	Y	0.657820885873454	0.00319479293312025	96	44	0	0
X1468	age_at_surgery	age_at_surgery	-0.0829903923033885	0.00155624196389018	96	44	0	0
X1468	glioma_idh_mutation	Mutant	-0.246022262802925	0.00466592053159303	96	44	0	0
X2048	age_at_surgery	age_at_surgery	0.176076026370502	0.0023601266914994	96	35	0	0
X2048	grade_category	High	-1.56272142207948	0.0055230779000281	96	35	0	0
X2048	glioma_idh_mutation	Mutant	0.658836824366291	0.00643547804752434	96	35	0	0
X2524	glioma_progression_overall	Y	0.335119828935981	0.00623128994279827	96	57	0	0
