feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1411	X1468	X2016	X2043	X2048	X2524	X2492	X2502	X2497	X2483	X2479	X9712	X9649	X9418	X13165	X9422	X9467	X9450	X9447	X19351	X19300	X5989	X6001	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X7285	X7298	X4303	X4482	X4494	X5266	X5265	X5273	X4498	X3934	X3922	X6936	X6956	X6952	X6939	X5868	X19882	X19831	X19850	X14348	X969	X17008	X17007	X16955	X17130	X15888	X15878	X15873	X15877	X17167	X17153	X17151	X17137	X15892	X15494	X16971	X16988	X16987
01-2020-120-Or	1669	619824	0	50769	5977715	575050	0	548	379203	527	27097	0	463923	0	7380	317	2669	133	2333	0	0	677	25189	791	0	1181	1131	0	7010	172	59278	0	13148	5089	299	703317	77816	70180	43924	12053	2104	169	2052	275696	14340	1741	62187	0	0	4395	5646	5096	320535	9335	142392	36962	12486	88628	94521	128227	747366	16475	2195298	8740	441341	0	361	988369	0	991151	6435	394	448	656790	0	25102	0	0	582677	25533	0	15988	0	0	531432	32726	6905
GBM-BM-323-Or	3570	0	8456	3372	75872	0	0	0	0	1174	0	13571	2063	1154	81213	6264	5730	4864	5152	6216	132	2021	144872	0	956	34305	401	2418503	0	0	0	520	0	485	0	0	0	652	599	0	102	0	0	0	10450	4883	5601	158	0	3207	0	0	0	0	0	0	0	0	0	0	0	8356	0	30516	0	319	63	0	0	0	0	0	2309	0	1441	15124	0	1664	0	1157	1416	300	1843	0	10829	10814	0
GBM-BM-418-Pre-Op	693	29294	0	14713	1158899	0	1261	0	257245	1428	429453	363	457023	463	589325	0	35053	0	0	0	0	1338	574379	0	0	0	4285	0	225820	0	48149	0	175877	5234	1719	191229	398389	33152	37612	44734	11030	0	0	964138	32372	1036	227876	0	0	31779	279782	4256	6052	33040	12118	0	50873	17317	125751	17238	48507	530149	154140	30040	7887	0	0	112408	0	18231	285	0	0	27489	0	36196	800	0	347065	126062	0	25809	0	0	583312	41301	0
GBM-BM-385-Or-PreOp	4967	84166	11155	21174	1092912	144552	394221	71567	15110	17234	1086	10700	121768	39684	10143	7144	2979	3248	520	2016	1372	2716	34042	0	350	0	1425	66425	1255	425	24406	3440	38328	60871	22003	114058	164150	16638	59867	20097	36774	33877	19416	880003	0	8805	129601	0	0	7595	235857	50070	37874	1178	0	164799	60702	18564	5700	48349	271278	0	729001	46445	79767	33314	17503	85923	23948	177163	13601	87205	0	958067	0	125153	293	193084	515150	36479	16957	226575	866	4017	1477480	120339	0
GBM-BM-434-Or-PreOp	14980	73821	2509	30416	311782	579490	162707	38583	151820	11548	5615	47872	20841	0	32379	7868	2636	8716	1613	3100	0	5957	72460	5055	1483	75438	305	88491	38074	11505	39603	328	108812	34457	15761	185544	38184	1027233	49849	43271	18693	8101	7587	98261	5956	7779	8429	2359	2946	30688	22347	15856	9002	8341	9069	0	24551	13826	35587	70202	294658	14482	27529	44567	36195	8486	695	26186	4731	42088	8896	13934	272	50400	11902	7187	2746	33817	19200	15852	2811	594	6550	1376	130275	14306	22623
GBM-BM-405-Or	0	4905	3792	3039	81597	34736	0	0	9399	0	1305	0	21997	0	7074	0	1012	52723	10510	4099	0	1116	154246	0	2200	20714	555	95835	1514	3446	800	5154	440	427	4368	164227	8717	50557	335	12997	29208	982	0	18064	6945	2062	3659	716538	0	2316	10702	17770	1649	6972	19694	16017	1204	0	1134	1707	12771	0	30137	908851	5130	0	0	2010	0	5485	0	7216	47	0	0	54713	586	0	6957	10273	53811	533	18240	13341	43854	42164	5896
GBM-BM-463-Or-PreOp	0	3589	0	0	0	0	0	0	0	3201	0	0	0	0	0	0	30684	152083	0	0	0	107929	288497	0	0	0	27480	0	158911	0	36108	0	887478	72385	176060	3257	356032	155966	431220	1574	133256	35949	15652	1586	836438	33442	77634	0	0	18363	744481	153721	0	98062	124399	0	5970	52549	0	9733	47090	549072	0	93972	0	0	0	0	0	1865	17687	25850	16514	0	0	147819	1346	4298	42891	35926	0	56634	0	0	860595	125459	0
GBM-BM-426-Or-PreOp	17797	15038	0	9895	399	0	0	0	117	70734	2572	37094	56	1064	32844	269439	2062	58	0	11617	0	5452	50528	61229	6876	14842	9213	36566	35242	1168	186	12137	8305	111004	4500	0	20971	667688	43922	50970	18481	58411	0	0	201169	37474	6641	6633	13683	148594	7774	9423	2807	1663	5650	10832	0	1612	243	6474	6523	497	0	238505	2000	5462	21994	0	30728	5900	16217	119567	0	0	87692	320072	13709	100135	0	13506	68854	0	93408	0	258264	98209	20237
GBM-BM-456-Or-PreOp	0	0	0	0	2941	0	0	0	331	405	936	0	0	11	14337	615	1321	0	0	0	0	0	634764	1233	749	1889	19	1234	0	0	0	0	62494	13608	15936	959	2724	241913	7126	7865	11470	0	0	692	149333	1018	31037	17424	0	188842	11923	21342	0	24864	19896	0	0	0	317	394	475	27534	297	37920	29	1527	333	950	0	0	3982	2301	0	263	23584	67949	2316	4566	0	23427	252	0	11171	0	13207	10171	4105
GBM-BM-455-Or-PreOp	4828	21089	0	4192	379321	0	354449	19959	5035	204	359	0	28513	276	0	284	2261	1586	0	326	0	1966	611651	0	4827	0	12667	0	178	0	8325	1918	4598	7070	0	277827	26228	201251	312184	7061	164714	10322	3242	285620	0	0	8371	0	0	1370	29680	168	21374	0	2233	18486	16051	5239	0	10146	152469	84	297614	424505	46487	0	528	2026	1549	26478	1337	6018	0	65010	2122	152282	1218	1346	209109	2141	9589	15179	61067	14047	500256	247957	3071
GBM-BM-462-Or-PreOp	4522	21291	2778	2349	497773	32893	304619	3640	54493	3070	66053	0	49177	1907	101430	274	2881	0	0	1371	0	0	243033	0	0	12394	74	9554	564121	42	13299	21	30781	8609	8598	571914	524855	57935	33290	21115	5287	12157	0	403757	50087	8711	157426	0	1583	3990	171457	0	16537	7982	0	2515	15757	83	2995	13058	82541	21182	517273	37438	11856	175	0	6708	1524	9113	8190	2448	0	69921	35043	20406	1234	2249	138164	19786	2018	35434	736	3796	700366	13675	36740
GBM-BM-389-Or-PreOp	419	435	0	0	46198	21735	0	0	6897	1695	2227	0	2141	0	32562	600	722	173	0	0	0	2164	19932	0	0	0	666	0	78359	486	1447	0	3429	1143	153	33789	83978	5904	35949	12552	15347	10337	0	126129	11756	13373	67061	0	2909	0	26837	443	0	1337	1070	0	1439	543	947	1175	8399	0	34285	1292	1637	421	0	17137	0	2374	5083	5729	0	23944	0	12690	4770	1978	29283	154936	0	11437	3861	0	582928	85321	14601
GBM-BM-392-Or	0	0	0	0	13127	0	468	0	0	0	0	0	9913	0	2630	0	2910	0	64	0	0	0	103794	240315	0	192	2077	8443	0	0	0	0	0	4369	71	35636	770	553295	82654	16085	309430	99	4156	27399	23119	3637	3168	141	0	26128	0	0	0	0	0	0	0	0	0	0	23834	2293	6676	178695	14	0	147	0	0	1040	683	1029	0	1078	5400	142688	0	0	0	0	39980	0	0	0	251604	20926	537
01-2020-118-Or	30438	3562	7792	528	76681	34423	19928	18202	7981	8381	3175	11823	7792	4225	18661	4062	5424	0	7434	2560	33	2050	24806	599	2454	16613	0	545391	9792	14078	4765	1059	9267	40222	3367	130600	4246	165689	96733	36098	76235	0	14994	35374	294	6172	3544	22113	6317	332298	7342	1846	0	811	0	0	1505	1256	280	2361	24855	0	57749	56443	3885	3063	0	7082	3339	8213	9047	7840	0	1871	6087	19979	3547	1774	24982	8523	21045	1736	16322	0	101732	28185	69760
GBM-BM-451-Or-PreOp	10689	15231	2970	1191	0	77300	66674	9965	4842	10776	0	5966	0	0	0	0	0	0	0	206	0	1078	0	0	0	0	680	0	0	0	1989	1239	0	7678	0	66842	0	10876	0	15838	21554	120	0	337931	0	2381	774	0	0	294	0	0	919	0	0	5012	1118	0	0	1921	25238	0	19819	33351	7010	2546	0	1191	1020	4907	219	0	0	25216	0	282268	0	3617	0	12966	2313	3145	0	7702	191923	535314	0
GBM-BM-268-Or	10118	4325	0	903	41673	55961	56667	5902	0	3892	0	8249	15563	1187	9625	1305	8923	103347	25643	17628	858	33631	478211	0	22	120117	317	258887	10520	10938	4602	21	0	210	893	18123	12083	23154	18835	3457	10325	0	0	8334	166	0	2763	211893	0	406	3117	0	400	0	0	1700	4956	640	2622	0	1358	0	11113	28093	29	0	0	0	0	3154	0	1278	1919	0	1329	8817	16190	0	3490	394	2566	154	24008	593	190035	28030	2908
GBM-BM-284-Or	1177	773	653	1166	45793	0	0	905	5557	0	866	1246	10975	940	2689	5883	3323	35722	7914	570	3214	6736	2175	0	12062	0	1267	296532	12733	3276	1120	158	5915	15594	0	15811	6209	171506	139782	68856	79562	13363	11300	5148	8022	9826	3264	30457	0	343	3637	9741	0	430	425	0	0	0	480	443	2551	10031	9346	82915	720	0	5884	1895	972	647	35592	20452	0	3312	10756	423722	846	8585	5758	6469	11427	186	10135	117	16828	77241	0
GBM-BM-362-Or	1530	1535	1876	716	21874	25955	82026	563	2308	0	0	0	59	0	1539	0	55	0	0	0	934	1211	17839	0	0	0	3049	0	25636	0	2617	0	4809	1088	12720	363602	3750	50309	30899	41	11890	25841	0	74470	0	532	13199	0	0	98810	32859	2401	9885	0	4847	5029	721	0	0	1455	25750	0	84952	10896	6971	317	0	2639	0	9284	3416	2732	12134	35214	0	53157	0	1712	320354	704	0	8486	0	0	198927	33281	0
01-2020-123-Or	1012	0	513	0	786	0	0	0	0	0	634	1664	0	1432	7701	1822	1475	2072	3723	7790	3152	484	7252	0	2979	342560	2253	42599	22646	1626	0	1602	0	1663	769	20494	18978	4885	24051	92809	1769	8537	906	0	22341	196	1891	261	3124	0	7235	1084	0	0	0	440	0	0	0	0	121	11527	2098	10290	0	2842	9408	346	9885	0	13229	5255	5612	0	19289	54721	5364	15899	4854	179	254	0	2908	200	18366	117413	313318
GBM-BM-440-Or-PreOp	368	0	0	0	0	0	48807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13694	0	0	0	1660	0	0	0	950	0	0	0	0	92741	145	2092	20466	4129	5073	0	1650	116355	0	0	8505	0	0	0	16367	0	0	0	0	0	0	0	0	0	17383	0	24803	6431	660	0	0	0	0	500	0	0	0	0	0	70548	0	0	0	0	0	623	0	243	279571	56241	0
GBM-BM-318-Or	11449	25470	130992	1494	31630	0	6965	4731	66077	8024	41756	0	23889	0	4928	16713	1786	15154	4312	11332	927	151	99093	107509	0	9736	7138	66612	39412	6730	3677	4554	0	5688	0	2620	222	257613	28054	7335	8069	4869	89678	475	0	5720	0	259	3850	263	0	557	541	0	0	0	0	0	0	0	2658	0	1953	153136	1044	1531	23	0	0	0	1338	1438	1120	0	12177	75262	24508	22899	0	0	31932	0	41532	0	6573	1965	569
GBM-BM-435-Or-PreOp	0	0	0	0	6006	0	0	2035	0	0	0	0	860	0	3468	0	2468	0	777	0	447	0	134212	0	0	0	3001	0	0	0	0	0	298	302	0	12692	18585	83075	49036	133477	81434	2574	1210	31759	24587	4012	4169	1622	0	12623	7488	0	0	0	0	0	0	0	0	0	2086	8376	14913	97725	0	0	0	0	0	160	10493	2490	0	625	11807	251395	0	0	9691	114	7101	0	0	1898	173721	118550	1812
GBM-BM-287-Or	860	19252	3266	2837	113057	28855	43843	5433	58413	2023	0	0	15124	1253	2131	4302	2423	42790	0	6324	3477	730	30392	0	0	1333	0	0	0	0	3334	0	0	0	0	3966	11150	231289	5310	19910	1330	110	0	12216	0	1299	16611	0	556	14130	271	1626	1553	0	1279	1637	2044	1710	4029	2782	25768	0	22442	14707	8775	1590	0	3911	202	6187	0	1948	0	2547	2897	1838	0	6736	920	5042	0	1292	0	394	59744	9243	0
GBM-BM-458-Or-PreOp	860	14620	0	489	73242	0	16763	207	18440	628	9755	0	20618	1190	11858	1714	510	1023	1545	0	0	210	21875	9179	415	24369	2263	36766	20386	1218	14088	0	2392	4082	0	104218	14831	204533	40647	21982	54920	4500	0	71176	585	3846	9176	0	0	47089	14348	1273	0	0	0	1422	4886	1832	1111	1892	39946	24669	9801	38357	2323	19	0	0	115	729	8278	3633	0	0	6867	41025	5016	2501	7113	10381	0	1304	6162	0	68656	62044	8915
GBM-BM-327-Or	3052	0	0	0	23650	10124	8088	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	2487	0	0	4965	0	14453	0	0	0	0	0	0	0	13230	13325	189695	0	7093	18	0	439	0	965	818	2807	10970	14500	0	0	0	0	0	0	1766	0	0	0	0	2897	0	26987	66413	1520	0	0	0	0	3430	0	0	0	4339	0	14386	0	0	10620	0	2151	186	1040	0	23075	12104	314
GBM-BM-386-Or-PreOp	0	0	0	0	1926	0	0	0	0	0	28	0	1080	0	2934	0	123	0	0	0	0	0	1996	0	0	0	0	0	0	0	0	0	0	0	873	9399	5127	150099	12726	2806	23153	0	29	11612	4994	9094	1331	3296	907	204925	3694	0	0	0	0	0	0	0	0	0	1203	0	1927	696	0	0	440	975	0	0	0	0	671	0	0	12827	0	0	5122	0	0	0	0	0	72825	41973	529
