feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1411	X1468	X2016	X2043	X2048	X2524	X2492	X2502	X2497	X2483	X2479	X9712	X9649	X9418	X13165	X9422	X9467	X9450	X9447	X19351	X19300	X5989	X6001	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X7285	X7298	X4303	X4482	X4494	X5266	X5265	X5273	X4498	X3934	X3922	X6936	X6956	X6952	X6939	X5868	X19882	X19831	X19850	X14348	X969	X17008	X17007	X16955	X17130	X15888	X15878	X15873	X15877	X17167	X17153	X17151	X17137	X15892	X15494	X16971	X16988	X16987
01-2020-120-Or	382.776227845332	142153.320939488	0	11643.5987486397	1370956.97952933	131884.643392725	0	125.68087049685	86968.1809033154	120.864632758832	6214.5520946225	0	106398.260006405	0	1692.56354793202	72.702255378652	612.120882036663	30.5028390074471	535.061078228376	0	0	155.266330887531	5776.96249442544	181.411621465343	0	270.856036599962	259.388803890396	0	1607.70602588123	39.447280520909	13595.0924111537	0	3015.42351330762	1167.13494517969	68.5740516032081	161301.994151885	17846.6836105526	16095.4078311476	10073.7345907	2764.29111696812	482.541152418561	38.759246558335	470.615230400612	63229.4037819333	3288.80234110369	399.289042947108	14262.2560101963	0	0	1007.9697551709	1294.87991756426	1168.74035775902	73512.9887312184	2140.93234687608	32656.843999612	8477.03710821999	2863.59735223296	20326.3580116693	21677.8860588188	29408.1769729918	171404.396824358	3778.45317780218	503479.860656921	2004.47227763224	101219.199025456	0	82.7934201630706	226677.146518432	0	227315.183346392	1475.83284972122	90.3617937513845	102.746405077716	150631.275426324	0	5757.0095095108	0	0	133633.855070242	5855.85705546726	0	3666.762331211	0	0	121881.088266208	7505.53315306551	1583.62483719114
GBM-BM-323-Or	5383.22247978888	0	12750.8485403627	5084.65719939723	114407.802797351	0	0	0	0	1770.28100595858	0	20463.7849504804	3110.80895680797	1740.12289682811	122461.525840643	9445.51977966318	8640.29826587963	7334.45214053028	7768.72891200905	9373.14031775005	199.043520261101	3047.47692763399	218453.279297472	0	1441.55761643646	51728.6966860385	604.670088065922	3646873.87031844	0	0	0	784.110837392218	0	731.334146413895	0	0	0	983.154357653319	903.235368457574	0	153.806356565397	0	0	0	15757.6120206705	7363.10234420423	8445.7784619881	238.249062130712	0	4835.85279907085	0	0	0	0	0	0	0	0	0	0	0	12600.0579947103	0	46015.242911271	0	481.021840630995	94.9980437609802	0	0	0	0	0	3481.75369911275	0	2172.89176285036	22805.5621244614	0	2509.1546796551	0	1744.64661319768	2135.19412643727	452.371636957049	2779.0697563728	0	16329.1081886929	16306.4896068451	0
GBM-BM-418-Pre-Op	106.765922740253	4513.13267063919	0	2266.73451843772	178543.89768796	0	194.27392290831	0	39632.0343366757	220.002507464763	66162.9809791771	55.9250071496561	70410.5083817006	71.3313452074127	90793.4017588736	0	5400.38367938539	0	0	0	0	206.136803212782	88490.7704727613	0	0	0	660.161585774867	0	34790.5926020258	0	7417.99771142918	0	27096.2051858404	806.367733942976	264.834951212834	29461.3862044672	61377.1561249156	5107.50919290744	5794.63187028338	6891.8712667568	1699.31908777054	0	0	148538.359623292	4987.33975605694	159.609662278357	35107.3469124932	0	0	4895.98017137444	43104.1607447523	655.693747738117	932.391579255424	5090.25409428275	1866.94004583893	0	7837.66636012247	2667.9155614617	19373.6241710094	2655.74455439607	7473.15240167595	81676.5471498156	23747.3294822259	4628.06395255006	1215.09788261526	0	0	17317.9564839629	0	2808.72949130959	43.9080634646061	0	0	4235.04826869669	0	5576.47812338555	123.250704462052	0	53470.0071801526	19421.537882369	0	3976.22178932638	0	0	89867.0186514607	6362.97168123402	0
GBM-BM-385-Or-PreOp	993.832895399828	16840.5354286736	2231.97220619792	4236.64540511294	218677.651978501	28922.9983281329	78878.5580546438	14319.6373716689	3023.31690144784	3448.3020171775	217.294649567991	2140.93255099218	24364.2126045996	7940.25863117511	2029.48400604801	1429.4226303073	596.059632654739	649.883077160991	104.045320235134	403.375703065443	274.519575697315	543.436711074277	6811.36690662391	0	70.0305040044171	0	285.124194875127	13290.7892242669	251.10937864441	85.0370405767922	4883.32708780515	688.299810786271	7668.94044994657	12179.5051692939	4402.51765602626	22821.5406449594	32844.3063780716	3329.05007321569	11978.6176663784	4021.15153993363	7358.00501216696	6778.35252616468	3884.89218785646	176077.296043997	0	1761.76739359684	25931.4952842185	0	0	1519.66193689585	47191.9559513423	10018.3638157176	7578.10088189512	235.702667763438	0	32974.1629412112	12145.6904402175	3714.41793239428	1140.49677950051	9674.01382317018	54279.2430437436	0	145863.73557064	9293.04788138615	15960.3520369153	6665.70345829472	3502.12546168375	17192.0885587758	4791.68717113652	35448.0405169559	2721.38538561165	17448.6002905863	0	191696.899657143	0	25041.5076218995	58.625536209412	38633.6281005396	103074.897536787	7298.97930164895	3392.87787543686	45334.7469851452	173.275475622358	803.75009881641	295624.768732703	24078.2880611073	0
GBM-BM-434-Or-PreOp	8835.83912826393	43542.7556934294	1479.91457762445	17940.6463902053	183902.242662776	341807.771457788	95971.487118988	22757.8892580646	89549.8729274386	6811.500016902	3311.96506710294	28236.935296946	12292.9054253771	0	19098.5070182949	4640.87999073302	1554.82456222321	5141.06634458935	951.415788644174	1828.511435088	0	3513.69116736103	42739.9801891859	2981.65332399027	874.736276850161	44496.5308516672	179.901931516722	52195.7436781845	22457.6594772711	6786.13679377013	23359.5285044484	193.468306680278	64181.9310563855	20324.1995222023	9296.50604142643	109441.717971602	22522.5421410968	605905.576451532	29403.0537186134	25523.0704218364	11025.9239535806	4778.31326956383	4475.13427677827	57958.5039107038	3513.10132496262	4588.38401727404	4971.78157624411	1391.43821786212	1737.67570573201	18101.0835225743	13181.2080773908	9352.5410692759	5309.76127053618	4919.87544518354	5349.28071123002	0	14481.2207234985	8155.16100049247	20990.7214324118	41408.1160535637	173801.781432309	8542.09761385302	16237.7713859798	26287.5061701828	21349.3456106484	5005.40259295379	409.940466898761	15445.6130449078	2790.54438690365	24825.2868645109	5247.23797630414	8218.86397952134	160.437132369011	29728.0568801403	7020.30422594108	4239.19731741208	1619.70722604892	19946.7003872164	11324.9740495773	9350.18169968224	1658.04698194592	350.366384658797	3863.46770962141	811.623140219705	76841.718453577	8438.2853517319	13344.0045793535
GBM-BM-405-Or	0	3286.33525459335	2540.62860049296	2036.12086416089	54669.744703171	23273.0155766676	0	0	6297.30174473453	0	874.346076910157	0	14737.9238726381	0	4739.55873414747	0	678.036957726497	35324.2515041642	7041.66840484732	2746.31767758983	0	747.71664508179	103344.356305812	0	1473.99338636195	13878.3177295916	371.848331559492	64209.161900908	1014.37544861454	2308.80964063786	535.997595040709	3453.16450604977	294.79867727239	286.088716352979	2926.54686892227	110031.596300938	5840.36379496233	33873.0380155914	224.448992923297	8707.95092843012	19569.2721949363	657.937047912471	0	12102.8256960192	4653.12912194716	1381.53380121743	2451.51900031744	480078.3059441	0	1551.71303764285	7170.30782765709	11905.8465798418	1104.82504277766	4671.21904077978	13194.9207959147	10731.3418497088	806.676380536268	0	759.776590970206	1143.68486841811	8556.53160783112	0	20191.6994021773	608927.43781293	3437.08457819855	0	0	1346.69395753978	0	3674.93351099786	0	4834.6983072672	31.4898587086417	0	0	36657.5455218279	392.61823836732	0	4661.16908587277	6882.87911731651	36053.2082334195	357.108397695873	12220.7451669282	8938.42989429763	29382.0481661441	28249.7532466206	3950.30227545003
GBM-BM-463-Or-PreOp	0	559.66791255404	0	0	0	0	0	0	0	499.163273359009	0	0	0	0	0	0	4784.85656974315	23715.7913471597	0	0	0	16830.4257826818	44988.1620975489	0	0	0	4285.22547700892	0	24780.5482451588	0	5630.67400013967	0	138393.134493629	11287.7018250834	27454.7597337042	507.895901696436	55519.5559326943	24321.3055584852	67244.3569940243	245.4492321984	20779.912888075	5605.87957325305	2440.7696203109	247.320509699278	130433.967523231	5214.93851536144	12106.2297919254	0	0	2863.52239571742	116094.212094217	23971.2207260294	0	15291.7678575855	19398.7541526358	0	930.960556686436	8194.48011613325	0	1517.7619930032	7343.20479302584	85622.1733301398	0	14653.9741093698	0	0	0	0	0	290.827711594674	2758.10709650134	4031.04361647309	2575.18972079059	0	0	23050.8640751813	209.894959681733	670.229224897538	6688.41360751054	5602.29295804303	0	8831.49416539022	0	0	134201.005072289	19564.05033188	0
GBM-BM-426-Or-PreOp	16012.9068746482	13530.4879238613	0	8903.05745488813	359.00150828705	0	0	0	105.271118971391	63643.1395668577	2314.16511106339	33375.4434796989	50.3861766016913	957.337355432135	29551.4925768919	242428.58995327	1855.29100272656	52.1856829088946	0	10452.4323853901	0	4905.45419343609	45462.7273451832	55090.9858418742	6186.70268416481	13354.1363057554	8289.42580413182	32900.3738145972	31709.1006392286	1050.9116834067	167.354086569903	10920.304025263	7472.44994066154	99876.1990623954	4048.88919120734	0	18868.7233841798	600754.383621965	39518.9580124908	45860.4182390751	16628.3380317117	52555.4814550248	0	0	181002.442156886	33717.3496780675	5975.26069306843	5968.06266783961	12311.3224007311	133697.920106281	6994.68101609907	8478.37396638816	2525.60710215978	1496.28949443951	5083.60531784921	9746.12615981286	0	1450.40208360583	218.640016325196	5825.00191641695	5869.08982094343	447.17731734001	0	214595.625899757	1799.50630720326	4914.4517249721	19789.1708603143	0	27647.6149038709	5308.54360624962	14591.2968919576	107580.785316686	0	0	78901.1535456342	287985.791379581	12334.7159827247	90096.7820358992	0	12152.0660925436	61951.6036380866	0	84044.1425716211	0	232373.848461771	88363.8574620625	18208.3045694362
GBM-BM-456-Or-PreOp	0	0	0	0	5946.46728171138	0	0	0	669.255583218792	818.877677352299	1892.51729876976	0	0	22.2411221009266	28988.2697782714	1243.4809174609	2670.95657230219	0	0	0	0	0	1283442.14811569	2493.02759549478	1514.418223054	3819.4072407864	38.4164836288733	2495.04951568577	0	0	0	0	126357.880415937	27514.2899590372	32221.3201636697	1939.0214631626	5507.71060026583	489128.779163769	14408.2032810185	15902.4023021625	23191.4245906935	0	0	1399.16877216738	301939.407881607	2058.31475443121	62754.33696786	35229.9374078678	0	381823.452707562	24107.3544372135	43151.8207161796	0	50273.0236288581	40228.1241200033	0	0	0	640.948700544885	796.636555251372	960.412090721832	55671.5505388103	600.510296725019	76671.2136424671	58.6356855388066	3087.47213164681	673.299423600779	1920.82418144366	0	0	8051.28620053544	4652.43835947565	0	531.765010231246	47684.9657843867	137387.455057806	4682.76716234055	9232.08759207554	0	47367.5243144007	509.523888130319	0	22586.8704535865	0	26703.4999624489	20564.9502625932	8299.98238402762
GBM-BM-455-Or-PreOp	1080.0258711779	4717.61922064431	0	937.752371992078	84854.2861394101	0	79290.4080391747	4464.83768907202	1126.33186855442	45.6348959652634	80.3084688800468	0	6378.37151302723	61.7413298353563	0	63.5309335987	505.786763615002	354.788946082881	0	72.9263533562542	0	439.795124841705	136826.616431614	0	1079.80217070748	0	2833.61385878427	0	39.8186837343965	0	1862.3064162295	429.057502261643	1028.57476298177	1581.56232585496	0	62150.0305948099	5867.21593812219	45019.9433720844	69835.7076569597	1579.5490216212	36846.5992844235	2309.03625565416	725.236925095018	63893.328360777	0	0	1872.59663786872	0	0	306.469644472602	6639.42996200498	37.5816790302169	4781.37385471343	0	499.523150443299	4135.32689614636	3590.61625067864	1171.96676451968	0	2269.6649728606	34107.3870241556	18.7908395151084	66576.39180297	94961.9681947751	10399.1637683196	0	118.113848380682	453.217153066782	346.512028677416	5923.14105572668	299.087528948809	1346.22943097527	0	14542.7675818714	474.692398226906	34065.5550361874	272.467172969072	301.100833182571	46777.7816686287	478.942707164847	2145.0638108378	3395.54944047418	13660.7166270134	3142.32050796105	111907.502529406	55468.0975434255	686.984144653548
