feature	X1524	X1525	X1522	X1521	X1520	X1568	X1552	X1547	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1699	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2041	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9733	X9738	X9418	X9416	X13165	X12664	X9269	X9434	X9430	X9422	X9467	X9450	X9463	X9447	X19337	X19351	X19322	X19317	X19300	X3607	X5989	X6001	X6055	X6050	X6070	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8245	X8235	X8236	X6833	X7295	X7285	X7298	X4303	X4482	X4481	X4494	X4479	X5266	X5265	X7281	X5286	X5285	X5273	X7282	X4498	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5842	X5884	X5880	X5882	X5878	X5898	X17525	X19880	X19882	X19831	X19850	X19849	X19893	X19827	X19800	X14348	X14386	X969	X985	X962	X14784	X17008	X17007	X15903	X16955	X15897	X15899	X17130	X15888	X15887	X15878	X15876	X15873	X15874	X15875	X15872	X15877	X17148	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X15894	X17248	X17234	X17300	X15494	X16971	X16988	X16987
GBM-BM-460-SL-PreOp	0	16257	0	0	1071	7937	5014	0	2226	0	20651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	1700	1920	717	0	2949	0	1078	6828	0	0	0	493	10241	739	4584	97	16422	536	466705	2705	56689	0	6758	0	27609	3667	0	5584	0	7413	13060	0	0	37699	1326	5703	0	843	4280	5216	0	35147	0	0	797	0	19503	558537	204849	102693	580737	460362	134578	42024	2829	4133	70920	217794	0	304487	53731	8268	1015	17148	5559	6195	2391	27762	3626	1304	840	0	0	229	1691	1196	0	1081	2183	5312	2373	0	252	0	10091	874	4086	0	493	1095	186607	0	387903	81235	0	11897	13657	0	2286	106	0	917	0	0	8502	6656	0	0	0	544	2103	0	22617	0	35738	3121	384	371	10985	4612	0	399	17594	5844	7878	42185	40354	140226	0	64516	145880	2063	87549	233008	16369	82922	0	1636	45628	53299	9222	11973	33196	14241	14350	0	0	0	7233	1612477	829507	43000
01-2020-123-SL	675	163	0	0	4208	903	798	0	580	0	0	0	0	0	0	488	1095	0	2644	0	0	2720	557	245	0	0	0	0	4299	605	195	6958	0	211	2931	1425	2909	1768	4945	6182	1138	9922	16230	0	4356	168877	0	35888	187234	2348	1702	366056	8191	0	376	153679	2747	16951	161005	0	484996	0	0	0	168	4081	0	0	473	0	6144	1032	2139	0	159757	461874	7738	303095	156683	12091	20256	58953	40796	0	1756	336212	113876	62360	2680	2120	4931	131	389	0	3975	3153	0	729	0	0	0	346	1206	0	0	0	591	0	0	0	471	0	1591	640080	31287	162	798	198	76457	25586	55713	1886	0	1557	135	349	0	0	0	3250	2606	0	7044	5387	805	0	0	0	6861	37943	9631	0	935	0	0	28658	0	0	0	25906	0	160	31284	5243	249427	2106	2721	0	7917	0	64711	19879	6862	437388	0	97122	13029	166452	9598	9349	2503	0	0	0	0	459	3637718	197434	4948093
GBM-BM-456-SL-PreOp	0	1153	23585	2163	0	50162	743897	514	436221	211062	0	162366	0	326972	2504	2565	0	0	51616	1851	0	0	1551	2373	0	0	37418	217429	1047	0	299	304668	0	0	128704	0	0	462	3882	75349	0	161	0	1057	0	247371	4189	3043	0	2272	0	4338	0	7062	0	0	412	11613	12427	0	2191	0	7604	31750	0	0	0	272532	18620	95938	35701	762	50616	0	368514	75534	133238	23507	18667	16453	0	0	0	4525	50015	142403	4889	46218	10708	6670	1352	36111	2705	70993	170083	127448	3070	0	61869	30550	77115	0	0	58145	315	12250	0	11592	103	95231	0	98628	4829	4060	105220	15884	0	132528	220142	52997	21368	0	111590	8362	0	0	17269	0	0	2053	0	1474	2979	2393	214088	0	0	7323	0	2253	0	107558	1419	0	2686	10981	15622	79	0	2994	7077	241200	33230	8022	103886	1035	11206	0	382	2192	25200	2448	147258	1038778	0	21440	0	1533	29989	2130	32073	1148	0	0	0	0	190786	16600	6741
GBM-BM-292-SL	0	0	740556	0	2984	17588	2664565	0	1476352	1244	0	27566	0	1419439	0	0	0	772	16573	7146	0	0	0	0	0	0	0	235423	0	0	0	0	0	0	39191	0	0	2113	11200	78346	0	5098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27185	0	0	0	427516	24161	4847	1831	0	387962	1881	502529	0	6419	724571	495	0	0	16074	11590	0	0	0	907	0	0	436	326251	0	18033	0	0	0	44536	0	19814	325433	25633	122935	13924	189923	0	493373	173788	0	43514	20630	114213	14	110396	0	248669	0	348015	0	0	0	0	0	505144	91705	1784714	9855	0	245630	770	0	0	95208	15883	0	0	0	0	0	0	309533	0	0	0	0	1173	0	113634	838	0	263	8248	0	0	0	0	0	929359	3124	428	1852	0	0	398	1052	157	28332	0	1732713	110886	0	85600	0	0	123267	31066	127	5422	0	76593	0	0	1822816	31917	0
GBM-BM-339-SL	0	0	1193662	0	0	0	0	0	4819572	513030	0	571940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967382	0	0	0	0	0	0	0	0	0	0	0	0	332534	0	0	0	253005	0	0	0	0	0	0	0	932	0	0	0	2030924	319577	24491	0	0	0	0	0	0	0	98828	0	0	278194	0	0	0	0	0	1740	0	5024	404904	0	0	0	0	354234	0	0	0	0	0	0	0	0	0	264074	0	0	0	0	0	1185072	0	1216137	0	0	371744	0	0	0	64178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270851	0	0	227561	0	0	0	3670	0	0	4108832	0	0	0	0	0	0	0	0	0	0	0	0	0	962452	1302588	0	0	196927	0	0	73079	0	310225	0	3987245	0	0
GBM-BM-384-SL-PreOp	0	12847	555561	0	63668	141505	4443509	0	0	994321	1999	0	0	909987	4342	126	987	255	127403	0	281	0	2370	217734	0	5228	764	437634	472	0	1099	5049	0	0	20228	0	0	0	6678	27026	340	1338	337	514	2038	451297	0	5552	0	15985	373	6378	0	0	0	0	32348	4868	0	3326	0	477	183881	0	367	1621	0	145282	26440	551459	132325	0	15536	21860	830405	108290	212213	80231	78793	34685	16892	9141	0	14470	513025	1204	4050	60444	2046	10621	0	54157	3117	24410	148351	197709	151744	1374	18606	674176	138329	9538	1013	78445	62245	47379	0	57091	210	248289	0	227651	777	5017	0	11452	0	1374541	202656	1725277	135907	0	442796	1060	0	4503	724721	3260	2543	7177	0	1959	1320	1717	174422	1291	1627	25192	0	1804	0	527174	1807	0	12490	15658	28525	4887	0	593	2561	640665	2122	23121	114130	1329	58467	11506	7983	0	19894	16429	1231952	147670	2379071	290415	796	3141	90334	15203	2151	0	0	0	115183	70	1438149	50068	8697
GBM-BM-284-SL	4260	8410	367246	0	66994	79766	4422145	0	0	0	11255	2035	0	878359	1996	0	147	2142	23063	13723	1961	961	59280	1628	67282	0	65536	642859	7186	0	0	15193	84400	0	42633	55	1156	1060	13549	110361	44495	4152	9450	0	35296	69786	0	0	0	80925	0	0	2423	46676	489	0	6748	525948	670332	0	28134	1474	207677	1109	15075	2184	1253	117635	71208	12661	0	6553	54692	0	1439205	264460	243354	63277	102171	53038	34415	36378	12781	0	348181	143646	31566	151182	32	33163	0	53105	26413	7224	164069	163171	92599	4047	25128	0	86413	114	376	22561	13856	26488	165	26387	619	388267	741	270825	0	6752	12660	53401	722	641642	122055	1214498	128776	420	156557	1991	83	4303	63684	1731	618	3161	0	963	1080	19169	484029	0	20756	85839	467	14505	3455	223799	1675	0	2527	65942	68673	1324	88	19638	0	489740	47650	0	608851	5496	10926	538	22497	12297	53595	10562	292572	1763084	1740573	94164	197914	32244	128180	37554	18188	478	0	1844	0	1546	581274	88584	0
01-2020-116-SL	0	34659	0	516	193	2310	3380815	0	685	0	16775	355194	0	0	8057	0	3403	0	0	15102	0	1624	6734	23661	379148	0	0	0	2406	0	0	0	0	0	0	350	599	872	72950	168595	26540	0	2170	0	5700	228745	0	0	0	0	21	0	2001	0	5841	26276	0	0	3532017	173794	0	0	105745	0	0	570	73	0	1228	0	0	0	954	200	17200	648461	27203	371	5827	0	0	10091	6405	0	20344	0	355	677731	0	0	0	0	0	3327	51839	0	702353	0	14800	0	0	135	168	475	0	39408	0	137	662	7228	2685	990	711	2542	0	3632	0	26691	836	1636053	161741	2280	2067	2477	104	0	233	0	0	170	0	149	2340	1587	7473	0	0	0	1236	157	1704	648	1469	0	1763	172	0	1607	0	0	0	9751	0	0	11423	0	0	0	459	0	23791	0	16384	28238	0	118947	0	17966	285233	106403	0	0	77876	832	17157	0	6459353	49205	702
GBM-BM-463-SL-PreOp	483	0	5022	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	774	1427	0	0	0	0	0	729	0	0	0	0	0	58160	0	0	0	0	5586	33372	65554	0	0	0	0	146656	390329	0	0	0	0	0	0	0	0	0	0	2093	0	142018	0	0	735	50328	0	0	0	0	134551	97709	0	0	0	188344	0	4004	819852	436929	1107949	14994	746571	214270	82870	0	0	13038	2840546	208593	172279	0	0	0	0	35723	40478	1795354	146100	0	0	96396	0	139889	0	0	0	56661	15794	19406	11685	0	0	0	16769	0	4856	0	0	29873	121482	1007343	0	279407	0	0	0	0	0	5765	0	0	1430	0	0	0	0	0	49185	0	0	0	0	0	5893	0	0	0	99387	55238	0	7726	205192	0	0	0	0	464745	0	10122	0	42166	0	49443	0	97577	0	0	181385	0	0	0	114583	0	0	0	0	0	0	3856772	374845	0
GBM-BM-357-SL	0	11049	45025	24388	0	41072	103372	0	576655	437498	5089	0	0	109991	1346	0	0	106	33177	0	0	0	6501	0	0	0	0	10652	0	0	43	0	0	0	845	0	0	0	1208	41049	8881	11669	0	30772	1338	53986	0	0	0	0	8004	60061	0	0	12966	0	13466	0	239852	0	0	0	12364	0	0	1564	0	0	0	0	0	0	0	0	46739	3457	2014	0	16571	10434	0	0	0	0	0	0	0	34756	0	0	0	0	0	0	0	57	60909	420	0	0	0	28911	0	0	0	4868	0	20258	0	24247	0	7196	65	133	0	42831	0	64878	9397	178157	27656	0	26101	0	0	0	5194	0	0	0	0	0	0	821	5302	0	0	0	0	1027	0	23652	0	0	1112	0	0	0	0	0	0	54948	0	2504	12799	0	493	508	0	4149	0	0	143106	0	88556	28158	0	202	3585	14795	7593	922	7026	37	3515	3575	843851	15309	248
