feature	X1524	X1525	X1522	X1521	X1520	X1568	X1552	X1547	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1699	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2041	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9733	X9738	X9418	X9416	X13165	X12664	X9269	X9434	X9430	X9422	X9467	X9450	X9463	X9447	X19337	X19351	X19322	X19317	X19300	X3607	X5989	X6001	X6055	X6050	X6070	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8245	X8235	X8236	X6833	X7295	X7285	X7298	X4303	X4482	X4481	X4494	X4479	X5266	X5265	X7281	X5286	X5285	X5273	X7282	X4498	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5842	X5884	X5880	X5882	X5878	X5898	X17525	X19880	X19882	X19831	X19850	X19849	X19893	X19827	X19800	X14348	X14386	X969	X985	X962	X14784	X17008	X17007	X15903	X16955	X15897	X15899	X17130	X15888	X15887	X15878	X15876	X15873	X15874	X15875	X15872	X15877	X17148	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X15894	X17248	X17234	X17300	X15494	X16971	X16988	X16987
GBM-BM-460-SL-PreOp	0	17655.590062494	0	0	1163.13815322206	8619.82028209478	5445.35452871655	0	2417.50282826546	0	22427.6059777673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592.972391838698	0	1846.25103686042	2085.17764163059	778.683525546423	0	3202.70253394198	0	1170.74036337384	7415.41298804878	0	0	0	535.412800689521	11122.0334520515	802.57618602344	4978.36161939303	105.344912103212	17834.7850160716	582.112091621872	506855.641269377	2937.71120865143	61565.9558991648	0	7339.390886531	0	29984.2028686348	3982.47208951009	0	6064.39164107563	0	8050.7405507331	14183.5520831747	0	0	40942.2457874123	1440.07580875112	6193.62921365586	0	915.52330827843	4648.20849280152	5664.73259309643	0	38170.6971720783	0	0	865.56592728103	0	21180.8435128757	606587.950220533	222472.163911658	111527.681016651	630697.816701887	499966.952841844	146155.748258001	45639.3256311895	3072.37893134007	4488.56207961418	77021.2491377298	236530.82254234	0	330682.023212069	58353.4790950277	8979.29621927172	1102.32047200784	18623.2428118132	6037.24089053356	6727.95598432369	2596.69778184309	30150.3654619523	3937.9448586211	1416.18314827411	912.265218213382	0	0	248.700874965315	1836.47676666527	1298.89190593239	0	1173.99845343889	2370.80353733311	5768.99147517796	2577.1492414528	0	273.679565464015	0	10959.1289487991	949.19023895059	4437.5186685951	0	535.412800689521	1189.20287374244	202660.804256125	0	421274.303500745	88223.6488113858	0	12920.4991679579	14831.9120061192	0	2482.66462956642	115.119182298355	0	995.889529882942	0	0	9233.42724434545	7228.61582431937	0	0	0	590.800331795333	2283.9211355985	0	24562.7410003953	0	38812.5409148927	3389.49969767139	417.035528326118	402.917138044244	11930.0397881833	5008.77046000014	0	433.325978651357	19107.6122014836	6346.7594467131	8555.74451081551	45814.1764646804	43825.6554949796	152289.645820464	0	70066.3128788745	158430.059563057	2240.4799347312	95080.8423682898	253053.683292219	17777.2254249224	90055.7814579644	0	1776.74511547273	49553.3778293336	57884.3141256608	10015.3688599569	13003.0374496057	36051.8525997755	15466.1535387819	15584.5308111453	0	0	0	7855.25514683023	1751198.43127269	900869.505195867	46699.2909323517
01-2020-123-SL	786.525379110333	189.931313770347	0	0	4903.25747451301	1052.19617383205	929.847781525994	0	675.829214642953	0	0	0	0	0	0	568.628718527174	1275.91894833454	0	3080.84904054477	0	0	3169.40597211867	649.029090614008	285.479582047454	0	0	0	0	5009.29274784492	704.959784239632	227.218442854096	8107.6201301477	0	245.862007395971	3415.26797951465	1660.4424670107	3389.63307826957	2060.11388187714	5762.0266662231	7203.40724986678	1326.02352804083	11561.34046153	18911.565782164	0	5075.71044652535	196779.328071134	0	41817.5152674246	218169.322714584	2735.94309652009	1983.20917814191	426536.791371277	9544.33982265591	0	438.123766734052	179070.272201921	3200.86698728309	19751.6914093322	187606.694316532	0	565128.389284437	0	0	0	195.757427689683	4755.27418096188	0	0	551.150376769167	0	7159.12878407983	1202.50991295091	2492.41153469185	0	186152.496282266	538186.108075861	9016.49390156408	353173.199676217	182570.601444658	14088.7086797378	23602.7527100132	68693.3787773207	47536.4286906447	0	2046.13120847073	391761.882609545	132690.909735657	72663.2928019561	3122.79706076399	2470.27230179838	5745.71354724897	152.644184686598	453.271662924325	0	4631.76056587196	3673.94743753316	0	849.44740943916	0	0	0	403.167083218037	1405.25867734379	0	0	0	688.646665265491	0	0	0	548.819931201432	0	1853.86944913265	745835.799497692	36456.3252388518	188.76609098648	929.847781525994	230.714111205698	89089.4383861314	29813.3901480252	64918.0569575911	2197.61017037346	0	1814.25187448117	157.305075822067	406.662751569639	0	0	0	3786.97404756827	3036.57057475782	0	8207.82928956027	6277.05513669239	938.004341013064	0	0	0	7994.59352011258	44212.0480882716	11222.2606314246	0	1089.48330291579	0	0	33392.9545400651	0	0	0	30186.2614388626	0	186.435645418746	36452.8295705002	6109.26305581552	290638.023311634	2453.95918282424	3170.57119490254	0	9225.0687798763	0	75402.7315668278	23163.4637204953	7995.75874289645	509654.462990089	0	113168.767214746	15181.6876510052	193953.662820256	11183.808279557	10893.6678063741	2916.5526280195	0	0	0	0	534.837257795026	4238751.89488368	230054.595110029	5765630.70029361
GBM-BM-456-SL-PreOp	0	1193.63862991957	24416.2767447121	2239.23708284131	0	51930.0095004557	770116.388448636	532.116440397796	451596.042308885	218501.08977284	0	168088.75089811	0	338496.452820521	2592.25596645152	2655.40597202402	0	0	53435.2571742658	1916.24033302786	0	0	1605.66653513031	2456.63874136959	0	0	38736.8345657679	225092.501010219	1083.90255466244	0	309.538551904554	315406.326192832	0	0	133240.300282019	0	0	478.283648762221	4018.82494479425	78004.7503259407	0	166.674604871683	0	1094.25501459235	0	256089.83653238	4336.64546464274	3150.25355667411	0	2352.07889607742	0	4490.89711759852	0	7310.90720250824	0	0	426.52134911263	12022.311716614	12865.0019549094	0	2268.22397064508	0	7872.0105307098	32869.0602774903	0	0	0	282137.660962047	19276.2803895077	99319.4300756493	36959.317195801	788.857446659767	52400.011181274	0	381502.641861388	78196.2708346442	137934.105614244	24335.5275572587	19324.9369511783	17032.9023226944	0	0	0	4684.48811828799	51777.8283394859	147422.135140014	5061.31765973701	47846.999304096	11085.4140929564	6905.09077325544	1399.65258252494	37383.7680529276	2800.34041104287	73495.2187804683	176077.744226028	131940.031314822	3178.20519848489	0	64049.6343404109	31626.7650859001	79832.9947495642	0	0	60194.3782625094	326.102487792423	12681.7634141498	0	12000.5715507612	106.630337278157	98587.5111586041	0	102104.241796797	4999.2029001575	4203.09873154679	108928.583382599	16443.8473526821	0	137199.08095922	227901.123389205	54864.9318905875	22121.1363782492	0	115523.100357957	8656.7269933976	0	0	17877.6630529757	0	0	2125.36002361221	0	1525.95259366994	3083.99781312263	2477.34366122943	221633.744147633	0	0	7581.1064066791	0	2332.40922221057	0	111348.988514214	1469.01406405539	0	2780.67073717603	11368.0362490432	16172.6129025182	81.7844334463538	0	3099.52650301751	7326.43589240311	249701.333509627	34401.2243471182	8304.74335578038	107547.565227948	1071.47960274653	11600.9665974663	0	395.463969322875	2269.25921663807	26088.1990233939	2534.28219084398	152448.254435989	1075390.76210806	0	22195.6740897446	0	1587.03210725646	31045.9920838317	2205.07396507258	33203.4447332266	1188.46239995461	0	0	0	0	197510.442018937	17185.0834836642	6978.59323875786
GBM-BM-292-SL	0	0	271246.597219677	0	1092.96237705659	6442.03159774505	975961.560396039	0	540749.728985336	455.645173276941	0	10096.7161145918	0	519903.962307916	0	0	0	282.763724895337	6070.26322887359	2617.39582655709	0	0	0	0	0	0	0	86229.3839456409	0	0	0	0	0	0	14354.6543294989	0	0	773.937500911718	4102.27165651265	28696.1227858161	0	1867.26615222335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9957.16562341933	0	0	0	156588.104420149	8849.55227616091	1775.33131420686	670.64816098881	0	142100.492536068	688.961873741098	184063.435113897	0	2351.11444313881	265391.703252771	181.305756247657	0	0	5887.49237560575	4245.11861598051	0	0	0	332.210749326516	0	0	159.695575199957	119497.341982938	0	6605.02364124042	0	0	0	16312.3902227185	0	7257.35808947694	119197.729642311	9388.70797958829	45027.9255440521	5100.00272725734	69563.9053410583	0	180709.828034698	63654.0702358947	0	15938.0579340617	7556.23788159429	41833.2814915428	5.12783957064082	40435.2126600331	0	91081.0527279772	0	127468.934869755	0	0	0	0	0	185021.242290842	33589.1805589726	653694.790819761	3609.63278347609	0	89967.9452668931	282.031176385245	0	0	34872.2392743979	5817.53399289201	0	0	0	0	0	0	113373.968987083	0	0	0	0	429.639701168691	0	41621.2086978713	306.937825728357	0	96.3301290770382	3021.03005561753	0	0	0	0	0	340400.275395084	1144.24077276299	156.765381159591	678.339920344771	0	0	145.777153508218	385.320516308153	57.5050580421863	10377.2821939568	0	634648.163283126	40614.6870450055	0	31353.0762319181	0	0	45149.5285967273	11378.676007252	46.5168303908131	1985.93901085818	0	28054.0440167209	0	0	667650.572485515	11690.3753982959	0
GBM-BM-339-SL	0	0	216489.027950679	0	0	0	0	0	874103.772607581	93045.909151449	0	103730.146931134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175449.657304148	0	0	0	0	0	0	0	0	0	0	0	0	60310.1735839385	0	0	0	45886.361898646	0	0	0	0	0	0	0	169.032585480675	0	0	0	368339.414844156	57960.2216418	4441.8208701794	0	0	0	0	0	0	0	17923.9832166139	0	0	50454.7758425009	0	0	0	0	0	315.575857013277	0	911.17994576707	73435.5901195999	0	0	0	0	64245.8035248512	0	0	0	0	0	0	0	0	0	47893.8958993816	0	0	0	0	0	214931.09886347	0	220565.216103767	0	0	67421.5122928411	0	0	0	11639.6708916081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49123.0094528178	0	0	41271.6997688496	0	0	0	665.611146688923	0	0	745200.103289411	0	0	0	0	0	0	0	0	0	0	0	0	0	174555.525709277	236244.43933058	0	0	35715.7510310652	0	0	13254.0046291226	0	56264.0920930711	0	723148.424136151	0	0
GBM-BM-384-SL-PreOp	0	3444.22406153306	148943.454802628	0	17069.1101073937	37936.8666480295	1191285.17283714	0	0	266573.076444899	535.923087024565	0	0	243963.502847535	1164.07105745906	33.7800445048	264.610348620933	68.3643757835238	34156.182619405	0	75.3348611575301	0	635.386551399809	58373.5254778422	0	1401.60375135789	204.825031759263	117327.746006457	126.541119097346	0	294.637054847422	1353.61464051377	0	0	5423.03762097694	0	0	0	1790.3423587544	7245.55145068829	91.1525010446984	358.711901170019	90.3482142707746	137.801133932279	546.378815085574	120990.736070498	0	1488.46672294166	0	4285.50802705736	99.9996555578603	1709.91368136202	0	0	0	0	8672.35618762913	1305.08933848703	0	891.685936690196	0	127.881597053886	49297.6854252946	0	98.3910820100126	434.582953510165	0	38949.4636963996	7088.44743418184	147843.726687083	35475.7491198227	0	4165.1331065601	5860.56962599149	222627.919500067	29032.0715827364	56893.3697182311	21509.577386227	21124.0559259262	9298.89558451577	4528.67072837366	2450.66180014585	0	3879.34320622584	137539.740730754	322.787091934755	1085.78714479714	16204.7699210169	548.523579816038	2847.44327528159	0	14519.2529384639	835.653958106838	6544.21338382673	39772.2490661237	53004.9112619008	40681.8974074315	368.363342457105	4988.18657187546	180743.613365619	37085.3950500355	2557.0957498951	271.58083399494	21030.7586601511	16687.6100809625	12702.1010205787	0	15305.8454033614	56.3000741746666	66565.1862702562	0	61032.229456843	208.310274446267	1345.03558159192	0	3070.23071165849	0	368508.382172002	54331.1801521012	462539.157484983	36436.0675278877	0	118711.655448789	284.181326786413	0	1207.23444765964	194294.505028279	873.991627663873	681.767088696082	1924.12205881706	0	525.199263372247	353.886180526476	460.320130275727	46761.7692271129	346.111408378546	436.191527058012	6753.86413622953	0	483.644446719517	0	141333.02525217	484.448733493441	0	3348.51393543612	4197.84076869967	7647.42674205888	1310.18315472188	0	158.980685645606	686.592809339625	171759.462005299	568.898844755441	6198.6381666308	30597.7498359748	356.299040848247	15674.7449370011	3084.70787358912	2140.20710541126	0	5333.49369348009	4404.54246959809	330280.899902995	39589.675968443	637818.446508563	77858.9811496943	213.404090681117	842.088252298228	24218.1471452111	4075.85727465456	576.673616903371	0	0	0	30880.054493622	18.7666913915555	385561.406543917	13423.0100656058	2331.62735760512
GBM-BM-284-SL	1368.6801233473	2702.01874116216	117991.150370611	0	21524.262014913	25627.7320936434	1420775.10893419	0	0	0	3616.07858879669	653.817852350179	0	282204.813254275	641.287682206858	0	47.2291028478999	688.195498640827	7409.82856449738	4409.01345837912	630.042657719263	308.756243787971	19045.858617847	523.054281880143	21616.7925021252	0	21055.8264234011	206541.862773456	2308.76417051026	0	0	4881.30448685811	27116.573335801	0	13697.4036851328	17.670752766221	371.407094504573	340.563598767169	4353.10962235507	35457.4899278713	14295.6389878728	1333.98119064272	3036.15661165071	0	11340.1252661189	22421.2936826091	0	0	0	26000.1030473898	0	0	778.47698095552	14996.364656657	157.109056412402	0	2168.04072120836	168979.946834335	215368.564423391	0	9039.07196954296	473.576174134724	66723.7985860089	356.306633049802	4843.39269001422	701.689528025941	402.571876655908	37794.5273028075	22878.1629632194	4067.80728678408	0	2105.38987049175	17571.7965507302	0	462397.013361985	84967.4050282694	78186.3339758356	20330.0404143303	32826.154197774	17040.3888220878	11057.0719354454	11687.7571659925	4106.36165645584	0	111865.824889011	46151.5082155743	10141.7269421552	48572.7226309605	10.2811652458013	10654.8213452034	0	17061.9150118212	8486.13805116721	2320.97305423965	52713.1406472931	52424.6254475828	29750.8006436237	1300.24611717994	8073.2850092655	0	27763.3228870447	36.6266511881673	120.803691638166	7248.54278470387	4451.74455143198	8510.23453221205	53.0122582986631	8477.784604405	198.87629022347	124744.912077861	238.073232723087	87012.3930529421	0	2169.32586686408	4067.48600037015	17157.0157903449	231.968790858393	206150.857207702	39214.6132523838	390201.707146726	41373.979240416	134.940293851142	50299.6371058412	639.681250137202	26.6667723562972	1382.49543914635	20460.8039848004	556.146782515066	198.555003809538	1015.58635443681	0	309.398816615834	346.989327045795	6158.73926864893	155511.941648749	0	6668.62080755789	27578.9044854481	150.040755305913	4660.25943407339	1110.04456013261	71903.5781514091	538.154743334914	0	811.890768004374	21186.2687074572	22063.7019039036	425.38321204503	28.2732044259537	6309.42259678271	0	157346.808358711	15309.297623826	0	195615.554408481	1765.79013096638	3510.37535861329	172.852090695035	7227.98045421227	3950.85903211309	17219.3453546476	3393.4271039423	93999.4086967059	566454.935819637	559222.45735563	30253.6138814261	63587.0793267977	10359.5591308006	41182.492537713	12065.5899887757	5843.55729658233	153.574905859157	0	592.452147289302	0	496.708795937777	186755.438971498	28460.8356916895	0
01-2020-116-SL	0	24194.5747036057	0	360.2065999325	134.728437571652	1612.5528020234	2360061.77548604	0	478.181242158454	0	11710.2048718366	247951.982667489	0	0	5624.38871251192	0	2375.54856505872	0	0	10542.3257212803	0	1133.67348505888	4700.83574408034	16517.1479864397	264673.666572108	0	0	0	1679.56798340619	0	0	0	0	0	0	244.326182124758	418.146808836371	608.721230893682	50924.5571028602	117691.921929496	18526.9053531173	0	1514.8223291735	0	3979.0263946032	159681.121514651	0	0	0	0	14.6595709274855	0	1396.84768694754	0	4077.45494225917	18342.6136043147	0	0	2465612.08231354	121321.212846258	0	0	73817.92036795	0	0	397.90263946032	50.9594608431638	0	857.235861854865	0	0	0	665.963364991483	139.614961214147	12006.8866644167	452674.286819436	18989.7289495422	258.985753052243	4067.68189497418	0	0	7044.2728680598	4471.16913288307	0	14201.6338547031	0	247.816556155111	473106.936393126	0	0	0	0	0	2322.49487979734	36187.4998719009	0	490294.9342682	0	10331.5071298469	0	0	94.2400988195494	117.276567419884	331.5855328836	0	27509.7319576356	0	95.6362484316909	462.125521618828	5045.68469827928	1874.33085429993	691.094058010029	496.331187116294	1774.50615703181	0	2535.40769564891	0	18632.314648834	583.590537875136	1142087.38069645	112907.317208687	1591.61055784128	1442.92062414821	1729.13129463721	72.5997798313566	0	162.651429814482	0	0	118.672717032025	0	104.01314610454	1633.49504620552	1107.84471723426	5216.71302576661	0	0	0	862.82046030343	109.597744553106	1189.51946954454	452.352474333837	1025.47189011791	0	1230.70588310271	120.068866644167	0	1121.80621335567	0	0	0	6806.92743399575	0	0	7974.10850974602	0	0	0	320.416335986468	0	16607.8977112289	0	11437.2576226629	19712.2363738255	0	83033.9039576959	0	12541.6119658669	199113.971159974	74277.2535903446	0	0	54363.2735975647	580.798238650853	11976.8694477556	0	4509111.59281743	34348.7708327106	490.048513861657
GBM-BM-463-SL-PreOp	260.545076417545	0	2709.02147778242	0	0	0	0	0	0	0	0	0	0	0	461.752764831094	0	0	0	0	417.519439228115	769.767751651835	0	0	0	0	0	393.24505322648	0	0	0	0	0	31373.2953301126	0	0	0	0	3013.26044900291	18001.8846588122	35361.8466655812	0	0	0	0	79110.7634101272	210555.484747378	0	0	0	0	0	0	0	0	0	0	1129.02866447603	0	76608.8833595587	0	0	396.481638026698	27148.4733042281	0	0	0	0	72580.9535756875	52707.2440407492	0	0	0	101598.554602041	0	2159.88092334544	442253.42027138	235692.960029071	597661.815469445	8088.22541574465	402723.391813919	115583.837523783	44702.6303990102	0	0	7033.0987708736	1532278.00131998	112521.488871977	92932.5987994579	0	0	0	0	19270.0864696976	21835.0799238703	968469.244568415	78810.839885307	0	0	51998.9714003015	0	75460.4351862814	0	0	0	30564.6885608582	8519.7700557737	10468.1941055049	6303.24889842445	0	0	0	9045.71508580912	0	2619.47596497639	0	0	16114.4162894851	65531.1324500127	543391.840400991	0	150720.741545749	0	0	0	0	0	3109.81856220941	0	0	771.386044051944	0	0	0	0	0	26531.9038997866	0	0	0	0	0	3178.86570461406	0	0	0	53612.4089232102	29797.0785324065	0	4167.64236108064	110686.884721053	0	0	0	0	250697.767162882	0	5460.11855796767	0	22745.6391143316	0	26671.077046196	0	52636.0391751444	0	0	97844.6556645887	0	0	0	61809.5993605621	0	0	0	0	0	0	2080461.60551769	202202.938239616	0
GBM-BM-357-SL	0	23446.3860092057	95544.7126495144	51752.2365818181	0	87156.3006760879	219359.201243878	0	1223683.20428441	928386.911598829	10799.0459227847	0	0	233404.963665358	2856.26170408099	0	0	224.935914288696	70402.8191354345	0	0	0	13795.3620640643	0	0	0	0	22603.9373490867	0	0	91.2475878718294	0	0	0	1793.12120352781	0	0	0	2563.42060812023	87107.4938267611	18845.8099509237	24762.0489041018	0	65299.3203253938	2839.28540866297	114560.285554618	0	0	0	0	16984.7835657238	127451.659887673	0	0	27514.3307987475	0	28575.3492623734	0	508974.80107521	0	0	0	26236.8645685418	0	0	3318.86575422189	0	0	0	0	0	0	0	0	99181.8839428241	7335.88165750964	4273.78237148522	0	35164.2739214904	22141.3332989458	0	0	0	0	0	0	0	73753.5154435652	0	0	0	0	0	0	0	120.956104853355	129251.147201983	891.255509445776	0	0	0	61350.2096037782	0	0	0	10330.075761862	0	42988.2240722679	0	51453.0293750755	0	15270.1777285043	137.93240027137	282.230911324496	0	90888.9636311239	0	137673.511766245	19940.7810053856	378055.732848407	58687.0532600771	0	55387.2858382005	0	0	0	11021.8598001461	0	0	0	0	0	0	1742.19231727377	11251.0397882893	0	0	0	0	2179.33192428765	0	50190.4174033607	0	0	2359.70506310405	0	0	0	0	0	0	116601.685078635	0	5313.58046583863	27159.9506318964	0	1046.16420513516	1077.99475904394	0	8804.33121116792	0	0	303676.216511303	0	187919.102129715	59752.3157975575	0	428.651459304873	7607.50238419787	31395.5363386911	16112.6263886233	1956.5180469262	14909.4314508715	78.5153663083184	7458.95979929024	7586.28201492535	1790682.9830984	32486.2633192985	526.265157958458
