feature	X1965	X1798	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X10115	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6846	X4303	X4348	X4285	X14853	X4121	X14851	X14861	X14890	X14894	X14941	X15332	X15346	X15300	X15286	X15271	X63326	X79883	X7263	X7264	X25416	X14965	X14963	X63327	X14837	X15350	X14838	X4198	X4262	X29305	X7253	X15091	X15249	X15254	X15078	X15124	X15132	X29328	X79840	X15131	X15127	X15126	X15158	X15154	X15120	X15234	X15265	X14987	X14995	X14993	X4166	X14027	X14127	X29339	X14142	X14143	X5090	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4816	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4774	X4779	X4630	X4552	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4711	X4705	X4699	X4716	X4714	X4721	X4652	X4644	X4670	X59869	X4532	X4540	X4529	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X4498	X5190	X3958	X6140	X6148	X5736	X5792	X6952	X6939	X5825	X14546	X72479	X14341	X14809	X14808	X14807	X63101	X14797	X17130	X15878	X17167	X17168	X17169	X17153	X17132	X17137	X17248	X17244	X17237	X17234	X16971	X16988
GBM-BM-312	1228	0	1534	459077	15189	0	63065	0	239991	0	9939256	0	0	2529171	0	10619	0	10874	0	0	0	9095447	0	6591128	0	0	152	302864	7695	32397	209	0	357876	431305	1640	13562	0	5044	5388	0	0	0	157	0	28528	0	1462	0	4483	0	91995	22607	0	472737	138	54854	846948	119150	4931	2596	3642431	0	2047670	72147	158118	0	0	985	4262	0	657	429	78	0	43842	3180	0	0	0	0	86369	666180	17745	387476	49111	1478353	362	0	0	0	384688	87973	67489	122366	0	1850	29972	42904	5709	0	174086	23391	0	45684	32599	5579	4543	0	0	0	0	46634	171576	0	25851	0	0	61525	18037	7147	0	1065	0	7722	0	0	0	0	0	13859	2497	2360	0	49875	0	0	37	776	146494	20388	12807	14698	18607	143350	0	0	79477	0	0	112019	0	201991	107338	0	0	263	952	398	2360	0	0	452	4323	0	11115	0	0	0	451871	0	1363	0	149713	5301	105402	15175	0	0	7757	0	0	0	0	0	179	9547	0	3268	164953	8639	0	19875	21985	0	0	0	0	0	278	0	0	30305716	0	0	15276	842	0
GBM-01-2020-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19169093	0	0	0	0	0	0	0	0	0	0	21137	0	0	0	0	0	30800	0	222	8887	338	0	0	0	1688	0	320711	0	251	0	0	0	0	0	0	0	0	0	94721	0	0	0	3074404	0	0	0	10764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44149	0	0	5147	0	21170	0	0	0	0	0	688967	0	45078	0	3982	0	2208	0	331239	730728	804993	128709	919142	4110290	0	12840	0	2147286	0	0	1842694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472383	0	0	9797	0	0	0	0	0	0	0	0	0	5340	0	0	0	0	0	0	0	2521	0	698	0	0	1800327	0	0	0	27	0
GBM-BM-378	0	0	0	0	0	0	0	0	332939	0	1454776	0	260522	0	0	17756759	0	595916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2204374	0	483903	387649	10393	0	16472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	13204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4905302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36936	0	0	0	0	0
GBM-01-2020-058	51148	0	17045	0	390	0	0	0	0	0	9144	87043	678	424867	101765	42185	0	130120	855	2737	37305	10249	13377	245386	9912	16267	8283	18912	182397	0	0	762187	44424	2312	0	0	0	0	6999	0	0	0	0	4044	0	0	0	0	805	0	40362	10740	0	32146	0	0	87683	0	478	0	147564	2969	40591	137651	16040	0	0	2173	0	0	0	0	0	4197	16258	0	0	0	0	0	205256	13929	180663	80327	4962	516556	1083	153	0	269	3575	23	13147	29141	25066	5907	0	0	29074	0	0	1384	0	0	0	0	0	0	0	5002	0	42954	19693	0	5327	0	0	11527	0	42229	1674	0	0	0	1616	22773	19180	40086	0	0	0	0	0	48147	0	0	55	0	0	0	0	0	0	0	0	163313	0	6022	298205	0	3462	302	36326	0	0	0	0	4552	0	0	0	0	109	1261	625	0	7229	660	6391	11407	14459	6423	7528	0	0	308	0	0	0	0	0	0	0	0	0	426240	4731	1254	0	0	0	0	7218	479	0	50	320	0	0	101	0	39618	813659	28259	0	0	0
GBM-BM-438	0	0	3603502	0	26769	0	275822	15903	0	0	69036	0	0	84485	0	23269	10901509	32915	52159	57812	495658	3800	0	204779	103135	1214	0	6127559	3320487	0	0	155333	0	625909	0	0	0	339	135	0	0	0	0	11455	0	0	11917	0	0	0	114199	1401625	0	5320	1793	0	894638	0	364	0	203221	31295	144529	23436	288724	582	944	324	0	8396	0	9924	502	447	650	1144	0	0	0	0	5997250	1189655	737950	211773	3452	436166	0	1722	32822	353616	19867	3764	20831	118933	801375	137971	7704	0	58328	0	1424	1212	0	0	225	1234	0	0	2100	5702	6195	0	2001	2672	25199	0	0	1425	1393	95076	6372	4054	1056	9899	1284	14473	549	7453	903	0	4046	0	4879	490302	0	0	0	609681	118283	95514	275336	147426	610045	2574	0	0	307305	3634	49293	992472	20943	0	0	0	0	7315	0	8729	7830	0	0	317	25372	272501	0	889	2767	0	138473	459	6884	167231	3026	160168	0	8610	146324	14639	0	0	0	0	0	0	0	103121	2563	179	77559	0	0	0	135898	0	0	0	0	7766	275	208	0	4358	31355	0	0	0	0
GBM-BM-318	3215	0	100590	40589	53006	43670	125139	10974	1215	0	784823	458804	0	975804	52973	78328	0	224649	773	62538	20034	171815	155632	497146	5474	0	30491	490340	20273	0	0	0	199673	173365	0	0	0	0	0	0	0	0	0	38220	0	0	0	0	17837	1594	23033	53761	0	6464	102	0	66874	365	0	0	3647195	99753	466406	228405	4624	0	0	1620	0	0	0	0	0	2995	30782	0	5656	11975	0	0	193351	15798	128707	106619	12709	104838	0	0	0	0	2599	6379	6309	115242	620	714	13122	4383	56151	0	2450	6336	0	118	0	12459	0	0	0	763	252	88623	19318	35973	53618	0	0	65237	0	564749	11125	0	13959	0	2289	14414	16548	20006	1291	0	0	0	9899	135842	0	4435	0	0	738	0	0	4232	1090	0	0	29957	0	15997	182165	0	255682	2542	100644	6376	0	0	0	19263	1212	0	7720	9950	5944	142522	394637	669	75463	0	131065	27474	470259	9261	52700	0	0	17702	157899	1386	0	821	0	0	0	0	48389	43571	0	306	5063	0	788	303	89288	0	0	0	0	0	0	0	0	310783	0	50749	0	0	0
GBM-BM-392	0	204956	58082	2501	33718	7115	98682	0	1398	239645	6721818	3163539	0	333418	15512	739140	0	744455	0	58131	468647	1176228	483805	100419	195709	677149	107863	0	1740704	0	0	1959796	12515	326016	0	741	0	40474	2334	742	17562	35822	0	206003	15766	156376	14722	0	4030	0	835630	476888	233553	74821	0	0	972846	0	0	0	0	0	0	0	618834	13004	3775	15442	4416	8645	206375	316926	0	4752	0	0	0	0	0	12222	1536768	345636	0	995486	55486	653846	12486	5513	0	5930	0	133893	307086	12155	0	0	7100	3148	0	0	27813	0	2009	1968	44	14514	43170	0	0	0	0	8336	1466	0	334339	0	7521	0	197	0	0	0	0	198587	0	0	0	0	0	7385	4295	127	0	9331	0	0	0	202799	51870	375641	293704	121475	2608463	2137	0	0	92579	0	0	268537	0	0	59533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127671	0	0	698051	7986	164613	0	0	0	0	0	0	0	4128	674	0	0	26514	900	0	576593	0	386	0	2768	1178	2307	0	1116	0	2671	0	29	291688	712295	0	0	3049	0
GBM-BM-316	0	0	303254	37052	139893	32024	121692	51754	0	156555	2097117	0	855771	248809	0	395067	0	395746	0	52564	221807	56235	0	170423	0	0	0	0	10517307	2872413	0	965968	28253	41695	1227	0	0	32504	4105	5456	343	40482	0	0	10667	608	0	0	0	0	72986	0	0	2948	0	0	282849	0	0	0	1517529	0	323400	175471	5529	0	0	0	0	30	0	192	0	10527	0	421	0	23631	208	0	600602	60625	0	23577	1420	37372	0	163	0	153	10000	22931	26055	40543	20659	23931	265816	3749	219280	0	0	289	0	0	0	0	11194	17040	86	63635	0	923857	0	12378	65999	0	0	0	585	1469733	0	0	0	0	0	0	49712	0	0	10726	1503	4005	76440	113613	0	11455	2099	11520	4787	35867	0	2610	62396	541	87584	0	2845	0	306990	1478	252240	55768	118719	0	19377	0	0	178398	28871	1243	0	25823	10758	38407	457852	2731302	300046	5552	157273	107082	0	39010	121802	0	34183	288097	2885	6838	0	0	0	0	9923	5948	60770	91048	0	0	17434	0	0	0	0	0	468	0	0	0	0	0	0	67483	0	42653	88875	3679	173
01-2020-032	76590	0	124915	0	632793	0	0	0	0	0	838843	0	0	409404	0	438378	0	506367	0	0	0	3266432	0	2430024	0	0	33407	0	32634	1540541	0	0	168823	0	0	346	0	15201	1680	0	2347	447	0	0	42427	14449	0	0	0	0	30141	66	0	781	238	0	3564348	13939	159251	0	2891716	35911	2096397	1606705	89773	0	1219	1029	310	0	0	12436	0	2229	33182	0	0	0	13	0	58613	162582	774885	177439	11379	439875	0	937	0	0	163387	26570	140348	12215	0	89118	0	1393	73371	1828	0	0	0	0	0	670	2430	1014	0	17419	0	47963	27485	0	33894	0	0	11447	11626	74422	0	0	0	29286	571	19718	394	0	0	62767	2811	14974	2407	55502	0	0	16753	123958	26220	27614	19012	976	161724	28144	0	3564	403784	0	0	40660	44114	25801	76568	0	0	0	494	52601	2378	47	0	0	1848	1554	0	27301	0	1838	12121	0	0	0	207984	0	227358	25057	7527	0	2155	0	0	0	0	755	16025	0	0	0	196218	7094	0	39215	0	0	0	0	0	1301	0	302	612	9858340	0	0	646590	89	0
GBM-BM-322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114380	418	0	0	0	0	1536	0	0	3242	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57643	0	0	0	0	0	0	0	0	0	0	31254	0	0	0	0	0	0	0	0	0	8875	0	0	0	0	123587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15715	0	0	0	0	0	0	0	0	0	0	158327	9579589	0	0	0	0	0	1549458	0	0	0	0	0	0	0	0	0	7687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7430281	0	0	0	4557	0
