feature	X1965	X1798	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X10115	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6846	X4303	X4348	X4285	X14853	X4121	X14851	X14861	X14890	X14894	X14941	X15332	X15346	X15300	X15286	X15271	X63326	X79883	X7263	X7264	X25416	X14965	X14963	X63327	X14837	X15350	X14838	X4198	X4262	X29305	X7253	X15091	X15249	X15254	X15078	X15124	X15132	X29328	X79840	X15131	X15127	X15126	X15158	X15154	X15120	X15234	X15265	X14987	X14995	X14993	X4166	X14027	X14127	X29339	X14142	X14143	X5090	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4816	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4774	X4779	X4630	X4552	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4711	X4705	X4699	X4716	X4714	X4721	X4652	X4644	X4670	X59869	X4532	X4540	X4529	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X4498	X5190	X3958	X6140	X6148	X5736	X5792	X6952	X6939	X5825	X14546	X72479	X14341	X14809	X14808	X14807	X63101	X14797	X17130	X15878	X17167	X17168	X17169	X17153	X17132	X17137	X17248	X17244	X17237	X17234	X16971	X16988
GBM-BM-312	799.81342975548	0	999.115473326471	299003.216524313	9892.80633921497	0	41075.1090777926	0	156309.466466162	0	6473575.26920011	0	0	1647284.14653754	0	6916.30196300769	0	7082.38699931685	0	0	0	5923990.76565895	0	4292893.07136594	0	0	98.9997079176164	197259.523281322	5011.86021332933	21100.6153776778	136.124598386723	0	233089.601781085	280914.927785576	1068.15474332165	8833.11867617575	0	3285.22714958196	3509.27912013235	0	0	0	102.256277257012	0	18580.6820228537	0	952.220874839179	0	2919.8400697018	0	59917.6192755337	14724.2526111418	0	307900.163959541	89.8813137673096	35727.1709086377	551628.97777243	77604.0473577894	3211.62868251162	1690.81080101403	2372365.82309258	0	1333675.86783991	46990.3416258702	102984.4461613	0	0	641.54415986087	2775.89970490053	0	427.913211196539	279.413649320115	50.8024816945663	0	28554.9025955535	2071.1780998554	0	0	0	0	56253.3274548461	433892.272503669	11557.5645855138	252368.492270305	31986.6753654083	962871.810520605	235.775620172218	0	0	0	250552.629206658	57298.0348989241	43956.5216292896	79698.6727568885	0	1204.93065557625	19521.179248071	27943.970187483	3718.35087172153	0	113384.626003593	15234.882683559	0	29754.6227401868	21232.1807789893	3633.68006889725	2958.91890177455	0	0	0	0	30373.3709146719	111749.828195217	0	16837.1147985415	0	0	40072.0857212589	11747.7482349345	4654.94021373161	0	693.649269291194	0	5029.44568776207	0	0	0	0	0	9026.55889493583	1626.330728094	1537.10072819457	0	32484.2791604679	0	0	24.098613111525	505.419561474147	95413.5737610743	13278.9871383182	8341.37670592706	9573.01123008635	12118.9971396256	93365.8429604626	0	0	51764.4722774237	0	0	72959.5281659439	0	131559.539486758	69910.727950402	0	0	171.295547252192	620.050802220861	259.222919415864	1537.10072819457	0	0	294.393868281333	2815.62985084116	0	7239.3536414757	0	0	0	294309.848792377	0	887.740801919152	0	97510.153101777	3452.61481362687	68649.7843021882	9883.68794506466	0	0	5052.24167313783	0	0	0	0	0	116.585182350351	6218.09349664134	0	2128.49372022875	107436.176448254	5626.70050460716	0	12944.8631240962	14319.135385321	0	0	0	0	0	181.065255270377	0	0	19738533.1068042	0	0	9949.47064572045	548.406276754165	0
GBM-01-2020-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3712241.61933525	0	0	0	0	0	0	0	0	0	0	4093.34187631565	0	0	0	0	0	5964.65580690364	0	42.9919996471626	1721.03558947898	65.4562877510853	0	0	0	326.89412344329	0	62108.1405353205	0	48.6080716731433	0	0	0	0	0	0	0	0	0	18343.4468404454	0	0	0	595381.872447005	0	0	0	2084.53100991918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5705.73552074032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.9738372799732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8549.79185775937	0	0	996.755955783539	0	4099.73257896591	0	0	0	0	0	133423.734328408	0	8729.69982024682	0	771.14478646397	0	427.596104598806	0	64146.9683384076	141511.071703477	155893.057531389	24925.4832548948	177998.885313929	795989.127160972	0	2486.56430391697	0	415838.373668275	0	0	356851.80089112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91480.5845465117	0	0	1897.26405650113	0	0	0	0	0	0	0	0	0	1034.13188340472	0	0	0	0	0	0	0	488.210950948184	0	135.173043935673	0	0	348647.106976474	0	0	0	5.2287567138441	0
GBM-BM-378	0	0	0	0	0	0	0	0	537814.655424461	0	2349979.58532877	0	420835.497374869	0	0	28683468.2120154	0	962615.84915532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3560846.41101415	0	781675.097251638	626190.723708058	16788.3837995141	0	26608.1264260172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.379628434366	0	0	21329.1465109963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923803.77451401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59664.7497372128	0	0	0	0	0
GBM-01-2020-058	310810.01733143	0	103577.006831435	0	2369.90511377293	0	0	0	0	0	55565.1598983068	528932.437995223	4119.98889009755	2581780.707624	618393.317700261	256344.736473105	0	790697.572831111	5195.56121096372	16631.8725548628	226690.539152049	62279.8910539967	81287.7454024114	1491132.14422637	60232.0499685058	98849.3499634467	50333.1386086696	114922.16797865	1108368.16163292	0	0	4631566.33064422	269950.422498073	14049.2836488282	0	0	0	0	42530.6817725557	0	0	0	0	24574.0930258916	0	0	0	0	4891.72722201848	0	245266.949236161	65263.5408254391	0	195340.948172678	0	0	532821.513053722	0	2904.65293431656	0	896699.174894328	18041.6622635688	246658.50890553	836461.048246044	97469.9436536352	0	0	13204.6251595604	0	0	0	0	0	25503.825032064	98794.6598454365	0	0	0	0	0	1247274.98469891	84642.0726403669	1097831.1988963	488121.456600097	30152.4850629263	3138945.39987202	6581.04420055405	929.732006172456	0	1634.62686052543	21724.1302095852	139.763634914814	79890.1090532632	177080.525437069	152318.055338031	35894.9474539915	0	0	176673.387891882	0	0	8410.12481400444	0	0	0	0	0	0	0	30395.5522540825	0	261017.703223083	119668.054885975	0	32370.4731822266	0	0	70045.8878114372	0	256612.110383377	10172.3619498869	0	0	0	9819.91452271038	138384.228605002	116550.718159397	243589.785617183	0	0	0	0	0	292573.901314936	0	0	334.217387839772	0	0	0	0	0	0	0	0	992400.804732302	0	36593.7656285655	1812096.29346835	0	21037.4653945689	1835.15729322929	220741.469648501	0	0	0	0	27661.0463535753	0	0	0	0	662.358095900638	7662.69320119913	3797.92486181559	0	43928.3181217038	4010.60865407726	38836.0604669815	69316.6862379686	87862.7129231865	39030.5142199064	45745.2453755964	0	0	1871.61737190272	0	0	0	0	0	0	0	0	0	2590123.98896044	28748.7720339993	7620.15644274679	0	0	0	0	43861.4746441359	2910.72961409547	0	303.833988945247	1944.53752924958	0	0	613.744657669399	0	240745.899480656	4944345.19222401	171720.893872075	0	0	0
GBM-BM-438	0	0	7959441.55229158	0	59127.5628300729	0	609237.64933006	35126.6626204434	0	0	152487.221320816	0	0	186611.085423389	0	51396.7372517825	24079332.7483322	72702.8925455508	115209.180382299	127695.568094892	1094813.01270979	8393.46777071527	0	452317.351741922	227805.341719137	2681.49207201272	0	13534597.0999095	7334315.95199448	0	0	343100.665586451	0	1382512.3733949	0	0	0	748.785677440125	298.1889865912	0	0	0	0	25301.8877140904	0	0	26322.3566904247	0	0	0	252243.585775767	3095919.54319179	0	11750.8548790014	3960.39150339276	0	1976082.95248873	0	804.005860142199	0	448876.029955928	69124.6247064564	319236.711429923	51765.6080722324	637735.681218946	1285.52585330429	2085.11409883032	715.653567818881	0	18545.1461586646	0	21920.2037254153	1108.82126865765	987.336866713085	1435.72475025393	2526.87556044691	0	0	0	0	13246769.6284006	2627718.65809744	1629989.35299982	467765.750054654	7624.8028275024	963406.648337315	0	3803.56618451887	72497.4734658991	781069.605055066	43882.3747896843	8313.95070762428	46011.6650346762	262700.079572231	1770082.95651499	304751.353103515	17016.6515014712	0	128835.312665863	0	3145.34160671014	2677.07445739655	0	0	496.981644318667	2725.66821817438	0	0	4638.49534697423	12594.6192706891	13683.561273574	0	4419.82342347401	5901.93312719768	55659.7353563826	0	0	3147.55041401823	3076.86858015957	210004.563623296	14074.5201671047	8954.50482696834	2332.50051733561	21864.9835427133	2836.10858357853	31968.0681698848	1212.63521213755	16462.2408671423	1994.55299919892	0	8936.83436850368	0	10776.7708561368	1082982.64076769	0	0	0	1346667.84839933	261264.354821977	210972.021224236	608164.168978331	325635.626201439	1347471.85425947	5685.47001100555	0	0	678777.529810436	8026.8057575735	108878.738637334	2192179.40666772	46259.0514531815	0	0	0	0	16157.4254586269	0	19280.6789922562	17294.9612222896	0	0	700.1919166623	56041.859020681	601902.200259916	0	1963.62969688576	6111.76982146556	0	305860.174372172	1013.84255441008	15205.4295088431	369381.054938022	6683.85091425905	353780.248921032	0	19017.8309225943	323201.520547932	32334.7301830265	0	0	0	0	0	0	0	227774.418416823	5661.17313061664	395.376508146851	171312.886007607	0	0	0	300172.495553859	0	0	0	0	17153.5975545723	607.422009722815	459.431920081257	0	9625.98224862556	69257.1531449414	0	0	0	0
GBM-BM-318	7322.26569453079	0	229096.953720949	92442.7503189145	120722.866377698	99459.8267123357	285008.089190634	24993.6372416115	2767.20149886622	0	1787459.57361702	1044940.83661384	0	2222424.93119313	120647.707818469	178394.534159007	0	511645.308245924	1760.53231162435	142432.302334235	45628.0780479719	391314.177389053	354456.875449834	1132265.97230893	12467.2107035339	0	69444.2311950041	1116765.08885108	46172.4082193538	0	0	0	454761.666570465	394844.352140693	0	0	0	0	0	0	0	0	0	87047.2767791498	0	0	0	0	40624.3400290344	3630.38616394466	52458.396809371	122442.403111561	0	14721.9674803879	232.308273978893	0	152307.681510436	831.299215708783	0	0	8306603.67955341	227190.659355064	1062254.63562156	520199.718805382	10531.3084203765	0	0	3689.6019984883	0	0	0	0	0	6821.20863300768	70106.9930354733	0	12881.7215453394	27273.4468715416	0	0	440363.108647969	35980.4520815544	293134.3237157	242828.19473878	28945.1554313505	238771.910072541	0	0	0	0	5919.3059222661	14528.3772520721	14368.9500052239	262467.354018388	1412.06990065601	1626.15791785225	29885.7761877552	9982.42318479889	127885.70482538	0	5579.95363968909	14430.4433718653	0	268.748787544209	0	28375.7724068924	0	0	0	1737.75699064603	573.938088653735	201841.72710619	43997.365065924	81929.6621553207	122116.716021571	0	0	148579.361466285	0	1286233.97471868	25337.5445883841	0	31792.0705536408	0	5213.27097193809	32828.3476581545	37688.6011549286	45564.3071492326	2940.29393830148	0	0	0	22545.2902364418	309384.515233733	0	10100.8548538862	0	0	1680.81868820022	0	0	9638.51583802621	2482.50998663719	0	0	68228.0290547617	0	36433.680969023	414886.634601618	0	582323.961837953	5789.48659268966	229219.940454232	14521.5446557786	0	0	0	43872.1008005432	2760.36890257273	0	17582.5477952652	22661.4443734312	13537.6507895151	324598.429647252	898798.434492238	1523.6689734498	171869.404698717	0	298504.744402388	62572.9168558441	1071029.96679451	21092.2247580248	120025.941555761	0	0	40316.873195827	359620.040715619	3156.65948759554	0	1869.8538523203	0	0	0	0	110207.500682006	99234.3510346503	0	696.924821936678	11531.1450113248	0	1794.69529309184	690.092225643181	203356.285951249	0	0	0	0	0	0	0	0	707818.25796061	0	115582.47643289	0	0	0
GBM-BM-392	0	111405.650267275	31570.9858643994	1359.44071565826	18327.7177331328	3867.42130824011	53639.475690759	0	759.895290080066	130261.163656107	3653703.74747883	1719569.66100472	0	181232.308889782	8431.68507848497	401766.097789542	0	404655.11314489	0	31597.6202486726	254737.230336304	639349.153977322	262976.495577386	54583.6374353005	106379.361463719	368070.340330777	58629.8896093749	0	946175.08656905	0	0	1065264.48491971	6802.63916691847	177208.886187942	0	402.777117274198	0	22000.0014096571	1268.66638558432	403.320676136916	9545.98074705731	19471.3655802919	0	111974.756396541	8569.74902961539	84999.5607164237	8002.27357693758	0	2190.54221675441	0	454214.092453223	259216.698923965	126949.803064427	40669.6176674396	0	0	528799.065359966	0	0	0	0	0	0	0	336372.705251365	7068.43945078768	2051.93470676127	8393.63595809469	2400.35593776364	4699.06636819898	112176.960293472	172267.936125833	0	2582.99171563696	0	0	0	0	0	6643.37642014204	835323.866341747	187873.511074473	0	541105.238011906	30159.9070567829	355403.788152855	6786.87595989964	2996.64001016552	0	3223.30405591902	0	72778.7268059301	166919.316916686	6606.95797633992	0	0	3859.26792529933	1711.12329983694	0	0	15118.0026487817	0	1092.0097552009	1069.72384182945	23.9165899596015	7889.21333349219	23465.4361035454	0	0	0	0	4531.10667961905	796.857292744905	0	181732.926602346	0	4088.1062065037	0	107.081095955489	0	0	0	0	107943.723870622	0	0	0	0	0	4014.18220117403	2334.58531537474	69.0319755652134	0	5071.94774802367	0	0	0	110233.193800391	28194.3982091939	204182.994750333	159645.412215791	66028.8128486953	1417853.18172255	1161.58528962883	0	0	50322.1359515897	0	0	145965.666317762	0	0	32359.6897742036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69396.7035620974	0	0	379431.807679313	4340.86107766767	89476.8550686337	0	0	0	0	0	0	0	2243.8109853008	366.358673472078	0	0	14411.9196861108	489.202976446394	0	313412.235331284	0	209.813721009231	0	1504.57093200402	640.312340282058	1253.99029629092	0	606.611690793529	0	1451.84572232035	0	15.7632070188283	158549.597548551	387174.260119872	0	0	1657.31097242784	0
GBM-BM-316	0	0	375882.748333156	45925.8825645832	173397.103789464	39693.6862584533	150836.99938058	64148.9832194602	0	194049.620665506	2599372.47830592	0	1060726.50459289	308398.275801883	0	489684.784819772	0	490526.404010675	0	65152.9766577985	274929.348861128	69703.1740801937	0	211238.979928316	0	0	0	0	13036181.7493703	3560350.37555279	0	1197315.47363557	35019.5390288559	51680.8721129844	1520.86413437179	0	0	40288.6453330242	5088.13958565298	6762.70148095557	425.147838703769	50177.3609516209	0	0	13221.7259342656	753.614827789771	0	0	0	0	90466.0062846451	0	0	3654.04031632277	0	0	350590.790173534	0	0	0	1880974.26973846	0	400853.676492125	217495.966195886	6853.18484021323	0	0	0	0	37.1849421606795	0	237.983629828349	0	13048.1962041824	0	521.828688321535	0	29290.5789399672	257.815598980711	0	744445.021052947	75144.5706163731	0	29223.646044078	1760.08726227216	46322.5219476304	0	202.038185739692	0	189.643205019465	12394.9807202265	28422.9302895514	32295.1222665501	50252.9703340143	25606.7906699159	29662.428361574	329478.419512773	4646.87827201291	271797.137233127	0	0	358.214942814546	0	0	0	0	13874.9414182215	21121.0471472659	106.596834193948	78875.4598131613	0	1145118.97032463	0	15342.5071354964	81805.6332554228	0	0	0	725.10637213325	1821731.21988806	0	0	0	0	0	0	61617.9281563899	0	0	13294.8563205149	1862.96560225004	4964.18977845071	94747.2326254113	140823.094456709	0	14198.4504150194	2601.70645317554	14279.0177897009	5933.47727077242	44457.0773492364	0	3235.08996797912	77339.7217019252	670.568456964253	108560.199140032	0	3526.37201490444	0	380513.513130233	1831.97815044948	312650.993686993	69124.3284805591	147151.971612457	0	24017.7541415829	0	0	221123.977052697	35785.5488373659	1540.69610352415	0	32007.5587138409	13334.5202588197	47605.4024521739	567506.671271714	3385443.56311161	371906.438518108	6881.69329586975	194939.580281218	132727.932548329	0	48352.8197896035	150973.344168503	0	42369.7625959502	357095.676055509	3575.95193778534	8475.68781649088	0	0	0	0	12299.5393686807	7372.53453239072	75324.2978368164	112853.820461518	0	0	21609.4093876429	0	0	0	0	0	580.0850977066	0	0	0	0	0	0	83645.0483943044	0	52868.3112659821	110160.391151013	4560.11340697133	214.433166459918
01-2020-032	106702.919193895	0	174027.877674701	0	881588.46253378	0	0	0	0	0	1168651.218767	0	0	570369.525129355	0	610735.243639916	0	705455.504419048	0	0	0	4550696.301715	0	3385437.45281662	0	0	46541.6427929291	0	45464.7220913117	2146236.08614547	0	0	235199.202599176	0	0	482.036950529933	0	21177.5829046402	2340.52623378696	0	3269.77087541547	622.747158632601	0	0	59108.0395957615	20129.9187809451	0	0	0	0	41991.5483408171	91.9492448987734	0	1088.06606463548	331.574549786486	0	4965744.04782505	19419.4018885455	221863.775748099	0	4028653.07063184	50030.1414175735	2920638.19936445	2238413.81098612	125069.084277236	0	1698.2746898728	1433.57231819451	431.882816948784	0	0	17325.4668115325	0	3105.37677089948	46228.1794580469	0	0	0	18.1112149043038	0	81657.895321997	226504.426274733	1079546.82777858	247202.758569598	15852.8857227749	612820.819694666	0	1305.40064348713	0	0	227625.928428422	37016.5369236425	195528.676106864	17017.5761581593	0	124156.557680135	0	1940.68633551502	102218.303749514	2546.71544962057	0	0	0	0	0	933.424152760275	3385.40401672756	1412.6747625357	0	24267.6348013899	0	66820.6308042404	38291.2878188301	0	47220.1167666519	0	0	15947.6213084282	16196.9988059567	103682.525816008	0	0	0	40800.3876682648	795.500285412115	27470.5334986972	548.909128638132	0	0	87445.1250691107	3916.20193046139	20861.3332290035	3353.36109805072	77323.7422783594	0	0	23339.7833301386	172694.613623669	36528.9272916036	38471.0067974959	26486.9552123557	1359.73428820004	225309.086091049	39209.3870974406	0	4965.25922453376	562539.907609186	0	0	56646.3075391534	61458.3180221892	35945.1889035341	106672.269445595	0	0	0	688.226166363546	73282.1550139451	3312.95915711035	65.4790077309447	0	0	2574.57885716565	2164.98676625294	0	38034.9444694153	0	2560.64715339311	16886.6181426975	0	0	0	289757.147742826	0	316748.430631747	34908.670142857	10486.3934295919	0	3002.28216298268	0	0	0	0	1051.84363482688	22325.5552954976	0	0	0	273365.105084053	9883.15065624088	0	54633.1763440212	0	0	0	0	0	1812.51466080764	0	420.737453930751	852.620270879535	13734347.2568996	0	0	900810.034228756	123.992163575619	0
GBM-BM-322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116553.742056877	425.943907849052	0	0	0	0	1565.19101066063	0	0	3303.61279724073	0	0	0	0	0	0	2139.90958488758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58738.4800960356	0	0	0	0	0	0	0	0	0	0	31847.9686505126	0	0	0	0	0	0	0	0	0	9043.66550756061	0	0	0	0	125935.717079763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16013.6567269087	0	0	0	0	0	0	0	0	0	0	161335.935641189	9761644.9144684	0	0	0	0	0	1578904.77408607	0	0	0	0	0	0	0	0	0	7833.08808525278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10027.0049120447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7571490.25252765	0	0	0	4643.60379920605	0
