feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1965	glioma_progression_overall	Y	0.330971705805916	0.00111374094903483	57	27	0	0
X1965	age_at_surgery	age_at_surgery	0.0423977040099918	0.000545415231243168	57	27	0	0
X1965	grade_category	High	-0.667511743806199	0.00167414544466229	57	27	0	0
X1965	steroids_at_surgery	Y	-0.303569568894224	0.00117170100731062	57	27	0	0
X1877	glioma_progression_overall	Y	-1.67306823540384	0.000452468348689322	57	38	0	0
X1877	age_at_surgery	age_at_surgery	0.448367287654195	0.000250526453587328	57	38	0	0
X1877	grade_category	High	0.747848334611765	0.000838912638033317	57	38	0	0
X1877	glioma_idh_mutation	Mutant	0.107965737018579	0.000667801815441546	57	38	0	0
X1877	steroids_at_surgery	Y	0.757049801117782	0.000675331484000658	57	38	0	0
X1867	glioma_progression_overall	Y	0.871391436710053	0.00125712015740617	57	31	0	0
X1867	age_at_surgery	age_at_surgery	0.0867488447677819	0.000573226184646134	57	31	0	0
X1867	grade_category	High	-0.968801627281018	0.00196537869345754	57	31	0	0
X1867	glioma_idh_mutation	Mutant	-0.0807987780277674	0.0016345826766739	57	31	0	0
X1867	steroids_at_surgery	Y	0.157857275966375	0.00131132399337168	57	31	0	0
X1861	glioma_progression_overall	Y	0.63827412381561	0.000720736946153887	57	45	0	0
X1861	age_at_surgery	age_at_surgery	0.253395903041153	0.00034722973132202	57	45	0	0
X1861	grade_category	High	-0.578394136081616	0.00100008663630626	57	45	0	0
X1861	glioma_idh_mutation	Mutant	0.318401334207008	0.000888940213671214	57	45	0	0
X1861	steroids_at_surgery	Y	-0.421737990313029	0.000719874119543741	57	45	0	0
X1858	glioma_progression_overall	Y	-1.02589930818434	0.00147870498761599	57	22	0	0
X1858	age_at_surgery	age_at_surgery	0.0668683965346711	0.000864024658168807	57	22	0	0
X1858	grade_category	High	-0.185412896256492	0.00358618907273112	57	22	0	0
X1858	glioma_idh_mutation	Mutant	-0.779265205055476	0.00291854951191307	57	22	0	0
X1858	steroids_at_surgery	Y	1.29181420747129	0.00259045537168742	57	22	0	0
X1844	glioma_progression_overall	Y	0.489964646488945	0.000987438950767454	57	20	0	0
X1844	age_at_surgery	age_at_surgery	0.232454311635048	0.000584209711963729	57	20	0	0
X1844	grade_category	High	-0.735090736207982	0.00127198813349095	57	20	0	0
X1844	glioma_idh_mutation	Mutant	2.01495252763933	0.00132801724192822	57	20	0	0
X1812	glioma_progression_overall	Y	0.0685916900686559	0.000569466882579667	57	25	0	0
X1812	age_at_surgery	age_at_surgery	0.209934158719927	0.000290960740972794	57	25	0	0
X1812	grade_category	High	-1.30147756003159	0.00088539096596575	57	25	0	0
X1812	glioma_idh_mutation	Mutant	-0.158909808929856	0.000788871176815404	57	25	0	0
X1812	steroids_at_surgery	Y	0.138276047024662	0.00066017400035359	57	25	0	0
X2295	glioma_progression_overall	Y	0.76660789149506	0.000636499957165402	57	38	0	0
X2295	age_at_surgery	age_at_surgery	0.372896217472124	0.000278581510491224	57	38	0	0
X2295	grade_category	High	2.34806848905301	0.00129364226107893	57	38	0	0
X2295	glioma_idh_mutation	Mutant	1.05157349990889	0.000634831485398264	57	38	0	0
X2295	steroids_at_surgery	Y	-0.737896583307747	0.000534707178192158	57	38	0	0
X2303	glioma_progression_overall	Y	-0.0202774922063614	0.00033719598493625	57	34	0	0
X2303	age_at_surgery	age_at_surgery	-0.0931323334136632	0.000163747119128982	57	34	0	0
X2303	grade_category	High	-0.0807388577202384	0.000609684735708666	57	34	0	0
X2303	glioma_idh_mutation	Mutant	-1.09585379304856	0.000540575363959436	57	34	0	0
X2303	steroids_at_surgery	Y	-0.619469200534882	0.000342239396679354	57	34	0	0
X2318	glioma_progression_overall	Y	0.368362949928322	0.000332870809922006	57	43	0	0
X2318	age_at_surgery	age_at_surgery	0.456785907930563	0.00016395701468014	57	43	0	0
X2318	grade_category	High	0.346455748506236	0.000536947938182797	57	43	0	0
X2318	glioma_idh_mutation	Mutant	0.798025507404267	0.00042022832899754	57	43	0	0
X2318	steroids_at_surgery	Y	0.293134718171677	0.000386746205090295	57	43	0	0
X2290	glioma_progression_overall	Y	0.580255740979774	0.000979607490881442	57	26	0	0
X2290	age_at_surgery	age_at_surgery	0.247187369493191	0.0004617412131702	57	26	0	0
X2290	grade_category	High	1.49357613433803	0.00157088791684302	57	26	0	0
X2290	glioma_idh_mutation	Mutant	1.3946550172136	0.00102989843640117	57	26	0	0
X2290	steroids_at_surgery	Y	-0.124467626964187	0.000969217350522787	57	26	0	0
X2325	glioma_progression_overall	Y	-0.349779697410393	0.00165752141209416	57	21	0	0
X2325	age_at_surgery	age_at_surgery	-0.0607178710713923	0.000867642866481996	57	21	0	0
X2325	glioma_idh_mutation	Mutant	-0.950673051818607	0.00295135808944098	57	21	0	0
X2325	steroids_at_surgery	Y	0.199468858677587	0.00208587477792752	57	21	0	0
X9286	glioma_progression_overall	Y	0.309007142619138	0.000642388520039741	57	22	0	0
X9286	age_at_surgery	age_at_surgery	0.451843367915859	0.000306994393701921	57	22	0	0
X9286	grade_category	High	-0.280032866304484	0.000775039995278153	57	22	0	0
X9286	glioma_idh_mutation	Mutant	0.217090990258564	0.000719121748338455	57	22	0	0
X9286	steroids_at_surgery	Y	-1.26954146388873	0.000619055885748465	57	22	0	0
X15452	glioma_progression_overall	Y	-0.56183550689607	0.000761637770300449	57	44	0	0
X15452	grade_category	High	1.03143747014822	0.00136275650257544	57	44	0	0
X15452	glioma_idh_mutation	Mutant	0.478397245107992	0.000979749869930477	57	44	0	0
X15452	steroids_at_surgery	Y	0.287185714533915	0.000958396800669631	57	44	0	0
X7962	glioma_progression_overall	Y	-0.978083721843475	0.00110667733739391	57	21	0	0
X7962	age_at_surgery	age_at_surgery	-0.844071075985816	0.000598699254865555	57	21	0	0
X7962	grade_category	High	-1.12234496283804	0.00339466028534383	57	21	0	0
X7962	glioma_idh_mutation	Mutant	-3.09366443889	0.00333071252138588	57	21	0	0
X7962	steroids_at_surgery	Y	1.2040035594489	0.00156188314868064	57	21	0	0
X8053	glioma_progression_overall	Y	1.03743978166172	0.0115400175766717	57	15	0	0
X8053	steroids_at_surgery	Y	1.51767348315143	0.0178629884199686	57	15	0	0
