feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2043	X2048	X2524	X2492	X2502	X2497	X2479	X9712	X13165	X9434	X9467	X9450	X9447	X19351	X19300	X6001	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8249	X8255	X8235	X7285	X7298	X4303	X4482	X4494	X5265	X5273	X3934	X749	X6936	X6956	X6952	X6939	X5868	X969	X17007	X17130	X15888	X15878	X15874	X15877	X17153	X17137	X15892	X16971	X16988	X16987
GBM-BM-276-Or	342	0	0	0	0	8814	0	0	0	0	0	0	0	0	0	60821	0	0	0	0	0	0	0	30397	0	0	0	0	0	4673	0	0	0	0	1485114	0	0	0	108391	0	0	0	0	0	0	0	0	0	0	0	1980	1277458	0	0	0	0	0	4010	10438	0	0	0	0	26197	11012	0
GBM-BM-388-Or-PreOp	8733	21015	3351	5095	120828	0	52840	23427	33775	17892	0	34467	0	3846	166	2977	0	3440	0	27799	47595	0	0	115811	3985	2735	2541	27587	35743	557	25356	10094	40998	16913	143346	2783	6683	18349	0	595	16908	10427	5371	0	10159	2492	0	1774	57535	0	52352	17385	6648	6206	10556	38124	7050	19254	0	12748	8733	4365	2182	444082	49639	19075
02-2020-107-Or	3482	3787	135	334	179594	0	1407	26229	0	15294	0	3952	0	0	3534	31995	0	2088	465	223837	1537	0	0	0	0	1691	751	3648	0	0	0	0	0	264	1719	0	5650	779	77464	380184	0	0	498	4438	10310	9033	4476	2508	29939	0	17220	46981	0	692	0	0	0	3055	4533	0	2598	0	0	104147	6448	0
GBM-BM-401-Or-PreOp	23433	2845	0	13371	0	0	9736	111391	0	6983	0	0	0	0	592	0	0	4317	0	0	0	0	0	0	0	0	6664	34052	86699	0	40251	160662	0	0	37429	0	1009	5160	0	17041	0	0	0	0	1540	0	0	0	7351	0	0	105508	0	8743	0	0	0	982	0	10687	0	128	0	41376	55299	0
GBM-BM-461-Or-PreOp	1376	4712	0	2578	26545	0	0	0	58287	2770	19160	2172	82046	1096	1366	4886	0	0	5230	24640	759	996	189	254481	2201	5992	0	5518	9800	24648	64806	28002	3668	1494	28313	81312	855	15276	0	4128	42557	6080	189	3402	0	4199	3090	8630	1041	55249	23711	2011	0	0	1374	8398	1314	10885	542	696	341	2484	3031	202943	15251	5958
GBM-BM-442-Or-PreOp	17365	12830	0	1308	75860	0	0	0	0	7382	0	0	0	0	0	172	0	0	0	0	0	0	0	0	1446	0	952	3618	51377	0	0	3756	2111	8124	57683	0	1556	3369	0	0	0	0	0	0	0	0	0	0	39999	0	11935	58690	982	4773	6221	3543	1298	189749	7659	1251	0	7452	5818	91298	9971	0
GBM-BM-261-Or	0	0	49147	1162	176363	0	0	13805	0	0	0	790	0	0	519	0	0	0	0	7923	0	0	0	5418	45526	3042	271	3186	10249	1028	3259	4156	2275	25788	14604	4764	4789	1414	157540	0	7415	0	0	0	22103	14187	0	0	7144	0	12104	61732	1554	1617	9620	0	576	22429	4741	7510	1814	779	2313	21549	26068	0
GBM-BM-277-Or	0	0	1415	0	3976	0	1387	0	0	0	0	0	0	781	0	0	0	0	1139	0	0	0	0	0	0	0	0	0	148536	826	0	0	0	0	11322	0	0	2102	0	0	5089	0	0	0	0	0	0	0	0	3021	17972	17024	0	0	0	0	0	236	0	0	0	0	0	0	407	0
GBM-BM-293-Or	0	3849	0	214	25764	0	3820	0	0	0	0	331	0	2017	0	5255	1483	0	5413	7068	0	0	0	0	2462	0	368	12101	30784	0	66016	5925	59009	4329	20785	0	5724	984	0	12848	406	2002	0	0	6433	0	0	0	1354	0	12609	51636	1091	880	8961	778	971	99666	2700	0	0	1093	36	22678	106351	0
02-2020-84-Or	0	0	0	0	0	0	3449	0	0	0	2068	0	1504	283	855	1867	0	332	0	12758	0	0	99132	29025	0	0	0	142	0	6599	7870	0	963	0	0	0	112	390	7690	0	0	0	0	291	0	0	0	0	0	608	5110	11098	0	0	0	0	2345	0	0	0	0	0	0	10552	0	10931
BM-2020-105-Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0	0	0	0	0	0	0	0	0	386	0	0	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6163	0	0	578	0	0	29744	82973	0
GBM-BM-317-Or	105	0	1706	0	26254	0	0	0	0	0	6152	0	0	0	0	0	0	0	0	0	0	0	0	81301	0	0	0	0	0	0	11936	10626	0	18650	10095	16022	5831	0	0	80993	14537	0	0	0	370	0	0	0	0	0	16141	0	0	0	0	308	0	6839	0	0	0	268	0	1177	15108	0
GBM-BM-283-Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5784	15557	0	3515	44	0	0	0	0	1686	263	33291	1996	12835	922	81	1049	557	0	1893	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	554	0	0	0	0	0	1442	3420	2839
GBM-BM-301-Or	110	456	0	0	2626	0	0	0	0	0	13772	0	0	0	0	3466	0	0	327	9816	0	0	0	2481	0	40	0	271	0	0	284	910	628	0	3046	0	144	722	0	0	0	0	0	0	0	0	0	0	0	0	1170	536	0	0	0	0	0	6430	1509	0	0	0	300	3447	3594	0
02-2020-56-OR	7876	113143	640	19937	3893711	140618	253194	159	46521	2934	10137	1090	0	2402	615	945	1631	32691	1481	478354	84322	3656	1748	5161	235	25971	2670	328	583	5148	4118	0	0	0	45140	0	0	64717	0	0	950	1657	108829	995	15098	10399	4217	13038	196688	7666	1731978	11524	62210	33254	0	11642	0	1281	0	806	34592	16026	1833	918857	21787	43
02-2020-43-OR	365	83882	0	2057	1878654	0	63066	0	15966	3455	0	2236	3169	0	0	0	0	0	0	104544	332	0	0	19338	0	55419	0	0	510444	281246	1644	2370	0	0	973536	8140	0	108585	0	0	40829	0	6410	19297	2698	1291	123	0	819581	1028902	0	9556	46168	70103	0	21230	0	2482	0	0	60540	52330	0	1163431	2978	610
02-2020-16-OR	2502	33551	4576	3295	377609	71408	1824631	4519	123520	1072	19289	0	1243	17462	0	0	74930	8148	0	9419	10936	0	21391	60648	0	43040	616	1439	332062	1045	0	0	557	0	223256	0	111	68736	34330	0	6232	3983	65876	0	50405	61981	92914	23163	241241	16461	1173192	57421	141238	59422	8505	703880	15199	7822	9587	11139	1326091	161487	9814	1107023	46229	0
02-2020-20-OR	0	0	20451	6125	41306	0	0	127693	0	0	3475	0	183704	20884	1555	0	42508	126341	0	98881	51412	7532	0	0	0	0	16824	646	10690	0	71696	19197	0	83452	0	73	1044	0	977270	130886	0	0	26171	33404	17127	0	986	480	1008	70830	0	971357	1004	37014	2983	0	6503	632952	65654	42054	0	0	14623	504	48264	19787
02-2020-52-OR	0	519	2112	0	127673	0	0	0	39468	0	2931	0	142777	153893	1343	30876	3720	0	16952	60328	31100	6042	11342	142723	3424	17858	0	6348	19957	115633	76881	15214	1976	1269	126756	24184	184	25135	0	0	134605	4465	0	22082	0	28050	8796	6851	50306	478055	81228	6690	18577	5219	101	23426	0	0	0	0	41468	17756	0	387470	0	9594
02-2020-37-OR	448	781	95	64	41206	20734	5345	715	4065	467	1227	1481	7402	274	1168	30333	19489	48645	8021	33043	201535	415	83852	791	0	1243	5094	0	1362	1368	41713	23486	29906	12055	23403	988	4053	387	8739	0	0	3752	3429	865	2250	10473	1131	178	11351	16374	30899	427272	692	503	171322	481	27478	111486	2203	5638	865	0	12271	18684	26336	1293
02-2020-22-OR	2021	0	0	0	39370	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	376	4022	27651	2469	0	0	0	0	0	0	0	726	0	0	0	4682	4150	582	148	0	0	9413	0	0	0	0	0	2992	0	10739	12149	0	0	0	0	0	6438	0	0	0	140	0	332301	5047	1925
02-2020-41-OR	0	0	0	0	0	0	0	0	0	0	0	0	703	0	0	0	778	0	0	12977	261932	0	8320	1416	0	0	0	0	0	0	2522	0	1746	0	0	1524	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5488	0	0	0	0	13402	32844	0	0	0	0	0	195	0	32574
02-2020-53-OR	2656	4407	969	1756	258987	0	19	11861	660	2976	0	1350	8621	4620	381	44863	22221	3271	4437	30185	25135	874	41739	63453	12849	834	0	875	3387	0	0	9357	179	1491	130	0	2847	7338	3351	0	0	4685	5738	5702	0	3468	124	4872	2534	31107	18815	71576	1128	306	0	0	1575	0	0	393	0	0	808	3138	17562	0
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	38839	3662	1117	0	0	157735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	3330	15475
02-2020-26-OR	149	841	0	0	8004	32807	1219	0	1132	243	0	0	19802	2365	547	100257	2686	0	68488	584	0	31440	0	119488	0	663	0	0	0	0	0	0	0	0	0	0	0	132	2202	0	0	0	0	0	0	0	0	0	0	0	0	33565	0	0	0	0	0	0	0	0	0	0	0	0	35	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	317	0	15744	25367	0	2297	0	0	0	0	0	19360	0	428	2430	98362	0	2195	0	0	0	634	0	0	0	0	0	0	0	0	0	0	15166	198	19643	0	0	0	0	4811	50411	0	0	0	0	604	1917	6577	0
02-2020-13-OR	0	0	0	0	3268	0	0	0	0	0	5289	0	0	0	0	5009	0	153	0	73244	359	0	555	0	0	0	0	0	0	6168	3992	0	52604	0	576	21210	0	26	5888	0	0	0	0	0	0	0	0	0	0	3427	0	91500	0	0	0	0	0	450	0	0	3654	0	0	0	635	0
02-2020-34-OR	478	0	0	286	492	0	0	1627	0	107	0	0	0	0	0	0	0	0	0	6115	17524	0	7748	0	0	0	0	0	535	0	52469	112	12505	680	0	0	0	0	0	1733	0	0	0	0	0	0	0	0	536	0	0	8734	0	0	0	0	0	8382	0	0	0	0	0	81973	8752	5800
02-2020-55-OR	4270	0	0	41	49577	8251	0	697	0	0	0	0	0	0	0	1035	0	0	0	48585	19728	0	7618	5108	22	1045	0	0	4591	10788	823	0	0	0	12412	0	0	855	0	0	0	0	1289	0	0	528	0	0	1864	0	58379	23452	771	413	0	0	0	154	0	0	0	144	0	90783	8488	0
02-2020-29-OR	0	3893	693	31682	74476	34100	10932	3388	494	0	0	0	0	0	187	13289	17448	18726	0	9388	47102	0	498	0	0	0	0	0	1943	11451	4232	0	0	0	129	0	0	457	18726	0	0	238	1101	0	0	0	0	0	13454	1531	12606	5356	2887	2851	0	4401	2486	597	0	2977	0	0	0	90	3932	26628
02-2020-28-OR	0	2078	0	0	58197	13905	0	0	0	381	0	0	0	0	0	281	0	1084	0	2840	6067	398	0	0	0	0	0	0	417	1802	0	0	0	0	0	0	0	103	22900	0	0	0	0	1154	0	0	0	0	0	0	13075	50093	593	0	0	0	0	0	0	0	0	162	0	15290	86	0
GBM-BM-298-OR	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	1517	0	0	0	0	0	0	19559	0	0	0	0	0	0	0	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-110-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	13765	0	17310	0	0	0	0	0	0	0	0	0	8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4448	0	0	0	0	0	0	0	0	0	0	0	0	0	1444	958	0
02-2020-44-OR	22	0	0	0	11259	6834	0	27	0	0	30	0	0	0	0	0	0	0	0	9361	1989	0	652	0	0	0	0	0	0	560	0	0	2580	0	0	0	0	1597	0	0	0	0	252	0	0	298	0	0	0	8108	5938	1235	14	0	0	0	0	0	0	0	0	0	0	20209	0	0
02-2020-40-OR	0	0	0	0	2223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3327	519	0	0	5191	0	0	0	0	0	0	0	0	0	0	0	2039	0	74	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1924	10009	0
