feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2043	X2048	X2524	X2492	X2502	X2497	X2479	X9712	X13165	X9434	X9467	X9450	X9447	X19351	X19300	X6001	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8249	X8255	X8235	X7285	X7298	X4303	X4482	X4494	X5265	X5273	X3934	X749	X6936	X6956	X6952	X6939	X5868	X969	X17007	X17130	X15888	X15878	X15874	X15877	X17153	X17137	X15892	X16971	X16988	X16987
GBM-BM-276-Or	80.7939288404076	0	0	0	0	2082.21546432559	0	0	0	0	0	0	0	0	0	14368.3261579018	0	0	0	0	0	0	0	7180.97384491775	0	0	0	0	0	1103.94745459422	0	0	0	0	350842.674958752	0	0	0	25606.2419325749	0	0	0	0	0	0	0	0	0	0	0	467.754324865518	301786.113300028	0	0	0	0	0	947.32062763168	2465.86850653852	0	0	0	0	6188.76770126362	2601.47001283792	0
GBM-BM-388-Or-PreOp	5453.0963795122	13122.2741801728	2092.44543315532	3181.44120618512	75447.9250364937	0	32994.5737654213	14628.3853066337	21089.9267397257	11172.197460464	0	21522.0282735196	0	2401.53540313797	103.654414176002	1858.91078916842	0	2148.01918533402	0	17358.3678293896	29719.4689319687	0	0	72315.1889164877	2488.33036440583	1707.8001371769	1586.66184591097	17225.9899028516	22318.7935294749	347.804269253211	15832.8995532934	6302.93769091906	25600.1426047453	10560.8861864983	89508.7087618865	1737.77249790249	4173.02680685675	11457.5593115389	0	371.532388160971	10557.7640655894	6510.87094345284	3353.78228035727	0	6343.52526273496	1556.0650610036	0	1107.7284984833	35926.2452988932	0	32689.8547647112	10855.6144003	4151.17196049434	3875.17647214619	6591.42166290287	23805.5475063006	4402.19048157117	12022.6631960527	0	7960.15946937152	5453.0963795122	2725.61155348342	1362.49356465082	277295.539494622	30995.7919595335	11910.8912675135
02-2020-107-Or	3719.59837911335	4045.4104140443	144.2118843137	356.790884153894	191848.808529145	0	1503.00830540278	28018.7667678817	0	16337.604138472	0	4221.66938376104	0	0	3775.14666047863	34178.2165823468	0	2230.47714405189	496.729823747188	239110.781845375	1641.87900881597	0	0	0	0	1806.3873805516	802.24537125621	3896.92558501019	0	0	0	0	0	282.01435154679	1836.29799359444	0	6035.53441757335	832.155984299052	82749.847455381	406126.303895701	0	0	531.981617690536	4740.83216729036	11013.5150168462	9649.37741485666	4781.42514213422	2679.13633969451	31981.9229960582	0	18395.0270213475	50186.8039773476	0	739.219436630223	0	0	0	3263.46153021002	4842.3146044	0	2775.27759590364	0	0	111253.593449029	6887.98688929434	0
GBM-BM-401-Or-PreOp	47751.2867589177	5797.48264537707	0	27247.1495435279	0	0	19839.8211020707	226990.295026783	0	14229.8141696549	0	0	0	0	1206.36545731572	0	0	8797.0940527567	0	0	0	0	0	0	0	0	13579.7625127567	69390.4671495184	176673.44389158	0	82022.6622000254	327393.728214963	0	0	76272.0484828887	0	2056.11950410737	10514.9421617384	0	34725.8002670898	0	0	0	0	3138.18041261184	0	0	0	14979.7170214998	0	0	215002.038294708	0	17816.3060697827	0	0	0	2001.09945791223	0	21777.7493958329	0	260.83577455475	0	84315.164124823	112687.167946118	0
GBM-BM-461-Or-PreOp	1009.0568052652	3455.43289710001	0	1890.51485753901	19466.1430928522	0	0	0	42743.3822736138	2031.31348152951	14050.5293523846	1592.78443389245	60166.4786662707	803.725478612396	1001.72354359903	3583.03165009139	0	0	3835.29585140769	18069.1567454466	556.594560462417	730.392861950681	138.598645490641	186617.576206899	1614.05089272435	4394.09039036996	0	4046.49378739343	7186.59643284807	18075.0233547795	47523.935553791	20534.5993176134	2689.84037915171	1095.58929292602	20762.6637554314	59628.2172599737	626.993872457663	11202.2905212436	0	3027.1704157956	31208.161672726	4458.62309303227	138.598645490641	2494.77561883154	0	3079.23657362541	2265.97785484699	6328.604817906	763.392539448453	40515.5373794309	17387.8967366592	1474.71892106709	0	0	1007.59015293196	6158.47314725083	963.590582934935	7982.25532362768	397.462782306495	510.395011965536	250.064222816448	1821.582197877	2222.71161101658	148823.412231784	11183.9573670782	4369.15730070498
GBM-BM-442-Or-PreOp	66606.135178207	49211.4433824587	0	5017.03569323897	290972.727591062	0	0	0	0	28314.7993023625	0	0	0	0	0	659.732522352526	0	0	0	0	0	0	0	0	5546.35597280088	0	3651.54279813723	13877.3968946014	197064.405819219	0	0	14406.7171741633	8097.06601561733	31160.8547185577	221252.041202679	0	5968.27793477052	12922.3189988701	0	0	0	0	0	0	0	0	0	0	153422.33233476	0	45778.5328737058	225114.544981801	3766.61242412895	18307.5774952826	23861.6047764829	13589.7228296221	4978.67915124173	727811.548743427	29377.275515686	4798.40340385471	0	28583.2950963431	22315.8361339941	350187.5571264	38245.3080254479	0
GBM-BM-261-Or	0	0	150153.610094021	3550.13520518552	538823.145604246	0	0	42176.9505228796	0	0	0	2413.60310851683	0	0	1585.64558648131	0	0	0	0	24206.3005427581	0	0	0	16553.0400530939	139090.753314351	9293.89956469393	827.957522035521	9733.84747308181	31312.6813407456	3140.73923488013	9956.876621084	12697.3854670835	6950.56591376683	78787.3379271292	44618.0503756707	14554.943302499	14631.3231477052	4320.0440448643	481315.232551572	0	22654.2620881675	0	0	0	67528.9487437311	43344.0345576308	0	0	21826.304566132	0	36980.0658550478	188603.224170837	4747.77117801919	4940.24838793888	29390.9644353569	0	1759.79163355151	68524.9419252203	14484.6738449092	22944.5054999512	5542.12156816397	2379.99597662609	7066.6632784803	65836.371373961	79642.792193439	0
GBM-BM-277-Or	0	0	22582.8708045205	0	63455.4730168009	0	22136.0012762331	0	0	0	0	0	0	12464.4679140145	0	0	0	0	18178.0140256882	0	0	0	0	0	0	0	0	0	2370579.00906025	13182.6510844762	0	0	0	0	180694.885688184	0	0	33547.1338735703	0	0	81218.5367662223	0	0	0	0	0	0	0	0	48214.0301770009	286826.398656425	271696.673198697	0	0	0	0	0	3766.47173842179	0	0	0	0	0	0	6495.56778617655	0
GBM-BM-293-Or	0	32786.1360464103	0	1822.87168457568	219460.121875738	0	32539.1113788744	0	0	0	0	2819.48844670351	0	17180.991531725	0	44762.5733759123	12632.3304122698	0	46108.431909384	60205.8741429016	0	0	0	0	20971.5424646044	0	3134.65785011146	103077.431098366	262220.943635411	0	562330.360415647	50469.6950051913	502644.089883769	36874.8201987296	177048.541887409	0	48757.5585164076	8381.80251225455	0	109440.445810413	3458.3453455034	17053.2201519651	0	0	54796.8857330625	0	0	0	11533.496546334	0	107404.621826237	439840.197685748	9293.23835454239	7495.9209459187	76330.6222686108	6627.07556355085	8271.06731646257	848964.155677197	22998.848356796	0	0	9310.27453851039	306.651311423947	193173.290013119	905907.600590228	0
02-2020-84-Or	0	0	0	0	0	0	10546.70720907	0	0	0	6323.74326133859	0	4599.08600824625	865.386529477186	2614.50700601765	5709.10477220462	0	1015.22377309691	0	39012.7255938867	0	0	303136.033357358	88755.6325727043	0	0	0	434.2222162041	0	20179.1014417666	24065.6960670864	0	2944.76052256724	0	0	0	342.485128273657	1192.58214309577	23515.2735395037	0	0	0	0	889.849752925304	0	0	0	0	0	1859.20498205699	15625.8839774856	33936.6067284022	0	0	0	0	7170.78237322969	0	0	0	0	0	0	32266.9917280681	0	33425.9369389227
BM-2020-105-Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15058.1558950287	0	0	0	0	0	0	0	0	0	0	0	5493.80734922597	0	0	45658.3781769868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87715.8929877711	0	0	8226.47836231246	0	0	423336.284443983	1180926.62483763	0
GBM-BM-317-Or	57.2746552838503	0	930.5767801357	0	14320.8457125924	0	0	0	0	0	3355.74932672616	0	0	0	0	0	0	0	0	0	0	0	0	44347.4928498315	0	0	0	0	0	0	6510.76462350511	5796.19511472565	0	10173.0697242267	5506.5490008616	8739.56692340808	3180.65252342982	0	0	44179.4871943322	7929.5396558222	0	0	0	201.824975762139	0	0	0	0	0	8804.47819939645	0	0	0	0	168.005655499294	0	3730.48921415478	0	0	0	146.186739200684	0	642.021612086588	8241.00468598485	0
