feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2016	X2036	X2043	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19317	X19300	X5989	X6001	X6055	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X5934	X7285	X7298	X4303	X4482	X4481	X4494	X5266	X5265	X7281	X5285	X5273	X7282	X4498	X3934	X3920	X3922	X3931	X6653	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14387	X14348	X14386	X969	X985	X14784	X17008	X17007	X15903	X16955	X15897	X17130	X15888	X15887	X15878	X15874	X15875	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17248	X17234	X17300	X15494	X17291	X16971	X16988	X16987
BM-2020-84-SL	252	216	297071	555	152595	87948	943388	2010385	4977	0	5004	281	0	0	906251	557	0	0	0	0	467867	0	0	162683	0	56824	0	364	643	14253	205307	0	8152	0	32031	52376	218296	6929	0	0	1548	1910	6101	275154	4910964	0	0	127725	0	3188	261892	2715	0	15521	0	211221	418673	25518	0	7495	0	102	0	555	0	1322	0	5479	160832	20728	147075	191	0	0	0	4467	22682	0	200165	196416	23325	0	0	32159	603	18542	4346	0	2185	0	0	25690	130058	79219	1273068	37710	0	8899	210	0	4281	61	1389	0	41363	2229	459	5057	0	8990	211	503	0	0	3257	0	0	0	38351	0	0	4086	307	0	4301	0	819579	26365	0	0	53977	6647	0	9693	478	10874	141	0	1100641	0	87584
GBM-BM-461-SL-PreOp	367	12068	82717	0	41184	389871	15649	1556	381	18430	531461	9469	2127	0	196173	0	2290	3818	15190	1039	85169	1914	2516	478485	1610	57721	0	0	0	11565	114386	1489	2063	213875	1579	92808	274836	865	4807	2907	13079	14809	1234	9176	4668206	0	12578	68320	0	835	337528	22939	28131	62126	315	114708	179227	274899	28511	14457	2667	13549	816	783	3097	219035	643231	3322	146962	0	352	29067	0	3816	389445	121555	16852	0	58822	106460	2686	0	7340	78033	497	31685	47362	0	21974	2231	4245	92432	18715	434577	248458	6885	0	3209	3896	0	14778	1635	0	90	164648	0	0	5356	0	11479	1108	1354	13115	12009	1143	0	2203	178031	8845	0	32393	15572	0	0	10338	693792	167913	12150	343398	0	9745	77788	20482	0	0	477	0	0	4139176	73565	36448
BM-2020-107-SL	0	19362	83532	1116	10176	2873753	0	49160	87634	0	0	34738	2479	7592	313	0	7610	1402	4787	0	72653	0	0	0	1450	0	2846	367	7411	30219	292405	0	10602	0	10215	21883	1359776	99069	0	0	28888	0	4086	0	0	0	0	37536	0	3139	0	3077	97	0	888	8028	0	0	0	3497	8282	138	9118	0	368	7699	0	27695	21525	400916	0	47988	2444	262954	0	0	2515	0	50411	0	87480	555	2140	160408	3622	9120	112985	3772	211	999	6342	51746	362579	0	290231	195235	2544	7521	4917	206	0	0	0	1071	18738	0	1327	0	1348	22133	7612	1330	0	2774	1307	0	1081	0	0	0	27970	9528	16787	1941	0	86416	0	89651	0	7388	7489	10193	0	0	0	26141	4808	5096	2810434	21509	0
GBM-BM-301-SL	0	11767	531827	33271	0	1112369	26773	0	0	0	137305	0	8607	23334	2142705	7948	0	13745	37136	0	10765	98482	0	0	0	0	0	0	0	35321	82239	0	0	0	0	10332	1216322	0	0	0	0	1377	1209	0	66064	0	0	69126	0	1640	14582	26916	0	0	0	177461	6108	3438	12881	3470	746	0	0	9513	0	1371638	0	5369	260046	0	0	735	0	0	4399	0	54364	0	0	0	33966	553	4730	68298	3171	21553	39674	12234	7207	0	23213	15785	97363	10108	847938	8314	0	64987	4034	0	433	0	0	0	17892	0	0	6147	9223	42644	7127	2987	864	0	0	0	1571	157908	0	0	32954	31065	26099	0	8328	0	0	662	33524	0	2233	24233	8876	30157	681	8691	0	0	2381353	22460	0
GBM-BM-277-SL	0	2425	1150	17709	1186	213011	0	179624	320	0	0	0	0	941	7873	4311	821	0	0	0	3841	186	4085	13852	17	10826	2717	3073	5408	2412	0	457	500	8844	0	11127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2735	0	0	2184	2273491	29354	0	2500	0	0	0	1045	0	0	207793	0	0	52663	0	0	0	366	0	207334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	327	0	3421	36741	502682	130546	939	0	153	0	0	0	0	1484	0	0	0	0	0	12352	0	0	225	0	0	0	6757	0	0	20697	11047	0	347	6887	0	0	0	0	0	0	11149	0	0	0	0	0	119	0	0	9089	0
GBM-BM-283-SL	797	8180	647	4855	4447	229351	6690	9958	37201	0	0	9385	683	3388	916	3058	14598	2543	18444	0	1614	796	0	12033	854	2667	252	560	898	25127	50613	3057	20432	0	0	8888	554181	0	47183	0	230633	2953	3703	154719	636152	0	6764	3873	6045	4941	0	4505	1104	0	34993	1113055	176113	175765	43104	237823	42958	51148	74587	2798	1172	78488	991996	51627	31704	98050	0	0	0	0	121972	136	4969	23581	6498	0	2514	1058	0	11034	1466	0	0	1975	0	550	4350	466	29083	270503	30714	99102	1651	0	1216	791	1388	19118	1371	1878	0	13361	7023	32954	12159	1429	8466	486	2191	24689	7188	0	9316	0	21960	12532	54523	1011	5847	41048	40063	0	11171	7960	0	55346	658	0	51350	0	28153	0	5190	26796	1365592	65524	73072
GBM-BM-388-SL-PreOp	11624	33518	153174	18251	38531	1051568	0	448438	100033	4490	237699	73992	15536	0	4555	6856	0	12448	46579	2061	322488	4828	11020	0	10857	21510	17759	507	23989	1680	9792	0	15743	12910	11329	4024	134407	0	216	1906	91250	318	7846	0	1097030	28446	14492	27046	2250	13586	39698	109502	17649	13566	15168	200464	4384	59312	25417	64551	26731	28053	11582	0	930	483509	12767	12836	82507	0	6929	38967	666	3332	90965	53796	35266	4087	0	0	48932	19964	12087	28131	4773	9917	0	0	28742	6863	5687	11501	393787	0	384424	45978	5589	54076	20910	8370	14937	17786	18526	15800	101780	0	11360	46517	306	50953	19791	7349	3646	33253	49916	0	3086	245435	13442	0	32481	2674	60249	125225	51795	0	0	48575	117839	14564	76027	23487	8229	1288	295	7958	11039	18177	1186189	61771	29509
GBM-BM-261-SL	31696	0	0	264237	15547	909982	0	0	97489	0	0	0	55066	0	0	0	0	35919	0	0	8647	0	0	0	0	0	0	0	0	3863	0	0	0	0	81772	0	107566	0	0	0	0	0	470	0	92101	0	238321	30011	32848	4310	0	25093	622	0	35436	106010	8551	6236	17942	12534	66860	0	11639	0	0	94931	85565	31841	14094	543315	0	14923	941	628	52280	0	0	0	0	0	130442	5454	0	91622	15539	0	0	0	0	0	8376	0	54330	0	97710	213474	731	12864	7759	17212	0	1361	0	0	0	0	2109	0	615	8133	1345	1500	0	51097	180	3085	6469	0	8185	0	85219	38852	285	17474	25221	0	0	14852	0	45244	0	6867	26224	2799	1836	0	438	3629	336215	43284	0
GBM-BM-317-SL	1096	6698	5077	32017	1475	223317	0	676	3228	0	13170	7917	87	293	65552	0	0	0	0	0	0	33	0	0	2464	0	2726	0	0	4896	0	0	0	0	0	0	0	0	0	0	0	373	3513	0	781979	0	0	2924	1544	380	0	327	0	51551	465	0	0	2069	16576	0	64276	0	740	0	0	75532	253798	30750	2339	0	0	0	0	24846	193350	307	0	2710	0	0	32011	0	0	0	43	0	0	0	0	0	0	0	0	0	167606	0	0	0	0	171	2128	11845	0	0	0	0	6045	549	0	0	0	289	0	0	3442	1198	548	33276	0	1368	51549	0	0	102	0	0	0	0	53128	0	0	16687	0	0	0	0	0	5579	46074	80876	0
GBM-BM-442-SL-PreOp	0	34440	107575	0	4419	530516	1330	0	0	0	5434	12993	0	0	0	0	0	5925	0	0	4684	0	0	260	0	0	0	0	0	0	1279	366	0	257	0	0	27	0	0	0	0	0	2203	0	0	0	4822	5900	0	2036	0	7782	0	0	0	302955	0	397	6614	2680	5936	11613	0	0	8728	244252	0	2739	15620	0	0	745	0	0	0	0	2889	0	0	0	0	6107	0	0	1739	2939	0	0	82	0	799	0	243840	0	65946	72085	0	16354	3525	1745	585	5623	0	0	0	0	64	7477	0	31516	13567	0	5873	11539	11373	0	0	33145	1623	0	246381	9618	41228	40990	4716	2164	0	0	7697	7159	961	49266	23391	0	43403	0	26903	45	407640	20654	0
