feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X1531	X1526	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2016	X2036	X2043	X2047	X2048	X2053	X1343	X1341	X2524	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19317	X19300	X5989	X6001	X6055	X6067	X8000	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8026	X8025	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X5934	X7285	X7298	X4303	X4482	X4481	X4494	X5266	X5265	X7281	X5285	X5273	X7282	X4498	X3934	X3920	X3922	X3931	X6653	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14387	X14348	X14386	X969	X985	X14784	X17008	X17007	X15903	X16955	X15897	X17130	X15888	X15887	X15878	X15874	X15875	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17248	X17234	X17300	X15494	X17291	X16971	X16988	X16987
BM-2020-84-SL	298.048097237975	255.46979763255	351354.945613423	656.415452250302	180478.767452495	104018.785936053	1115773.80300452	2377743.7458959	5886.44992045001	0	5918.38364515408	332.347283031234	0	0	1071850.73876989	658.780913339493	0	0	0	0	553360.591708094	0	0	192410.153186371	0	67207.4804660742	0	430.513918232631	760.495740174675	16857.4584521145	242822.859919194	0	9641.61939953958	0	37884.0420739269	61946.695003715	258185.346962941	8195.13994349972	0	0	1830.86688303328	2259.01534017672	7215.83905257495	325433.040267531	5808347.12620712	0	0	151064.258808414	0	3770.5449761693	309747.66778511	3211.1134285758	0	18357.1607826612	0	249817.52835993	495177.345297281	30180.9180369788	0	8864.56543174057	0	120.638515548704	0	656.415452250302	0	1563.56977995477	0	6480.18065383677	190220.918948325	24515.6387283681	173950.09484633	225.901534017672	0	0	0	5283.25734270649	26826.694212507	0	236741.259458886	232307.202647199	27587.1899526816	0	0	38035.4315836351	713.186518390869	21930.1897578831	5140.14694681048	0	2584.26623994038	0	0	30384.3476906491	153823.569168955	93694.7310122824	1505696.40894664	44600.7688366827	0	10525.1191163521	248.373414364979	0	5063.26946141179	72.1465632203035	1642.81272644265	0	48921.2835160888	2636.30638390257	542.873319969169	5981.06836401762	0	10632.7475959103	249.556144909574	594.913463931355	0	0	3852.15338374637	0	0	0	45358.8991157682	0	0	4832.63700521574	363.098277190708	0	5086.9240723037	0	969341.11700874	31182.6908082509	0	0	63840.2466056118	7861.60992992389	0	11464.2071687607	565.345200316477	12861.0119419275	166.765006787915	0	1301761.72933374	0	103588.272017821
GBM-BM-461-SL-PreOp	166.288763480245	5468.04577024413	37479.3123945379	0	18660.5897416087	176651.679855059	7090.60724714537	705.028108924417	172.632204048974	8350.68640583355	240806.519149794	4290.43133894942	963.749863548994	0	88886.5547635152	0	1037.60563588491	1729.94686367187	6882.63301707063	470.773910779222	38590.320699861	867.238946324765	1140.0068907801	216802.940037725	729.495665403799	26153.5523619706	0	0	0	5240.13501266766	51828.6280639	674.670214774072	934.751278091949	96907.3822597749	715.449475573042	42051.573735898	124528.988010508	391.93400656788	2178.06562956277	1317.17012380674	5926.13279988589	6710.00081302165	559.128975843657	4157.67218990389	2115177.66597019	0	5699.12824810496	30955.989975396	0	378.34091963489	152934.914877275	10393.727371862	12746.2376170648	28149.4706266313	142.727412796395	51974.5271969807	81208.2730579669	124557.533493068	12918.416718216	6550.5085930079	1208.42542834281	6139.09116183607	369.731964577329	354.77956895104	1403.25967438234	99245.3932122491	291449.830033137	1505.20782637976	66588.9080615361	0	159.49222001375	13170.3419293741	0	1729.04065787633	176458.65802061	55076.9227379868	7635.69003315827	0	26652.4186524113	48237.334496204	1217.03438340038	0	3325.7752696049	35356.9784214004	225.192140189868	14356.5653157263	21459.8594440091	0	9956.48307551744	1010.87256491669	1923.42180101809	41881.2070463379	8479.82073169695	196908.0980026	112577.039773228	3119.61345112121	0	1454.00719893217	1765.28888969764	0	6695.9546231909	740.823237847957	0	40.7792607989701	74602.4859114315	0	0	2426.81912043649	0	5201.16816345976	502.038010725099	613.501323575617	5942.44450420548	5441.31269927591	517.896612146921	0	998.185683779235	80666.3619922384	4007.69513074323	0	14677.3621673449	7055.71832401737	0	0	4684.17775710837	314359.165647101	76081.8668726386	5505.20020786097	155594.628887164	0	4415.48773873293	35245.9682114477	9280.45355205007	0	0	216.130082234542	0	0	1875472.63996487	33332.5146741804	16514.6944177874
BM-2020-107-SL	0	18569.0290189558	80110.9457706547	1070.29420437737	9759.24177754851	2756058.40565599	0	47146.6515118204	84044.9483032318	0	0	33315.3047237107	2377.47252029705	7281.06953372134	300.181080618385	0	7298.33234346936	1344.58107037372	4590.94834798789	0	69677.4953679473	0	0	0	1390.61522970178	0	2729.4420301595	351.969509862451	7107.48239125511	28981.3804319712	280429.54913169	0	10167.794941585	0	9796.64453200256	20986.7814286649	1304086.35488481	95011.6277181558	0	0	27704.8915556035	0	3918.65781280102	0	0	0	0	35998.7125945422	0	3010.44221105786	0	2950.98142192578	93.0273636421193	0	851.631947569092	7699.21314761787	0	0	0	3353.7803160463	7942.81057406218	132.34820806817	8744.57218235921	0	352.928554848453	7383.68734722347	0	26560.7508873041	20643.4433236765	384496.479607669	0	46022.650788227	2343.90594578701	252184.715248967	0	0	2411.99813979309	0	48346.416789308	0	83897.2553753876	532.269967230682	2052.35627004263	153838.488114485	3473.66093929645	8746.49027233122	108357.697743349	3617.51768719664	202.358492046259	958.085941015228	6082.2633012198	49626.7418456196	347729.57197934	0	278344.585332123	187239.14784195	2439.81044438713	7212.97733971525	4715.62419616805	197.563267116253	0	0	0	1027.13718000732	17970.584947691	0	1272.65269642363	0	1292.79264112966	21226.5426751652	7300.25043344136	1275.52983138164	0	2660.39079116741	1253.47179670361	0	1036.72762986733	0	0	0	26824.4882584544	9137.78062661972	16099.4881800026	1861.50631782839	0	82876.8315102823	0	85979.3420399962	0	7085.42435657708	7182.28790016321	9775.54554231053	0	0	0	25070.3949790581	4611.08829269391	4887.29324866227	2695332.63618738	20628.0986039004	0
GBM-BM-301-SL	0	13535.0654776117	611737.33897865	38270.1762136158	0	1279509.41193723	30795.8109995833	0	0	0	157935.936551667	0	9900.25567823605	26840.0797020983	2464659.85163643	9142.23679918904	0	15810.2723710183	42715.9166802572	0	12382.5086994552	113279.5375513	0	0	0	0	0	0	0	40628.2015581475	94595.9250287503	0	0	0	0	11884.4477364395	1399082.00151777	0	0	0	0	1583.90287776589	1390.65982514086	0	75990.5299322628	0	0	79512.6146176072	0	1886.42027562532	16773.0368653466	30960.2976455677	0	0	0	204125.627154113	7025.76527043869	3954.58104121942	14816.4509575181	3991.38924171942	858.091174156395	0	0	10942.3878548925	0	1577735.20366961	0	6175.72589014167	299119.540850769	0	0	845.438355234518	0	0	5059.97731248523	0	62532.5316244481	0	0	0	39069.6043182253	636.091714890732	5440.71213640717	78560.2024296695	3647.46261829749	24791.4732930198	45635.267082414	14072.2351536586	8289.89690636077	0	26700.8986939576	18156.7951528937	111992.400790066	11626.7903329395	975345.997361696	9563.23059240786	0	74751.7039341845	4640.13377553203	0	498.060963015709	0	0	0	20580.385104566	0	0	7070.62526479807	10608.8135378612	49051.5281913208	8197.87640511076	3435.81546542245	993.821413500168	0	0	0	1807.05259329718	181634.666392343	0	0	37905.5449774126	35732.7108916467	30020.5382765519	0	9579.33418012662	0	0	761.469647843879	38561.191048819	0	2568.52224114106	27874.1600848953	10209.6746136892	34688.278202459	783.324516890757	9996.87720454856	0	0	2739166.20891535	25834.7557259419	0
GBM-BM-277-SL	0	6563.78740356264	3112.72392333899	47933.2417029653	3210.16571572177	576560.378812487	0	486191.236526819	866.149265624761	0	0	0	0	2547.02018422781	21309.9786508242	11668.6546378386	2222.21420961853	0	0	0	10396.4979039522	503.449260644392	11056.9367189911	37493.4363357319	46.0141797363154	29302.9123426677	7354.14860844524	8317.73966645278	14637.9225890585	6528.60008964664	0	1236.96941997036	1353.35822753869	23938.2003287043	0	30117.633995646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7402.86950463663	0	0	5911.468737889	6153695.50017032	79452.9548223414	0	6766.79113769345	0	0	0	2828.51869555586	0	0	562436.732349894	0	0	142543.80867374	0	0	0	990.65822255832	0	561194.349497013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492.622394824083	885.096280810303	0	9259.67699281971	99447.469275998	1360617.64107121	353351.006344531	2541.60675131766	0	414.127617626839	0	0	0	0	4016.76721933483	0	0	0	0	0	33433.3616531158	0	0	609.01120239241	0	0	0	18289.2830869578	0	0	56020.9104707365	29901.0966792398	0	939.23060991185	18641.1562261179	0	0	0	0	0	0	30177.1817576577	0	0	0	0	0	322.099258154208	0	0	24601.3458601983	0
GBM-BM-283-SL	790.280433154995	8111.0338057815	641.54509441817	4814.06713044855	4409.50700908439	227417.32449753	6633.59610766238	9874.04335427533	36887.3555756574	0	0	9305.87436030066	677.241575715008	3359.43551760241	908.277135219542	3032.2177723814	14474.9231658678	2521.55977605163	18288.4972510799	0	1600.39224480823	789.288864230082	0	11931.5488734681	846.799861874988	2644.51432274074	249.875369077865	555.278597950812	890.428894571123	24915.1523762679	50186.2779965793	3031.22620345648	20259.7362738053	0	0	8813.06460461931	549508.658376748	0	46785.1965841306	0	228688.515859267	2928.10303526562	3671.77972894974	153414.552493485	630788.554720723	0	6706.97220810587	3840.34644618481	5994.03415109403	4899.342057991	0	4467.0180067293	1094.69209310303	0	34697.9713894513	1103670.74971811	174628.178073056	174283.112087186	42740.5869394139	235817.896429385	42595.8178763767	50716.7673714074	73958.1514024236	2774.40985190423	1162.11877999706	77826.2617785059	983632.407237167	51191.7288864403	31436.7011954152	97223.3330876377	0	0	0	0	120943.644909386	134.853373788054	4927.10598788854	23382.1868183537	6443.21487407924	0	2492.80427722918	1049.07992255707	0	10940.9715174808	1453.64004392123	0	0	1958.34862670152	0	545.36290870169	4313.32482336791	462.071119009068	28837.7990432205	268222.368895515	30455.0479597522	98266.4635966452	1637.08029502998	0	1205.74781269319	784.331019605522	1376.29766777808	18956.8147064707	1359.44099605458	1862.16644098504	0	13248.3524057514	6963.78855965813	32676.1623515554	12056.486558007	1416.95199369948	8394.62251830638	481.902497507312	2172.52751448255	24480.8451871564	7127.39743226863	0	9237.45610448172	0	21774.8535910711	12426.3417669992	54063.3124929859	1002.4761830862	5797.70350396142	40701.9212297945	39725.225838756	0	11076.8164601938	7892.88864230082	0	54879.3737181886	652.452352592204	0	50917.0642942396	0	27915.6399430521	0	5146.24272029413	26570.0809119463	1354078.59130865	64971.5622359446	72455.9244811816
GBM-BM-388-SL-PreOp	6141.06644008746	17707.8686286004	80923.237344628	9642.1716791153	20356.282777272	555553.075900713	0	236913.9325757	52848.3567791869	2372.1084236057	125578.574650925	39090.6562314996	8207.81213121118	0	2406.44852327928	3622.08805172399	0	6576.39324210329	24608.1154260869	1088.84531426533	170373.385592819	2550.67694190831	5821.96766773604	0	5735.85326393922	11363.931445826	9382.24354004759	267.852777453918	12673.6100164537	887.559499255586	5173.20393851827	0	8317.17214094089	6820.47210439858	5985.21521849198	2125.91632440743	71008.4581050271	0	114.114792761432	1006.95738427449	48208.2168494477	168.002333787664	4145.11418521388	0	579571.06992164	15028.2842356098	7656.25729953092	14288.6513195634	1188.69575793159	7177.6091410038	20972.8196437192	57850.9168377888	9324.12952521538	7167.04295648885	8013.39433613615	105906.980630221	2316.10764567648	31335.0767975282	13428.035590821	34102.8888312186	14122.233913453	14820.658709891	6118.87745260607	0	491.327579945056	255442.265431886	6744.9238851167	6781.37722169327	43589.2092887385	0	3660.65462520354	20586.6255996979	351.85394434775	1760.32634019025	48057.6487201097	28420.9231083056	18631.3531552068	2159.19980562951	0	0	25851.2270342704	10547.1653828205	6385.67361160849	14861.8668294993	2521.61993449221	5239.24259173669	0	0	15184.663766431	3625.78621630422	3004.49456682531	6076.08440532053	208041.305079381	0	203094.745798708	24290.6015814127	2952.72026270206	28568.8496915149	11046.9459103776	4421.94821950551	7891.3549049885	9396.50788914277	9787.45671619582	8347.28576680849	53771.3129965676	0	6001.59280449015	24575.3602540905	161.662623078696	26918.9399795059	10455.7678867662	3882.54450001744	1926.21543707492	17567.8666837774	26371.0833124058	0	1630.36227065639	129665.574821306	7101.53261249618	0	17160.0119615004	1412.69886964847	31830.1025420534	66157.5227942147	27363.7763475852	0	0	25662.6206406786	62255.4308528446	7694.29556378473	40165.7655058955	12408.3987851285	4347.45661867513	680.462282762616	155.851221595475	4204.28481849759	5832.00554302524	9603.07679640999	626674.59218005	32634.1891836409	15589.8769425792
GBM-BM-261-SL	16394.1987364623	0	0	136671.942564569	8041.41241026562	470672.19064246	0	0	50424.4712461816	0	0	0	28481.920356576	0	0	0	0	18578.471239746	0	0	4472.50872268392	0	0	0	0	0	0	0	0	1998.06883262727	0	0	0	0	42295.1293247727	0	55636.6223273064	0	0	0	0	0	243.099236690348	0	47637.6229753569	0	123267.34720698	15522.6621113065	16990.0504825629	2229.27172369234	0	12978.9130771721	321.718564300844	0	18328.6479816153	54831.8086841358	4422.85441050887	3225.46136170428	9280.18405254942	6482.99113335494	34582.1595002482	0	6020.0681188063	0	0	49101.3907196839	44256.9918881056	16469.1974371434	7289.8737061995	281020.13145195	0	7718.6593811278	486.715705799186	324.821958811784	27040.9108386626	0	0	0	0	0	67468.8311326859	2820.98561044502	0	47389.8686469002	8037.2745509177	0	0	0	0	0	4332.3387372731	0	28101.2372965673	0	50538.7796106679	110415.673304756	378.096897916265	6653.67783145668	4013.20633506471	8902.60438705164	0	703.95332156503	0	0	0	0	1090.84317059563	0	318.097937371413	4206.65125958	695.677602869188	775.848627735154	0	26429.0248875888	93.1018353282184	1595.66201104197	3345.97651521247	0	4233.54734534149	0	44078.029471308	20095.5139231775	147.411239269679	9038.11928069605	13045.1188267389	0	0	7681.935879415	0	23401.6635421662	0	3551.83501777153	13563.9029424844	1447.7335393538	949.638720347828	0	226.547799298665	1877.03644670058	173901.29758265	22387.8880019256	0
GBM-BM-317-SL	1291.84501661427	7894.87036613354	5984.2127275097	37738.1404169151	1738.56879516975	263221.672970117	0	796.79491900661	3804.81360732742	0	15523.3566321258	9331.69433990433	102.5460916473	345.35637761677	77265.5333294694	0	0	0	0	0	0	38.8967933834588	0	0	2904.29390596492	0	3213.11087161541	0	0	5770.86970925497	0	0	0	0	0	0	0	0	0	0	0	439.651634303943	4140.74045927547	0	921711.381612233	0	0	3446.49163191616	1819.89845406243	447.902469264071	0	385.431861708819	0	60762.6847185055	548.091179494192	0	0	2438.71107607201	19537.9771855822	0	75761.523985309	0	872.231124356348	0	0	89028.8666011942	299149.344458638	36244.739289132	2756.95756739121	0	0	0	0	29285.7493456187	227899.848505811	361.858047537025	0	3194.25182027798	0	0	37731.0682726636	0	0	0	50.6837004693554	0	0	0	0	0	0	0	0	0	197555.634903878	0	0	0	0	201.556111168832	2508.2538278788	13961.5914432445	0	0	0	0	7125.18533342449	647.101199015723	0	0	0	340.641614782412	0	0	4057.05341896561	1412.07146889041	645.922508307133	39222.1120190295	0	1612.44888935065	60760.3273370883	0	0	120.226452276145	0	0	0	0	62621.4799659514	0	0	19668.8118542356	0	0	0	0	0	6575.91546322171	54306.99570756	95327.7897478973	0
GBM-BM-442-SL-PreOp	0	25916.4324047928	80951.2257823922	0	3325.34015089371	399218.410385049	1000.83783677045	0	0	0	4089.13744737643	9777.35790463047	0	0	0	0	0	4458.61968636462	0	0	3524.7552085961	0	0	195.652509443848	0	0	0	0	0	0	962.459844533392	275.418532524802	0	193.394980488727	0	0	20.3177605960919	0	0	0	0	0	1657.77876271076	0	0	0	3628.60154053168	4439.80694507194	0	1532.10965087567	0	5856.03010958472	0	0	0	227976.561532927	0	298.746331727722	4977.09883639082	2016.72586657505	4466.8972925334	8738.89458527465	0	0	6567.90424009965	183801.987448765	0	2061.12393602577	11754.200759665	0	0	560.619690521796	0	0	0	0	2174.00038378184	0	0	0	0	4595.57644297531	0	0	1308.61428431866	2211.62586636719	0	0	61.7057914399829	0	601.25521171398	0	183491.953472261	0	49625.001491477	54244.6582433069	0	12306.5428440181	2652.59652226756	1313.1293422289	440.218146248659	4231.36177154907	0	0	0	0	48.160617709255	5626.51466581405	0	23716.0941832012	10209.2984447103	0	4419.48918447585	8683.20887104833	8558.29226886495	0	0	24941.9324058321	1221.32316472064	0	185404.080497249	7237.63783011897	31024.4679205807	30845.3706234744	3548.83551745073	1628.43088629418	0	0	5792.06678918962	5387.21659657119	723.161775290532	37073.1405010024	17601.953263081	0	32661.1764130436	0	20244.7671598764	33.8629343268199	306753.034421886	15542.3343463586	0
