feature	X1877	X1867	X1871	X1861	X1857	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1790	X2295	X2301	X2303	X2318	X2325	X2328	X9226	X10068	X10115	X9712	X9262	X15452	X7144	X7038	X7967	X7985	X8007	X8002	X8130	X8047	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6768	X6846	X4303	X4348	X4285	X14853	X4121	X14844	X14851	X14861	X14890	X14894	X14941	X15332	X15346	X15300	X15286	X15271	X7263	X25416	X14963	X63327	X14837	X15350	X4198	X4262	X29305	X7253	X29347	X15091	X15249	X15254	X15078	X15124	X15132	X79840	X15131	X15127	X15126	X15149	X15158	X15154	X15156	X15120	X15234	X15265	X14974	X14987	X14995	X14993	X14027	X66170	X14127	X5090	X4791	X4862	X4815	X4811	X4837	X4826	X4828	X4816	X4820	X4805	X4677	X48013	X4868	X25431	X4874	X4774	X4775	X4871	X4630	X4626	X4552	X4628	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X29433	X4705	X4699	X29435	X4716	X4721	X59817	X29380	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X5087	X4936	X4940	X4951	X4925	X4933	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X4498	X3922	X3958	X6140	X6148	X6179	X5792	X6952	X6939	X49188	X714	X14546	X14809	X14808	X14807	X63101	X14797	X15878	X17153	X17154	X17248	X17234	X17300	X16971	X16988
BM-02-2020-43	328866	0	95385	0	0	18587	0	6140777	0	2239593	0	0	0	116433	0	0	0	2158651	0	0	0	0	49851	168004	135009	0	0	0	1323	2570	2107	0	26950	0	0	0	0	408	3889	0	40673	3614	17448	0	762	0	0	3519	48722	0	25121	0	92411	0	759729	0	43452	0	7585783	0	0	0	144143	7580	0	100054	2495	1030	0	0	37049	0	2092	790	1553583	787473	0	823223	0	889840	0	0	355821	77291	0	102577	127440	0	200854	0	0	0	43592	4769	0	0	0	5791	0	27981	10124	0	0	66348	17239	0	0	63826	0	51116	469	0	0	493392	4272	0	0	95364	181927	0	0	0	0	0	0	99797	9616	13316	0	54418	837	0	0	0	19953	0	11694	6566	20850	24647	62	0	29252	0	45863	23544	0	39922	0	0	204	0	2352	0	0	37311	578	0	0	0	171177	0	0	22007	83187	18246	0	0	17750	0	76051	122298	41117	0	0	2857	0	1764	0	0	673	17	0	0	128953	25020	0	0	0	2826	1630	0	0	0	0	0	0
BM-02-2020-52	233986	0	54744	143877	229973	0	112466	645770	0	0	101460	199994	0	0	358985	71629	1808423	818960	2829828	2787089	116323	397586	5825756	327860	0	0	0	0	647	0	0	361	6997	9412	0	0	0	0	3001	0	109407	2099	2276	0	0	0	0	37592	7429	112748	23803	427	0	21419	1610092	0	443	10045	2017402	0	0	0	114162	3038	11962	124148	0	18243	5894	0	195460	0	35	261	1150888	907975	875386	689575	105824	209074	15357	129737	46552	699416	0	141608	225598	0	128362	0	126502	0	37777	15895	0	0	1068	6144	498	3612	0	0	11675	44213	26403	0	1682	98709	285	5330	0	0	9662	106178	381	0	0	38214	0	0	0	32909	4848	9643	0	0	11013	0	22927	44918	0	6735	0	50762	9338	0	38112	26325	8068	41131	959	0	40327	0	226610	52141	0	0	75626	0	0	15258	21902	0	141970	0	0	37613	0	57929	111049	7118	0	187964	327834	45216	0	102575	379134	194368	0	14908	11003	0	0	0	0	0	112112	0	0	3392	0	0	88570	0	0	82193	140636	0	666	0	0	0	0	0	0
02-2020-13	299419	710956	1905856	628721	0	0	0	3957620	16746855	7227893	0	0	354731	71352	2331387	173649	0	950576	3379977	699034	0	0	0	76338	7267	0	327344	0	0	0	0	5250	9192	30304	0	0	0	0	12894	10637	0	80786	41171	215	0	4227	0	30354	62661	846047	31028	12323	142215	11195	756373	16289	0	8607	1035710	0	199517	804965	92877	697	7318	68127	3930	4672	25122	298614	0	627	1626	2330	848114	687767	0	996974	83664	120635	0	18380	3933	115752	153507	176752	261596	0	0	0	18595	0	0	9562	28295	0	3885	10068	55	17609	1041492	44205	121922	583091	206956	0	0	393208	0	134449	0	0	7156	0	7248	8335	0	1662	0	62080	0	88873	497	17366	0	17814	3390	0	0	502236	1777	13805	0	75525	130424	36307	786	4680	809705	77545	19266	3192	61046	6788	26710	0	3388	8199	159364	0	0	0	0	18787	67289	19000	0	0	8388	0	116859	0	0	0	19076	157381	5330	146844	29041	6718	18935	171794	129110	1043	0	0	0	0	179915	0	0	0	0	30751	61471	0	0	31606	86161	0	6810	0	0	0	0	110	0
02-2020-41	0	0	6360455	0	0	2572400	0	0	5018978	0	9150431	0	0	0	0	0	0	0	0	0	0	0	0	476684	107461	0	0	0	0	0	0	76073	0	245072	0	0	0	0	0	3155	0	334489	0	0	891	0	0	151	0	0	0	9756	0	0	0	0	0	0	0	0	0	0	0	0	0	62082	0	0	0	0	0	0	0	0	0	0	0	0	0	11037	0	0	0	0	0	0	0	0	0	0	0	0	59850	0	0	0	0	0	0	1688295	0	0	0	2951	0	0	0	0	0	0	0	0	0	0	0	0	0	305913	0	0	0	0	0	0	0	0	0	598998	0	0	0	0	0	0	806138	0	451562	0	0	2533330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19723	0	0	0	0	0	0	0	0	20630	0	0	0	0	0	0	0	0	0	4033	4516	0	0	0	153184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-298	0	2319031	77102	1433851	0	604126	0	2880008	681515	0	8384443	3813249	0	0	0	0	0	0	0	2527247	0	0	0	78005	0	0	200464	0	22760	0	0	0	296520	5330089	539	2187	1291	0	80333	341	1286	84622	3808	6005	64189	0	0	228909	357724	690485	247432	16404	75322	0	1143830	11716	6298	8743	2885683	24668	211141	538313	69024	23	0	35856	0	1657	0	0	40664	11190	0	0	817032	19376	215048	190497	26635	308530	2213	0	1197	7624	21194	90272	88344	0	0	0	23939	0	0	1109	12650	0	0	2134	23981	1463	5912	25892	780643	1164238	183509	17089	13865	793091	2356	134626	0	564550	10571	79166	0	0	0	15848	0	6269	13978	551134	2319	125651	0	34513	7086	18389	0	545394	0	6489	1427	242955	0	95343	4836	28544	71615	0	30877	0	226296	75315	0	7943	0	4594	60817	1259	0	1747	543	2716	323421	109090	0	0	13768	1459	0	27542	194609	119628	1564907	397621	16351	188	20328	0	0	202540	175956	0	39188	18272	0	0	0	0	0	0	0	114605	14264	26249	0	1631	37455	1781	6602	5025	50955	0	2949	3115	821
02-2020-40	0	0	0	0	0	0	0	14934	0	0	7856	0	0	0	13277	0	14733	11376	277	31265	0	0	0	0	0	0	0	0	0	0	257372	0	16174	0	663	0	0	0	2489	30498	0	71161	0	0	0	624810	0	0	1250098	2006	0	0	0	0	138182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6521	0	0	0	0	0	0	0	0	0	0	0	1165	0	0	0	0	0	0	0	0	1286702	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	6416435	8217173	1926422	4690619	4479208	0	0	0	233781	332702	341	0	392	0	1990	6071	0	0	0	0	0	0	0	0	781	0	0	0	0	0	1622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	0	0	0	714	0	0	0	0	0	0	568	0	0	0	1131	66714	0
GBM-BM-277	1028892	0	0	842741	0	0	852030	0	0	2460617	0	841324	131102	15550	285648	0	298273	2354767	4709526	321023	6572	0	0	0	0	0	0	0	0	0	0	0	18719	31891	0	0	0	0	5077	0	1954	0	0	0	1273	0	0	32017	3241	0	3019	0	0	0	3824483	0	0	591	56955	0	230136	93473	33074	0	255	988	678	1503	0	1106853	0	0	0	1581	625706	93550	69730	30849	0	776	119	1710	0	0	0	3597	3769	0	0	540	0	0	0	0	24801	0	0	5888	86092	0	0	25507	430043	2521018	0	137117	0	1547801	119454	0	0	32234	7971	34307	0	0	6506	0	0	31974	0	334061	45316	130650	36664	0	2533	21996	0	0	0	0	13039	9134	0	1225	368	0	15485	0	0	18702	0	0	2151	0	0	0	0	0	0	0	0	81258	422690	0	1290	0	0	0	0	0	0	632734	0	322161	0	41026	67274	41295	916	0	1123	0	3239	0	0	0	0	0	0	0	4131	0	28809	0	0	20894	24462	274	0	5269	0	0	0	0	0
02-2020-110	0	0	0	942	0	0	0	0	0	0	2095089	0	0	0	0	0	16051	0	85682	0	0	0	0	549110	0	19933	0	0	0	0	398787	128660	22602	652245	67	0	0	0	0	4763	0	1942379	565750	119492	36500	75889	0	644964	21304	1620	104094	14828	8991	0	147727	3523	0	0	369606	0	0	44069	69278	0	0	1105	0	0	0	0	0	0	5995	0	8146	14970	0	297748	7482	571253	0	0	3036	296813	6571	8789	79569	0	84953	0	0	1642	2678	444	3969	0	0	0	12700	26466	16132	930	5145	257072	0	215801	0	31522	0	0	31934	0	28856	0	0	0	0	86531	154448	0	0	1166	0	0	0	915959	22	6413709	0	594163	0	0	0	1669767	5475	0	293283	198615	351077	1800	25358	786074	1671600	0	312131	68621	140471	167010	57258	921	2007	0	0	0	183	0	3490	0	199903	0	0	0	459244	0	0	263292	0	0	0	0	0	3149639	256329	0	0	46640	0	0	80710	0	0	0	0	0	40627	0	0	0	2742	0	0	0	0	0	0	8106	0
02-2020-34	944645	1105238	2586793	703619	0	339113	675358	6099362	0	0	1180767	0	0	145018	5888511	0	0	0	2287199	1190619	0	0	34111	0	0	46471	0	144208	0	21412	0	0	66276	15763	0	0	0	12349	13007	9664	0	19808	309048	3839	0	0	0	27217	7624	1492763	50110	3918	0	0	371512	17940	0	1061	0	0	0	0	314788	0	3194	56887	0	4181	0	564224	0	0	0	0	252461	0	0	749165	14942	278258	0	0	13599	25997	0	44825	54959	0	44692	0	0	0	25835	11573	1874	0	0	2930	0	58869	177850	0	0	2006391	0	0	0	331483	0	25211	0	0	18670	29432	0	0	0	25669	0	0	0	0	4553	0	0	96725	1112	11965	0	225041	0	1546	0	26178	3629	7383	137986	8916	722610	300296	14274	2036884	28720	1160	15472	25739	0	0	265806	0	5292	0	0	0	132620	2837	0	128991	372530	0	0	0	0	157510	0	55113	0	0	0	0	84241	0	30026	0	0	2721	4324	0	130198	154	1337	0	0	51878	62313	3275	1367	1159	30108	0	0	0	482854	71876	7271	3763	0
02-2020-20	326205	569972	0	0	0	0	0	1587893	1850038	0	4319602	0	0	0	0	0	0	0	0	0	0	0	0	0	25387	0	0	0	0	0	0	0	41786	18518	0	0	0	0	0	0	0	369327	931676	536	14270	14897	0	9390	7785	0	107	0	4163	0	190345	0	0	0	350209	0	0	607816	111481	0	0	1109	0	0	12348	0	0	0	0	0	37722	41472	0	272633	14589	261890	0	0	2332	14527	0	0	16644	0	43242	0	0	8655	3993	460	0	0	0	0	0	52784	16100	0	0	610838	0	0	0	94227	0	253029	3799	0	0	18655	0	0	0	171240	29354	0	0	90338	5052	0	0	378263	3425	452802	35574	278100	0	0	0	0	1849017	0	494730	0	6065522	1154483	0	0	742904	0	20189	15417	3856	0	640	0	0	0	0	0	0	36448	0	0	0	0	611	1438	95822	1222	44335	31986	0	0	0	0	0	770847	229797	882	0	0	0	0	0	0	0	0	0	0	102879	0	0	0	0	0	953	0	0	0	0	976	0
