feature	X1877	X1867	X1871	X1861	X1857	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1790	X2295	X2301	X2303	X2318	X2325	X2328	X9226	X10068	X10115	X9712	X9262	X15452	X7144	X7038	X7967	X7985	X8007	X8002	X8130	X8047	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6768	X6846	X4303	X4348	X4285	X14853	X4121	X14844	X14851	X14861	X14890	X14894	X14941	X15332	X15346	X15300	X15286	X15271	X7263	X25416	X14963	X63327	X14837	X15350	X4198	X4262	X29305	X7253	X29347	X15091	X15249	X15254	X15078	X15124	X15132	X79840	X15131	X15127	X15126	X15149	X15158	X15154	X15156	X15120	X15234	X15265	X14974	X14987	X14995	X14993	X14027	X66170	X14127	X5090	X4791	X4862	X4815	X4811	X4837	X4826	X4828	X4816	X4820	X4805	X4677	X48013	X4868	X25431	X4874	X4774	X4775	X4871	X4630	X4626	X4552	X4628	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X29433	X4705	X4699	X29435	X4716	X4721	X59817	X29380	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X5087	X4936	X4940	X4951	X4925	X4933	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X4498	X3922	X3958	X6140	X6148	X6179	X5792	X6952	X6939	X49188	X714	X14546	X14809	X14808	X14807	X63101	X14797	X15878	X17153	X17154	X17248	X17234	X17300	X16971	X16988
BM-02-2020-43	378051.062356545	0	109650.740979241	0	0	21366.863999383	0	7059189.05738093	0	2574545.59880402	0	0	0	133846.671116381	0	0	0	2481497.94690548	0	0	0	0	57306.6948530287	193130.60845496	155200.889960333	0	0	0	1520.8673304559	2954.36813248047	2422.12204480013	0	30980.6308055831	0	0	0	0	469.020310526082	4470.63722459787	0	46756.0369853611	4154.50833882662	20057.5156324977	0	875.964403482535	0	0	4045.30017828746	56008.8420819896	0	28878.0863253081	0	106231.950774573	0	873353.753665857	0	49950.6630710277	0	8720309.55451831	0	0	0	165700.967206277	8713.66165144044	0	115018.034679845	2868.15116363376	1184.04637216143	0	0	42590.0330506882	0	2404.87865103079	908.152071851972	1785936.22815696	905247.13478163	0	946343.889931894	0	1022924.10078071	0	0	409037.440960051	88850.6098550769	0	117918.373511848	146499.873464323	0	230893.640809818	0	0	0	50111.6014128749	5482.24965906589	0	0	0	6657.09955455034	0	32165.8267373291	11638.1412347207	0	0	76270.9793205502	19817.2576793116	0	0	73371.7900481316	0	58760.8877275765	539.143445188069	0	0	567183.502576188	4910.91854550839	0	0	109626.600227964	209135.926551663	0	0	0	0	0	0	114722.597866597	11054.1649657324	15307.5354288365	0	62556.7334760008	962.181372329241	0	0	0	22937.1623919777	0	13442.9497825784	7548.00823263297	23968.3173393843	28333.1950821969	71.2726942466105	0	33626.9169693847	0	52722.2512295532	27065.230860358	0	45892.7177373094	0	0	234.510155263041	0	2703.76414303271	0	0	42891.2176618594	664.445439911949	0	0	0	196778.161016968	0	0	25298.3577787928	95628.4131660127	20974.8641810267	0	0	20404.6826270538	0	87425.1559701447	140588.838080193	47266.4414409336	0	0	3284.2917332672	0	2027.82310727453	0	0	773.65360045111	19.5425129385867	0	0	148239.157115857	28761.9808072612	0	0	0	3248.65538614389	1873.78212293508	0	0	0	0	0	0
BM-02-2020-52	340064.42881055	0	79562.3972836185	209104.176420707	334232.12024159	0	163452.88201263	938532.246343752	0	0	147457.270721831	290662.028392883	0	0	521732.193278894	104102.275227026	2628278.33521177	1190238.58102061	4112741.11464832	4050626.22904433	169058.467397749	577833.101096097	8466884.28593863	476496.558041195	0	0	0	0	940.319871447121	0	0	524.660701070187	10169.1161368091	13678.9654251318	0	0	0	0	4361.51458147266	0	159007.072914088	3050.58950566848	3307.83311810456	0	0	0	0	54634.4738909431	10796.9649536023	163862.727768037	34594.179134553	620.582048080248	0	31129.3838122502	2340033.23409279	0	643.835707961475	14598.9383441829	2931998.74698171	0	0	0	165917.769960041	4415.288669948	17385.0174687024	180430.960433411	0	26513.5323258266	8566.06695874703	0	284072.522524041	0	50.8673809901843	379.325326812517	1672647.38208661	1319608.86441607	1272245.51929924	1002196.40703732	153799.706454436	303858.48037548	22319.1534247503	188553.754500673	67656.5234244303	1016498.86121802	0	205806.5167788	327873.697617817	0	186555.39310463	0	183852.155143437	0	54903.3443333198	23101.0577382565	0	0	1552.18179707191	8929.40539439121	723.770163803194	5249.51371818702	0	0	16967.9049445829	64257.1290205434	38372.8988652524	0	2444.540995014	143459.094576003	414.205816634358	7746.37544793378	0	0	14042.303860776	154314.193679308	553.72777592172	0	0	55538.4599188258	0	0	0	47828.4183144564	7045.85894401181	14014.6901396671	0	0	16005.7847669971	0	33321.0412560559	65281.7434090599	0	9788.33745625403	0	73775.1426806781	13571.4172481812	0	55390.217837083	38259.5372733315	11725.6579951088	59777.892785922	1393.76623913105	0	58609.3963768903	0	329344.491605305	75779.3174916914	0	0	109911.330136105	0	0	22175.2714042352	31831.3536699147	0	206332.630833613	0	0	54664.9943195372	0	84191.3289537253	161393.479759399	10344.9719396609	0	273178.182869686	476458.770843888	65714.8428243478	0	149077.760144804	551015.817838072	282485.460237147	0	21666.5975943334	15991.2512295714	0	0	0	0	0	162938.394787758	0	0	4929.77589482015	0	0	128723.540980018	0	0	119455.504163606	204393.856941016	0	967.933592556078	0	0	0	0	0	0
02-2020-13	334356.15737018	793912.598129289	2128237.31513665	702082.157838804	0	0	0	4419407.63789663	18700931.0893283	8071266.45056867	0	0	396122.136738421	79677.5773771106	2603420.62014365	193910.915376694	0	1061492.21875805	3774363.4228943	780599.501404741	0	0	0	85245.3596509399	8114.93657920538	0	365539.534826394	0	0	0	0	5862.58663008508	10264.5516769032	33839.9667120187	0	0	0	0	14398.512763489	11878.1588541362	0	90212.3663805815	45974.962694711	240.086881041579	0	4720.21974959421	0	33895.8008704005	69972.4839671926	944766.443928303	34648.4453253866	13760.8866747692	158809.096685247	12501.2680616767	844628.997553779	18189.6521176106	0	9611.29202383662	1156559.92355151	0	222797.275557083	898890.866035511	103714.182560459	778.328167841771	8171.88742075478	76076.2741614869	4388.56484880654	5217.1437591919	28053.3145373328	333457.227420233	0	700.160346107304	1815.72683057492	2601.87178059014	947074.628035805	768017.832154995	0	1113304.08436999	93426.1805370358	134711.073927679	0	20524.636621136	4391.91489830945	129258.310020116	171418.683014185	197375.983245866	292119.849920712	0	0	0	20764.7235021775	0	0	10677.7244489283	31596.5502282395	0	4338.31410626296	11242.7661317517	61.4175742199389	19663.6738988892	1163016.58562677	49362.9794253164	136148.245164425	651127.904899607	231104.281641121	0	0	439088.754979522	0	150136.935205392	0	0	7990.98474759787	0	8093.71959902031	9307.55420223983	0	1855.92742460979	0	69323.6910467965	0	99242.9831572478	554.991534314721	19392.3198891538	0	19892.5939482544	3785.55593828351	0	0	560838.487380459	1984.34598888784	15415.8111292047	0	84337.4962356525	145642.28545566	40543.4157673331	877.712969761309	5226.07722453298	904183.944250103	86593.1962342757	21514.0179076608	3564.45267109173	68169.0406514616	7580.0453419081	29826.6074075376	0	3783.32257194824	9155.68529144144	177959.096327024	0	0	0	0	20979.1266703635	75140.4936670085	21216.9801850698	0	0	9366.7384101245	0	130494.478286688	0	0	0	21301.8481058101	175744.713605604	5951.9212834959	163978.223068231	32429.5958712954	7501.87752017363	21144.3957791735	191839.468100731	144174.963773388	1164.70054384357	0	0	0	0	200908.052105097	0	0	0	0	34339.1240879517	68643.6309977066	0	0	35293.8881962798	96214.538406621	0	7604.61237159607	0	0	0	0	122.835148439878	0
02-2020-41	0	0	1045979.5401294	0	0	423032.278198475	0	0	825373.074781537	0	1504792.28441453	0	0	0	0	0	0	0	0	0	0	0	0	78390.8873039814	17672.0073268101	0	0	0	0	0	0	12510.2373267737	0	40302.1950251348	0	0	0	0	0	518.841096919681	0	55006.8588486743	0	0	146.525330382072	0	0	24.8320144643017	0	0	0	1604.37836499157	0	0	0	0	0	0	0	0	0	0	0	0	0	10209.4114037932	0	0	0	0	0	0	0	0	0	0	0	0	0	1815.03936187085	0	0	0	0	0	0	0	0	0	0	0	0	9842.35805091694	0	0	0	0	0	0	277640.833509988	0	0	0	485.293209828837	0	0	0	0	0	0	0	0	0	0	0	0	0	50307.5234491254	0	0	0	0	0	0	0	0	0	98505.4768217735	0	0	0	0	0	0	132569.738253134	0	74259.5636790001	0	0	416607.20001887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3243.4557700624	0	0	0	0	0	0	0	0	3392.61230727513	0	0	0	0	0	0	0	0	0	663.228571751846	742.658127952228	0	0	0	25191.174196686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM-BM-298	0	2075748.37121505	69013.4590341495	1283429.96614322	0	540748.942342152	0	2577874.94651271	610019.293061897	0	7504856.08031778	3413212.41535254	0	0	0	0	0	0	0	2262121.05138229	0	0	0	69821.7279961458	0	0	179433.919377211	0	20372.3162514233	0	0	0	265412.970776452	4770925.25291005	482.455116850491	1957.56834981823	1155.56503869014	0	71905.504456309	305.226706578882	1151.08957378429	75744.558252546	3408.51407229438	5375.0333519243	57455.1233683046	0	0	204894.839226585	320196.241595965	618048.27710299	221474.646516792	14683.1052631085	67420.1935276674	0	1023834.20465139	10486.9093673847	5637.29559540704	7825.79793436706	2582954.59918085	22080.1536594952	188990.827137161	481840.187972428	61782.8979322603	20.5871385669041	0	32094.4539328223	0	1483.16906979826	0	0	36398.0609862864	10016.0904592894	0	0	731319.608591077	17343.3216031449	192487.955414591	170512.527633892	23840.8015534561	276163.037480301	1980.84076732864	0	1071.42629846018	6824.18888843812	18970.6006429115	80801.833596155	79076.0943284597	0	0	0	21427.6308762225	0	0	992.658116117245	11322.9262117972	0	0	1910.12842181623	21465.2247814316	1309.52103145133	5291.78970467552	23175.747468447	698748.070099291	1042101.2622111	164257.617881478	15296.2439552097	12410.4641839185	709890.187528892	2108.83906363591	120502.787682958	0	505324.742519378	9462.02790394535	70860.9309472839	0	0	0	14185.4335655781	0	5611.33789895312	12511.6096907907	493316.175084005	2075.72062333263	112469.328176959	0	30892.3440591113	6342.6288645688	16459.8648307304	0	488178.341372091	0	5808.25835481046	1277.29768412922	217467.315240095	0	85340.8501036668	4328.66965693688	25549.5340545091	64102.0838464711	0	27637.7859795781	0	202555.961266788	67413.9278767992	0	7109.72354943127	0	4112.0571554938	54436.8698358002	1126.92206329271	0	1563.72743810354	486.03548877517	2431.07253685702	289491.867062899	97645.6933158072	0	0	12323.640164745	1305.94065952665	0	24652.6508873771	174193.149972462	107078.183151374	1400737.2718834	355907.766265694	14635.6653351065	168.277480459912	18195.4501212185	0	0	181292.13240612	157496.980594703	0	35076.9037460799	16355.1389519335	0	0	0	0	0	0	0	102582.131106958	12767.6062834052	23495.2956627246	0	1459.89665228785	33525.7076097127	1594.16059946331	5909.40386168264	4497.84223037796	45609.4628555042	0	2639.62920146957	2788.21463634375	734.871337540359
02-2020-40	0	0	0	0	0	0	0	12832.754127302	0	0	6750.64392822317	0	0	0	11408.897585924	0	12660.0352589756	9775.37236856756	238.025505106647	26865.9473543657	0	0	0	0	0	0	0	0	0	0	221159.206860317	0	13898.2834642415	0	569.714476121685	0	0	0	2138.79235455034	26206.8659015975	0	61148.4944725419	0	0	0	536897.891139653	0	0	1074206.52665274	1723.75149185536	0	0	0	0	118739.49583627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5603.48129530846	0	0	0	0	0	0	0	0	0	0	0	1001.08199801171	0	0	0	0	0	0	0	0	1105660.26524091	0	204.512888864195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.87492806245	0	0	0	0	0	5513628.81537533	7060999.1114574	1655370.28735941	4030638.83298857	3848973.81472106	0	0	0	200887.511225043	285890.114079392	293.020567658363	0	336.844758129262	0	1710.00272621743	5216.79726174171	0	0	0	0	0	0	0	0	671.111622701412	0	0	0	0	0	1393.78111654506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714.935813172311	0	0	0	613.538666592584	0	0	0	0	0	0	488.081180146482	0	0	0	971.86587103111	57327.19692305	0
GBM-BM-277	1739927.71564784	0	0	1425133.46688746	0	0	1440841.80998922	0	0	4161073.96684417	0	1422737.2216323	221702.572647919	26296.1282411797	483050.5749091	0	504400.325329993	3982074.27717672	7964135.02579872	542872.152821108	11113.7077042465	0	0	0	0	0	0	0	0	0	0	0	31655.1269804915	53929.892330512	0	0	0	0	8585.55904054465	0	3304.34949088522	0	0	0	2152.73127016217	0	0	54142.9670673859	5480.75573181115	0	5105.33833827148	0	0	0	6467465.94367921	0	0	999.421980098856	96314.854275009	0	389175.933692099	158069.324442945	55930.42736005	0	431.222681768542	1670.77650818557	1146.54501270224	2541.67721842399	0	1871765.17248453	0	0	0	2673.58062696496	1058112.23262222	158199.536782145	117918.265096943	52167.7980779519	0	1312.26980804858	201.237251491986	2891.72857185963	0	0	0	6082.77641694684	6373.64034347307	0	0	913.177443745147	0	0	0	0	41940.2107080063	0	0	9957.01627550264	145587.541642421	0	0	43134.1056622361	727232.532297212	4263216.24606575	0	231874.354729636	0	2617438.81593738	202004.996972468	0	0	54509.9291142242	13479.5137112825	58015.5158566014	0	0	11002.0971277888	0	0	54070.2510857543	0	564920.314879533	76632.4982236206	220938.209306118	62001.366291615	0	4283.47863890085	37196.7612085523	0	0	0	0	22049.8531277648	15446.2273540151	0	2071.55994182927	622.313517218915	0	26186.2087340622	0	0	31626.3788017069	0	0	3637.49015091817	0	0	0	0	0	0	0	0	137412.912451561	714798.099438215	0	2181.47944894674	0	0	0	0	0	0	1069997.06794563	0	544796.589730334	0	69377.8107538674	113764.998797243	69832.7084063997	1549.01951568621	0	1899.07086912185	0	5477.37359313062	0	0	0	0	0	0	0	6985.80744465038	0	48718.0166238036	0	0	35333.2027955761	41366.9382016552	463.352999233649	0	8910.24435387626	0	0	0	0	0
02-2020-110	0	0	0	649.343572629577	0	0	0	0	0	0	1444195.94080353	0	0	0	0	0	11064.3457370248	0	59062.6921338083	0	0	0	0	378514.914189625	0	13740.3030076702	0	0	0	0	274893.604350564	88688.4756417425	15580.1097967874	449608.384851145	46.1847339343754	0	0	0	0	3283.25205566314	0	1338929.21365251	389985.27199064	82368.7496609909	25160.3401284284	52312.1384111316	0	444589.413988814	14685.3667423572	1116.70550706997	71754.5327487295	10221.3020116257	6197.71556423835	0	101831.823730201	2428.48981568365	0	0	254778.429411176	0	0	30377.8364142387	47755.0148881442	0	0	761.703447723655	0	0	0	0	0	0	4132.49970054598	0	5615.23645715556	10319.186074591	0	205244.957604364	5157.52506413428	393778.624092743	0	0	2092.78883917558	204600.439302444	4529.55054750419	6058.47203804815	54848.8521555869	0	58560.1746556268	0	0	1131.87064358574	1846.01070860086	306.060027863622	2735.92849232143	0	0	0	8754.41971591893	18243.6592284654	11120.1810123783	641.071679984614	3546.57397152779	177205.998835489	0	148756.892056301	0	21728.883329543	0	0	22012.8849770201	0	19891.1445135871	0	0	0	0	59647.9285384394	106464.772935767	0	0	803.752235335549	0	0	0	631392.876265621	15.1651365157651	4421126.02533596	0	409571.045800751	0	0	0	1151011.1138418	3774.05101926426	0	202167.124216051	136910.16313994	242005.937842966	1240.78389674441	17479.8878075805	541859.978249705	1152274.64544331	0	215159.510263739	47302.1287658325	96830.085977547	115124.065886269	39469.3357554398	634.867760500892	1383.47404487002	0	0	0	126.146362835682	0	2405.74211091	0	137798.012950499	0	0	0	316568.088820273	0	0	181493.596523128	0	0	0	0	0	2171122.97319899	176693.830815888	0	0	32150.089413422	0	0	55635.3712812454	0	0	0	0	0	28005.1818739085	0	0	0	1890.12746937399	0	0	0	0	0	0	5587.66348167235	0
02-2020-34	1348011.46675817	1577178.19656788	3691361.9678607	1004066.58610263	0	483915.346534162	963738.047803	8703809.27852162	0	0	1684958.32357091	0	0	206941.154493314	8402924.22034905	0	0	0	3263840.36199612	1699017.15939866	0	0	48676.5071985645	0	0	66314.267128624	0	205785.281876538	0	30554.993173336	0	0	94576.0661104061	22493.8519237481	0	0	0	17622.062894523	18561.0310202494	13790.559220396	0	28266.0799914739	441012.494406554	5478.26540222477	0	0	0	38838.7469268954	10879.4726299978	2130177.62350124	71507.1318847313	5590.99865744117	0	0	530148.824201961	25600.4379567368	0	1514.05042765316	0	0	0	0	449203.492950125	0	4557.84831849594	81177.9327784216	0	5966.30050708564	0	805149.470774907	0	0	0	0	360262.662597309	0	0	1069060.87524296	21322.2822714359	397075.06493677	0	0	19405.8169327571	37097.8029855789	0	63965.4198110772	78426.6705498492	0	63775.6283814091	0	0	0	36866.6284622237	16514.7083875872	2674.20405412066	0	0	4181.11946562089	0	84006.2531814457	253792.524559957	0	0	2863126.43882135	0	0	0	473027.311884781	0	35976.1784463373	0	0	26642.1503150655	41999.5590826464	0	0	0	36629.7459259463	0	0	0	0	6497.14570886413	0	0	138026.88747856	1586.82759241311	17074.0936539774	0	321134.234014604	0	2206.14699448802	0	37356.0905703152	5178.59472380143	10535.5648514263	196906.467775824	12723.1608039167	1031166.80445471	428523.362132454	20369.0441134036	2906640.04833165	40983.5327824682	1655.32374748131	22078.5939836472	36729.6361520874	0	0	379306.020709497	0	7551.70109626817	0	0	0	189249.168440492	4048.40816517626	0	184070.573716691	531601.513490699	0	0	0	0	224767.278849811	0	78646.4290473597	0	0	0	0	120212.179147908	0	42847.1990016153	0	0	3882.87579042813	6170.36196905963	0	185792.96661601	219.758497510449	1907.90331929526	0	0	74030.0735964097	88920.8523075885	4673.43558017352	1950.71341621288	1653.89674425072	42964.2132665234	0	0	0	689034.217902016	102567.284201695	10375.7404896005	5369.81315670013	0
02-2020-20	564473.9573764	986294.96921795	0	0	0	0	0	2747733.00715894	3201355.80741166	0	7474756.16630956	0	0	0	0	0	0	0	0	0	0	0	0	0	43930.3516375122	0	0	0	0	0	0	0	72307.6249074363	32044.0481988203	0	0	0	0	0	0	0	639093.432828907	1612197.35660893	927.508901315891	24693.1940704809	25778.1718337739	0	16248.710043575	13471.3746207914	0	185.15569485224	0	7203.7678286904	0	329378.137725696	0	0	0	606011.12839727	0	0	1051781.25067578	192909.738484323	0	0	1919.04360365545	0	0	21367.3132713594	0	0	0	0	0	65275.1693571605	71764.2708122624	0	471771.519202342	25245.2003009282	453181.541353766	0	0	4035.355891546	25137.9138235372	0	0	28801.2278983241	0	74827.1266990705	0	0	14976.8461583751	6909.59522939245	795.99644515916	0	0	0	0	0	91338.861654959	27859.8755805706	0	0	1057010.60123507	0	0	0	163052.950082635	0	437848.227222124	6573.89238078185	0	0	32281.1167053133	0	0	0	296318.328845771	50794.9557634826	0	0	156323.319266931	8742.11748031321	0	0	654556.528989651	5926.71266232636	783540.831219474	61558.2120436782	481231.763910353	0	0	0	0	3199589.04138882	0	856094.176768677	0	10495943.3696406	1997748.61738409	0	0	1285541.18064026	0	34935.5918072137	26677.9939022147	6672.5267228994	0	1107.47331500405	0	0	0	0	0	0	63070.6052894806	0	0	0	0	1057.29093041793	2488.35410464972	165812.981234872	2114.58186083586	76718.4834698508	55349.4397714368	0	0	0	0	0	1333894.50382957	397646.945887477	1526.23666223996	0	0	0	0	0	0	0	0	0	0	178024.604959846	0	0	0	0	0	1649.09698312322	0	0	0	0	1688.89680538118	0
