feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	1.4121601674662165	0.3593113104064611	1.4238927414477308e-4	0.006265128062370015
s__Rothia_mucilaginosa	cohort	MDACC	0.42268403001463334	0.4107185372588457	0.3051546977521223	1
s__Prevotella_jejuni	cohort	MDACC	2.1204767674538867	0.306745855398238	1.108336776935954e-8	5.54168388467977e-7
s__Streptococcus_salivarius	cohort	MDACC	0.35454441664987907	0.3602283091490046	0.32697059068973244	1
s__Veillonella_dispar	cohort	MDACC	1.526661772418892	0.35205136172928503	3.3336191766723304e-5	0.0015001286295025487
s__Lautropia_mirabilis	cohort	MDACC	1.0616298725237445	0.40051162636484616	0.009206855754409453	0.3590673744219687
s__Veillonella_rogosae	cohort	MDACC	0.8217243610019518	0.34585037707561994	0.01926545041142559	0.6742907643998957
s__Prevotella_histicola	cohort	MDACC	0.6185364715100341	0.35462195401944585	0.08607776718729154	1
s__Prevotella_pallens	cohort	MDACC	0.5217315496697167	0.323480761150698	0.11185237677992696	1
s__Neisseria_subflava	cohort	MDACC	-0.6512802740857216	0.3787860543251061	0.08828171497095642	1
s__Veillonella_parvula	cohort	MDACC	0.0700586279711097	0.3837852383066087	0.8554003987053875	1
s__Prevotella_nanceiensis	cohort	MDACC	0.0903268586435209	0.32893438475508396	0.7842864355853147	1
s__Streptococcus_mitis	cohort	MDACC	-2.9188501028816423	0.40770348887980973	3.239405685349669e-11	1.684490956381828e-9
s__Neisseria_sicca	cohort	MDACC	-0.5336075672237524	0.39017918012844516	0.17435866510425818	1
s__Streptococcus_sp_A12	cohort	MDACC	-0.3840048302215596	0.35277265991616674	0.28009325491109277	1
s__Porphyromonas_pasteri	cohort	MDACC	-0.5164570416835185	0.3538560686090329	0.14727427185395306	1
s__Actinomyces_graevenitzii	cohort	MDACC	0.31269296615620795	0.3462755097314691	0.37060241933327476	1
s__Rothia_dentocariosa	cohort	MDACC	-0.08412390553798471	0.3871884991066775	0.8282866088399701	1
s__Isoptericola_variabilis	cohort	MDACC	-0.004995552081572776	0.3205889005008993	0.987634917930712	1
s__Streptococcus_parasanguinis	cohort	MDACC	0.5449886008722409	0.3432878478382666	0.11605688976305624	1
s__Veillonella_atypica	cohort	MDACC	0.7637370501587941	0.3556725241554798	0.034650971002758976	1
s__Streptococcus_infantis	cohort	MDACC	-0.3976240590171794	0.3623851349349745	0.2751448915711876	1
s__Actinomyces_sp_ICM47	cohort	MDACC	0.9079706573053943	0.3467193751750595	0.010781678555601736	0.409703785112866
s__Capnocytophaga_leadbetteri	cohort	MDACC	1.1075032366032238	0.3459599085359816	0.002058576704882396	0.08425828560536669
s__Abiotrophia_defectiva	cohort	MDACC	0.18452084819819814	0.3343326319463544	0.5831318075596907	1
s__Capnocytophaga_gingivalis	cohort	MDACC	0.01926289730760374	0.33363586826070446	0.9541208718686665	1
s__Streptococcus_sanguinis	cohort	MDACC	-0.6522731683959943	0.3647817034800749	0.07617937371312777	1
s__Rothia_aeria	cohort	MDACC	0.4042251075102538	0.36315063553875143	0.26872901356755846	1
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	-0.7123338834761614	0.3099681645257619	0.02577623252376463	0.8506156732842327
s__Haemophilus_parainfluenzae	cohort	MDACC	-2.3051795888872957	0.38583564392167824	1.4332247855591148e-8	7.022801449239662e-7
s__Actinomyces_oris	cohort	MDACC	-0.8482446293178076	0.371673982248462	0.024075630585930714	0.8185714399216443
s__Prevotella_salivae	cohort	MDACC	1.0400739656655922	0.3198219651990106	0.0020550801367162606	0.08425828560536669
s__Capnocytophaga_sputigena	cohort	MDACC	0.2651611877789043	0.33304406733246134	0.4289686613241974	1
LKT_p__Bacteroidetes	cohort	MDACC	-0.8886333196138289	0.35077548328261626	0.014234466119191073	0.5266752464100697
s__Actinomyces_naeslundii	cohort	MDACC	0.4465649729219574	0.3133673990199305	0.1607492378477819	1
s__Granulicatella_elegans	cohort	MDACC	-1.2621199806226073	0.32562815745017165	2.945418593948197e-4	0.012665299953977246
s__Streptococcus_sp_263_SSPC	cohort	MDACC	0.21237785495778824	0.34246130183460466	0.5368777727954289	1
s__Streptococcus_oralis	cohort	MDACC	-1.750715840605396	0.3457678764855513	1.6160335135058711e-6	7.756960864828181e-5
s__Fusobacterium_pseudoperiodonticum	cohort	MDACC	-1.1756364065463547	0.3156623334243871	3.79813165652292e-4	0.015952152957396264
LKT_f__Weeksellaceae	cohort	MDACC	-3.0868335782264764	0.3268679467028372	6.147255078568648e-15	3.31951774242707e-13
s__Corynebacterium_matruchotii	cohort	MDACC	-0.42808192594529976	0.3386366627709364	0.2124156697873596	1
