feature	metadata	value	log2fc	stderr	pval	qval
s__Phocaeicola_vulgatus	cohort	MDACC	-1.0330676799844614	0.32996473380412644	0.0019852617272190336	0.16676198508639883
s__Parabacteroides_distasonis	cohort	MDACC	0.4440845877712306	0.29024825555828454	0.12765855944829296	1
s__Bacteroides_stercoris	cohort	MDACC	-1.0374147633432926	0.33404418629408034	0.002298929500104653	0.18851221900858153
s__Bacteroides_xylanisolvens	cohort	MDACC	-1.4692271737374991	0.32573986337169347	1.2970364351849948e-5	0.0013748586212960945
s__Bacteroides_thetaiotaomicron	cohort	MDACC	-0.9592124679859337	0.30848424488836973	0.0021644061819731525	0.17964571310377164
s__Blautia_wexlerae	cohort	MDACC	2.274129785314647	0.3406195132347608	1.9035923440339834e-10	2.4556341238038385e-8
LKT_p__Firmicutes	cohort	MDACC	0.7704877035068071	0.34035726959948825	0.024662137868434988	1
s__Akkermansia_muciniphila	cohort	MDACC	-0.14941354269832774	0.32150353641052365	0.6430243468342209	1
s__Phocaeicola_dorei	cohort	MDACC	-0.4700082302820806	0.30326051711319213	0.12457405187242959	1
s__Bacteroides_finegoldii	cohort	MDACC	-1.0397993691546772	0.27486641769625775	3.555480404849768e-4	0.033065967765102844
s__Bifidobacterium_adolescentis	cohort	MDACC	2.0501583707717885	0.29946088772569435	9.009941969130076e-10	1.1352526881103896e-7
s__Bacteroides_ovatus	cohort	MDACC	-1.607157025119235	0.3456624033739724	5.877974121412103e-6	6.289432309910949e-4
s__Ruminococcus_gnavus	cohort	MDACC	1.0837619431148904	0.32982757606959234	0.0013945736194469782	0.11993333127244012
s__Enterocloster_lavalensis	cohort	MDACC	2.2122381148696766	0.35008380671154404	2.578990752610919e-8	3.0947889031331024e-6
s__Alistipes_onderdonkii	cohort	MDACC	-0.23462972856562497	0.3250330875430638	0.4713997542802494	1
s__Streptococcus_thermophilus	cohort	MDACC	2.889198542046343	0.33197872981349014	3.0728133871005365e-13	4.1482980725857246e-11
s__Parabacteroides_merdae	cohort	MDACC	-0.8310938898001176	0.28837379573762584	0.004458558052237493	0.35222608612676193
s__Enterocloster_bolteae	cohort	MDACC	3.283988951397754	0.40520743082199767	2.0497302171851798e-12	2.746638491028141e-10
s__Hungatella_hathewayi	cohort	MDACC	2.851285550915625	0.36195799539107537	1.6252856962236245e-11	2.1453771190151843e-9
s__Bacteroides_uniformis	cohort	MDACC	-0.8924976981150614	0.32322597548026405	0.006240500656529406	0.48051855055276427
s__Enterocloster_citroniae	cohort	MDACC	1.984142845831277	0.33940969638268825	1.1138939100058594e-7	1.2698390574066798e-5
s__Phocaeicola_massiliensis	cohort	MDACC	-0.7310978012408363	0.29520220451750967	0.01532035538886471	1
s__Faecalibacterium_prausnitzii	cohort	MDACC	0.1388738617051063	0.3210742448468897	0.6657677407793137	1
LKT_f__Ruminococcaceae	cohort	MDACC	-0.2514545912247073	0.34737636646593684	0.46990214322709145	1
s__Clostridium_sp_AM22_11AC	cohort	MDACC	1.9701035383147363	0.33003234068800363	3.9952437397615433e-8	4.63448273812339e-6
s__Bacteroides_fragilis	cohort	MDACC	-0.6180253058910644	0.2914074247736006	0.036246370424901114	1
s__Clostridia_bacterium	cohort	MDACC	0.7128398087772183	0.3111649651828851	0.022868393773968758	1
s__Escherichia_coli	cohort	MDACC	1.3697794699418353	0.3377760840513224	9.331503347962945e-5	0.009331503347962945
s__Bifidobacterium_longum	cohort	MDACC	2.1997191942790875	0.3283588912679864	7.009847316877046e-10	8.902506092433849e-8
s__Blautia_obeum	cohort	MDACC	1.8861006232885051	0.32256951045574633	3.2172242898049394e-8	3.828496904867878e-6
s__Eisenbergiella_massiliensis	cohort	MDACC	1.3433361171291867	0.333824328729615	1.3267807413649927e-4	0.013135129339513428
s__Blautia_caecimuris	cohort	MDACC	1.785669597152264	0.31629783312724213	3.624815101850749e-7	4.023544763054332e-5
