feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	glioma_idh_mutation	MUTANT	-2.37298601702644	0.8502423806751381	0.013707616759736776	0.6853808379868388
s__Prevotella_oris	sex	M	-1.3143510732221768	0.6993933344656532	0.079777869730669207	1
s__Prevotella_oris	age_at	SURGERY	-0.0022191033774295443	0.012659753588079019	0.8631975804896446	1
s__Prevotella_oris	steroids_at_surgery	UNKNOWN	0.8894791582214532	1.1614094057636926	0.4556418774115385	1
s__Prevotella_oris	steroids_at_surgery	Y	-1.8107011135386368	0.8153503802070693	0.04218777991169617	1
s__Prevotella_oris	grade_category	LOW	0.30063597303300327	0.5379567779737583	0.584512891240937	1
s__Prevotella_oris	grade_category	UNKNOWN	0	2.381238364108432	1	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	1.0145673781297633	0.829786929144464	0.24699940630806588	1
s__Prevotella_salivae	sex	M	0.9058297322783738	0.6753270799502729	0.2068533332487491	1
s__Prevotella_salivae	age_at	SURGERY	0.050996860609530216	0.010365436284345513	4.5693722646623284e-4	0.021019112417446712
s__Prevotella_salivae	steroids_at_surgery	UNKNOWN	-1.0669715726486437	1.20744241882317	0.3957812055477151	1
s__Prevotella_salivae	steroids_at_surgery	Y	-1.8727716015050409	0.8410247550631277	0.04779553815017197	1
s__Prevotella_salivae	grade_category	LOW	-0.8277638754102694	0.4860398708677301	0.11660549491186015	1
s__Prevotella_salivae	grade_category	UNKNOWN	0	2.4901103454613462	1	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	-1.9724438619597504	1.037883390749134	0.07977826165886946	1
LKT_p__Bacteroidetes	sex	M	-0.8839265607741813	0.6605564498545914	0.2037824129674922	1
LKT_p__Bacteroidetes	age_at	SURGERY	0.02935323700581325	0.014757451866917968	0.06816343996590389	1
LKT_p__Bacteroidetes	steroids_at_surgery	UNKNOWN	0.1712949642580756	1.1847232048483158	0.8872548730061602	1
LKT_p__Bacteroidetes	steroids_at_surgery	Y	-1.4705141452462016	1.267878130236614	0.2669796421026381	1
LKT_p__Bacteroidetes	grade_category	LOW	2.4888131974565035	0.6177596895871109	0.001432392944950138	0.06732246841265649
LKT_p__Bacteroidetes	grade_category	UNKNOWN	0	2.434736739356609	1	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	-0.8644082616710351	0.9148270670811488	0.3530961045511951	1
s__Prevotella_melaninogenica	sex	M	0.35920778223597266	0.7902055765173912	0.6530486747381723	1
s__Prevotella_melaninogenica	age_at	SURGERY	0.03353701229230199	0.013716784833325538	0.021293897193412344	0.7878741961562568
s__Prevotella_melaninogenica	steroids_at_surgery	UNKNOWN	-0.8129057611460935	1.4835026313040538	0.5882188528218213	1
s__Prevotella_melaninogenica	steroids_at_surgery	Y	-2.0415860683775837	0.7340849972557699	0.00975428841473274	0.46820584390717146
s__Prevotella_melaninogenica	grade_category	LOW	-0.9890344469072458	0.7215897880420425	0.18177752460053923	1
s__Prevotella_melaninogenica	grade_category	UNKNOWN	-3.419323247794672	1.9712062404824624	0.09420973708796469	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	3.6932400488840833	0.7595804368016014	0.0028165271657714964	0.15209246695166082
s__Prevotella_jejuni	sex	M	1.176685890281363	0.6851222862923905	0.13669895579834637	1
s__Prevotella_jejuni	age_at	SURGERY	4.0661704264243343e-4	0.008938553078594813	0.9651927832805097	1
s__Prevotella_jejuni	steroids_at_surgery	UNKNOWN	-0.5103758116385964	1.2235320511605658	0.6910945051196129	1
s__Prevotella_jejuni	steroids_at_surgery	Y	1.540694753086871	0.8419279616204981	0.11699456719123999	1
s__Prevotella_jejuni	grade_category	LOW	-1.8783906440617646	0.40656572814601344	0.0036148237469739684	0.15543742111988065
s__Prevotella_jejuni	grade_category	UNKNOWN	0	2.6242997814669273	1	1
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	-0.5022752391349016	0.8434370274787538	0.5635539218083239	1
s__Prevotella_histicola	sex	M	0.7527994740200626	0.7967541367775345	0.3650356001454401	1
s__Prevotella_histicola	age_at	SURGERY	0.12030949162415154	0.011988455854039955	7.136088048010538e-7	3.996209306885901e-5
s__Prevotella_histicola	steroids_at_surgery	UNKNOWN	-1.2279316559754596	1.257905909175868	0.34995910049522694	1
s__Prevotella_histicola	steroids_at_surgery	Y	-5.52860812220359	0.8242024338799422	3.340836399037003e-5	0.0019042767474510918
s__Prevotella_histicola	grade_category	LOW	-3.862105421188265	0.5819178852318244	3.6758183994704024e-5	0.002021700119708721
s__Prevotella_histicola	grade_category	UNKNOWN	0	2.5125418872747365	1	1
s__Prevotella_denticola	glioma_idh_mutation	MUTANT	-0.32638304097969323	0.7505379303154784	0.6739009342034211	1
s__Prevotella_denticola	sex	M	0.039050473096239144	0.693792993636641	0.9563441468762682	1
s__Prevotella_denticola	age_at	SURGERY	0.026217959936704973	0.012612858639185934	0.06741043324422398	1
s__Prevotella_denticola	steroids_at_surgery	UNKNOWN	0.5860445578630507	1.2004731470192278	0.637096840633225	1
s__Prevotella_denticola	steroids_at_surgery	Y	-0.42416429076795964	0.8407417406996048	0.6260217056925914	1
s__Prevotella_denticola	grade_category	LOW	0.9532309962393894	0.4272072348368784	0.052584354392722625	1
s__Prevotella_denticola	grade_category	UNKNOWN	0	2.5424839117710962	1	1
s__Prevotella_pallens	glioma_idh_mutation	MUTANT	0.37904841579533183	0.8240111047099249	0.6553526330675994	1
s__Prevotella_pallens	sex	M	0.14743926264754864	0.7248931903611688	0.8429058958710418	1
s__Prevotella_pallens	age_at	SURGERY	0.0509996661236587	0.013088423278621482	0.0029776741826958598	0.12721670792197945
s__Prevotella_pallens	steroids_at_surgery	UNKNOWN	2.970732069013876	1.1931066591322794	0.03199495646840395	1
s__Prevotella_pallens	steroids_at_surgery	Y	0.6036456145844457	0.8802432998305473	0.5084432747245837	1
s__Prevotella_pallens	grade_category	LOW	1.0245619309933762	0.4386969569185055	0.041660289709755466	1
s__Prevotella_pallens	grade_category	UNKNOWN	0	2.525785122463274	1	1
s__Prevotella_nigrescens	glioma_idh_mutation	MUTANT	-2.30611183674739	0.7924320798487472	0.022655064849318937	1
