feature	metadata	value	log2fc	stderr	pval	qval
s__Barnesiella_intestinihominis	glioma_idh_mutation	MUTANT	-1.0230668087214763	1.0850564609732076	0.3629409712823257	1
s__Barnesiella_intestinihominis	sex	M	0.24241025498443214	0.6533284422714867	0.7165849000807745	1
s__Barnesiella_intestinihominis	age_at	SURGERY	0.014983526570621365	0.015591659646892282	0.3540885416950358	1
s__Barnesiella_intestinihominis	steroids_at_surgery	UNKNOWN	4.000244139736442	1.0614162731322625	0.0023422805830676224	0.3747648932908196
s__Barnesiella_intestinihominis	steroids_at_surgery	Y	0.1640790061910531	0.9986884620039618	0.8720263087420268	1
s__Barnesiella_intestinihominis	grade_category	LOW	2.8086392556297746	0.7661661898852918	0.0028498545085846893	0.35908166808167086
s__Barnesiella_intestinihominis	grade_category	UNKNOWN	1.390824806109768	2.064550990585339	0.5123217760804871	1
s__Bacteroides_caccae	glioma_idh_mutation	MUTANT	-0.36487857976035465	0.7941339004110928	0.650619575314084	1
s__Bacteroides_caccae	sex	M	-0.6857727574963268	0.6125577914884003	0.27555876715480704	1
s__Bacteroides_caccae	age_at	SURGERY	0.032175664402597635	0.010716749130070136	0.006784946820000032	0.9023979270600043
s__Bacteroides_caccae	steroids_at_surgery	UNKNOWN	-0.903280512737653	0.9711089633827661	0.36286158630338705	1
s__Bacteroides_caccae	steroids_at_surgery	Y	-1.3198466568881044	0.7417714319867406	0.08966671117419872	1
s__Bacteroides_caccae	grade_category	LOW	0.0929975484253703	0.4514843000388902	0.8387889458100224	1
s__Bacteroides_caccae	grade_category	UNKNOWN	0.8718851060958782	1.7854620472627794	0.630380124897913	1
s__Bacteroides_xylanisolvens	glioma_idh_mutation	MUTANT	0.8950671629410624	0.9299298539715962	0.35011542302979093	1
s__Bacteroides_xylanisolvens	sex	M	-0.2578018597127391	0.6537208012719484	0.6985213619328513	1
s__Bacteroides_xylanisolvens	age_at	SURGERY	0.02970654204747693	0.013184404984940975	0.03863451943624022	1
s__Bacteroides_xylanisolvens	steroids_at_surgery	UNKNOWN	2.363871601603019	0.9868590802160743	0.029188162842754578	1
s__Bacteroides_xylanisolvens	steroids_at_surgery	Y	1.432309550360788	0.9122243442374326	0.13594831785713815	1
s__Bacteroides_xylanisolvens	grade_category	LOW	2.277818440008965	0.43327461456338945	7.819971158643131e-5	0.011729956737964698
s__Bacteroides_xylanisolvens	grade_category	UNKNOWN	0	2.0108102290292433	1	1
s__Bacteroides_ovatus	glioma_idh_mutation	MUTANT	-0.9175932794307836	1.0842108601946208	0.404072787355385	1
s__Bacteroides_ovatus	sex	M	-1.0479065797530323	0.8423255404276371	0.22310910372617915	1
s__Bacteroides_ovatus	age_at	SURGERY	-0.0018042114231616594	0.020614920066514008	0.9308400260614245	1
s__Bacteroides_ovatus	steroids_at_surgery	UNKNOWN	1.4862752585072958	0.9068600469641932	0.11167577149519403	1
s__Bacteroides_ovatus	steroids_at_surgery	Y	-2.324189504220256	0.9062649807016261	0.015576255700481545	1
s__Bacteroides_ovatus	grade_category	LOW	-0.012776335070130162	0.6150448578924995	0.9835642761067578	1
s__Bacteroides_ovatus	grade_category	UNKNOWN	-0.8401105020549224	1.5023615873102751	0.5801808035770355	1
s__Bacteroides_finegoldii	glioma_idh_mutation	MUTANT	1.6340881391297464	0.9222240625647634	0.12679030058469345	1
s__Bacteroides_finegoldii	sex	M	-0.4461401076654987	0.7559971475892124	0.576634676666437	1
s__Bacteroides_finegoldii	age_at	SURGERY	0.027671789832985915	0.012587485226876156	0.0702610124653984	1
s__Bacteroides_finegoldii	steroids_at_surgery	UNKNOWN	-0.613728178192151	1.0882467081431157	0.5932187280516201	1
s__Bacteroides_finegoldii	steroids_at_surgery	Y	0.5620060422619876	0.8511955800408093	0.53360232912343	1
s__Bacteroides_finegoldii	grade_category	LOW	-0.457504847848516	0.3606527115527788	0.25159593810798875	1
s__Bacteroides_finegoldii	grade_category	UNKNOWN	0	2.349758628117098	1	1
s__Bacteroides_thetaiotaomicron	glioma_idh_mutation	MUTANT	1.5940849531969588	0.859235792804387	0.07451206653709695	1
s__Bacteroides_thetaiotaomicron	sex	M	0.09440829944111963	0.6315492914899861	0.8822805365123425	1
s__Bacteroides_thetaiotaomicron	age_at	SURGERY	0.04450183283541583	0.013016799675691373	0.002011448600432122	0.28763714986179345
s__Bacteroides_thetaiotaomicron	steroids_at_surgery	UNKNOWN	-0.7374487431418035	1.0371328574812464	0.4831538867382612	1
s__Bacteroides_thetaiotaomicron	steroids_at_surgery	Y	0.06505281944318822	0.8962701628900471	0.942673999204431	1
s__Bacteroides_thetaiotaomicron	grade_category	LOW	0.6229375708608299	0.4810930544292993	0.2063399798938552	1
s__Bacteroides_thetaiotaomicron	grade_category	UNKNOWN	0	1.5875967568338953	1	1
s__Bacteroides_cellulosilyticus	glioma_idh_mutation	MUTANT	8.314357097767438	0.7826605199485448	4.027766320451445e-7	6.686092091949399e-5
s__Bacteroides_cellulosilyticus	sex	M	3.4838665041650008	0.6803784197018664	3.3321803956928e-4	0.05531419456850048
s__Bacteroides_cellulosilyticus	age_at	SURGERY	0.09983125932705726	0.011489764527918432	2.95400125662109e-6	4.844562060858588e-4
s__Bacteroides_cellulosilyticus	steroids_at_surgery	UNKNOWN	0	1.0418442818822533	1	1
s__Bacteroides_cellulosilyticus	steroids_at_surgery	Y	6.361905536456843	0.8016170121631051	7.047188739553976e-6	0.0011698333307659599
s__Bacteroides_cellulosilyticus	grade_category	LOW	2.8750725841537355	0.3236549490571758	2.3816577643206677e-6	3.8582855781994817e-4
s__Bacteroides_cellulosilyticus	grade_category	UNKNOWN	0	2.1964682386833596	1	1
s__Bacteroides_uniformis	glioma_idh_mutation	MUTANT	1.0297556168822775	1.0387743529341495	0.32896749619320464	1
s__Bacteroides_uniformis	sex	M	-0.8740702138175857	0.6873645245717724	0.21267107064471147	1
s__Bacteroides_uniformis	age_at	SURGERY	0.040473648580737986	0.01788969842285598	0.03059718673951174	1
s__Bacteroides_uniformis	steroids_at_surgery	UNKNOWN	-0.7568902874150846	1.609590460912893	0.6413743609672282	1
s__Bacteroides_uniformis	steroids_at_surgery	Y	-0.29662568256774796	1.108967809738671	0.7908168023488538	1
s__Bacteroides_uniformis	grade_category	LOW	-1.6169943460699212	0.722751617685757	0.03236068589841749	1
s__Bacteroides_uniformis	grade_category	UNKNOWN	0	1.382360410830543	1	1
