feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	grade_category	HIGH	-0.1604325230399428	0.5388713389004656	0.7689878213822777	1
s__Prevotella_salivae	grade_category	HIGH	-0.7611890657322605	0.3819215252987909	0.0635959380217324	1
LKT_p__Bacteroidetes	grade_category	HIGH	-2.292666680788163	0.4545547151092247	8.44593866639247e-5	0.004476347493188009
s__Prevotella_melaninogenica	grade_category	HIGH	0.37916457345461974	0.6902624233085746	0.5866093811258455	1
s__Prevotella_jejuni	grade_category	HIGH	-0.053415927618689935	0.3890371319857145	0.8932723106631703	1
s__Prevotella_histicola	grade_category	HIGH	2.03855540125663	0.6971723281048664	0.009932649653426216	0.40723863579047487
s__Prevotella_pallens	grade_category	HIGH	-0.8533356701874923	0.48267078957006504	0.0973987258884275	1
s__Prevotella_nigrescens	grade_category	HIGH	-0.5389141292360711	0.4658787440678634	0.26987596618399656	1
s__Prevotella_nanceiensis	grade_category	HIGH	-1.6117050139807052	0.48757484594110695	0.004179677124741578	0.18390579348862943
s__Bacteroidaceae_unclassified_SGB1468	grade_category	HIGH	-0.8691035137431827	0.40946503970281983	0.05731748459372524	1
s__Porphyromonas_endodontalis	grade_category	HIGH	0.449681293407416	0.43100775777622097	0.32136327679106313	1
s__Porphyromonas_pasteri	grade_category	HIGH	-1.8211377805490137	0.5234849893012024	0.0033663557383927173	0.15148600822767228
LKT_f__Weeksellaceae	grade_category	HIGH	-0.11050767590909398	0.37964283803606674	0.7775844597234158	1
s__Capnocytophaga_leadbetteri	grade_category	HIGH	0.38279176839350165	0.5099781502629891	0.46163127098133827	1
s__Capnocytophaga_sputigena	grade_category	HIGH	-0.13032620074701004	0.4994042533445106	0.7964432221348074	1
s__Capnocytophaga_ochracea	grade_category	HIGH	0.15184269704250639	0.43162521073993687	0.7290783124417711	1
s__Capnocytophaga_gingivalis	grade_category	HIGH	-0.9255290135236164	0.4225404777776538	0.039383725824057476	1
s__Haemophilus_parainfluenzae	grade_category	HIGH	-1.426173833046064	0.5484862130774729	0.014320521364460144	0.5728208545784057
s__Lautropia_mirabilis	grade_category	HIGH	0.7860178824946654	0.7330715488456133	0.29347080391346564	1
s__Neisseria_sicca	grade_category	HIGH	2.7205181180438998	0.6234677386415112	3.007623475338521e-4	0.015338879724226458
s__Neisseria_subflava	grade_category	HIGH	-0.3997120792260149	0.6674283614812545	0.5559736559555221	1
s__Neisseria_elongata	grade_category	HIGH	-0.047119706294840635	0.37703839323395005	0.903021369518087	1
s__Campylobacter_concisus	grade_category	HIGH	-0.9382043997630956	0.3523450851400794	0.025928976666038356	0.9593721366434191
s__Streptococcus_salivarius	grade_category	HIGH	-0.3889528772521039	0.5310955619658716	0.47104141661472565	1
s__Streptococcus_infantis	grade_category	HIGH	-0.3917612768343952	0.5600254143556392	0.4926897411380461	1
s__Streptococcus_mitis	grade_category	HIGH	-0.9320944364251487	0.8736367343087597	0.2951243562688547	1
s__Streptococcus_oralis	grade_category	HIGH	1.8346869368800784	0.42971519300825517	0.0013216854055550194	0.061846484320694776
s__Streptococcus_sanguinis	grade_category	HIGH	0.5912568638892693	0.46695210940037984	0.2193061291897864	1
s__Streptococcus_parasanguinis	grade_category	HIGH	0.35020872797371977	0.5341066133966771	0.5207989790024845	1
s__Granulicatella_adiacens	grade_category	HIGH	1.2856910199481446	0.37095376617239495	0.004666049038417463	0.20064010865195092
