feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	grade_category	HIGH	-1.3717834079071274	0.30010854714504837	6.424121342095772e-4	0.07965910464198758
s__Prevotella_oris	grade_category	HIGH	0.1372221096587494	0.5903655997624846	0.8175533672084969	1
s__Prevotella_salivae	grade_category	HIGH	-0.39921837284634326	0.5060036592384048	0.4351599337847849	1
s__Prevotella_oulorum	grade_category	HIGH	0.4005098473170584	0.4727215534847403	0.4037980830139859	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.8839042337613675	0.525628757251424	0.10084590700102804	1
s__Prevotella_melaninogenica	grade_category	HIGH	0.022152648930588884	0.39688554802303433	0.9557593379708569	1
s__Prevotella_jejuni	grade_category	HIGH	0.6677560262411403	0.738613287585094	0.37367285857364585	1
s__Prevotella_histicola	grade_category	HIGH	-0.4584747729148293	0.7433802963647949	0.5419074290790178	1
s__Prevotella_denticola	grade_category	HIGH	0.09958757274934273	0.5255469797017834	0.8509415783908186	1
s__Prevotella_sp_A2879	grade_category	HIGH	-1.862336101415439	0.45580719437552647	8.618509652908205e-4	0.10256026486960765
s__Prevotella_veroralis	grade_category	HIGH	-0.2148724441781999	0.3356752371941058	0.534126198769979	1
s__Prevotella_pallens	grade_category	HIGH	-1.3041601628503035	0.5034863738505311	0.014320368113356803	1
s__Prevotella_nigrescens	grade_category	HIGH	-1.150874800253251	0.36280662667295577	0.0032640154048031726	0.36230570993315214
s__Prevotella_pleuritidis	grade_category	HIGH	0.5811203837484373	0.3772848242044024	0.14432247835220252	1
s__Prevotella_nanceiensis	grade_category	HIGH	-0.666869144836562	0.8424642675981243	0.4344401950173272	1
s__Prevotella_loescheii	grade_category	HIGH	0.5902573173952389	0.5467737658517727	0.29259596941963706	1
s__Prevotella_conceptionensis	grade_category	HIGH	-0.7619451996066271	0.3646618165376222	0.05411734528683557	1
s__Prevotella_shahii	grade_category	HIGH	-1.96178770071734	0.3085570640263344	1.3163524413707637e-4	0.016849311249545775
s__Alloprevotella_tannerae	grade_category	HIGH	-0.08377345180450585	0.4216587420405839	0.8440616469038711	1
s__Alloprevotella_rava	grade_category	HIGH	-0.7782054846377016	0.3023367812223492	0.025866820611475747	1
s__Prevotella_sp_oral_taxon_473	grade_category	HIGH	-1.6257886780924131	0.5063860370367688	0.006827220151038515	0.7509942166142367
s__Alloprevotella_SGB1466	grade_category	HIGH	-1.3623191639988312	0.43987330161967725	0.009240129330682117	0.9829806555821985
s__Bacteroidaceae_bacterium	grade_category	HIGH	-3.703869701992184	0.4696138723264344	7.475897351895968e-6	9.793425530983718e-4
s__Bacteroidaceae_unclassified_SGB1468	grade_category	HIGH	-0.6457125173235594	0.45706053892371257	0.16958858669419713	1
s__Porphyromonas_endodontalis	grade_category	HIGH	0.7051642084669234	0.3966944982637867	0.08995598907460818	1
LKT_f__Porphyromonadaceae	grade_category	HIGH	-1.323354361414943	0.3958373568966937	0.007450502521204138	0.8121047748112511
s__Porphyromonas_catoniae	grade_category	HIGH	-1.0402595985242007	0.5133755701595345	0.05871858642482501	1
s__Porphyromonas_pasteri	grade_category	HIGH	-1.7347337900892756	0.7335855993170628	0.02578931455773401	1
s__Porphyromonas_sp_oral_taxon_278	grade_category	HIGH	0.6263042776754868	0.30049983590030704	0.06680783753366396	1
s__Tannerella_sp_oral_taxon_HOT_286	grade_category	HIGH	-1.2130536830556238	0.5812332111634958	0.048159398986050796	1
s__Bacteroidetes_unclassified_SGB1343	grade_category	HIGH	-1.5918758168587528	0.3675173385008006	0.00190112238185104	0.21292570676731648
s__Bacteroidetes_oral_taxon_274	grade_category	HIGH	1.3549059791346194	0.3504796961359178	0.0013687816348830373	0.16014745128131536
LKT_f__Weeksellaceae	grade_category	HIGH	-1.0635141837819047	0.5940896704575863	0.08508208579873669	1
s__Capnocytophaga_sp_oral_taxon_332	grade_category	HIGH	-0.9062170717103787	0.5638734908811106	0.13632715651991503	1
s__Capnocytophaga_leadbetteri	grade_category	HIGH	-0.9197068634620293	0.5325999305193245	0.09301672903493084	1
s__Capnocytophaga_sputigena	grade_category	HIGH	-0.25618460013460476	0.4198290778087611	0.5459012421395608	1
s__Capnocytophaga_ochracea	grade_category	HIGH	1.0105175370208543	0.5216301004906855	0.06131611248573917	1
s__Capnocytophaga_granulosa	grade_category	HIGH	-1.128370017136611	0.4243443054351381	0.013472063792406652	1
s__Capnocytophaga_SGB2480	grade_category	HIGH	-1.6707581999022616	0.4111158251130352	0.0018705527301016267	0.2113724585014838
s__Capnocytophaga_gingivalis	grade_category	HIGH	-0.43372761875242044	0.49313800046482725	0.38464452746172273	1
LKT_f__Flavobacteriaceae	grade_category	HIGH	-0.8622684921758517	0.310827242720062	0.018093557260044947	1
s__Haemophilus_parainfluenzae	grade_category	HIGH	-0.9662348178612937	0.441210839250381	0.03473575282887427	1
s__Haemophilus_haemolyticus	grade_category	HIGH	-1.7843261679188045	0.4145234091020038	0.0010236838617601594	0.12079469568769881
s__Aggregatibacter_segnis	grade_category	HIGH	0.5801136961893869	0.4647606161002065	0.24039202612940283	1
s__Cardiobacterium_hominis	grade_category	HIGH	-0.011819308525900518	0.4054296700778914	0.9769744060310699	1
s__Lautropia_mirabilis	grade_category	HIGH	-0.5924632509922432	0.4971418144406453	0.24186402595856457	1
s__Eikenella_corrodens	grade_category	HIGH	-0.6910210022886071	0.4488497213964521	0.1367551602114035	1
s__Kingella_oralis	grade_category	HIGH	-1.7440570599988126	0.39800249668881793	2.606267957177836e-4	0.03283897626044074
s__Neisseria_sicca	grade_category	HIGH	0.5373626084664793	0.5142943359489996	0.30472201558152767	1
s__Neisseria_subflava	grade_category	HIGH	-0.5278310740010846	0.5865819447236696	0.37492641341485333	1
s__Neisseria_sp_oral_taxon_014	grade_category	HIGH	1.088480128195518	0.42539475727831855	0.022728152647382423	1
s__Neisseria_elongata	grade_category	HIGH	-0.6368228150948035	0.41868411950196643	0.14562980869290504	1
s__Campylobacter_concisus	grade_category	HIGH	-0.2806186455670977	0.4992731857938729	0.5774683560371918	1
s__Treponema_sp_OMZ_804	grade_category	HIGH	-0.6688157231451751	0.4652444561237628	0.18110536786473072	1
s__Fusobacterium_pseudoperiodonticum	grade_category	HIGH	-0.4929493765676502	0.44349058185899	0.28811777684311063	1
s__Fusobacterium_nucleatum	grade_category	HIGH	-0.9166159911118167	0.4562137333267862	0.05694364180306958	1
s__Leptotrichia_wadei	grade_category	HIGH	-0.19714090938937856	0.3452202826841248	0.5805661143730312	1
s__Leptotrichia_sp_oral_taxon_215	grade_category	HIGH	-0.1854254216614091	0.38040686592212775	0.6334908709298306	1
s__Streptococcus_salivarius	grade_category	HIGH	0.9547289690116283	0.8721769175647146	0.2807447348434693	1
s__Streptococcus_infantis	grade_category	HIGH	-0.7445928279288807	0.41227331333582223	0.07976757107117251	1
s__Streptococcus_mitis	grade_category	HIGH	-1.6368878776472588	0.7441058052952952	0.03471754142988197	1
s__Streptococcus_oralis	grade_category	HIGH	-0.5631992567686283	0.4464608630014809	0.2197823657012265	1
s__Streptococcus_sanguinis	grade_category	HIGH	-7.284868021188568e-5	0.4924711437198195	0.9998828130427357	1
s__Streptococcus_gordonii	grade_category	HIGH	2.065908842202448	0.387413383603568	8.371085714140544e-5	0.010882411428382708
s__Streptococcus_parasanguinis	grade_category	HIGH	0.14435610440969365	0.6457114301921901	0.8246140697164636	1
s__Streptococcus_sp_A12	grade_category	HIGH	-0.7783473502928571	0.5699277339757324	0.1864850910731107	1
s__Granulicatella_adiacens	grade_category	HIGH	-0.11365943475773253	0.5477466324337313	0.8370186968059855	1
s__Streptococcus_sp_263_SSPC	grade_category	HIGH	-0.23425575707513951	0.43571382012337856	0.5938826793516824	1
s__Abiotrophia_defectiva	grade_category	HIGH	0.639076061044814	0.5326186599768588	0.24420890101102521	1
s__Abiotrophia_sp_HMSC24B09	grade_category	HIGH	1.1147459494008036	0.47785528544376876	0.02968476858012922	1
s__Solobacterium_SGB6833	grade_category	HIGH	0.07610451598080412	0.49564312217536205	0.8794328703837959	1
LKT_p__Firmicutes	grade_category	HIGH	-2.4221114203464986	0.536528301396043	1.0447219920741764e-4	0.013476913697756875
s__Gemella_morbillorum	grade_category	HIGH	1.4822980615052457	0.44506884985639106	0.00879220109756421	0.9495577185369346
s__Gemella_haemolysans	grade_category	HIGH	0.3479830552834873	0.4318157089362794	0.4410950712610108	1
s__Gemella_sanguinis	grade_category	HIGH	-0.8776485882317541	0.4723291326074287	0.07871577796427097	1
s__Lachnoanaerobaculum_orale	grade_category	HIGH	-1.686058929938117	0.4304259122898396	5.244535391191044e-4	0.06555669238988805
s__Lachnoanaerobaculum_sp_ICM7	grade_category	HIGH	-1.6435645809257184	0.4275966008116782	8.286395338291467e-4	0.09943674405949761
s__Lachnospiraceae_bacterium_oral_taxon_096	grade_category	HIGH	1.7446674964069584	0.3648783179020645	7.440425973630916e-4	0.09042444698203678
s__Stomatobaculum_SGB5266	grade_category	HIGH	-1.0137896691557224	0.5218384313756219	0.06626173801280114	1
s__Stomatobaculum_longum	grade_category	HIGH	-0.43870008607076166	0.46011361301872744	0.3517393719663442	1
LKT_f__Lachnospiraceae	grade_category	HIGH	-1.3603022260642375	0.4005685667395111	0.001797724940687166	0.20494064323833694
s__Oribacterium_parvum	grade_category	HIGH	-0.0524337834571561	0.44540507956802045	0.9079605494071689	1
s__Oribacterium_asaccharolyticum	grade_category	HIGH	-0.6287212855068758	0.39761054460557277	0.13614356555951493	1
s__Oribacterium_sinus	grade_category	HIGH	-1.0411318245614478	0.6493687408348179	0.11869503250582204	1
s__Oribacterium_sp_oral_taxon_078	grade_category	HIGH	-0.33839988619119066	0.29707263965302766	0.2704528153710462	1
s__Eubacterium_sulci	grade_category	HIGH	-0.6257320567099107	0.5006268966951016	0.22291166683694522	1
s__Mogibacterium_timidum	grade_category	HIGH	-0.070143872782585	0.29825833793440765	0.8183911347375714	1
s__Mogibacterium_diversum	grade_category	HIGH	-0.08044569788702714	0.41435049670555096	0.8477638597873175	1
s__Eubacterium_brachy	grade_category	HIGH	1.8675243891302145	0.5067773824185517	0.0015722488721884274	0.18206263674727954
s__Parvimonas_micra	grade_category	HIGH	0.7369063439785284	0.3094050668419746	0.0385012778985962	1
s__Parvimonas_SGB6649	grade_category	HIGH	-1.356192559661248	0.48047905719632866	0.019962609153300642	1
s__Peptostreptococcus_SGB749	grade_category	HIGH	-0.45330733267689954	0.4669343314276836	0.3426897529189715	1
s__Peptostreptococcus_stomatis	grade_category	HIGH	0.15780846689701927	0.4548918199506657	0.7334747677655071	1
s__Veillonella_atypica	grade_category	HIGH	-0.39213056854278466	0.6498004149638298	0.5499843056950147	1
s__Veillonella_rogosae	grade_category	HIGH	-2.2385878943746174	0.5433780268927181	2.498671621666267e-4	0.03173312959516159
s__Veillonella_dispar	grade_category	HIGH	1.082331361360594	0.7140650728657391	0.13883001513153537	1
s__Veillonella_parvula	grade_category	HIGH	0.995589041127454	0.4474598705764034	0.031787483199810423	1
s__Megasphaera_micronuciformis	grade_category	HIGH	-0.8783092851673692	0.635818031712904	0.1759165133167699	1
s__Dialister_invisus	grade_category	HIGH	0.5974098291220148	0.3479080789505146	0.10139922594472751	1
s__Selenomonas_noxia	grade_category	HIGH	1.2637283309772414	0.4382676757917154	0.009186735098899052	0.9829806555821985
s__Selenomonas_SGB5880	grade_category	HIGH	-0.7855629861705925	0.5388137948852056	0.1578172331446176	1
s__Selenomonas_sputigena	grade_category	HIGH	0.013162060565582966	0.37316309252333063	0.9722994659854988	1
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	grade_category	HIGH	0.7102903044657507	0.5430990250642427	0.20575938486281123	1
LKT_p__Candidatus_Saccharibacteria	grade_category	HIGH	1.2518004040987405	0.44670636777248723	0.01136683871498586	1
s__Candidatus_Saccharibacteria_unclassified_SGB19850	grade_category	HIGH	-2.048220762946239	0.5489958740530976	7.411839916560392e-4	0.09042444698203678
s__Candidatus_Nanoperiomorbus_periodonticus	grade_category	HIGH	-0.08884141915714958	0.391716000636295	0.8232836267796261	1
s__Olsenella_sp_oral_taxon_807	grade_category	HIGH	0.536976920902944	0.5718967085312292	0.3567451533317022	1
s__Lancefieldella_parvula	grade_category	HIGH	-0.2151760138968566	0.786577361680783	0.7860307667215012	1
s__Lancefieldella_rimae	grade_category	HIGH	0.7702496435485123	0.4325345158027907	0.08942057250364566	1
s__Corynebacterium_durum	grade_category	HIGH	0.4238738855791926	0.4998019880637276	0.40477056411997514	1
s__Corynebacterium_matruchotii	grade_category	HIGH	0.4438958589392925	0.40118638918297866	0.28166000182213635	1
s__Cutibacterium_acnes	grade_category	HIGH	-1.4812285453014191	0.4910271964235766	0.00924244766846107	0.9829806555821985
s__Pseudopropionibacterium_propionicum	grade_category	HIGH	-1.586275432711318	0.3946148174007668	6.716832515467584e-4	0.08261703994025128
s__Actinomyces_graevenitzii	grade_category	HIGH	-1.0961324008167557	0.5598477256271241	0.05873993719338867	1
s__Actinomyces_naeslundii	grade_category	HIGH	0.47086038112792883	0.4459025578972055	0.30000773403501146	1
s__Actinomyces_oris	grade_category	HIGH	-0.12751390667796697	0.48319811501129634	0.793501324399839	1
s__Actinomyces_massiliensis	grade_category	HIGH	0.23625194751101997	0.28282752139054884	0.4230449954310991	1
s__Actinomyces_sp_oral_taxon_448	grade_category	HIGH	0.6059165202008204	0.36938199203796457	0.11930275917899173	1
s__Actinomyces_dentalis	grade_category	HIGH	-0.08720283756483041	0.3405199478313864	0.80063557453587475	1
s__Actinomyces_sp_ICM47	grade_category	HIGH	-0.6248622691449776	0.5995175942429573	0.30443036166284576	1
s__Actinomyces_SGB17168	grade_category	HIGH	-1.0558096102884595	0.5181809525184671	0.056572178861759505	1
s__Actinomyces_sp_ICM58	grade_category	HIGH	-0.46485956304647413	0.3885933040585725	0.2480127626472809	1
s__Isoptericola_variabilis	grade_category	HIGH	-1.4956785755477615	0.41207664947633094	0.0015695054892006857	0.18206263674727954
s__Actinomyces_SGB17154	grade_category	HIGH	-1.46360980860604	0.5796269412913981	0.025359095796300475	1
