feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	br_m_prior_treatment	Y	1.6132381305226824	0.592456414633344	0.023493506380044858	0.5168571403609868
s__Prevotella_salivae	br_m_prior_treatment	Y	1.666857945804277	0.488928333773249	0.009233951893879018	0.2493167011347335
LKT_p__Bacteroidetes	br_m_prior_treatment	Y	-0.8952341049256163	0.5570753719482449	0.15208413229413142	1
s__Prevotella_melaninogenica	br_m_prior_treatment	Y	1.2423779481708896	0.6721682696441011	0.07939878212818488	1
s__Prevotella_jejuni	br_m_prior_treatment	Y	-0.01527447295534547	0.41801908218554873	0.9717470053702908	1
s__Prevotella_histicola	br_m_prior_treatment	Y	2.5302422843111456	0.48466606958660113	0.0012250136605992776	0.03675040981797833
s__Prevotella_denticola	br_m_prior_treatment	Y	-0.30287674322093244	0.5226043186157502	0.5803813190518683	1
s__Prevotella_pallens	br_m_prior_treatment	Y	2.8953712879119906	0.4746050037502774	4.907953425980391e-4	0.01570545096313725
s__Prevotella_nigrescens	br_m_prior_treatment	Y	0.27031243220583356	0.47808293343129443	0.5894501787801498	1
s__Porphyromonas_pasteri	br_m_prior_treatment	Y	-1.0929244142705596	0.5066908915521671	0.07438574686179601	1
s__Capnocytophaga_leadbetteri	br_m_prior_treatment	Y	-1.9980437519561418	0.5787507133162243	0.004288818475870951	0.12008691732438663
s__Capnocytophaga_sputigena	br_m_prior_treatment	Y	-1.1749949659334245	0.4574766616501908	0.027966067889630967	0.5872874256822503
s__Capnocytophaga_ochracea	br_m_prior_treatment	Y	-1.7560041710875491	0.5570972242331395	0.011698694671734991	0.29246736679337476
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	1.29661578992369	0.7159256808806346	0.08445473919896106	1
s__Lautropia_mirabilis	br_m_prior_treatment	Y	0.9968374749357429	0.8429328351007298	0.2532511859336731	1
s__Eikenella_corrodens	br_m_prior_treatment	Y	-1.0700403311226487	0.6045833921372622	0.12714502838143266	1
s__Neisseria_sicca	br_m_prior_treatment	Y	0.42891060980939755	0.8016249076878645	0.6010100957712987	1
s__Neisseria_subflava	br_m_prior_treatment	Y	-0.13082279449927883	0.9759629366891603	0.8957881667506209	1
s__Neisseria_sp_oral_taxon_014	br_m_prior_treatment	Y	-0.4538197885307395	0.5519616984661762	0.44240659251756376	1
s__Streptococcus_salivarius	br_m_prior_treatment	Y	1.8751033985721621	0.6365183890939095	0.012237666649377395	0.2937039995850575
s__Streptococcus_mitis	br_m_prior_treatment	Y	-0.22504050454616412	0.578678306670986	0.7041719536475637	1
s__Streptococcus_sanguinis	br_m_prior_treatment	Y	0.7755492764122112	0.6710230410769217	0.2722614910510196	1
s__Abiotrophia_defectiva	br_m_prior_treatment	Y	0.840796739797664	0.5330456559738909	0.14302058962679892	1
s__Veillonella_atypica	br_m_prior_treatment	Y	1.3503315167154202	0.7195480897555854	0.08015963183016264	1
s__Veillonella_rogosae	br_m_prior_treatment	Y	1.4959001217910426	0.5625313725842656	0.02082102727907893	0.47888362741881535
s__Veillonella_dispar	br_m_prior_treatment	Y	1.951849336624292	0.4776689271588973	9.731183527740121e-4	0.030166668935994373
s__Veillonella_parvula	br_m_prior_treatment	Y	-0.8017852685823204	0.7141470284126752	0.2722245358371925	1
s__Megasphaera_micronuciformis	br_m_prior_treatment	Y	1.571483444646459	0.48663571436906095	0.010334546519125798	0.26869820949727075
s__Lancefieldella_parvula	br_m_prior_treatment	Y	2.752529111415321	0.5820280257391467	0.0014844485702305752	0.04304900853668668
s__Actinomyces_oris	br_m_prior_treatment	Y	-1.3679209468680311	0.6342264985201986	0.05200471278924242	1
s__Rothia_mucilaginosa	br_m_prior_treatment	Y	2.5015991498936265	0.5861370895377354	4.156605128293966e-4	0.013716796923370089
s__Rothia_dentocariosa	br_m_prior_treatment	Y	-0.8730777389315499	0.6136978642176975	0.17024825922609982	1
s__Rothia_aeria	br_m_prior_treatment	Y	-1.5322656873560714	0.7189631509654627	0.06189902466819209	1
