feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	br_m_prior_treatment	Y	1.0018499783073702	0.3940254128313528	0.04392647750155924	1
s__Prevotella_oris	br_m_prior_treatment	Y	0.3814419187056635	0.5429926163085521	0.4897461416778458	1
s__Prevotella_salivae	br_m_prior_treatment	Y	0.4524528126974543	0.617500688885449	0.4711334968972175	1
s__Prevotella_oulorum	br_m_prior_treatment	Y	1.1151524601718898	0.6919707531883442	0.12546694667184285	1
LKT_p__Bacteroidetes	br_m_prior_treatment	Y	0.9286208712636012	0.6705868574650405	0.18000148866082985	1
s__Prevotella_melaninogenica	br_m_prior_treatment	Y	0.7363686182969857	0.5571907514221295	0.19827742694592765	1
s__Prevotella_jejuni	br_m_prior_treatment	Y	1.7323651878489055	0.9415930965004126	0.09064925289149793	1
s__Prevotella_histicola	br_m_prior_treatment	Y	0.49746847836458113	0.6277124423268962	0.4383844180229355	1
s__Prevotella_denticola	br_m_prior_treatment	Y	-0.3588977577854699	0.5150842739450433	0.49536202730381396	1
s__Prevotella_pallens	br_m_prior_treatment	Y	0.9649249313051849	0.7170417957252723	0.19510547128157496	1
s__Prevotella_nigrescens	br_m_prior_treatment	Y	-0.03545322993586789	0.4448578450589166	0.937312755239275	1
s__Prevotella_marshii	br_m_prior_treatment	Y	0.12493726233004214	0.347706276156097	0.7316639969818759	1
s__Prevotella_nanceiensis	br_m_prior_treatment	Y	0.7012157823098852	0.4500776237736902	0.137656539196175	1
s__Prevotella_conceptionensis	br_m_prior_treatment	Y	0.4404135727430796	0.6660931357228452	0.5270702795190372	1
s__Prevotella_oralis	br_m_prior_treatment	Y	-1.639802945367975	0.3640574811935017	0.0014798999290945606	0.1465100929803615
s__Bacteroidaceae_unclassified_SGB1468	br_m_prior_treatment	Y	-0.33927380524180145	0.5105855294008088	0.516468890858022	1
s__Porphyromonas_pasteri	br_m_prior_treatment	Y	-0.6701407378683811	0.5271897383847094	0.22303209494538848	1
s__Tannerella_sp_oral_taxon_HOT_286	br_m_prior_treatment	Y	0.7625635158570723	0.5285942901651784	0.17112465719042455	1
s__Bacteroidetes_oral_taxon_274	br_m_prior_treatment	Y	1.0523705784739061	0.4154367176826193	0.0444891362578963	1
LKT_f__Weeksellaceae	br_m_prior_treatment	Y	-0.6083655006864096	0.4159151667019817	0.15989111548579948	1
s__Capnocytophaga_leadbetteri	br_m_prior_treatment	Y	-0.29883785052049944	0.8149614766118946	0.7177014466793012	1
s__Capnocytophaga_sputigena	br_m_prior_treatment	Y	0.07381535414286926	0.7625373209571139	0.9238468942596099	1
s__Capnocytophaga_ochracea	br_m_prior_treatment	Y	-0.4369128976458963	0.5354672195850706	0.42581613103904226	1
s__Capnocytophaga_granulosa	br_m_prior_treatment	Y	0.22798163818622613	0.8108973839785825	0.7830224492095278	1
s__Capnocytophaga_gingivalis	br_m_prior_treatment	Y	0.22318311435117666	0.8454475026379242	0.7944945898023398	1
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	0.8148745730231984	0.5804532925861391	0.17371985017012845	1
s__Haemophilus_haemolyticus	br_m_prior_treatment	Y	0.15274939547047703	0.38536217755756175	0.703630989589665	1
s__Cardiobacterium_hominis	br_m_prior_treatment	Y	-1.086541667052662	0.6263441608039435	0.10837332229836782	1
s__Cardiobacterium_valvarum	br_m_prior_treatment	Y	0.6769653549486931	0.35037611815569625	0.10154663419011478	1
s__Lautropia_mirabilis	br_m_prior_treatment	Y	-0.060925585303343556	0.5084364778841726	0.9058763843214447	1
s__Eikenella_corrodens	br_m_prior_treatment	Y	-0.5725001535072367	0.7008992839471846	0.4260334730920762	1
s__Kingella_oralis	br_m_prior_treatment	Y	-1.2737827670834814	0.4989079357515952	0.022060112749494435	1
s__Neisseria_sicca	br_m_prior_treatment	Y	0.8314532766647085	0.5737746074765552	0.1655073739863447	1
s__Neisseria_subflava	br_m_prior_treatment	Y	-0.18940688220720095	0.9078165357927571	0.836739672898231	1
s__Neisseria_sp_oral_taxon_014	br_m_prior_treatment	Y	0.05471054505480501	0.49443821710078706	0.9143206060109613	1
s__Neisseria_elongata	br_m_prior_treatment	Y	1.4175196249893536	0.8372056016804941	0.11423670097867795	1
s__Campylobacter_concisus	br_m_prior_treatment	Y	-0.23591812709404192	0.4507960639061475	0.6057459978681341	1
s__Campylobacter_gracilis	br_m_prior_treatment	Y	-0.15820776343041323	0.5589689807504284	0.7816067850556672	1
s__Fusobacterium_nucleatum	br_m_prior_treatment	Y	-0.04925383531669378	0.4622101899485992	0.9168975660624321	1
s__Streptococcus_salivarius	br_m_prior_treatment	Y	-0.37544659158713856	0.6047105351384748	0.5429206394883133	1
s__Streptococcus_infantis	br_m_prior_treatment	Y	1.851438658229195	0.545546602481677	0.0037089001993452966	0.35605441913714847
s__Streptococcus_mitis	br_m_prior_treatment	Y	-0.5784506332803793	0.5938807431510662	0.3465775035571894	1
s__Streptococcus_oralis	br_m_prior_treatment	Y	0.8798465607952409	0.4859173052148134	0.09335088487887698	1
s__Streptococcus_sanguinis	br_m_prior_treatment	Y	1.248468704305937	0.7008185632120091	0.09083244908955905	1
s__Streptococcus_gordonii	br_m_prior_treatment	Y	-0.42303480253558956	0.5728641274657361	0.47443318151731395	1
s__Streptococcus_anginosus	br_m_prior_treatment	Y	1.8261607088968765	0.5619645311049093	0.011708064649110957	1
s__Streptococcus_constellatus	br_m_prior_treatment	Y	-0.06805840494607944	0.5791882734428984	0.9102935455385441	1
s__Streptococcus_parasanguinis	br_m_prior_treatment	Y	0.6184012275922242	0.599551588276324	0.3152863747888093	1
s__Granulicatella_adiacens	br_m_prior_treatment	Y	0.4161523111444383	0.46661086694042037	0.38753925378622844	1
s__Streptococcus_sp_263_SSPC	br_m_prior_treatment	Y	0.9978836700315905	0.6825194036801997	0.15618282444748469	1
s__Abiotrophia_defectiva	br_m_prior_treatment	Y	1.057418576824352	0.5184652182032955	0.05826748905779074	1
s__Solobacterium_SGB6833	br_m_prior_treatment	Y	-0.5130054231725024	0.44994034697704716	0.27646444597295317	1
LKT_p__Firmicutes	br_m_prior_treatment	Y	-0.5731527138692196	0.3936007294259333	0.16906757199129674	1
s__Lachnoanaerobaculum_orale	br_m_prior_treatment	Y	0.598601920365473	0.5099178220201706	0.25572664180578486	1
s__Lachnoanaerobaculum_saburreum	br_m_prior_treatment	Y	-0.7354781193998231	0.43188894017235785	0.1269877178411626	1
s__Lachnoanaerobaculum_sp_ICM7	br_m_prior_treatment	Y	0.9561232145666559	0.5199482154887101	0.08456651289826425	1
s__Stomatobaculum_longum	br_m_prior_treatment	Y	1.0754223567260714	0.49227022029057366	0.0494828317318509	1
LKT_f__Lachnospiraceae	br_m_prior_treatment	Y	-0.3266511887708349	0.5292231931921809	0.546340602696129	1
s__Oribacterium_asaccharolyticum	br_m_prior_treatment	Y	-1.8784826018905667	0.4928078446939609	0.0034191444667658463	0.3316570132762871
s__Oribacterium_sinus	br_m_prior_treatment	Y	0.08424239877211044	0.6944639983472125	0.9047928800963407	1
s__Oribacterium_sp_oral_taxon_078	br_m_prior_treatment	Y	-0.3362359865462696	0.37051292211018383	0.3943156307177317	1
s__Eubacterium_sulci	br_m_prior_treatment	Y	-0.06103053910988772	0.5237100464723179	0.9088837599159321	1
