feature	metadata	value	log2fc	stderr	pval	qval
s__Coprobacter_fastidiosus	br_m_prior_treatment	Y	1.5196528555327038	0.6843730828168686	0.06815068178307387	1
s__Bacteroides_caccae	br_m_prior_treatment	Y	-0.5449635979176858	0.5633817388572621	0.34620837187817644	1
s__Bacteroides_xylanisolvens	br_m_prior_treatment	Y	-0.06345994681235519	0.6004781946673207	0.9170032202296856	1
s__Bacteroides_ovatus	br_m_prior_treatment	Y	-0.26179458653513016	0.6218667958113315	0.6782578037577397	1
s__Bacteroides_finegoldii	br_m_prior_treatment	Y	-0.6449924887378278	0.3661648649503692	0.12863136292446975	1
s__Bacteroides_thetaiotaomicron	br_m_prior_treatment	Y	-1.0488992070408898	0.6418602695654222	0.11712963929908408	1
s__Bacteroides_cellulosilyticus	br_m_prior_treatment	Y	1.1435021992682506	0.7832891321206947	0.17228749686932643	1
s__Bacteroides_uniformis	br_m_prior_treatment	Y	0.8001551169369356	0.6010972948401369	0.19740921145949675	1
s__Bacteroides_stercoris	br_m_prior_treatment	Y	1.0517267404274322	0.8866831040102335	0.2518823920598589	1
s__Phocaeicola_dorei	br_m_prior_treatment	Y	2.494727909154406	0.38163506265081903	1.8093479887155493e-4	0.026959285031861683
s__Phocaeicola_vulgatus	br_m_prior_treatment	Y	-0.0374347060121024	0.7720149888273333	0.9617635647083989	1
s__Phocaeicola_massiliensis	br_m_prior_treatment	Y	-0.37496679717219217	0.5644491965814504	0.5215171470102353	1
s__Parabacteroides_merdae	br_m_prior_treatment	Y	0.19846970101150527	0.7309463694192853	0.7894600099525607	1
s__Parabacteroides_distasonis	br_m_prior_treatment	Y	0.20058031034603896	0.7223290687921822	0.7839692108124015	1
s__Odoribacter_splanchnicus	br_m_prior_treatment	Y	0.800172064645576	0.9373779804745972	0.40517919900597266	1
s__Alistipes_shahii	br_m_prior_treatment	Y	0.18968125666059485	0.48645363677062653	0.7024585699280346	1
s__Alistipes_finegoldii	br_m_prior_treatment	Y	1.3422847633212753	0.444532553168131	0.009188531353445776	1
s__Alistipes_onderdonkii	br_m_prior_treatment	Y	0.7297105002578743	1.1599476787369398	0.5376532433694756	1
s__Alistipes_putredinis	br_m_prior_treatment	Y	1.0851520821061502	0.3849467934818744	0.011823581630360618	1
s__Akkermansia_muciniphila	br_m_prior_treatment	Y	-0.30905621555921925	0.8212056844749086	0.7127314729082799	1
s__Escherichia_coli	br_m_prior_treatment	Y	-1.9844823468356927	0.759765075321016	0.016688958930526444	1
s__Klebsiella_pneumoniae	br_m_prior_treatment	Y	-3.1995710951534475	0.5389174107964403	3.4698725906703366e-4	0.051354114341920984
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	2.4333761061865014	0.5987672923490895	0.0028250459160083924	0.3898563364091582
s__Parasutterella_excrementihominis	br_m_prior_treatment	Y	-2.401090271029088	0.47187542099595126	3.503453636219821e-4	0.051500768452431366
s__Bilophila_wadsworthia	br_m_prior_treatment	Y	-1.3429482101233705	0.5681311594609456	0.035803051699708925	1
s__Lactobacillus_gasseri	br_m_prior_treatment	Y	-1.7658669747144746	0.8513049040523353	0.07174734926485832	1
s__Lactococcus_lactis	br_m_prior_treatment	Y	0.870493207683456	0.4249760897527162	0.0676967520320227	1
s__Streptococcus_salivarius	br_m_prior_treatment	Y	-2.41251400762801	0.771106552230345	0.004716018789986289	0.6413785554381353
s__Streptococcus_thermophilus	br_m_prior_treatment	Y	0.3518718757385036	0.5507513303252243	0.5297991821198351	1
s__Streptococcus_gordonii	br_m_prior_treatment	Y	-0.7960516607574947	0.6829935296548544	0.28803717804079454	1
s__Streptococcus_anginosus	br_m_prior_treatment	Y	-1.691432928901289	0.5126804133506349	0.009241758861273977	1
