feature	metadata	value	log2fc	stderr	pval	qval
s__Capnocytophaga_leadbetteri	br_m_progression_overall	Y	0.9166001884710736	1.0225820889511767	0.3892565625699127	1
s__Haemophilus_parainfluenzae	br_m_progression_overall	Y	0.41067983373439654	0.7469682720011804	0.5896104313420529	1
s__Lautropia_mirabilis	br_m_progression_overall	Y	-0.9976563687116661	0.6816798249863271	0.16541221348510904	1
s__Neisseria_sicca	br_m_progression_overall	Y	-0.7090862406117333	0.8161067148763033	0.4006781076057928	1
s__Streptococcus_sanguinis	br_m_progression_overall	Y	-0.3907180639176842	1.1242000701893688	0.7383924866355122	1
s__Veillonella_rogosae	br_m_progression_overall	Y	-1.5569047662241406	0.6580093026832494	0.037409814243461896	0.374098142434619
s__Veillonella_parvula	br_m_progression_overall	Y	1.8230528967928912	1.0686656062666589	0.10431793485893952	0.9388614137304556
s__Rothia_mucilaginosa	br_m_progression_overall	Y	0.411757627545908	1.07628072651115	0.7082170367263264	1
s__Rothia_dentocariosa	br_m_progression_overall	Y	0.2901600077896783	0.592624954159362	0.6319866947591865	1
s__Rothia_aeria	br_m_progression_overall	Y	-1.1271920984830892	0.6905854299670282	0.14127576099524825	1
