feature	metadata	value	log2fc	stderr	pval	qval
s__Bacteroides_caccae	br_m_progression_overall	Y	1.637602293057723	0.7052471494274412	0.034712618110779386	1
s__Bacteroides_xylanisolvens	br_m_progression_overall	Y	2.2381935565665505	0.6432512821776013	0.004070997969910185	0.4193127909007491
s__Bacteroides_ovatus	br_m_progression_overall	Y	1.1845990682115806	0.5932402873163405	0.06566642240495153	1
s__Bacteroides_thetaiotaomicron	br_m_progression_overall	Y	2.363056279828614	1.106759475292823	0.04965488136030067	1
s__Bacteroides_cellulosilyticus	br_m_progression_overall	Y	-1.5253801083840834	0.5509484888237213	0.032480643977319076	1
s__Bacteroides_uniformis	br_m_progression_overall	Y	0.6902562227357751	0.46263101406757295	0.15401756443318615	1
s__Bacteroides_stercoris	br_m_progression_overall	Y	1.4583836757125905	0.6334016555181929	0.03717624921280043	1
s__Phocaeicola_vulgatus	br_m_progression_overall	Y	0.7662634262772188	0.6148732716351719	0.2295865041603115	1
s__Parabacteroides_goldsteinii	br_m_progression_overall	Y	-0.7472965723720246	0.5086632110707722	0.2017380514721958	1
s__Parabacteroides_distasonis	br_m_progression_overall	Y	0.3349199139682667	0.558242586372951	0.5574922458397802	1
s__Odoribacter_splanchnicus	br_m_progression_overall	Y	-0.37292411652220037	0.7110720015327365	0.6103688891478258	1
s__Alistipes_shahii	br_m_progression_overall	Y	-0.3036640554549386	0.8517878975462646	0.7306843649214807	1
s__Alistipes_finegoldii	br_m_progression_overall	Y	0.665186897917335	0.6621853209558204	0.3367078534031708	1
s__Alistipes_onderdonkii	br_m_progression_overall	Y	0.8813228612517985	0.7539506709287452	0.26066968620609093	1
s__Alistipes_putredinis	br_m_progression_overall	Y	-0.6378191035275187	0.4887089676754544	0.21289917124079374	1
s__Akkermansia_muciniphila	br_m_progression_overall	Y	-1.0028523596812744	0.9421842274699043	0.3121774556803415	1
s__Escherichia_coli	br_m_progression_overall	Y	1.004175479148024	1.039624291134954	0.35048302079395877	1
s__Lactococcus_lactis	br_m_progression_overall	Y	-1.7357349570825706	0.7600173801692283	0.05176261420389966	1
