feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	3.5658174815313948	0.4832555962850597	1.5979432834024234e-13	7.829922088671875e-12
s__Rothia_mucilaginosa	cohort	MDACC	0.9985589729956061	0.51593410224117775	0.05293644973888634	1
s__Prevotella_jejuni	cohort	MDACC	2.019816075645348	0.5292991238877395	1.3562148228139933e-4	0.0043521974730615755
s__Streptococcus_salivarius	cohort	MDACC	-0.2401278266575787	0.515539697854088	0.6413733347145371	1
s__Veillonella_dispar	cohort	MDACC	2.3254960766541704	0.5758241197755926	5.378200207553087e-5	0.0018285880705680496
s__Lautropia_mirabilis	cohort	MDACC	2.1414146221905903	0.6241997502347759	6.021236307382184e-4	0.017461585291408333
s__Veillonella_rogosae	cohort	MDACC	-0.03135594922969909	0.5524521501141956	0.9547381584340376	1
s__Prevotella_histicola	cohort	MDACC	1.4411181704840814	0.5358271939474653	0.007155477280980223	0.17173145474352536
s__Prevotella_pallens	cohort	MDACC	1.2982055663025487	0.45439606504074387	0.004276776738819314	0.10691941847048286
s__Neisseria_subflava	cohort	MDACC	-1.0684629638707595	0.5211538852302576	0.040346177975685286	0.847269737489391
s__Veillonella_parvula	cohort	MDACC	2.1704483448563385	0.4493410646008793	1.3633327942878515e-6	5.180664618293836e-5
s__Prevotella_nanceiensis	cohort	MDACC	-0.09445400471394261	0.4380830566178451	0.829293687644742	1
s__Streptococcus_mitis	cohort	MDACC	-4.636503201931614	0.5128715515675235	1.5626886539439365e-19	8.12598100050847e-18
s__Neisseria_sicca	cohort	MDACC	-0.1576011359613536	0.6205829314654279	0.7995290814509117	1
s__Streptococcus_sp_A12	cohort	MDACC	-1.1389769117599724	0.49799711916740624	0.02218908456350679	0.4881598603971494
s__Porphyromonas_pasteri	cohort	MDACC	-2.5472291017150384	0.5000984207463773	3.515954188904811e-7	1.3712221336728763e-5
s__Actinomyces_graevenitzii	cohort	MDACC	1.0707484120997712	0.40095848973481296	0.0075744693057936425	0.17421279403325377
s__Rothia_dentocariosa	cohort	MDACC	0.8002905905191533	0.5026222013601637	0.1113328368849662	1
s__Isoptericola_variabilis	cohort	MDACC	-0.10813484162368459	0.3686263598770034	0.7692581660919593	1
s__Streptococcus_parasanguinis	cohort	MDACC	0.378149588269722	0.5197719083387788	0.4669014248010098	1
s__Veillonella_atypica	cohort	MDACC	1.9281183614075723	0.4693123456990081	3.984261061735438e-5	0.0014343339822247576
s__Streptococcus_infantis	cohort	MDACC	-0.4790986296405729	0.4659207546050402	0.30381648482997853	1
s__Actinomyces_sp_ICM47	cohort	MDACC	0.272232276291636	0.4938159636478338	0.5814397868942827	1
s__Capnocytophaga_leadbetteri	cohort	MDACC	2.764643757287957	0.4965062372491762	2.573910605946317e-8	1.1067815605569163e-6
s__Abiotrophia_defectiva	cohort	MDACC	1.1816435307921562	0.5845357024019991	0.04322721705863955	0.864544341172791
s__Capnocytophaga_gingivalis	cohort	MDACC	1.316579470161654	0.42857788350906945	0.0021264931856499057	0.05528882282689755
s__Streptococcus_sanguinis	cohort	MDACC	-1.9540681767525254	0.5183089821632725	1.6319289375725795e-4	0.0050589797064749965
s__Rothia_aeria	cohort	MDACC	0.8264884785968332	0.5577788980619364	0.13840702022120968	1
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	0.10369266648482656	0.3807534195807706	0.7853640752816291	1
s__Haemophilus_parainfluenzae	cohort	MDACC	-2.4603402625237183	0.37417387032930105	4.8524815542582626e-11	2.329191146043966e-9
s__Actinomyces_oris	cohort	MDACC	-2.209810056250229	0.57804363892554	1.3188477191095684e-4	0.0043521974730615755
s__Prevotella_salivae	cohort	MDACC	2.3608597200221833	0.41222538267007375	1.0215650545437054e-8	4.494886239992304e-7
s__Capnocytophaga_sputigena	cohort	MDACC	2.8082358507390732	0.47590009314692655	3.6153784663179982e-9	1.6269203098430992e-7
LKT_p__Bacteroidetes	cohort	MDACC	1.7246581637682659	0.4637803164345454	2.0025361139712844e-4	0.006007608341913853
s__Actinomyces_naeslundii	cohort	MDACC	1.5164094486771649	0.47888717804613823	0.001542707254268201	0.04165309586524143
s__Granulicatella_elegans	cohort	MDACC	-2.507016430528012	0.4560895313226182	3.8682423658112665e-8	1.624661793640732e-6
s__Streptococcus_sp_263_SSPC	cohort	MDACC	1.7057840577970742	0.42131131451568826	5.149197789875908e-5	0.0018022192264565678
s__Streptococcus_oralis	cohort	MDACC	-4.399032773306355	0.4799363530309834	4.91502741544072e-20	2.6049645301835816e-18
s__Fusobacterium_pseudoperiodonticum	cohort	MDACC	-2.609658424218003	0.4313866115611139	1.4532718020577816e-9	6.830377469671573e-8
LKT_f__Weeksellaceae	cohort	MDACC	-2.9078666468147674	0.373629605602023	7.096353000880639e-15	3.5481765004403197e-13
s__Corynebacterium_matruchotii	cohort	MDACC	-0.5638017429855006	0.4229141334643164	0.18248742029946968	1
s__Neisseria_elongata	cohort	MDACC	0.31763265880785513	0.41083246948637403	0.439437163540314	1
s__Granulicatella_adiacens	cohort	MDACC	0.13659272421763946	0.4053824530394027	0.7361562536445811	1
s__Gemella_haemolysans	cohort	MDACC	-6.27285595050017	0.4623502009806674	6.256297670062414e-42	3.3784007418337033e-40
s__Prevotella_oris	cohort	MDACC	2.5697106884096277	0.48643667298527055	1.272770649006527e-7	5.091082596026108e-6
s__Gemella_sanguinis	cohort	MDACC	-0.4547128574061948	0.37291242285256637	0.22270924774935855	1
s__Campylobacter_concisus	cohort	MDACC	0.016427209836753387	0.34878528521270863	0.9624348460478165	1
s__Streptococcus_gordonii	cohort	MDACC	-1.6982150076831473	0.5259021655450117	0.0012416038050550322	0.0347649065415409
s__Kingella_oralis	cohort	MDACC	-0.5075980058537718	0.4184020543920624	0.2250600939908478	1
s__Candidatus_Saccharibacteria_unclassified_SGB19850	cohort	MDACC	0.5312809861636315	0.29297900128880816	0.069773902938983	1
s__Haemophilus_haemolyticus	cohort	MDACC	-4.9242804213609634	0.5659262595354612	3.2817384195400027e-18	1.6736865939654013e-16
s__Fusobacterium_nucleatum	cohort	MDACC	-2.222069920647659	0.3749716532315835	3.1046353581814126e-9	1.42813226476345e-7
s__Haemophilus_sputorum	cohort	MDACC	-1.8833026222941736	0.41025446978857705	4.420332460825629e-6	1.6355230105054826e-4
s__Gemella_SGB7284	cohort	MDACC	-2.752385440770111	0.5008058149354915	3.886930047431387e-8	1.624661793640732e-6
