feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_melaninogenica	cohort	MDACC	1.5417140010120909	1.3035038673725257	0.2369098227308831	1
LKT_p__Firmicutes	cohort	MDACC	-3.0821175680840733	1.1035719107057396	0.00522449238927498	0.5851431475987978
s__Rothia_mucilaginosa	cohort	MDACC	3.9735593859382616	0.8902395711347233	8.064214629952943e-6	0.0010160910433740708
s__Prevotella_jejuni	cohort	MDACC	-0.6996659843935276	2.183501289092055	0.7486400726609239	1
s__Streptococcus_salivarius	cohort	MDACC	-0.6076567396606576	1.066115628428194	0.5686962548778948	1
s__Veillonella_dispar	cohort	MDACC	1.004739407219769	1.728489772793017	0.5610506380140422	1
s__Lautropia_mirabilis	cohort	MDACC	1.9136435426588092	1.3746514709228759	0.16389404992429724	1
s__Veillonella_rogosae	cohort	MDACC	0.5570606614636274	1.6584574472318068	0.7369531864254748	1
s__Prevotella_histicola	cohort	MDACC	-0.13750199798444135	1.6321104553835082	0.9328592765975213	1
s__Prevotella_pallens	cohort	MDACC	-2.76671722673904	0.6390614829299996	1.4955392216947214e-5	0.0018694240271184017
s__Neisseria_subflava	cohort	MDACC	0.35223247180995354	1.791102888191245	0.8440961580579761	1
s__Veillonella_parvula	cohort	MDACC	0.8338882937388123	0.5047650769457259	0.0985279330846906	1
s__Prevotella_nanceiensis	cohort	MDACC	-2.5063644417998274	1.2052812698103397	0.03757278590950921	1
s__Streptococcus_mitis	cohort	MDACC	2.387958209110634	1.7467477076451265	0.17159765613849834	1
s__Neisseria_sicca	cohort	MDACC	0.19771372212250415	1.514848872202127	0.8961573049270888	1
s__Bacteroidaceae_bacterium	cohort	MDACC	-1.9361497738926137	2.151174626351912	0.36809734067580085	1
s__Streptococcus_sp_A12	cohort	MDACC	0.0017923069477326359	1.3605711764674135	0.9989489314098761	1
LKT_f__Lachnospiraceae	cohort	MDACC	-1.480592279954891	1.1829868056302746	0.2107261346012879	1
s__Porphyromonas_pasteri	cohort	MDACC	-4.394458073972658	0.661967470322688	3.1693349006285995e-11	4.151828719823465e-9
s__Actinomyces_graevenitzii	cohort	MDACC	-0.9711123919677412	0.6489913617596207	0.13456481247123184	1
s__Rothia_dentocariosa	cohort	MDACC	5.412449099391348	1.5964207009724924	6.979958630513898e-4	0.08382563419810822
s__Actinomyces_SGB17168	cohort	MDACC	-0.9165980005454015	2.0405257196502298	0.653289562449219	1
s__Isoptericola_variabilis	cohort	MDACC	0.8673430151502348	1.1989674452926284	0.46942906637275755	1
s__Streptococcus_parasanguinis	cohort	MDACC	-0.6823561409991048	1.5082655768898034	0.6509728269897407	1
s__Veillonella_atypica	cohort	MDACC	0.39944515149335513	1.6867303820528567	0.8127993501040367	1
s__Lancefieldella_parvula	cohort	MDACC	2.236096727273977	1.6121483195630313	0.16543287169649848	1
s__Streptococcus_infantis	cohort	MDACC	-1.3489595856720964	0.9707580617159328	0.1646521963587587	1
s__Actinomyces_sp_ICM47	cohort	MDACC	-1.6918894401907105	1.0316684133465754	0.10101459083297586	1
s__Stomatobaculum_SGB5266	cohort	MDACC	0.10401892885413605	0.9370172611439543	0.9116078729916014	1
s__Stomatobaculum_longum	cohort	MDACC	0.538759279477164	1.4215919979541407	0.7047004464730406	1
s__Capnocytophaga_leadbetteri	cohort	MDACC	0.379794229447014	0.8581387588563412	0.6580702469811353	1
s__Abiotrophia_defectiva	cohort	MDACC	1.7423480825267592	1.2520894351508822	0.1640579757013387	1
s__Capnocytophaga_gingivalis	cohort	MDACC	2.1014281844116214	1.2239484163582197	0.08599279432068617	1
s__Alloscardovia_omnicolens	cohort	MDACC	2.302362785218376	1.3370315497477747	0.0850702695578224	1
s__Alloprevotella_SGB1466	cohort	MDACC	-3.4056161118192962	1.837280036425072	0.06379377092246451	1
s__Streptococcus_sanguinis	cohort	MDACC	0.09660851762334755	0.8560770228462935	0.9101492683004	1
s__Actinomyces_SGB17154	cohort	MDACC	-0.4369232925383751	1.4960096496133042	0.7702414064319808	1
s__Neisseria_sp_oral_taxon_014	cohort	MDACC	0.8618423490733058	1.73613213017117	0.6196015151233412	1
s__Rothia_aeria	cohort	MDACC	1.2577672285735189	1.3496084560981367	0.35136250841771716	1
s__Bifidobacterium_dentium	cohort	MDACC	2.166482609751495	0.9556467449486067	0.02338821610654251	1
s__Bacteroidaceae_unclassified_SGB1468	cohort	MDACC	0.07637664430537044	1.8058123721382984	0.9662636150069962	1
s__Haemophilus_parainfluenzae	cohort	MDACC	4.0750812113585795	1.9318553721091227	0.034908931591099424	1
