feature	metadata	value	log2fc	stderr	pval	qval
s__Phocaeicola_vulgatus	cohort	MDACC	-1.4664322061519477	0.6865782507019201	0.03269116127160913	1
s__Parabacteroides_distasonis	cohort	MDACC	0.3806030655054211	0.7047073064303421	0.5891372209496641	1
s__Bacteroides_stercoris	cohort	MDACC	0.06801680304990265	0.8332246849945546	0.9349403029766976	1
s__Bacteroides_xylanisolvens	cohort	MDACC	-1.491858050939753	0.8069852059017596	0.06450391861678119	1
s__Bacteroides_thetaiotaomicron	cohort	MDACC	-0.48895342306337275	0.6854626562171174	0.4756484852722293	1
s__Blautia_wexlerae	cohort	MDACC	2.4721449736979473	0.38877274315963584	2.03278574693377e-10	2.5409821836672126e-8
LKT_p__Firmicutes	cohort	MDACC	2.021321744500597	0.35604515960577926	1.3695744474417542e-8	1.6571850814045226e-6
s__Akkermansia_muciniphila	cohort	MDACC	-0.7523567579748214	0.7540420395185735	0.31839332414559335	1
s__Phocaeicola_dorei	cohort	MDACC	-2.9663516533075382	0.7924706609424328	1.817138852476078e-4	0.017626246869017956
s__Bacteroides_finegoldii	cohort	MDACC	-0.6144475002467422	0.7255079367975416	0.39703946925812184	1
s__Bifidobacterium_adolescentis	cohort	MDACC	-1.1461672246270704	0.6916811966626304	0.0975044280709962	1
s__Bacteroides_ovatus	cohort	MDACC	-1.7293292883603102	0.6317144583419778	0.006190485506209017	0.43952447094084024
s__Ruminococcus_gnavus	cohort	MDACC	1.8962322184621079	0.7712325813414174	0.013943973952921419	0.8924143329869708
s__Enterocloster_lavalensis	cohort	MDACC	3.5813126822667076	0.6860422445585999	1.786808401913214e-7	2.036961578181064e-5
s__Alistipes_onderdonkii	cohort	MDACC	-1.112065466729328	0.7335750809839535	0.1295311951979526	1
s__Streptococcus_thermophilus	cohort	MDACC	6.277846814928127	0.5193782007260523	1.2336781449614629e-33	1.7024758400468187e-31
s__Parabacteroides_merdae	cohort	MDACC	-0.9217921831575849	0.7601859308914156	0.22528745679582524	1
s__Enterocloster_bolteae	cohort	MDACC	7.7078746584838616	0.5952184948626902	2.360097442781075e-38	3.280535445465694e-36
s__Hungatella_hathewayi	cohort	MDACC	6.716190282185378	0.6425902170601059	1.4385088037176024e-25	1.9563719730559394e-23
s__Bacteroides_uniformis	cohort	MDACC	-1.6056507721856668	0.5575322486771611	0.003977704362539474	0.302305531553
s__Enterocloster_citroniae	cohort	MDACC	5.151252413229361	0.5257575058872932	1.1509575526223084e-22	1.5537926960401163e-20
s__Phocaeicola_massiliensis	cohort	MDACC	1.0625501159242083	0.8273624404157724	0.1990503093067571	1
s__Faecalibacterium_prausnitzii	cohort	MDACC	-1.1533159823625523	0.5294848905455629	0.029392275345747624	1
LKT_f__Ruminococcaceae	cohort	MDACC	-0.6237427299894479	0.43672717711743236	0.15322838690595747	1
s__Clostridium_sp_AM22_11AC	cohort	MDACC	0.6483695783409731	0.6561299319774283	0.3230681565212964	1
