feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	glioma_progression_overall	Y	0.018350276609158847	1.575065068566066	0.9907044658220912	1
s__Prevotella_oris	glioma_fu	TIME	0.0022038099330240106	0.002821173782579738	0.4347038478483908	1
s__Prevotella_oris	sex	M	-0.850608438942698	1.6696587235505849	0.6104365001808255	1
s__Prevotella_oris	grade_category	HIGH	-2.1894352032582023	2.273124855957026	0.33545569810046394	1
s__Prevotella_oris	glioma_idh_mutation	MUTANT	-0.7703976810876729	1.9875155149296766	0.6982984140876578	1
s__Prevotella_oris	steroids_at_surgery	Y	2.0268500493255353	1.452796529143605	0.16297455997622926	1
s__Prevotella_salivae	glioma_progression_overall	Y	-1.2900650853588391	0.9556181246289555	0.1770224891034185	1
s__Prevotella_salivae	glioma_fu	TIME	0.0025652046113499374	0.002003378824800793	0.20039074448277286	1
s__Prevotella_salivae	sex	M	0.43406170213516104	1.1240891062625373	0.699389077249283	1
s__Prevotella_salivae	grade_category	HIGH	1.734275389185778	1.9730057540146488	0.3794003603287691	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	1.588648946291749	1.7757750008219249	0.37098871651756515	1
s__Prevotella_salivae	steroids_at_surgery	Y	0.9510081575370598	1.2441297454002351	0.44463112094795926	1
LKT_p__Bacteroidetes	glioma_progression_overall	Y	-1.115629139789086	1.278697201547152	0.3829502395008239	1
LKT_p__Bacteroidetes	glioma_fu	TIME	0.0019902998687495845	0.0018615384055437917	0.2849933520144398	1
LKT_p__Bacteroidetes	sex	M	0.6293109104337505	1.0851950703785558	0.5619781473474383	1
LKT_p__Bacteroidetes	grade_category	HIGH	-2.1272015781087936	2.113317656625332	0.3141415880359264	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	-0.4482834085230394	1.8564466009799976	0.8091878396379949	1
LKT_p__Bacteroidetes	steroids_at_surgery	Y	2.0090221872763556	2.003277487435089	0.3159247227118278	1
s__Prevotella_melaninogenica	glioma_progression_overall	Y	-2.210123357879796	1.3371934434948924	0.0983700463713033	1
s__Prevotella_melaninogenica	glioma_fu	TIME	3.5230713052008655e-4	0.002358093145373767	0.8812353300065277	1
s__Prevotella_melaninogenica	sex	M	0.5597100478790905	1.2427261149491449	0.652430047267137	1
s__Prevotella_melaninogenica	grade_category	HIGH	0.4717800596125432	3.535043526472018	0.893831128857863	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	-0.7910225754414864	3.103040653518528	0.7987860207314197	1
s__Prevotella_melaninogenica	steroids_at_surgery	Y	0.9517131658494603	2.589461397228579	0.71322129387677	1
s__Prevotella_jejuni	glioma_progression_overall	Y	-0.1927180563886301	1.4589636876937342	0.8949111847324556	1
s__Prevotella_jejuni	glioma_fu	TIME	-0.0021011475537660983	0.002294832245602852	0.35987692575976654	1
s__Prevotella_jejuni	sex	M	-2.0068927400221184	1.4638215054857548	0.17037634963471351	1
s__Prevotella_jejuni	grade_category	HIGH	-1.4388867778432588	3.7237024486314145	0.6991908747797687	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	-2.983480294764204	3.65140541987937	0.4138842837342108	1
s__Prevotella_jejuni	steroids_at_surgery	Y	-1.7477965409821419	1.6952216278392231	0.30253444561707965	1
s__Prevotella_histicola	glioma_progression_overall	Y	-1.064280871888038	1.378791144209471	0.44017709939652	1
s__Prevotella_histicola	glioma_fu	TIME	-0.0013922342350741771	0.0021369285433440947	0.514716140263733	1
s__Prevotella_histicola	sex	M	-2.4214233216001326	1.424494084877556	0.08915953328468962	1
s__Prevotella_histicola	grade_category	HIGH	-8.768082228592972	2.1240713674188285	3.659953202045062e-5	0.0020861733251656854
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	-9.582887141122054	2.1539447000328242	8.627340837708516e-6	5.090131094248024e-4
s__Prevotella_histicola	steroids_at_surgery	Y	-0.22289512842088266	1.5493735123466814	0.8856098731520221	1
s__Prevotella_denticola	glioma_progression_overall	Y	-2.2798758598625044	1.5891222185532838	0.15137938322281497	1
s__Prevotella_denticola	glioma_fu	TIME	-0.001429192805867231	0.0028959568566739543	0.6216500468793078	1
s__Prevotella_denticola	sex	M	-0.4110254080241654	1.6816161112620958	0.806903344079986	1
s__Prevotella_denticola	grade_category	HIGH	2.350386418561328	2.6209286651386554	0.3698383563922969	1
s__Prevotella_denticola	glioma_idh_mutation	MUTANT	2.364028240042238	2.4045818368699226	0.32554106676886335	1
s__Prevotella_denticola	steroids_at_surgery	Y	4.992174276189459	2.269709097473324	0.027843981507708806	1
