feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	glioma_progression_overall	Y	0.8167855659687888	0.9596705247640797	0.39470802776100766	1
s__Prevotella_maculosa	glioma_fu	TIME	-0.002042705922881551	0.0012098914644179974	0.09134633489739323	1
s__Prevotella_maculosa	sex	M	0.18351401549724683	1.2403970128939097	0.8823839603014028	1
s__Prevotella_maculosa	grade_category	HIGH	3.118080479860087	2.8444899795108105	0.27299886367082143	1
s__Prevotella_maculosa	glioma_idh_mutation	MUTANT	2.537860461014351	2.7403075259997474	0.35438232144370635	1
s__Prevotella_maculosa	steroids_at_surgery	Y	0.20527524841828249	1.35138764012684	0.8792661200294686	1
s__Prevotella_oris	glioma_progression_overall	Y	0.9892321407047426	1.4759830451211753	0.5027180812092067	1
s__Prevotella_oris	glioma_fu	TIME	-8.173086220555844e-4	0.0028804652931789855	0.776608201673656	1
s__Prevotella_oris	sex	M	-1.3319592654666457	1.7098436302709348	0.4359827887087112	1
s__Prevotella_oris	grade_category	HIGH	1.1733451734614704	2.0569333775877836	0.5683832298357134	1
s__Prevotella_oris	glioma_idh_mutation	MUTANT	0.537921938502817	1.8421786667248863	0.7702842300763707	1
s__Prevotella_oris	steroids_at_surgery	Y	-1.7664612723789488	1.319052045524429	0.18050883605329976	1
s__Prevotella_salivae	glioma_progression_overall	Y	-0.05512256051003639	1.3521415082690156	0.9674817610763787	1
s__Prevotella_salivae	glioma_fu	TIME	6.212159746947089e-4	0.0024678044555877733	0.8012511579353976	1
s__Prevotella_salivae	sex	M	1.4369745341859772	1.3535349986665326	0.28839658458171713	1
s__Prevotella_salivae	grade_category	HIGH	2.567879653540686	4.003949451328259	0.5213039618932016	1
s__Prevotella_salivae	glioma_idh_mutation	MUTANT	1.5023095853614685	3.628729890440708	0.6788709966226887	1
s__Prevotella_salivae	steroids_at_surgery	Y	0.13508413221374993	1.1163182417503552	0.9036842059674571	1
s__Prevotella_oulorum	glioma_progression_overall	Y	1.9848090874472073	1.4658122892888121	0.17571477725856702	1
s__Prevotella_oulorum	glioma_fu	TIME	-0.0013850096150032558	0.0019884865278279773	0.4861067064596155	1
s__Prevotella_oulorum	sex	M	1.5715602839728071	1.516885653981354	0.30018161472575083	1
s__Prevotella_oulorum	grade_category	HIGH	2.648122786270756	2.2763119572743853	0.2446919329630997	1
s__Prevotella_oulorum	glioma_idh_mutation	MUTANT	4.470136693047445	2.1494720072617306	0.037558192497447435	1
s__Prevotella_oulorum	steroids_at_surgery	Y	0.9377443758498649	1.9445107817581675	0.6296268817507578	1
LKT_p__Bacteroidetes	glioma_progression_overall	Y	-1.220045621419054	0.6854574984809905	0.07509237072255119	1
LKT_p__Bacteroidetes	glioma_fu	TIME	0.0026959478675109526	0.001032415134769105	0.009019816082009979	1
LKT_p__Bacteroidetes	sex	M	1.1349653861040838	0.807397332308405	0.1598106675995059	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.14626218279072903	3.6958799380336322	0.96843244769004	1
LKT_p__Bacteroidetes	glioma_idh_mutation	MUTANT	0.7388336901898293	3.3048087340878154	0.8230971835521357	1
LKT_p__Bacteroidetes	steroids_at_surgery	Y	3.173423651608492	1.2625374205521709	0.01195301564411587	1
s__Prevotella_melaninogenica	glioma_progression_overall	Y	-1.8495383825613392	1.1956195220184096	0.12188039323865264	1
s__Prevotella_melaninogenica	glioma_fu	TIME	-0.0012997251924263494	0.0029403550399777372	0.6584674838185405	1
s__Prevotella_melaninogenica	sex	M	1.5419680167836838	1.497562449066724	0.3031734439315284	1
s__Prevotella_melaninogenica	grade_category	HIGH	2.8779946595729697	5.543419934055324	0.6036400172804395	1
s__Prevotella_melaninogenica	glioma_idh_mutation	MUTANT	2.693968730885767	4.971808481889129	0.5879226327796014	1
s__Prevotella_melaninogenica	steroids_at_surgery	Y	0.1177805162504022	1.3114664936884755	0.9284395887899972	1
s__Prevotella_jejuni	glioma_progression_overall	Y	-0.5731784638631188	2.119416677600022	0.7868205301849374	1
s__Prevotella_jejuni	glioma_fu	TIME	5.907361542918375e-4	0.003354100619253485	0.8601968690736266	1
s__Prevotella_jejuni	sex	M	-0.249093589742634	2.4324182920856803	0.9184346295437156	1
s__Prevotella_jejuni	grade_category	HIGH	-1.1295177280554567	5.89759568342306	0.8481168575678757	1
s__Prevotella_jejuni	glioma_idh_mutation	MUTANT	-3.7841678601896818	5.374935154643814	0.48140803586897185	1
s__Prevotella_jejuni	steroids_at_surgery	Y	-3.884981273477738	2.056632474762061	0.05889166395751073	1
s__Prevotella_histicola	glioma_progression_overall	Y	0.8952094421195365	2.1399389514352998	0.6757028588246687	1
s__Prevotella_histicola	glioma_fu	TIME	-0.003397012441936199	0.0032488147586735897	0.29573839478077296	1
s__Prevotella_histicola	sex	M	-0.6866765398848791	2.0465806947869756	0.737229991347749	1
s__Prevotella_histicola	grade_category	HIGH	-4.062112672091481	5.960267919943348	0.495534994051983	1
s__Prevotella_histicola	glioma_idh_mutation	MUTANT	-0.3250357904170902	5.728521578230671	0.9547523827893474	1
s__Prevotella_histicola	steroids_at_surgery	Y	0.062221446871569386	2.8731305525048696	0.982722103788998	1
s__Prevotella_denticola	glioma_progression_overall	Y	-1.3495857464504113	1.3097387088808172	0.3028111740241211	1
s__Prevotella_denticola	glioma_fu	TIME	-0.001872747312244833	0.0022468251347881308	0.4045581403976083	1
s__Prevotella_denticola	sex	M	-0.28818977063386175	1.4252109566246736	0.8397537278501379	1
s__Prevotella_denticola	grade_category	HIGH	5.031374300444294	4.076254837170853	0.2170862969066578	1
s__Prevotella_denticola	glioma_idh_mutation	MUTANT	4.798769738397513	3.6825314112853706	0.19253477860566867	1
s__Prevotella_denticola	steroids_at_surgery	Y	4.231486374552667	1.5936571827502868	0.007926024634606966	1
s__Prevotella_sp_A2879	glioma_progression_overall	Y	0.1660888153561707	2.2554248616354875	0.9412970790225549	1
s__Prevotella_sp_A2879	glioma_fu	TIME	0.0043565361421492865	0.0033317390935058847	0.19101369179460878	1
s__Prevotella_sp_A2879	sex	M	2.9727835269299416	1.77399576733645	0.09378605374566952	1
s__Prevotella_sp_A2879	grade_category	HIGH	4.197525594573569	4.852447140009687	0.3870208249501565	1
s__Prevotella_sp_A2879	glioma_idh_mutation	MUTANT	1.763185254811909	4.410267986372191	0.6893104924879911	1
s__Prevotella_sp_A2879	steroids_at_surgery	Y	-1.632675090369973	2.347230168531195	0.48669490268877746	1
s__Prevotella_veroralis	glioma_progression_overall	Y	-0.5560171699652022	1.3568800794969387	0.6819701226908684	1
s__Prevotella_veroralis	glioma_fu	TIME	-0.0010987659919611263	0.001773004391962673	0.5354422535949619	1
s__Prevotella_veroralis	sex	M	-0.9846297588447934	1.4062709971602434	0.48382070271643046	1
s__Prevotella_veroralis	grade_category	HIGH	4.410396332416978	2.8973428918673374	0.12795370299374478	1
s__Prevotella_veroralis	glioma_idh_mutation	MUTANT	1.5924865740218115	2.832386535933778	0.5739511725231	1
s__Prevotella_veroralis	steroids_at_surgery	Y	-2.3658040295371063	1.8505139566100148	0.20108804992228493	1
s__Prevotella_pallens	glioma_progression_overall	Y	-0.410847810153289	1.7786088171939702	0.8173195309887604	1
s__Prevotella_pallens	glioma_fu	TIME	-0.003766002409774021	0.003110133817929049	0.2259409584988513	1
s__Prevotella_pallens	sex	M	0.3891601803265736	1.666140648255355	0.8153189556503042	1
s__Prevotella_pallens	grade_category	HIGH	-1.3717854213155767	5.234768324858567	0.7932807761453151	1
s__Prevotella_pallens	glioma_idh_mutation	MUTANT	0.3360735981869136	4.791923260949618	0.9440875280731756	1
s__Prevotella_pallens	steroids_at_surgery	Y	0.04991255289416463	1.665151709682895	0.976087168341118	1
s__Prevotella_nigrescens	glioma_progression_overall	Y	2.0228128190580454	1.3238524158854763	0.12651885321748096	1
s__Prevotella_nigrescens	glioma_fu	TIME	0.0019525923868851363	0.0018949730140702266	0.3028192539732491	1
s__Prevotella_nigrescens	sex	M	-1.864984514707884	1.4643947942301132	0.202821846234188	1
s__Prevotella_nigrescens	grade_category	HIGH	2.074853438173086	3.1591553378912423	0.5113257660460953	1
s__Prevotella_nigrescens	glioma_idh_mutation	MUTANT	0.4448101859343525	2.789582980533352	0.8733111912028444	1
s__Prevotella_nigrescens	steroids_at_surgery	Y	-1.684838065466003	1.4211064981126025	0.23578747497687705	1
s__Prevotella_intermedia	glioma_progression_overall	Y	-2.324268064128301	1.4833029956958512	0.11712536506801977	1
s__Prevotella_intermedia	glioma_fu	TIME	-0.002142199368935346	0.0019069438914105347	0.26128131839516294	1
s__Prevotella_intermedia	sex	M	0.14331045900179162	1.457689228544596	0.9216833973229942	1
s__Prevotella_intermedia	grade_category	HIGH	7.707103372816423	4.510040371758017	0.0874737721974826	1
s__Prevotella_intermedia	glioma_idh_mutation	MUTANT	7.617517736463494	4.010661275591558	0.057522789532977604	1
s__Prevotella_intermedia	steroids_at_surgery	Y	1.383596116642573	1.883677184940431	0.46263266753074994	1
s__Prevotella_pleuritidis	glioma_progression_overall	Y	-1.95294773545451	1.8930263294433687	0.30223434505374414	1
s__Prevotella_pleuritidis	glioma_fu	TIME	-0.0011957820921405329	0.0030021840716280353	0.6904060711468591	1
s__Prevotella_pleuritidis	sex	M	-1.2262831907505947	1.6645167751624448	0.461292498457877	1
s__Prevotella_pleuritidis	grade_category	HIGH	2.9029736934771533	5.168100456848213	0.5743136218161595	1
s__Prevotella_pleuritidis	glioma_idh_mutation	MUTANT	0.5879536261865933	4.899414268660358	0.9044792814400862	1
s__Prevotella_pleuritidis	steroids_at_surgery	Y	-1.5936248649637479	1.8713094891092308	0.3944308868813893	1
s__Prevotella_nanceiensis	glioma_progression_overall	Y	-0.16054451860744579	1.3683400558232621	0.906600185802722	1
s__Prevotella_nanceiensis	glioma_fu	TIME	0.003981359753952281	0.0031668337828758175	0.2086793574557313	1
s__Prevotella_nanceiensis	sex	M	1.697246409646715	1.7112672644395466	0.3212918083655894	1
s__Prevotella_nanceiensis	grade_category	HIGH	0.6339956152944992	5.0680467534748574	0.9004470440636714	1
s__Prevotella_nanceiensis	glioma_idh_mutation	MUTANT	3.6444867531613925	4.605426318031941	0.42874197814149007	1
s__Prevotella_nanceiensis	steroids_at_surgery	Y	3.890217027980402	1.7678467324170835	0.02776862207608631	1
s__Prevotella_loescheii	glioma_progression_overall	Y	1.6149860846841677	1.5380904925870253	0.29372078286242154	1
s__Prevotella_loescheii	glioma_fu	TIME	0.0017441425249262524	0.0023290721930795837	0.45394326802450125	1
s__Prevotella_loescheii	sex	M	-0.23580503641201275	1.5569392326645808	0.8796174115248123	1
s__Prevotella_loescheii	grade_category	HIGH	5.670698306110461	4.3895549835518075	0.19640501637736252	1
s__Prevotella_loescheii	glioma_idh_mutation	MUTANT	6.391015332693089	3.96977844357195	0.10741589303934247	1
s__Prevotella_loescheii	steroids_at_surgery	Y	1.5647199588651224	1.5251442605599665	0.3049157076311011	1
s__Prevotella_conceptionensis	glioma_progression_overall	Y	-0.28560307510973637	1.6337607505978982	0.8612263533020629	1
s__Prevotella_conceptionensis	glioma_fu	TIME	0.0029551065444019444	0.0023505494777877243	0.20868187926361134	1
s__Prevotella_conceptionensis	sex	M	1.0211482720890541	1.5779284542172416	0.5175382008659515	1
s__Prevotella_conceptionensis	grade_category	HIGH	-3.2992159615894674	4.483275158773126	0.46179511776959253	1
s__Prevotella_conceptionensis	glioma_idh_mutation	MUTANT	-4.027901870590738	4.042329728038788	0.3190408710851424	1
s__Prevotella_conceptionensis	steroids_at_surgery	Y	0.0767569134850945	1.5221206410125194	0.9597816308838623	1
s__Prevotella_shahii	glioma_progression_overall	Y	-2.424501351565505	0	0	0
s__Prevotella_shahii	glioma_fu	TIME	-0.0028125936461919597	0.0024395368216586087	0.24894274200054128	1
s__Prevotella_shahii	sex	M	-1.6130282848745607	1.8491802776178405	0.38304817997241175	1
s__Prevotella_shahii	grade_category	HIGH	-4.285861841431853	5.0645725765810665	0.3974168956079525	1
s__Prevotella_shahii	glioma_idh_mutation	MUTANT	-2.222494923258586	4.466590377733318	0.6187787012444039	1
s__Prevotella_shahii	steroids_at_surgery	Y	0.6353818717907496	2.0675432397979865	0.75860552583734	1
s__Prevotella_oralis	glioma_progression_overall	Y	2.450982124784163	0	0	0
s__Prevotella_oralis	glioma_fu	TIME	4.7944800968201544e-4	0.0020055028428604986	0.811054224915486	1
s__Prevotella_oralis	sex	M	-2.4107455189036178	1.4274119101952698	0.09123999932761757	1
s__Prevotella_oralis	grade_category	HIGH	1.3164336401888703	5.707120182590554	0.817574962343614	1
s__Prevotella_oralis	glioma_idh_mutation	MUTANT	0.6550619565334815	5.358530954556725	0.9027037562508029	1
s__Prevotella_oralis	steroids_at_surgery	Y	-0.47028842967877804	1.5261969481834208	0.7579727632408187	1
s__Alloprevotella_tannerae	glioma_progression_overall	Y	1.974263242100354	1.6719799102540953	0.23768471175578032	1
s__Alloprevotella_tannerae	glioma_fu	TIME	3.5698292869165065e-4	0.0024133077208562397	0.8824037946295629	1
s__Alloprevotella_tannerae	sex	M	0.5690272949031527	1.6134159460017872	0.7243247490629388	1
s__Alloprevotella_tannerae	grade_category	HIGH	2.010259476963077	4.109492588803576	0.6247180759520072	1
s__Alloprevotella_tannerae	glioma_idh_mutation	MUTANT	4.893638169867777	3.8501455264468234	0.2037191125252892	1
s__Alloprevotella_tannerae	steroids_at_surgery	Y	1.6414911401605716	1.7796024875642118	0.35632412870008906	1
s__Alloprevotella_rava	glioma_progression_overall	Y	-3.032701225439972	1.1447935498813797	0.008070047433634498	1
s__Alloprevotella_rava	glioma_fu	TIME	-0.0023912389052770625	0.0018837679322307875	0.2043014844247978	1
s__Alloprevotella_rava	sex	M	-0.05358413878169942	1.329273528225303	0.9678453079743127	1
s__Alloprevotella_rava	grade_category	HIGH	2.8053724303280543	4.728434081377422	0.5529814615402711	1
s__Alloprevotella_rava	glioma_idh_mutation	MUTANT	1.7804276813511248	4.3019257114719	0.678971071343236	1
s__Alloprevotella_rava	steroids_at_surgery	Y	1.4034391462872067	1.3599064938342185	0.30206672826619313	1
s__Prevotellaceae_bacterium_Marseille_P2826	glioma_progression_overall	Y	0.5773132531235048	1.9608142197788578	0.7684329606839249	1
s__Prevotellaceae_bacterium_Marseille_P2826	glioma_fu	TIME	0.0033699501589139653	0.0039057505186059784	0.3882377791209145	1
s__Prevotellaceae_bacterium_Marseille_P2826	sex	M	0.9712035712811726	2.150476343670809	0.6515409350430972	1
s__Prevotellaceae_bacterium_Marseille_P2826	grade_category	HIGH	-5.491422895044521	4.524529094433126	0.22486214116517297	1
s__Prevotellaceae_bacterium_Marseille_P2826	glioma_idh_mutation	MUTANT	-0.6800666205304489	3.765400771883604	0.8566742091237671	1
s__Prevotellaceae_bacterium_Marseille_P2826	steroids_at_surgery	Y	3.1328415775453244	2.2361348606630145	0.16121184816964704	1
s__Prevotella_sp_oral_taxon_473	glioma_progression_overall	Y	1.5640233892250817	0.9935426028347815	0.11544386566240326	1
s__Prevotella_sp_oral_taxon_473	glioma_fu	TIME	5.984068532578421e-4	0.001935204997806435	0.7571530947958661	1
s__Prevotella_sp_oral_taxon_473	sex	M	-0.9894828012160712	1.3543935958396214	0.46504027559092703	1
