feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	grade_category	HIGH	0.6552049802710962	1.3500181900929673	0.627441935625773	1
s__Prevotella_salivae	grade_category	HIGH	0.8899216568351171	0.9360752829058502	0.3417594626736148	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.2869849519515386	1.06042478043656	0.7866740287272904	1
s__Prevotella_melaninogenica	grade_category	HIGH	0.9256956502255805	1.0006343808257894	0.3549093269852257	1
s__Prevotella_jejuni	grade_category	HIGH	0.7287470606707298	1.2422985632106816	0.5574644210323239	1
s__Prevotella_histicola	grade_category	HIGH	0.45179537819233906	1.1706138709384641	0.6995356260411124	1
s__Prevotella_denticola	grade_category	HIGH	3.443008698548514	0	0	0
s__Prevotella_pallens	grade_category	HIGH	-1.330792313632622	1.0197526227388791	0.1918877920191368	1
s__Prevotella_nigrescens	grade_category	HIGH	0.2588000170603293	1.1787392107100503	0.8262164659327166	1
s__Prevotella_nanceiensis	grade_category	HIGH	-1.1312328608234845	1.1709538065524774	0.33400508836366943	1
s__Bacteroidaceae_unclassified_SGB1468	grade_category	HIGH	0.6036543834891376	0.9673608610613471	0.5326131884915923	1
s__Porphyromonas_endodontalis	grade_category	HIGH	0.9473976891373233	1.0153916792971327	0.35080102623724047	1
s__Porphyromonas_pasteri	grade_category	HIGH	-2.112622896651997	1.349177312938687	0.11738137698938376	1
LKT_f__Weeksellaceae	grade_category	HIGH	0.6607771274568103	0.904124988198181	0.46487254955755963	1
s__Capnocytophaga_leadbetteri	grade_category	HIGH	-0.27098891134427494	1.0502152961050268	0.7963823885934128	1
s__Capnocytophaga_sputigena	grade_category	HIGH	2.1567721663649495	1.3082723228033726	0.09923675199202125	1
s__Capnocytophaga_ochracea	grade_category	HIGH	3.6751222918253905	1.0760477782133204	6.369086343895504e-4	0.03757760942898347
s__Capnocytophaga_granulosa	grade_category	HIGH	2.956779351577449	0	0	0
s__Capnocytophaga_gingivalis	grade_category	HIGH	0.4309205986821312	0.9656447124727869	0.655415438239197	1
s__Haemophilus_parainfluenzae	grade_category	HIGH	-0.9623530280997306	0.8850253175869592	0.27687180223152946	1
s__Cardiobacterium_hominis	grade_category	HIGH	2.6112623763658074	0	0	0
s__Lautropia_mirabilis	grade_category	HIGH	1.2238417744164098	1.43049863212151	0.39225498762252947	1
s__Neisseria_sicca	grade_category	HIGH	1.849248154956184	1.4148717417421997	0.19121012183902175	1
s__Neisseria_subflava	grade_category	HIGH	-1.6013517067307725	1.2382237201853967	0.19591933561980288	1
s__Neisseria_sp_oral_taxon_014	grade_category	HIGH	2.8843326459940997	0	0	0
s__Neisseria_elongata	grade_category	HIGH	-0.015601442587838132	0.9928541859750879	0.987462773409928	1
s__Campylobacter_concisus	grade_category	HIGH	-0.6003153313927931	0.7930791296602135	0.44908428743882384	1
s__Streptococcus_salivarius	grade_category	HIGH	3.125856854474664	1.1605926665834692	0.0070742612253003575	0.34663880003971753
s__Streptococcus_infantis	grade_category	HIGH	-0.2984629063560176	1.18936328433303	0.8018578433968344	1
s__Streptococcus_mitis	grade_category	HIGH	-1.2771179524648375	1.4377345475289802	0.3743874962148988	1
s__Streptococcus_oralis	grade_category	HIGH	-0.15665153766017315	1.1452018764862972	0.891197220976118	1
s__Streptococcus_sanguinis	grade_category	HIGH	1.3958105766063849	1.290798324531311	0.27953945306911593	1
s__Streptococcus_gordonii	grade_category	HIGH	2.8908422693258293	0	0	0
s__Streptococcus_parasanguinis	grade_category	HIGH	0.6482067316232448	1.028153364332856	0.5283954712381276	1
s__Granulicatella_adiacens	grade_category	HIGH	2.413974111448918	0.7161742885316432	7.499059398997542e-4	0.043494544514185746
s__Streptococcus_sp_263_SSPC	grade_category	HIGH	0.3776905624157807	0.8100334159842018	0.6410255350064844	1
s__Abiotrophia_defectiva	grade_category	HIGH	0.05538595515547251	1.6144857342767522	0.9726334329953257	1
s__Abiotrophia_sp_HMSC24B09	grade_category	HIGH	0.6256622527219495	1.2832791634117036	0.6258688966893311	1
s__Lachnoanaerobaculum_orale	grade_category	HIGH	1.5028019491737135	0.8920665756987587	0.09206001554754774	1
s__Stomatobaculum_SGB5266	grade_category	HIGH	-1.0549277368075252	1.2343398694947776	0.3927453120483022	1
