feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	grade_category	HIGH	-0.061841926184270535	1.210688228507673	0.9592617916492848	1
s__Prevotella_oris	grade_category	HIGH	-1.0000433190671048	0.9894482319357807	0.31215617045238503	1
s__Prevotella_salivae	grade_category	HIGH	1.1857257520072344	1.0369360803988183	0.2528353189590231	1
s__Prevotella_oulorum	grade_category	HIGH	0.32806417930970755	1.1761148869397682	0.7802917237835961	1
LKT_p__Bacteroidetes	grade_category	HIGH	-0.0059675496891191115	0.7187079145557825	0.9933751097542819	1
s__Prevotella_melaninogenica	grade_category	HIGH	-0.2323742315857497	0.5519517431831712	0.6737517113148471	1
s__Prevotella_jejuni	grade_category	HIGH	0.17922727282930473	1.7121924569667253	0.916632065279456	1
s__Prevotella_histicola	grade_category	HIGH	-0.5437541624394913	1.6444112580682433	0.7408952850131356	1
s__Prevotella_denticola	grade_category	HIGH	1.7520740397503363	1.2367066100814592	0.15656313964828217	1
s__Prevotella_sp_A2879	grade_category	HIGH	1.0764081000087073	1.4819936132011469	0.4676399337025074	1
s__Prevotella_veroralis	grade_category	HIGH	-0.5808110791415105	1.107625520573452	0.6000177746850253	1
s__Prevotella_pallens	grade_category	HIGH	-1.8953356238221968	1.295029276551834	0.1433178871385855	1
s__Prevotella_nigrescens	grade_category	HIGH	0.3258919764782623	1.0722715808902692	0.7611837262153724	1
s__Prevotella_intermedia	grade_category	HIGH	0.3909448029054601	0	0	0
s__Prevotella_pleuritidis	grade_category	HIGH	0.28837026934130516	1.2095882733519117	0.811568030345578	1
s__Prevotella_nanceiensis	grade_category	HIGH	-1.2187011951626414	1.2383834675636654	0.3250631611448581	1
s__Prevotella_loescheii	grade_category	HIGH	0.9818022013183688	1.0787882280807068	0.36277122394194755	1
s__Prevotella_conceptionensis	grade_category	HIGH	-1.0083523572221176	1.1898175369498984	0.39672491840550966	1
s__Prevotella_shahii	grade_category	HIGH	-4.671975020657775	1.6239868249122653	0.004016597988717773	0.5542905224430527
s__Prevotella_oralis	grade_category	HIGH	1.0613456689468457	0	0	0
s__Alloprevotella_tannerae	grade_category	HIGH	-0.558559905098415	1.0755563065409008	0.6035363095922208	1
s__Alloprevotella_rava	grade_category	HIGH	-0.358758778506617	0.9097048830583812	0.6933091359172582	1
s__Prevotella_sp_oral_taxon_473	grade_category	HIGH	-2.7672798549804996	1.3001373917439336	0.03329963693082454	1
s__Alloprevotella_SGB1466	grade_category	HIGH	-2.2064994782658345	1.4289359797913062	0.12255064495755394	1
s__Bacteroidaceae_bacterium	grade_category	HIGH	-3.950558837178855	1.562130397490548	0.011440241077671005	1
