feature	metadata	value	log2fc	stderr	pval	qval
s__Barnesiella_intestinihominis	grade_category	HIGH	-1.724131414114849	1.8438937869883212	0.34976294362332105	1
s__Paraprevotella_clara	grade_category	HIGH	-0.9797039844649893	0	0	0
s__Bacteroides_caccae	grade_category	HIGH	-0.7882659110692349	2.1036342078487555	0.7078715094169968	1
s__Bacteroides_xylanisolvens	grade_category	HIGH	1.0279905344259106	2.0898309947864315	0.6227891357167885	1
s__Bacteroides_ovatus	grade_category	HIGH	0.8646055264897421	1.6362058238290693	0.5972071614633113	1
s__Bacteroides_finegoldii	grade_category	HIGH	0.46747990908262027	0	0	0
s__Bacteroides_thetaiotaomicron	grade_category	HIGH	-0.33364346133674117	1.74776877753833	0.8486064497386623	1
s__Bacteroides_nordii	grade_category	HIGH	-0.51597451621865	0	0	0
s__Bacteroides_fragilis	grade_category	HIGH	0.012192676237243738	0	0	0
s__Bacteroides_cellulosilyticus	grade_category	HIGH	-0.5434769597777385	1.7678783041908055	0.7585255100864703	1
s__Bacteroides_uniformis	grade_category	HIGH	0.5817613840750844	1.1411594475663385	0.610192630875892	1
s__Bacteroides_stercoris	grade_category	HIGH	-2.2444646802686408	2.058134494946606	0.2754781907013113	1
s__Phocaeicola_vulgatus	grade_category	HIGH	-0.150167274820876	1.6864904062899848	0.9290490988232798	1
s__Phocaeicola_massiliensis	grade_category	HIGH	-4.28641891111915	2.0872410654410376	0.04001160713562641	1
s__Parabacteroides_merdae	grade_category	HIGH	0.8786688422023112	1.8848355913511126	0.6410881120807617	1
s__Parabacteroides_distasonis	grade_category	HIGH	0.551044099565174	2.171587887031928	0.7996873966462185	1
s__Butyricimonas_faecihominis	grade_category	HIGH	-1.1767726192067316	1.3308268393328628	0.3765657391229604	1
s__Odoribacter_splanchnicus	grade_category	HIGH	2.380250854791266	1.5711608473290612	0.12978172537951194	1
s__Alistipes_shahii	grade_category	HIGH	1.582547979965133	1.455490381116548	0.27690628579298154	1
s__Alistipes_finegoldii	grade_category	HIGH	-0.9727373407295166	1.5485663971312067	0.5299034146511781	1
s__Alistipes_onderdonkii	grade_category	HIGH	0.26777027801832576	1.7453468550744158	0.8780674517996381	1
s__Alistipes_putredinis	grade_category	HIGH	1.174660834384139	1.8105949155825956	0.5164866330086391	1
s__Alistipes_communis	grade_category	HIGH	1.0966811067078797	1.4134832583366668	0.4378249742353581	1
s__Alistipes_indistinctus	grade_category	HIGH	0.22694766371885366	0	0	0
s__Alistipes_ihumii	grade_category	HIGH	-1.3960434181226888	1.4258126713978967	0.3275200963101839	1
s__Akkermansia_muciniphila	grade_category	HIGH	-0.9312894226893991	1.8371091087551232	0.6122025211350881	1
s__Escherichia_coli	grade_category	HIGH	-0.49517793425345435	1.768855250128308	0.7795215447588512	1
