feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	br_m_prior_treatment	Y	0.11337425182635363	1.2774497084287708	0.929280227839333	1
s__Prevotella_salivae	br_m_prior_treatment	Y	-0.22433708826194143	1.0775585180161578	0.8350804856616176	1
LKT_p__Bacteroidetes	br_m_prior_treatment	Y	-0.13867419030349692	1.4382560178810868	0.923188364007131	1
s__Prevotella_melaninogenica	br_m_prior_treatment	Y	-1.4357485921895128	0.9966442555092455	0.14970257684368404	1
s__Prevotella_jejuni	br_m_prior_treatment	Y	-1.487616437439132	1.8812811063248371	0.429091939253801	1
s__Prevotella_histicola	br_m_prior_treatment	Y	-1.8271659899110353	1.4866353705598216	0.21904882642050888	1
s__Prevotella_denticola	br_m_prior_treatment	Y	-1.2183354919807443	1.0967107389805313	0.26661157918353917	1
s__Prevotella_pallens	br_m_prior_treatment	Y	-0.2171457454514505	1.0006627008963525	0.8282068345644003	1
s__Prevotella_nigrescens	br_m_prior_treatment	Y	-0.7814103346466444	1.0772699840098674	0.46823019275477124	1
s__Prevotella_nanceiensis	br_m_prior_treatment	Y	1.3883332842976968	0	0	0
s__Porphyromonas_pasteri	br_m_prior_treatment	Y	-0.5534015468635675	1.365835327248452	0.6853493008400178	1
s__Capnocytophaga_leadbetteri	br_m_prior_treatment	Y	-1.8212954909384003	1.5223857418139324	0.2315627438689078	1
s__Capnocytophaga_sputigena	br_m_prior_treatment	Y	-0.7245544322939906	1.2973785497743906	0.5765195730844956	1
s__Capnocytophaga_ochracea	br_m_prior_treatment	Y	-1.3377063952568946	1.255880292512594	0.2868060737635639	1
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	2.0969636960752838	1.135506342887699	0.06478754987053707	1
s__Lautropia_mirabilis	br_m_prior_treatment	Y	0.3163319033402497	1.551630275797191	0.8384545659440472	1
s__Eikenella_corrodens	br_m_prior_treatment	Y	-0.5506503228651928	1.372021108748938	0.6881680088375604	1
s__Neisseria_sicca	br_m_prior_treatment	Y	2.5774544623819247	1.3154073275391862	0.05006192691381138	1
s__Neisseria_subflava	br_m_prior_treatment	Y	0.28281688274008754	1.8852234471676572	0.8807506518773723	1
s__Neisseria_sp_oral_taxon_014	br_m_prior_treatment	Y	-0.651211657274588	1.6291251655456374	0.6893547355713681	1
s__Streptococcus_salivarius	br_m_prior_treatment	Y	0.12816016299799593	1.3654689454128461	0.9252219700241395	1
s__Streptococcus_infantis	br_m_prior_treatment	Y	2.426246972094454	0	0	0
s__Streptococcus_mitis	br_m_prior_treatment	Y	0.42610065425769084	1.6946736906197934	0.8014776395569513	1
s__Streptococcus_oralis	br_m_prior_treatment	Y	1.3958180897075059	0	0	0
s__Streptococcus_sanguinis	br_m_prior_treatment	Y	1.5071115283993546	1.5952246915068127	0.34477916096764216	1
s__Streptococcus_parasanguinis	br_m_prior_treatment	Y	2.3454919223212616	0	0	0
s__Streptococcus_sp_A12	br_m_prior_treatment	Y	1.4630914218610047	0	0	0
s__Granulicatella_adiacens	br_m_prior_treatment	Y	0.4755313451840698	0	0	0
s__Streptococcus_sp_263_SSPC	br_m_prior_treatment	Y	3.0722327226204804	0	0	0
s__Abiotrophia_defectiva	br_m_prior_treatment	Y	-1.0288194389754404	1.4248712701797137	0.47026756088431065	1
s__Lachnoanaerobaculum_orale	br_m_prior_treatment	Y	1.6218021021699949	0	0	0
s__Oribacterium_sinus	br_m_prior_treatment	Y	1.0165678525466697	0	0	0
s__Veillonella_atypica	br_m_prior_treatment	Y	-0.07310150893553768	1.0484123201787896	0.9444118143225697	1
s__Veillonella_rogosae	br_m_prior_treatment	Y	2.4935039265214187	1.2470067035042809	0.045544399320193996	1
s__Veillonella_dispar	br_m_prior_treatment	Y	-0.5119262996154664	1.5185367739383566	0.7360278398752168	1
s__Veillonella_parvula	br_m_prior_treatment	Y	0.4543180228819365	1.1221029509309057	0.6855650781524958	1
s__Megasphaera_micronuciformis	br_m_prior_treatment	Y	1.4060554949689157	0.866004311354398	0.10445851871012715	1
s__Lancefieldella_parvula	br_m_prior_treatment	Y	1.5175728412293428	0.7640344653442428	0.0470042083358509	1
s__Actinomyces_oris	br_m_prior_treatment	Y	0.055853563564348896	1.9757041673392235	0.9774466433635457	1
s__Rothia_mucilaginosa	br_m_prior_treatment	Y	2.1802903712430872	1.6579538013862019	0.18849345882990107	1
s__Rothia_dentocariosa	br_m_prior_treatment	Y	-1.3732679134571142	1.4703674793104553	0.35032329797369044	1
s__Rothia_aeria	br_m_prior_treatment	Y	0.4570835593492946	1.7400456249122587	0.7927935233989913	1
