feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	br_m_prior_treatment	Y	-1.1201952294836324	1.0154712590582284	0.2699713903116998	1
s__Prevotella_oris	br_m_prior_treatment	Y	-0.578981532025414	1.1721481676512246	0.6213421274952968	1
s__Prevotella_salivae	br_m_prior_treatment	Y	-0.27866518521803363	1.322139754996735	0.8330680541385265	1
s__Prevotella_oulorum	br_m_prior_treatment	Y	-0.6794305022722732	1.2702624124808641	0.5927368985582732	1
LKT_p__Bacteroidetes	br_m_prior_treatment	Y	0.06568175503266618	1.0390872522482066	0.9495984773413999	1
s__Prevotella_melaninogenica	br_m_prior_treatment	Y	1.2997082543114085	1.2067718081366636	0.28147470641574635	1
s__Prevotella_jejuni	br_m_prior_treatment	Y	-5.119178955745068	1.6810386142531037	0.002324887569137632	0.27898650829651583
s__Prevotella_histicola	br_m_prior_treatment	Y	-2.4984359267945675	1.3953144599910043	0.07335913505309813	1
s__Prevotella_denticola	br_m_prior_treatment	Y	-0.25307405645695713	1.4819704868193395	0.8644057033832178	1
s__Prevotella_sp_A2879	br_m_prior_treatment	Y	0.8216277283703832	0	0	0
s__Prevotella_pallens	br_m_prior_treatment	Y	-0.45084123368198714	1.4450852741919904	0.7550538666014646	1
s__Prevotella_nigrescens	br_m_prior_treatment	Y	-0.7479187123486812	1.3833839287040441	0.5887527391085228	1
s__Prevotella_marshii	br_m_prior_treatment	Y	-1.0602865450332932	1.555209125353707	0.4953878046538887	1
s__Prevotella_nanceiensis	br_m_prior_treatment	Y	2.2980883799491933	1.9124997328842686	0.22951272442293805	1
s__Prevotella_loescheii	br_m_prior_treatment	Y	0.8364119185859681	0	0	0
s__Prevotella_conceptionensis	br_m_prior_treatment	Y	-1.943662242398865	1.1549371111053992	0.09239133714012902	1
s__Prevotella_oralis	br_m_prior_treatment	Y	-0.5967758186631796	1.9174696453550664	0.7556250878837745	1
s__Alloprevotella_tannerae	br_m_prior_treatment	Y	2.540536091283496	0	0	0
s__Bacteroidaceae_bacterium	br_m_prior_treatment	Y	3.4978545958805203	0	0	0
s__Bacteroidaceae_unclassified_SGB1468	br_m_prior_treatment	Y	-1.0645212065549106	1.398330134018351	0.4464896549423601	1
s__Porphyromonas_catoniae	br_m_prior_treatment	Y	1.7430090704085428	0	0	0
s__Porphyromonas_pasteri	br_m_prior_treatment	Y	2.1268059043863676	1.8858354647987574	0.2594132038775623	1
s__Tannerella_sp_oral_taxon_HOT_286	br_m_prior_treatment	Y	0.7916576042158883	1.6939882782508067	0.6402612360002646	1
s__Bacteroidetes_oral_taxon_274	br_m_prior_treatment	Y	-0.9431822363179841	1.7287514191897986	0.5853506834184607	1
LKT_f__Weeksellaceae	br_m_prior_treatment	Y	1.4779506436022372	1.3145973983566626	0.2609022994492853	1
s__Capnocytophaga_leadbetteri	br_m_prior_treatment	Y	-0.3424154603032792	1.5608922385827817	0.8263605749294682	1
s__Capnocytophaga_sputigena	br_m_prior_treatment	Y	-0.07332881085954618	1.324661028626652	0.9558543227613872	1
s__Capnocytophaga_ochracea	br_m_prior_treatment	Y	1.3848218272691595	1.4141875368531514	0.32746391553544285	1
s__Capnocytophaga_granulosa	br_m_prior_treatment	Y	-1.3697146711707984	1.6164443591511901	0.3967929832789851	1
s__Capnocytophaga_SGB2480	br_m_prior_treatment	Y	0.9262744296436648	0	0	0
s__Capnocytophaga_gingivalis	br_m_prior_treatment	Y	0.09606694320245547	1.5040429034577407	0.9490717690413587	1
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	2.0018723618224916	1.2615299874738508	0.11254419698737597	1
s__Haemophilus_haemolyticus	br_m_prior_treatment	Y	-2.528300186707969	1.5480262375481484	0.10241828387815423	1
s__Cardiobacterium_hominis	br_m_prior_treatment	Y	0.4062963547715148	1.6844112969280698	0.8093925881799142	1
s__Cardiobacterium_valvarum	br_m_prior_treatment	Y	-0.7670243997088576	1.04562943952963	0.4632213387539796	1
s__Lautropia_mirabilis	br_m_prior_treatment	Y	1.1158050356525238	1.8310664906905347	0.5422763054968888	1
s__Eikenella_corrodens	br_m_prior_treatment	Y	0.8887325020850859	1.7081881064805626	0.6028699046054873	1
s__Kingella_oralis	br_m_prior_treatment	Y	-1.2469156871677114	1.2802491285844808	0.3300747537013628	1
s__Neisseria_sicca	br_m_prior_treatment	Y	0.7590312281103626	1.6832360717251964	0.6520358960343047	1
s__Neisseria_subflava	br_m_prior_treatment	Y	1.8365238442276828	1.718410642769402	0.28518955581017746	1
s__Neisseria_sp_oral_taxon_014	br_m_prior_treatment	Y	-0.4261401485807913	1.572957234814674	0.7864552152190349	1
s__Neisseria_elongata	br_m_prior_treatment	Y	0.4811178433673683	1.422545506284655	0.7352056144803092	1
s__Campylobacter_concisus	br_m_prior_treatment	Y	-0.8030315860045651	1.218097596524956	0.5097348512015616	1
s__Campylobacter_gracilis	br_m_prior_treatment	Y	-2.46240039713515	1.4531470220778029	0.09016472391653221	1
s__Fusobacterium_pseudoperiodonticum	br_m_prior_treatment	Y	2.6264275084122284	0	0	0
s__Fusobacterium_nucleatum	br_m_prior_treatment	Y	-1.92824582533905	1.3316223475524716	0.14760514981520878	1
s__Leptotrichia_wadei	br_m_prior_treatment	Y	0.8214145979312154	0	0	0
s__Streptococcus_salivarius	br_m_prior_treatment	Y	1.7733420559655904	1.840425466466168	0.33527155825285687	1
s__Streptococcus_infantis	br_m_prior_treatment	Y	2.3634444319622245	1.3903750505677133	0.08915705961805853	1
s__Streptococcus_mitis	br_m_prior_treatment	Y	1.7390160029308097	1.8580953599796615	0.34931787236677286	1
s__Streptococcus_oralis	br_m_prior_treatment	Y	0.27513765201479146	1.5650813656844422	0.8604529029286947	1
s__Streptococcus_sanguinis	br_m_prior_treatment	Y	1.7880448325254528	1.3858313048325963	0.19696988416872507	1
s__Streptococcus_gordonii	br_m_prior_treatment	Y	-2.1459825049648997	1.346325148636303	0.11094598071424017	1
s__Streptococcus_anginosus	br_m_prior_treatment	Y	-2.335312243213835	1.1532411335192934	0.04286745791196598	1
s__Streptococcus_constellatus	br_m_prior_treatment	Y	-1.0497916181277305	1.8563801185351958	0.5717305517657482	1
s__Streptococcus_parasanguinis	br_m_prior_treatment	Y	-2.1541445375114314	1.8636477484670382	0.24773213697487775	1
s__Streptococcus_sp_A12	br_m_prior_treatment	Y	2.3204139664567576	0	0	0
s__Granulicatella_adiacens	br_m_prior_treatment	Y	1.9668530162604365	1.2932887652116523	0.12830625693589612	1
s__Streptococcus_sp_263_SSPC	br_m_prior_treatment	Y	1.3719402636201683	0.8817948393918585	0.11974382930854147	1
s__Abiotrophia_defectiva	br_m_prior_treatment	Y	0.2584708216697241	1.9538358590731635	0.8947557765724907	1
s__Abiotrophia_sp_HMSC24B09	br_m_prior_treatment	Y	1.976317933097723	0	0	0
s__Solobacterium_SGB6833	br_m_prior_treatment	Y	-0.6572802546247773	0.9614298798663719	0.49419704624280597	1
LKT_p__Firmicutes	br_m_prior_treatment	Y	1.1177841818074	1.299648453798225	0.38975235030935323	1
s__Gemella_sanguinis	br_m_prior_treatment	Y	4.256047278416597	0	0	0
s__Lachnoanaerobaculum_orale	br_m_prior_treatment	Y	-0.48736773560541524	1.3116566073069085	0.7102155892944506	1
s__Lachnoanaerobaculum_saburreum	br_m_prior_treatment	Y	-3.6552102086670715	1.2632347817947436	0.0038093552602193733	0.45331327596610543
s__Lachnoanaerobaculum_sp_ICM7	br_m_prior_treatment	Y	0.29700383951362674	1.5478142225947482	0.8478315244928815	1
s__Stomatobaculum_SGB5266	br_m_prior_treatment	Y	4.403080209469002	0	0	0
s__Stomatobaculum_longum	br_m_prior_treatment	Y	-2.8260831586186743	1.2169954824171523	0.02022321937428557	1
LKT_f__Lachnospiraceae	br_m_prior_treatment	Y	0.649555670458375	1.4303211529399291	0.6497332867510015	1
s__Oribacterium_parvum	br_m_prior_treatment	Y	1.9066326227751045	0	0	0
s__Oribacterium_asaccharolyticum	br_m_prior_treatment	Y	-0.6015131947623931	1.2647512231130766	0.6343607765416659	1
s__Oribacterium_sinus	br_m_prior_treatment	Y	-0.9658742488886899	1.3241591880834445	0.4657419916704269	1
s__Oribacterium_sp_oral_taxon_078	br_m_prior_treatment	Y	-0.9064526469789153	1.1034075070848892	0.41135978002242035	1
s__Eubacterium_sulci	br_m_prior_treatment	Y	0.2413153123941374	1.297546320663256	0.852461867071498	1
s__Mogibacterium_timidum	br_m_prior_treatment	Y	-1.1906715834271924	1.6474064899311003	0.46983030443336926	1
s__Mogibacterium_diversum	br_m_prior_treatment	Y	1.4110071288757355	1.0559729413368308	0.18147893378870034	1
s__Parvimonas_micra	br_m_prior_treatment	Y	-0.27297969712525916	0	0	0
s__Peptostreptococcus_SGB749	br_m_prior_treatment	Y	1.3713155532596915	1.5722995354326945	0.3831145788694133	1
s__Veillonella_atypica	br_m_prior_treatment	Y	-0.6598500084817321	1.004838269632886	0.511391296572378	1
s__Veillonella_rogosae	br_m_prior_treatment	Y	2.082560338242326	2.078694555493172	0.31641135078818655	1
s__Veillonella_dispar	br_m_prior_treatment	Y	-1.9160650513243163	1.3529535221131233	0.1567143006865601	1
s__Veillonella_parvula	br_m_prior_treatment	Y	-0.3874494026428722	0.9504790198163537	0.683540979030917	1
s__Anaeroglobus_geminatus	br_m_prior_treatment	Y	-2.812901282751229	1.637751753816387	0.08588087170077528	1
s__Megasphaera_micronuciformis	br_m_prior_treatment	Y	0.6649092710587508	1.62077862048779	0.6816294259226419	1
s__Dialister_invisus	br_m_prior_treatment	Y	-1.9470889572951355	1.084762915354104	0.07266258283077781	1
s__Selenomonas_noxia	br_m_prior_treatment	Y	-1.8407203062011932	1.1879117328299298	0.12125124389842126	1
s__Selenomonas_SGB5880	br_m_prior_treatment	Y	0.8782454372123917	1.242197422304953	0.4795605447265345	1
s__Selenomonas_artemidis	br_m_prior_treatment	Y	0.03811475469889433	1.079259751386098	0.971828047869583	1
s__Selenomonas_sputigena	br_m_prior_treatment	Y	0.13625543492555248	0	0	0
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	br_m_prior_treatment	Y	-0.38345639037234047	0.8265219464670697	0.6426909081974709	1
LKT_p__Candidatus_Saccharibacteria	br_m_prior_treatment	Y	0.057988168326123427	1.018129649916502	0.9545805768742919	1
s__Candidatus_Saccharibacteria_unclassified_SGB19850	br_m_prior_treatment	Y	0.8148300396753868	1.3044781978954572	0.5322069689782225	1
s__Candidatus_Nanoperiomorbus_periodonticus	br_m_prior_treatment	Y	-0.6968641530064653	1.3142104067915534	0.5959364536883119	1
s__Olsenella_sp_oral_taxon_807	br_m_prior_treatment	Y	-2.0511118568386264	1.2921472414589363	0.11242955462392991	1
s__Lancefieldella_parvula	br_m_prior_treatment	Y	1.6891817475765503	1.2261868221969745	0.16833015120069397	1
s__Lancefieldella_rimae	br_m_prior_treatment	Y	0.3573675947007864	1.338014400026476	0.7894014040409878	1
s__Corynebacterium_durum	br_m_prior_treatment	Y	0.8929502359428874	1.0005040885221477	0.3721248123336716	1
s__Corynebacterium_matruchotii	br_m_prior_treatment	Y	-0.8357347521710524	1.324075407105902	0.527920449291436	1
s__Cutibacterium_acnes	br_m_prior_treatment	Y	-2.908888357282518	1.687360044091724	0.08472072081793111	1
s__Pseudopropionibacterium_propionicum	br_m_prior_treatment	Y	2.3809790533293755	0	0	0
s__Actinomyces_graevenitzii	br_m_prior_treatment	Y	1.6396891872994166	1.7283889880207592	0.3427830587402832	1
s__Actinomyces_naeslundii	br_m_prior_treatment	Y	0.7548454812781822	1.321419389307883	0.5678380600026501	1
s__Actinomyces_johnsonii	br_m_prior_treatment	Y	1.3489952395610418	0	0	0
s__Actinomyces_oris	br_m_prior_treatment	Y	-0.5315855112812539	1.1208136322742146	0.6352964208692913	1
s__Actinomyces_israelii	br_m_prior_treatment	Y	0.3963442521567776	0	0	0
s__Actinomyces_sp_oral_taxon_448	br_m_prior_treatment	Y	-1.9449204079036777	1.3028217350211293	0.13547585671358	1
s__Actinomyces_dentalis	br_m_prior_treatment	Y	-3.1013749890838604	1.2266492451768274	0.011460633323428882	1
