feature	metadata	value	log2fc	stderr	pval	qval
s__Coprobacter_fastidiosus	br_m_prior_treatment	Y	-1.058060456739612	1.9093302663005942	0.5794743695854871	1
s__Bacteroides_caccae	br_m_prior_treatment	Y	0.8415705346866632	2.4212273366860786	0.7281555239716451	1
s__Bacteroides_xylanisolvens	br_m_prior_treatment	Y	-1.0039853866580242	1.8782047683079992	0.5929643701629492	1
s__Bacteroides_ovatus	br_m_prior_treatment	Y	2.188479221540654	2.2117214654660575	0.3224228081365062	1
s__Bacteroides_finegoldii	br_m_prior_treatment	Y	-1.859063509575794	2.1648534246706865	0.39047957207589196	1
s__Bacteroides_thetaiotaomicron	br_m_prior_treatment	Y	-0.10919404357960133	1.9641325530264164	0.9556652207228853	1
s__Bacteroides_fragilis	br_m_prior_treatment	Y	2.2551573194527217	0	0	0
s__Bacteroides_cellulosilyticus	br_m_prior_treatment	Y	-2.395358058346794	2.178858281824268	0.27160938638923693	1
s__Bacteroides_uniformis	br_m_prior_treatment	Y	1.6211000180363437	2.3366735246986314	0.4878302099712184	1
s__Bacteroides_stercoris	br_m_prior_treatment	Y	1.2730869893591288	2.4421942021198104	0.6021660285315673	1
s__Phocaeicola_dorei	br_m_prior_treatment	Y	0.130721385142704	2.3775698686243114	0.9561535282538196	1
s__Phocaeicola_vulgatus	br_m_prior_treatment	Y	-3.042800851245505	1.4183958984969354	0.0319335934477073	1
s__Phocaeicola_massiliensis	br_m_prior_treatment	Y	-1.8531217695299647	2.5993315597471742	0.47589375922673965	1
s__Parabacteroides_merdae	br_m_prior_treatment	Y	-4.390143508927766	1.7668523128168205	0.01296512593603678	1
s__Parabacteroides_goldsteinii	br_m_prior_treatment	Y	1.6922340342520565	0	0	0
s__Parabacteroides_distasonis	br_m_prior_treatment	Y	-3.4669319211032765	1.3140053423955131	0.008328700462900901	1
s__Odoribacter_splanchnicus	br_m_prior_treatment	Y	-1.0358918012417984	1.9219883861618994	0.5899083732472232	1
s__Alistipes_shahii	br_m_prior_treatment	Y	-3.108802358857085	2.273061149145804	0.17141473082767889	1
s__Alistipes_finegoldii	br_m_prior_treatment	Y	1.479895747363326	2.5169440657309177	0.5565502573532015	1
s__Alistipes_onderdonkii	br_m_prior_treatment	Y	-0.9312425790468232	2.5733589884889994	0.7174430338090589	1
s__Alistipes_putredinis	br_m_prior_treatment	Y	1.2375306961770258	2.4711622095064456	0.6165196723010669	1
s__Alistipes_communis	br_m_prior_treatment	Y	1.1830229838776782	0	0	0
s__Alistipes_indistinctus	br_m_prior_treatment	Y	0.3714448015503473	0	0	0
s__Alistipes_ihumii	br_m_prior_treatment	Y	0.3828262003084806	0	0	0
s__Akkermansia_muciniphila	br_m_prior_treatment	Y	-0.003987471102752216	2.400981910398097	0.9986749004008613	1
s__Escherichia_coli	br_m_prior_treatment	Y	-3.318011737321297	1.5476355319553419	0.03203904015273866	1
s__Klebsiella_pneumoniae	br_m_prior_treatment	Y	-3.5825644278185886	2.4600146223691555	0.14530463604229757	1
s__Haemophilus_parainfluenzae	br_m_prior_treatment	Y	1.0137434110231414	1.4678961540507987	0.4898108121750826	1
s__Parasutterella_excrementihominis	br_m_prior_treatment	Y	-0.048050612442894464	2.201780931694254	0.982588731593313	1
s__Bilophila_wadsworthia	br_m_prior_treatment	Y	-4.657690915314386	1.8402052024667095	0.011371467029451743	1
s__Limosilactobacillus_fermentum	br_m_prior_treatment	Y	-4.9851579210516235	0	0	0
s__Lactobacillus_gasseri	br_m_prior_treatment	Y	-2.9574856379897767	2.1037030187556387	0.15976941251727167	1
s__Enterococcus_faecium	br_m_prior_treatment	Y	1.6790026575974708	0	0	0
s__Lactococcus_lactis	br_m_prior_treatment	Y	0.8620045394789678	1.638029679021041	0.5987181565840273	1
s__Streptococcus_salivarius	br_m_prior_treatment	Y	-1.997469147414617	1.7223242616816217	0.24614975886463206	1
s__Streptococcus_thermophilus	br_m_prior_treatment	Y	6.007011246721064	1.7320136093683647	5.239102980699664e-4	0.09535167424873389
s__Streptococcus_gordonii	br_m_prior_treatment	Y	-2.789664330412945	1.6722921736582956	0.0952823766528531	1
s__Streptococcus_anginosus	br_m_prior_treatment	Y	-3.709588242744361	1.6909025390700592	0.02824612230531982	1
s__Streptococcus_parasanguinis	br_m_prior_treatment	Y	-3.9914046298033563	0.9681760236511642	3.746162738992304e-5	0.0068554778123559165
s__Streptococcus_sp_A12	br_m_prior_treatment	Y	1.643811407794227	0	0	0
s__Holdemania_filiformis	br_m_prior_treatment	Y	-1.922134294364231	1.5185789968351897	0.205604268714677	1
s__Clostridium_innocuum	br_m_prior_treatment	Y	-0.016700625505704697	1.8114337020690279	0.9926439579544327	1
s__Longicatena_caecimuris	br_m_prior_treatment	Y	1.1935812982380525	2.351147196799942	0.6116924277094654	1
s__Erysipelatoclostridium_ramosum	br_m_prior_treatment	Y	-0.7408847787343572	1.6630780784481796	0.6559656303379616	1
s__Clostridium_spiroforme	br_m_prior_treatment	Y	2.876604476283337	0	0	0
s__Massilimicrobiota_sp_An134	br_m_prior_treatment	Y	0.7093826657000395	2.4439254528864645	0.771614563093002	1
LKT_p__Firmicutes	br_m_prior_treatment	Y	0.5427272915618064	0.9671557843969364	0.5746897713346097	1
s__Turicibacter_sanguinis	br_m_prior_treatment	Y	-3.4630750086421704	1.6705845215142312	0.03817488145833718	1
LKT_f__Clostridia_unclassified	br_m_prior_treatment	Y	-1.79978933853882	1.1214795466286411	0.10853017809780298	1
s__Clostridia_bacterium	br_m_prior_treatment	Y	-0.37027736079571516	0.7188642993866269	0.6064925129096196	1
s__Ruminococcus_bromii	br_m_prior_treatment	Y	-2.318024004583502	2.1787352232158885	0.2873599459977681	1
s__Clostridium_leptum	br_m_prior_treatment	Y	0.41950431270872257	1.441833099154523	0.7710879833691683	1
s__Clostridia_unclassified_SGB4121	br_m_prior_treatment	Y	-0.013429132017210826	1.49634804440121	0.9928393976873163	1
s__Clostridia_unclassified_SGB14844	br_m_prior_treatment	Y	3.2012017925499237	0	0	0
s__Neglecta_timonensis	br_m_prior_treatment	Y	-2.1224946850691433	1.994783012806406	0.2873183532212858	1
s__Hydrogeniiclostidium_mannosilyticum	br_m_prior_treatment	Y	0.11147480486109854	1.7545067866807171	0.9493394837630152	1
s__Candidatus_Avimonas_narfia	br_m_prior_treatment	Y	2.435584642993203	0	0	0
s__Faecalibacterium_prausnitzii	br_m_prior_treatment	Y	3.053594769290787	2.1329940807808074	0.15225827014308488	1
s__Faecalibacterium_SGB15346	br_m_prior_treatment	Y	0.025660222473156802	0	0	0
s__Gemmiger_formicilis	br_m_prior_treatment	Y	1.9639394903456857	2.296552198963215	0.39245777774156604	1
s__Candidatus_Cibiobacter_qucibialis	br_m_prior_treatment	Y	1.1357089828467584	2.3134341253512996	0.6234836723117794	1
s__Ruthenibacterium_lactatiformans	br_m_prior_treatment	Y	0.5649551580005943	1.1253233146382988	0.6156407337054184	1
s__Bittarella_massiliensis	br_m_prior_treatment	Y	-0.2168158094309654	0	0	0
s__Anaerotruncus_rubiinfantis	br_m_prior_treatment	Y	0.978933176592988	1.3901258776918164	0.4813053045274928	1
s__Anaerotruncus_massiliensis	br_m_prior_treatment	Y	-1.6249805710799599	1.5285961193419397	0.2877573589966932	1
s__Anaerotruncus_colihominis	br_m_prior_treatment	Y	0.5271416648841752	1.8820684134092418	0.7794112599309547	1
s__Candidatus_Pararuminococcus_gallinarum	br_m_prior_treatment	Y	-1.1468837052527747	1.2982964487531365	0.3770332443599925	1
s__Phocea_massiliensis	br_m_prior_treatment	Y	-1.5657105202224486	1.5074925542271984	0.2989819314828085	1
s__Candidatus_Avimicrobium_caecorum	br_m_prior_treatment	Y	1.1153555537219308	0	0	0
s__Eubacterium_siraeum	br_m_prior_treatment	Y	1.1058484650953295	2.029062363971299	0.5857503053973484	1
s__Ruminococcaceae_bacterium	br_m_prior_treatment	Y	-0.06103910544992214	1.2399161442061837	0.9607372675005931	1
s__Ruminococcus_bicirculans	br_m_prior_treatment	Y	0.45692030540288064	2.2427613679706484	0.8385636149723971	1
s__Massilioclostridium_coli	br_m_prior_treatment	Y	-0.5974492357315524	1.1522139939937732	0.6040935508651335	1
s__Massilimaliae_timonensis	br_m_prior_treatment	Y	1.785892315783678	0	0	0
s__Massilimaliae_massiliensis	br_m_prior_treatment	Y	-0.46616505002490105	1.1863166968550791	0.6943552256892429	1
LKT_f__Ruminococcaceae	br_m_prior_treatment	Y	-0.10305415587790206	0.630637909563749	0.870193613555525	1
s__Oscillibacter_sp_ER4	br_m_prior_treatment	Y	1.5689955775645035	0	0	0
s__Dysosmobacter_welbionis	br_m_prior_treatment	Y	1.7764894728714673	1.7407037336523161	0.30746380098521653	1
