feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_oris	br_m_progression_overall	Y	0.743901014466313	0	0	0
s__Prevotella_salivae	br_m_progression_overall	Y	1.8892947051642945	0	0	0
s__Prevotella_oulorum	br_m_progression_overall	Y	-0.1338149779835779	0	0	0
LKT_p__Bacteroidetes	br_m_progression_overall	Y	2.2709898570755223	0	0	0
s__Prevotella_melaninogenica	br_m_progression_overall	Y	3.0815847504029397	0	0	0
s__Prevotella_jejuni	br_m_progression_overall	Y	3.6538363628018375	0	0	0
s__Prevotella_histicola	br_m_progression_overall	Y	2.706751493442783	0	0	0
s__Prevotella_denticola	br_m_progression_overall	Y	2.697908812729054	0	0	0
s__Prevotella_pallens	br_m_progression_overall	Y	0.4609753987841223	0	0	0
s__Prevotella_nigrescens	br_m_progression_overall	Y	2.0640152403511505	0	0	0
s__Prevotella_nanceiensis	br_m_progression_overall	Y	0.08835472701925307	0	0	0
s__Porphyromonas_pasteri	br_m_progression_overall	Y	0.1311367353940932	0	0	0
s__Tannerella_sp_oral_taxon_HOT_286	br_m_progression_overall	Y	-0.7640224018268356	0	0	0
s__Capnocytophaga_leadbetteri	br_m_progression_overall	Y	-2.656728398968942	1.7083521980519878	0.11991251259760059	1
s__Capnocytophaga_sputigena	br_m_progression_overall	Y	-0.01993340277876965	0	0	0
s__Capnocytophaga_ochracea	br_m_progression_overall	Y	1.040978099389408	0	0	0
s__Haemophilus_parainfluenzae	br_m_progression_overall	Y	2.2679734691070417	1.577688264131984	0.15056758822170266	1
s__Lautropia_mirabilis	br_m_progression_overall	Y	-2.601498098975794	2.1739740496640576	0.23144084140561316	1
s__Eikenella_corrodens	br_m_progression_overall	Y	-1.1357587968279788	0	0	0
s__Neisseria_sicca	br_m_progression_overall	Y	-2.574763304872529	1.7746203093228623	0.14681293418155766	1
s__Neisseria_subflava	br_m_progression_overall	Y	-0.7817748586401674	0	0	0
s__Neisseria_sp_oral_taxon_014	br_m_progression_overall	Y	-1.590855853365049	0	0	0
s__Streptococcus_salivarius	br_m_progression_overall	Y	-0.23559260207957278	0	0	0
s__Streptococcus_infantis	br_m_progression_overall	Y	1.0999479183127716	0	0	0
s__Streptococcus_mitis	br_m_progression_overall	Y	1.5285290525562902	0	0	0
s__Streptococcus_oralis	br_m_progression_overall	Y	-1.5774346200475768	0	0	0
s__Streptococcus_sanguinis	br_m_progression_overall	Y	-3.0842403051080347	2.3160304028600867	0.18296125651931477	1
s__Streptococcus_gordonii	br_m_progression_overall	Y	0.21034810245267366	0	0	0
s__Streptococcus_parasanguinis	br_m_progression_overall	Y	-0.9458944519689801	0	0	0
s__Streptococcus_sp_A12	br_m_progression_overall	Y	-0.2511279499009316	0	0	0
s__Granulicatella_adiacens	br_m_progression_overall	Y	-1.4128270207427227	0	0	0
s__Streptococcus_sp_263_SSPC	br_m_progression_overall	Y	-1.0647390973775679	0	0	0
s__Abiotrophia_defectiva	br_m_progression_overall	Y	1.4505294529724813	0	0	0
s__Abiotrophia_sp_HMSC24B09	br_m_progression_overall	Y	-0.10240296815550487	0	0	0
LKT_p__Firmicutes	br_m_progression_overall	Y	-0.37551351775649866	0	0	0
s__Lachnoanaerobaculum_orale	br_m_progression_overall	Y	0.9243343014962033	0	0	0
s__Lachnoanaerobaculum_sp_ICM7	br_m_progression_overall	Y	-0.19313506342591846	0	0	0
s__Oribacterium_sinus	br_m_progression_overall	Y	-0.07765560929354887	0	0	0
s__Peptostreptococcus_SGB749	br_m_progression_overall	Y	-0.3536057622265515	0	0	0
s__Veillonella_atypica	br_m_progression_overall	Y	0.623157836985119	0	0	0
s__Veillonella_rogosae	br_m_progression_overall	Y	-1.5790510710466068	2.086301183447568	0.44912996313476544	1
s__Veillonella_dispar	br_m_progression_overall	Y	0.4452446226804798	0	0	0
s__Veillonella_parvula	br_m_progression_overall	Y	1.931562762666684	1.45028442529497	0.18290915517458892	1
s__Megasphaera_micronuciformis	br_m_progression_overall	Y	1.4156947328800835	0	0	0
s__Lancefieldella_parvula	br_m_progression_overall	Y	1.2237786360833722	0	0	0
s__Actinomyces_graevenitzii	br_m_progression_overall	Y	-0.1696328811443133	0	0	0
s__Actinomyces_naeslundii	br_m_progression_overall	Y	0.47023214357652354	0	0	0
s__Actinomyces_oris	br_m_progression_overall	Y	-0.27794791278014197	0	0	0
s__Actinomyces_dentalis	br_m_progression_overall	Y	1.8884700976758122	0	0	0
s__Actinobaculum_sp_oral_taxon_183	br_m_progression_overall	Y	0.37435339516475774	0	0	0
s__Rothia_mucilaginosa	br_m_progression_overall	Y	-2.055708930374159	1.9426963627940028	0.2899765566536597	1
s__Rothia_dentocariosa	br_m_progression_overall	Y	-1.1202895515384488	2.331281274487627	0.6308386961533043	1
s__Rothia_aeria	br_m_progression_overall	Y	-2.909047826895362	1.950285430329745	0.13580375858774194	1
