feature	metadata	value	log2fc	stderr	pval	qval
s__Prevotella_maculosa	br_m_progression_overall	Y	0.09882408293956879	0	0	0
s__Prevotella_oris	br_m_progression_overall	Y	-1.1232247424908224	1.5013397697230775	0.45437073291651253	1
s__Prevotella_salivae	br_m_progression_overall	Y	0.7778219162958058	1.2857204728104341	0.545199135973887	1
s__Prevotella_oulorum	br_m_progression_overall	Y	-2.986030945023323	1.3371511788576633	0.0255404451064367	1
LKT_p__Bacteroidetes	br_m_progression_overall	Y	0.10642881465381637	1.4620836619251176	0.9419711904401262	1
s__Prevotella_melaninogenica	br_m_progression_overall	Y	-1.4570932080148253	0.9684070305746553	0.13241951113074693	1
s__Prevotella_jejuni	br_m_progression_overall	Y	5.530894598450399	0	0	0
s__Prevotella_histicola	br_m_progression_overall	Y	2.7773255800595154	0	0	0
s__Prevotella_denticola	br_m_progression_overall	Y	-1.3573502065312693	1.500669060695559	0.36573208576752553	1
s__Prevotella_sp_A2879	br_m_progression_overall	Y	1.6028349610976242	0	0	0
s__Prevotella_pallens	br_m_progression_overall	Y	-0.17931751862664136	1.8906380526674276	0.9244379630683486	1
s__Prevotella_nigrescens	br_m_progression_overall	Y	2.9816459000044517	0	0	0
s__Prevotella_marshii	br_m_progression_overall	Y	-2.055329206574321	0	0	0
s__Prevotella_nanceiensis	br_m_progression_overall	Y	-2.019651036857815	1.8105926738762852	0.2646516156879771	1
s__Prevotella_loescheii	br_m_progression_overall	Y	-2.551611141555388	1.318333496547258	0.05293113923379708	1
s__Prevotella_conceptionensis	br_m_progression_overall	Y	-0.4362062623058396	0	0	0
s__Prevotella_oralis	br_m_progression_overall	Y	-1.421267891464324	0	0	0
s__Alloprevotella_tannerae	br_m_progression_overall	Y	-1.2755559301821164	1.850886467785763	0.4907229214514481	1
s__Bacteroidaceae_bacterium	br_m_progression_overall	Y	-3.366558661328636	1.996173161573575	0.09169831800580364	1
s__Bacteroidaceae_unclassified_SGB1468	br_m_progression_overall	Y	5.173014119309967	0	0	0
s__Porphyromonas_catoniae	br_m_progression_overall	Y	-1.057323363370452	0	0	0
s__Porphyromonas_pasteri	br_m_progression_overall	Y	0.5487394001442127	2.269816914251754	0.8089700736407843	1
s__Tannerella_sp_oral_taxon_HOT_286	br_m_progression_overall	Y	1.6510951362265165	0	0	0
s__Bacteroidetes_unclassified_SGB1343	br_m_progression_overall	Y	-0.44987516434904395	0	0	0
s__Bacteroidetes_oral_taxon_274	br_m_progression_overall	Y	-2.5914670839616756	0	0	0
LKT_f__Weeksellaceae	br_m_progression_overall	Y	-0.8687198718268312	1.205533503059503	0.4711493084842487	1
s__Capnocytophaga_leadbetteri	br_m_progression_overall	Y	-3.3601194670388765	1.1006448892581668	0.0022666842960667143	0.26293537834373887
s__Capnocytophaga_sputigena	br_m_progression_overall	Y	0.8847991551534795	1.610466580889709	0.5827272183408394	1
s__Capnocytophaga_ochracea	br_m_progression_overall	Y	-1.9037874913526216	1.506688630866954	0.20638895050383618	1
s__Capnocytophaga_granulosa	br_m_progression_overall	Y	-2.2768675577678694	2.4186799021745453	0.34651637087858395	1
s__Capnocytophaga_SGB2480	br_m_progression_overall	Y	-3.958845212724013	1.9427311671885823	0.041572634912656226	1
s__Capnocytophaga_gingivalis	br_m_progression_overall	Y	-1.597305790339571	1.4361602484770561	0.26604966506406613	1
s__Haemophilus_parainfluenzae	br_m_progression_overall	Y	0.15937068906674923	1.7831447674484928	0.9287829437828099	1
s__Cardiobacterium_hominis	br_m_progression_overall	Y	-4.332088078475035	1.6190849635568632	0.007458677116581781	0.8353718370571594
s__Cardiobacterium_valvarum	br_m_progression_overall	Y	-3.4940202505365967	1.0870662590565925	0.0013082031131600594	0.15436796735288702
s__Lautropia_mirabilis	br_m_progression_overall	Y	-2.5444155430116915	2.223750313272355	0.2525406220983834	1
s__Eikenella_corrodens	br_m_progression_overall	Y	-2.4376976973125313	1.3685718076378497	0.07488007082622099	1
s__Kingella_oralis	br_m_progression_overall	Y	-2.2819243596088756	0.9664171389779493	0.018214876350086017	1
s__Neisseria_sicca	br_m_progression_overall	Y	-5.818655833744138	1.3498612683420488	1.628428120263647e-5	0.001986682306721649
s__Neisseria_subflava	br_m_progression_overall	Y	-3.1551983395728493	1.0922213314548361	0.003867269322792092	0.4408687027982985
s__Neisseria_sp_oral_taxon_014	br_m_progression_overall	Y	-3.409208336090709	2.292793535497128	0.1370350458769877	1
s__Neisseria_elongata	br_m_progression_overall	Y	-1.5769582101409094	2.547430813144495	0.5358908771750461	1
s__Campylobacter_concisus	br_m_progression_overall	Y	0.608269784986994	1.1024555990325904	0.5811259206774526	1
s__Campylobacter_SGB19317	br_m_progression_overall	Y	-0.37355387063203216	0	0	0
s__Campylobacter_gracilis	br_m_progression_overall	Y	-1.250570287541863	1.5559835509397681	0.42156048734905405	1
s__Fusobacterium_pseudoperiodonticum	br_m_progression_overall	Y	-1.9648034033412238	2.1015503966603495	0.3498241567849387	1
s__Fusobacterium_nucleatum	br_m_progression_overall	Y	-1.8125594712484427	1.3661436058347554	0.18458450605445337	1
s__Leptotrichia_wadei	br_m_progression_overall	Y	1.5142947137504255	0	0	0
s__Leptotrichia_sp_oral_taxon_215	br_m_progression_overall	Y	-0.5100454601751008	0	0	0
s__Streptococcus_salivarius	br_m_progression_overall	Y	1.4516480831492578	0	0	0
s__Streptococcus_infantis	br_m_progression_overall	Y	-0.6639694279456345	1.9027636491659123	0.7271268263043132	1
s__Streptococcus_mitis	br_m_progression_overall	Y	2.359848194554457	0	0	0
s__Streptococcus_oralis	br_m_progression_overall	Y	-4.53386907226692	2.005928779295907	0.023806711826015736	1
s__Streptococcus_sanguinis	br_m_progression_overall	Y	-4.307959894246963	1.3428452039886938	0.001336225750927082	0.15633841285846858
s__Streptococcus_gordonii	br_m_progression_overall	Y	-4.149967886717734	1.1969890417625029	5.262906377559221e-4	0.06315487653071065
s__Streptococcus_anginosus	br_m_progression_overall	Y	-2.7400254759484337	0	0	0
s__Streptococcus_parasanguinis	br_m_progression_overall	Y	1.9710382557958686	0	0	0
s__Streptococcus_sp_A12	br_m_progression_overall	Y	-1.7869101280307609	2.2089495246158295	0.4185490083887246	1
s__Granulicatella_adiacens	br_m_progression_overall	Y	-5.52510236361133	1.4928359472642294	2.1468541863165557e-4	0.025976935654430322
s__Streptococcus_sp_263_SSPC	br_m_progression_overall	Y	0.6917501093935583	1.2261466200504187	0.5726412336595372	1
s__Abiotrophia_defectiva	br_m_progression_overall	Y	0.6461497649754266	1.836572324136352	0.7249704448508623	1
s__Abiotrophia_sp_HMSC24B09	br_m_progression_overall	Y	-5.91786396740046	2.0514605413191163	0.003917772624489748	0.4427083065673415
s__Solobacterium_SGB6833	br_m_progression_overall	Y	-0.46320427393389374	0	0	0
LKT_p__Firmicutes	br_m_progression_overall	Y	-1.277460800583015	1.9595697309329003	0.5144599915965054	1
s__Gemella_sanguinis	br_m_progression_overall	Y	-1.7650609079901642	2.2806696184970465	0.438976785099064	1
s__Lachnoanaerobaculum_orale	br_m_progression_overall	Y	0.7675892771708177	1.9789019864586563	0.6981000619429047	1
s__Lachnoanaerobaculum_saburreum	br_m_progression_overall	Y	-1.5450393407663041	0	0	0
s__Lachnoanaerobaculum_sp_ICM7	br_m_progression_overall	Y	-0.014532016437124984	1.623023746168559	0.992856101669207	1
s__Lachnospiraceae_bacterium_oral_taxon_096	br_m_progression_overall	Y	0.23315832244212764	0	0	0
s__Stomatobaculum_SGB5266	br_m_progression_overall	Y	-1.432170601772018	1.7382582456568347	0.409989962255643	1
s__Stomatobaculum_longum	br_m_progression_overall	Y	1.5552027728036086	0	0	0
LKT_f__Lachnospiraceae	br_m_progression_overall	Y	0.817518033734526	0	0	0
s__Oribacterium_parvum	br_m_progression_overall	Y	-2.6006196231920327	0	0	0
s__Oribacterium_asaccharolyticum	br_m_progression_overall	Y	2.033469130923835	0	0	0
s__Oribacterium_sinus	br_m_progression_overall	Y	0.39701353594520694	2.107632858031357	0.8505870859018185	1
s__Oribacterium_sp_oral_taxon_078	br_m_progression_overall	Y	-1.49533886274159	0	0	0
s__Eubacterium_sulci	br_m_progression_overall	Y	-2.342008261897708	1.472418669273662	0.11170281693625793	1
s__Mogibacterium_timidum	br_m_progression_overall	Y	-0.7266287619286498	0	0	0
s__Mogibacterium_diversum	br_m_progression_overall	Y	-0.9534679009251864	0	0	0
s__Parvimonas_micra	br_m_progression_overall	Y	-3.668202897701377	1.435371006941292	0.010601152835521205	1
s__Peptostreptococcus_SGB749	br_m_progression_overall	Y	-2.7532089380101077	1.6473043853669602	0.09465415318252995	1
s__Veillonella_atypica	br_m_progression_overall	Y	-0.05445261693813008	0.8802536852169763	0.9506742096810535	1
s__Veillonella_rogosae	br_m_progression_overall	Y	-1.5062947207329827	2.163721863318809	0.48632918214088744	1
s__Veillonella_dispar	br_m_progression_overall	Y	0.088095391177476	1.7586557594789674	0.9600487092002539	1
s__Veillonella_parvula	br_m_progression_overall	Y	0.29281190746629737	0.811171752738559	0.7181188879339684	1
s__Anaeroglobus_geminatus	br_m_progression_overall	Y	1.265505270261393	0	0	0
s__Megasphaera_micronuciformis	br_m_progression_overall	Y	3.2449333919057173	0	0	0
s__Dialister_invisus	br_m_progression_overall	Y	-0.32992674447896486	0	0	0
s__Selenomonas_noxia	br_m_progression_overall	Y	-1.1041408457741075	1.6923182995207564	0.5141155782667939	1
s__Selenomonas_SGB5880	br_m_progression_overall	Y	-0.6657985000403904	1.532813943415833	0.6640244651111764	1
s__Selenomonas_artemidis	br_m_progression_overall	Y	-0.34354409296982646	0	0	0
s__Selenomonas_sputigena	br_m_progression_overall	Y	-3.082939659735354	1.8136844502887923	0.08916452305066411	1
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	br_m_progression_overall	Y	-2.0274037595095176	1.0144208468409064	0.04565354462140435	1
LKT_p__Candidatus_Saccharibacteria	br_m_progression_overall	Y	0.6819689194229595	0	0	0
s__Candidatus_Saccharibacteria_unclassified_SGB19850	br_m_progression_overall	Y	-0.8320761476198285	0	0	0
s__Candidatus_Nanoperiomorbus_periodonticus	br_m_progression_overall	Y	-3.587947864162035	1.6621259726620328	0.030877347699380664	1
s__Olsenella_sp_oral_taxon_807	br_m_progression_overall	Y	-2.492068763883349	2.2118351282898043	0.25987046588853924	1
s__Olsenella_uli	br_m_progression_overall	Y	-2.5664528543708083	0	0	0
s__Lancefieldella_parvula	br_m_progression_overall	Y	2.5847425075270998	0	0	0
s__Lancefieldella_rimae	br_m_progression_overall	Y	0.21562070936815458	0	0	0
s__Corynebacterium_durum	br_m_progression_overall	Y	-0.8948215411932876	1.251547580981823	0.4746263134220817	1
s__Corynebacterium_matruchotii	br_m_progression_overall	Y	-0.27596857252110685	0	0	0
s__Cutibacterium_acnes	br_m_progression_overall	Y	0.2371921737702083	0	0	0
s__Pseudopropionibacterium_propionicum	br_m_progression_overall	Y	-4.204218087965883	1.4235556949785269	0.0031437404158299632	0.3615301478204458
s__Actinomyces_graevenitzii	br_m_progression_overall	Y	0.030313137747064456	0	0	0
s__Actinomyces_naeslundii	br_m_progression_overall	Y	-3.029704027590345	1.4068731297194608	0.03127925104387357	1
s__Actinomyces_johnsonii	br_m_progression_overall	Y	-2.784973875684558	1.4245442064184242	0.05058390279811031	1
s__Actinomyces_oris	br_m_progression_overall	Y	-1.9628503592419286	0.9007425172775675	0.02932074928674421	1
s__Actinomyces_massiliensis	br_m_progression_overall	Y	1.4611484522965368	0	0	0
s__Actinomyces_sp_oral_taxon_448	br_m_progression_overall	Y	0.8433663475975357	0	0	0
