feature	metadata	value	log2fc	stderr	pval	qval
s__Barnesiella_intestinihominis	br_m_progression_overall	Y	1.7241463643518877	0	0	0
s__Bacteroides_caccae	br_m_progression_overall	Y	1.42347417378492	2.2814016798533565	0.5326622658171144	1
s__Bacteroides_xylanisolvens	br_m_progression_overall	Y	3.3749299126152286	2.436736638214918	0.16604623474338895	1
s__Bacteroides_ovatus	br_m_progression_overall	Y	3.2618207184084147	2.557196772512621	0.20211624645826895	1
s__Bacteroides_thetaiotaomicron	br_m_progression_overall	Y	1.9301807562611497	2.64203132783365	0.4650437083457105	1
s__Bacteroides_salyersiae	br_m_progression_overall	Y	-0.9164914315668471	0	0	0
s__Bacteroides_fragilis	br_m_progression_overall	Y	0.5245771934909202	0	0	0
s__Bacteroides_cellulosilyticus	br_m_progression_overall	Y	-3.3177522545793723	3.1520819631583255	0.29254315421270005	1
s__Bacteroides_uniformis	br_m_progression_overall	Y	2.017595923127613	2.428484164681391	0.4060839984634275	1
s__Bacteroides_stercoris	br_m_progression_overall	Y	3.6974230469680185	2.882331864108579	0.19956607736492005	1
s__Phocaeicola_dorei	br_m_progression_overall	Y	4.772874512419236	0	0	0
s__Phocaeicola_vulgatus	br_m_progression_overall	Y	-1.2798794220353755	1.6530191347752696	0.4387724652051308	1
s__Phocaeicola_massiliensis	br_m_progression_overall	Y	0.9609612637534775	0	0	0
s__Parabacteroides_merdae	br_m_progression_overall	Y	4.643027297595283	0	0	0
s__Parabacteroides_goldsteinii	br_m_progression_overall	Y	-3.3536653752007917	2.693716365456665	0.21313331949814418	1
s__Parabacteroides_distasonis	br_m_progression_overall	Y	3.390012453087289	2.704257465664655	0.20999344312647358	1
s__Odoribacter_splanchnicus	br_m_progression_overall	Y	-2.6119028288774357	2.1873149691930034	0.2324334845176362	1
s__Alistipes_shahii	br_m_progression_overall	Y	-7.896433027029802	1.3935369219144123	1.4577064158170687e-8	2.7842192542106013e-6
s__Alistipes_finegoldii	br_m_progression_overall	Y	-2.1676663715484183	2.454956914467005	0.37724960522202233	1
s__Alistipes_onderdonkii	br_m_progression_overall	Y	0.44761055027471186	2.2942533644639913	0.8453140760665669	1
s__Alistipes_putredinis	br_m_progression_overall	Y	-1.2571896380832255	2.563165816801813	0.6237920519983915	1
s__Alistipes_indistinctus	br_m_progression_overall	Y	-0.8649290721057057	0	0	0
s__Alistipes_ihumii	br_m_progression_overall	Y	-3.599043223932447	0	0	0
s__Akkermansia_muciniphila	br_m_progression_overall	Y	-3.5118006080258892	2.4665521939340116	0.15451334551910276	1
