Genus,dataset,tumor_category,Abundance,prop
Achromobacter,MDACC1,Glioma,75,4.876462938881664
Achromobacter,MDACC1,BrM,41,9.425287356321839
Acinetobacter,MDACC1,Glioma,61,3.966189856957087
Acinetobacter,MDACC2,Glioma,33,13.865546218487395
Aggregatibacter,MDACC1,Glioma,36,2.340702210663199
Aggregatibacter,MDACC1,BrM,5,1.1494252873563218
Aggregatibacter,UTH,BrM,9,4.225352112676056
Alloprevotella,MDACC1,Glioma,91,5.9167750325097535
Alloprevotella,MDACC1,BrM,11,2.528735632183908
Alloprevotella,MDACC2,Glioma,39,16.386554621848738
Alloprevotella,UTH,BrM,17,7.981220657276995
Anaerococcus,MDACC1,Glioma,30,1.950585175552666
Anaerococcus,MDACC1,BrM,24,5.517241379310345
Anaerococcus,MDACC2,Glioma,23,9.663865546218489
Anaerococcus,UTH,BrM,49,23.004694835680752
Aquabacterium,MDACC1,Glioma,47,3.05591677503251
Aquabacterium,MDACC1,BrM,28,6.436781609195402
Aquabacterium,UTH,BrM,7,3.286384976525822
Bacillus,MDACC1,Glioma,63,4.096228868660598
Capnocytophaga,MDACC1,Glioma,47,3.05591677503251
Capnocytophaga,UTH,BrM,10,4.694835680751173
Cutibacterium,MDACC1,Glioma,93,6.046814044213264
Cutibacterium,MDACC1,BrM,49,11.264367816091953
Cutibacterium,UTH,BrM,52,24.413145539906104
Devosia,MDACC1,Glioma,21,1.3654096228868662
Devosia,MDACC2,Glioma,15,6.302521008403361
Enterococcus,MDACC1,BrM,11,2.528735632183908
Enterococcus,MDACC2,Glioma,19,7.9831932773109235
Enterococcus,UTH,Normal Brain,2,50
Ferruginibacter,MDACC1,Glioma,59,3.836150845253576
Ferruginibacter,MDACC1,BrM,13,2.9885057471264367
Finegoldia,MDACC1,Glioma,26,1.6905071521456438
Finegoldia,UTH,BrM,6,2.8169014084507045
Flavobacterium,MDACC1,BrM,13,2.9885057471264367
Fusobacterium,MDACC1,Glioma,117,7.607282184655396
Fusobacterium,MDACC1,BrM,37,8.505747126436782
Gemella,MDACC1,Glioma,9,0.5851755526657998
Gemella,MDACC1,BrM,29,6.666666666666667
Gemella,UTH,BrM,2,0.9389671361502347
Kocuria,MDACC1,Glioma,17,1.1053315994798438
Kocuria,UTH,BrM,2,0.9389671361502347
LKT__Acidimicrobiia,MDACC1,Glioma,28,1.8205461638491547
LKT__Acidimicrobiia,UTH,BrM,17,7.981220657276995
LKT__Saccharimonadales,MDACC1,Glioma,11,0.7152145643693107
LKT__Saccharimonadales,UTH,BrM,11,5.164319248826291
LKT__Solirubrobacterales,MDACC1,Glioma,21,1.3654096228868662
LKT__Solirubrobacterales,MDACC2,Glioma,15,6.302521008403361
LKT__Sphingomonadaceae,MDACC1,Glioma,31,2.0156046814044215
LKT__Sphingomonadaceae,UTH,BrM,17,7.981220657276995
Leptotrichia,MDACC1,Glioma,59,3.836150845253576
Leuconostoc,MDACC1,Glioma,22,1.4304291287386215
Microbacterium,MDACC1,Glioma,49,3.1859557867360206
Moraxella,MDACC1,Glioma,76,4.9414824447334205
Moraxella,MDACC1,BrM,54,12.413793103448276
Moraxella,MDACC2,Glioma,26,10.92436974789916
Nocardioides,MDACC1,Glioma,103,6.697009102730819
Nocardioides,MDACC2,Glioma,45,18.907563025210084
Nocardioides,UTH,Normal Brain,2,50
Porphyromonas,MDACC1,Glioma,17,1.1053315994798438
Porphyromonas,MDACC2,Glioma,4,1.680672268907563
Prevotella_7,MDACC1,Glioma,123,7.99739921976593
Prevotella_7,MDACC1,BrM,55,12.643678160919542
Rhizobacter,MDACC1,BrM,8,1.839080459770115
Sphingobacterium,MDACC1,BrM,15,3.4482758620689653
Sphingobacterium,UTH,BrM,4,1.8779342723004695
Sphingomonas,MDACC1,Glioma,133,8.647594278283485
Sphingomonas,MDACC2,Glioma,13,5.46218487394958
Sphingomonas,UTH,BrM,9,4.225352112676056
Staphylococcus,MDACC1,Glioma,40,2.600780234070221
Staphylococcus,MDACC1,BrM,6,1.3793103448275863
Staphylococcus,MDACC2,Glioma,3,1.2605042016806722
Staphylococcus,UTH,BrM,1,0.4694835680751174
Variovorax,MDACC1,Glioma,19,1.2353706111833551
Veillonella,MDACC1,Glioma,14,0.9102730819245773
Veillonella,MDACC1,BrM,36,8.275862068965518
Veillonella,MDACC2,Glioma,3,1.2605042016806722
