Species,log2fc,qval,groupings,sample_type,method
Alistipes putredinis,-2.323768135869451,0,HMP,Stool,Maaslin2
Lacrimispora celerecrescens,3.7303189399414354,0,MDACC,Stool,Maaslin2
Alistipes shahii,-2.9161277167465185,0,HMP,Stool,Maaslin2
Blautia massiliensis,3.7207209995902026,0,MDACC,Stool,Maaslin2
Dorea longicatena,2.233155025564463,0,MDACC,Stool,Maaslin2
Anaerobutyricum hallii,4.274980463186815,0,MDACC,Stool,Maaslin2
Barnesiella intestinihominis,-2.412758857202776,0,HMP,Stool,Maaslin2
Oscillibacter sp ER4,-3.4354114951011234,0,HMP,Stool,Maaslin2
Alistipes communis,-2.70389814269442,0,HMP,Stool,Maaslin2
Evtepia gabavorous,2.2078455126809966,0,MDACC,Stool,Maaslin2
Dorea sp AF36 15AT,3.0689754431198026,0,MDACC,Stool,Maaslin2
Adlercreutzia equolifaciens,3.175638454007655,0,MDACC,Stool,Maaslin2
Enterocloster citroniae,11.119188740536666,4.9375939847192996e-27,MDACC,Stool,Maaslin2
Enterocloster bolteae,9.462312057242796,4.36981232204306e-23,MDACC,Stool,Maaslin2
Streptococcus thermophilus,8.710694830089126,1.82464139095423e-21,MDACC,Stool,Maaslin2
Enterocloster lavalensis,10.689991192948574,3.5759896402189495e-19,MDACC,Stool,Maaslin2
Blautia wexlerae,3.243138034615015,5.52351274606202e-19,MDACC,Stool,Maaslin2
Streptococcus salivarius,8.435147760258044,3.2343016688959197e-18,MDACC,Stool,Maaslin2
Hungatella hathewayi,8.32011908113255,2.9127129292113704e-15,MDACC,Stool,Maaslin2
Clostridium innocuum,6.825097885762947,2.40262266362316e-11,MDACC,Stool,Maaslin2
Firmicutes bacterium AF16 15,-3.8190603146068276,7.08661645819013e-10,HMP,Stool,Maaslin2
Blautia faecis,3.4938406767837824,1.50926089037377e-9,MDACC,Stool,Maaslin2
Bacteroides ovatus,-2.8977150262919316,1.91774436063636e-9,HMP,Stool,Maaslin2
Clostridium symbiosum,5.800991984290395,4.88183277468884e-8,MDACC,Stool,Maaslin2
Blautia obeum,3.658430334238234,5.16568718787911e-8,MDACC,Stool,Maaslin2
Eggerthella lenta,4.380079621759833,3.19264255003985e-7,MDACC,Stool,Maaslin2
Clostridium sp AM22 11AC,5.007341280184726,3.2671897758968e-7,MDACC,Stool,Maaslin2
Phocaeicola vulgatus,-2.086533306645041,3.61803088325014e-6,HMP,Stool,Maaslin2
Haemophilus parainfluenzae,-4.919960318460737,8.40104105151087e-6,HMP,Stool,Maaslin2
Lachnospiraceae bacterium NSJ 29,4.600556542090108,1.76674998367099e-5,MDACC,Stool,Maaslin2
Blautia caecimuris,5.100982143092076,2.74405297645623e-5,MDACC,Stool,Maaslin2
Escherichia coli,3.7030048358082475,2.94943619542556e-5,MDACC,Stool,Maaslin2
Streptococcus parasanguinis,4.036910163516875,3.46807991333533e-5,MDACC,Stool,Maaslin2
Anaerostipes hadrus,2.844616866465965,5.17053324874542e-5,MDACC,Stool,Maaslin2
Clostridium sp AF34 10BH,-2.141965809408842,6.25945080686851e-5,HMP,Stool,Maaslin2
Ruminococcus bicirculans,-3.114616996130093,1.2351045920119e-4,HMP,Stool,Maaslin2
Eisenbergiella massiliensis,4.185669664825129,2.2151039362266e-4,MDACC,Stool,Maaslin2
Clostridium sp AF36 4,-3.111810068076215,2.350260539617e-4,HMP,Stool,Maaslin2
Roseburia inulinivorans,-2.2534029669466267,2.6537968704453e-4,HMP,Stool,Maaslin2
Candidatus Borkfalkia ceftriaxoniphila,3.6872583822134386,4.6018184738768e-4,MDACC,Stool,Maaslin2
Bifidobacterium longum,2.939065124441701,4.6095223438133e-4,MDACC,Stool,Maaslin2
Ruminococcus gnavus,3.2338170033768288,6.9914224955497e-4,MDACC,Stool,Maaslin2
Dialister invisus,-3.4057353767293326,8.4245699344933e-4,HMP,Stool,Maaslin2
Blautia SGB4815,3.869420697410276,8.4245699344933e-4,MDACC,Stool,Maaslin2
Longicatena caecimuris,3.6446133354955808,9.3541001956248e-4,MDACC,Stool,Maaslin2
Intestinimonas butyriciproducens,2.864100008655147,0.0013443679146317,MDACC,Stool,Maaslin2
Bifidobacterium adolescentis,2.9352516427901207,0.00851665158799252,MDACC,Stool,Maaslin2
Clostridium sp AT4,3.15207536612497,0.0177071291677557,MDACC,Stool,Maaslin2
Phocaeicola dorei,-2.709076317865111,0.0261806983823055,HMP,Stool,Maaslin2
Alistipes indistinctus,-2.3100788919528346,0.0296492067274497,HMP,Stool,Maaslin2
Eubacterium ventriosum,-2.2580414866047933,0.030860834051072,HMP,Stool,Maaslin2
Anaerotruncus colihominis,2.102953270203438,0.0424579186000823,MDACC,Stool,Maaslin2
Blautia wexlerae,2.4721449736979473,2.540982183667213e-8,MDACC,Stool,AncomBC
LKT p  Firmicutes,2.021321744500597,1.6571850814045226e-6,MDACC,Stool,AncomBC
Phocaeicola dorei,-2.9663516533075382,0.01762624686901795,HMP,Stool,AncomBC
Enterocloster lavalensis,3.5813126822667076,2.036961578181064e-5,MDACC,Stool,AncomBC
Streptococcus thermophilus,6.277846814928127,1.7024758400468187e-31,MDACC,Stool,AncomBC
Enterocloster bolteae,7.707874658483862,3.280535445465694e-36,MDACC,Stool,AncomBC
Hungatella hathewayi,6.716190282185378,1.956371973055939e-23,MDACC,Stool,AncomBC
Enterocloster citroniae,5.151252413229361,1.5537926960401163e-20,MDACC,Stool,AncomBC
Bacteroides fragilis,-3.0421065244748164,0.00917393034163514,HMP,Stool,AncomBC
Escherichia coli,3.877546017467707,2.866768604668874e-7,MDACC,Stool,AncomBC
Bifidobacterium longum,2.572564905584432,0.03485244073175482,MDACC,Stool,AncomBC
Blautia obeum,2.792163108090757,7.587728942568787e-6,MDACC,Stool,AncomBC
Eisenbergiella massiliensis,3.531248019924222,1.5320761418591245e-5,MDACC,Stool,AncomBC
Blautia caecimuris,3.4039633599841057,1.6570875862934227e-4,MDACC,Stool,AncomBC
Streptococcus salivarius,6.849479721738602,1.7623436301497572e-43,MDACC,Stool,AncomBC
Eubacterium rectale,-2.789206769127301,3.643245497744802e-4,HMP,Stool,AncomBC
Anaerostipes hadrus,2.4138797170938355,0.00161506261397166,MDACC,Stool,AncomBC
Alistipes shahii,-2.5779769973470654,0.02769466766302304,HMP,Stool,AncomBC
Clostridium innocuum,6.490236286892603,8.175490752235963e-26,MDACC,Stool,AncomBC
Eggerthella lenta,4.51438525479987,3.196475753973227e-17,MDACC,Stool,AncomBC
Blautia massiliensis,2.2981575918891832,0.02043776160120087,MDACC,Stool,AncomBC
Anaerobutyricum hallii,3.115947298090661,2.2529061552159723e-6,MDACC,Stool,AncomBC
Blautia faecis,3.5350914935372755,1.6063796953467238e-12,MDACC,Stool,AncomBC
Clostridium symbiosum,4.051710240871481,5.977302049020333e-8,MDACC,Stool,AncomBC
LKT f  Lachnospiraceae,2.578977675580056,2.979075526225847e-5,MDACC,Stool,AncomBC
Oscillibacter sp ER4,-3.8300493753745704,8.76879979291351e-7,HMP,Stool,AncomBC
Streptococcus parasanguinis,3.363522184885344,9.50322987574463e-9,MDACC,Stool,AncomBC
Alistipes communis,-2.474660424531575,0.01768533568903698,HMP,Stool,AncomBC
Lachnospiraceae bacterium WCA3 601 WT 6H,-2.110288991827753,0.03485244073175482,HMP,Stool,AncomBC
Clostridium sp AF34 10BH,-2.591197458939563,6.511683325530628e-5,HMP,Stool,AncomBC
Lachnospira sp NSJ 43,-2.282314427687365,0.00426658156724071,HMP,Stool,AncomBC
Ruminococcus bicirculans,-3.3392720714430077,8.087077798722558e-5,HMP,Stool,AncomBC
Clostridium sp AT4,2.569922686409681,0.03188023065824482,MDACC,Stool,AncomBC
Coprococcus eutactus,-3.630240330202725,1.9313168223257296e-10,HMP,Stool,AncomBC
Lachnospiraceae bacterium,2.176532232111496,1.546994141520034e-8,MDACC,Stool,AncomBC
Faecalibacillus intestinalis,-2.279047393904923,0.00130710027392504,HMP,Stool,AncomBC
Faecalicatena fissicatena,-2.9921643368450828,4.713891030979835e-6,HMP,Stool,AncomBC
Alistipes indistinctus,-2.0349213945287903,0.04549434428106987,HMP,Stool,AncomBC
Clostridium phoceensis,2.2129883503602885,1.8102984405419568e-4,MDACC,Stool,AncomBC
Dialister invisus,-3.249427262033924,4.18468301934889e-4,HMP,Stool,AncomBC
Clostridium sp AF36 4,-2.9214234737074047,6.856372583923835e-6,HMP,Stool,AncomBC
Anaerotruncus colihominis,2.632154983669368,3.643245497744802e-4,MDACC,Stool,AncomBC
Roseburia inulinivorans,-2.3417011173493467,0.00506956719758561,HMP,Stool,AncomBC
Eubacterium ventriosum,-3.71752737281077,1.4846477068226514e-13,HMP,Stool,AncomBC
Blautia SGB4815,2.6925812529528255,6.451519433134028e-6,MDACC,Stool,AncomBC
Anaerotignum faecicola,-2.3601203445145567,5.630182992982283e-4,HMP,Stool,AncomBC
Firmicutes bacterium AF16 15,-3.598279773823053,5.5981803106050604e-9,HMP,Stool,AncomBC
Lachnospiraceae bacterium NSJ 29,4.271756939882653,1.2819984740720037e-19,MDACC,Stool,AncomBC
Adlercreutzia equolifaciens,3.2183469712822808,2.9270633496725696e-10,MDACC,Stool,AncomBC
Blautia wexlerae,2.274129785314647,2.4556341238038385e-8,MDACC,Stool,AncomBC2
Bifidobacterium adolescentis,2.0501583707717885,1.1352526881103897e-7,MDACC,Stool,AncomBC2
Enterocloster lavalensis,2.2122381148696766,3.0947889031331024e-6,MDACC,Stool,AncomBC2
Streptococcus thermophilus,2.889198542046343,4.1482980725857246e-11,MDACC,Stool,AncomBC2
Enterocloster bolteae,3.283988951397754,2.7466384910281406e-10,MDACC,Stool,AncomBC2
Hungatella hathewayi,2.851285550915625,2.1453771190151843e-9,MDACC,Stool,AncomBC2
Bifidobacterium longum,2.1997191942790875,8.902506092433849e-8,MDACC,Stool,AncomBC2
Streptococcus salivarius,3.817378330570448,1.8058011905789885e-15,MDACC,Stool,AncomBC2
Lacrimispora celerecrescens,2.606144202426714,9.342785488310789e-14,MDACC,Stool,AncomBC2
Clostridium innocuum,2.605152326066011,7.375122331322752e-9,MDACC,Stool,AncomBC2
Blautia massiliensis,2.5394245766892176,3.2534042511075546e-13,MDACC,Stool,AncomBC2
Dorea longicatena,2.111652834352531,4.0572459185373956e-10,MDACC,Stool,AncomBC2
Anaerobutyricum hallii,3.175777278435126,1.1290058992409538e-19,MDACC,Stool,AncomBC2
Blautia faecis,2.484920296865948,1.7718595461165058e-11,MDACC,Stool,AncomBC2
Longicatena caecimuris,2.110471948981853,2.676231434082857e-7,MDACC,Stool,AncomBC2
Coprococcus catus,2.0872738138529283,3.3367945724792974e-8,MDACC,Stool,AncomBC2
Clostridium sp AF36 4,-2.095083673345656,3.430614007430756e-9,HMP,Stool,AncomBC2
Bacteroidaceae bacterium,-2.0003472162827887,0,HMP,Saliva,Maaslin2
Abiotrophia sp HMSC24B09,3.6296136035835493,0,MDACC,Saliva,Maaslin2
Trueperella pyogenes,2.5821245579039958,0,MDACC,Saliva,Maaslin2
Porphyromonas catoniae,-2.9529672822525797,0,HMP,Saliva,Maaslin2
Capnocytophaga granulosa,5.175911571014922,0,MDACC,Saliva,Maaslin2
Cardiobacterium hominis,2.918834023912429,0,MDACC,Saliva,Maaslin2
Candidatus Saccharibacteria unclassified SGB19850,-3.6060697863888134,0,HMP,Saliva,Maaslin2
Actinomyces dentalis,6.391379830398598,0,MDACC,Saliva,Maaslin2
Prevotella oralis,3.4651395079193303,0,MDACC,Saliva,Maaslin2
Selenomonas SGB5880,-2.5690628301564975,0,HMP,Saliva,Maaslin2
Solobacterium SGB6833,-2.2725894154169453,0,HMP,Saliva,Maaslin2
Fusobacterium nucleatum,-2.6018884567863854,0,HMP,Saliva,Maaslin2
Campylobacter gracilis,8.887580377344753,1.06339687301316e-58,MDACC,Saliva,Maaslin2
Rothia mucilaginosa,4.1439373291313135,1.47199931794096e-5,MDACC,Saliva,Maaslin2
Actinomyces naeslundii,7.688664581584142,8.36220549481864e-5,MDACC,Saliva,Maaslin2
Rothia dentocariosa,3.7273245161636117,7.8659545437108e-4,MDACC,Saliva,Maaslin2
