Species,log2fc,qval,groupings,sample_type,method
Bacteroides xylanisolvens,2.5480826618500463,0,Y,Stool,Maaslin2
Bacteroides ovatus,2.010525587295869,0,Y,Stool,Maaslin2
Bacteroides cellulosilyticus,-2.723972868321695,0,N,Stool,Maaslin2
Phocaeicola dorei,4.489012896996505,0,Y,Stool,Maaslin2
Parabacteroides goldsteinii,-2.743175111923981,0,N,Stool,Maaslin2
Alistipes shahii,-3.048975924788831,0,N,Stool,Maaslin2
Klebsiella pneumoniae,4.159118691355639,0,Y,Stool,Maaslin2
Parasutterella excrementihominis,3.7192873748796504,0,Y,Stool,Maaslin2
Lacticaseibacillus rhamnosus,-2.470515531398795,0,N,Stool,Maaslin2
Lactococcus lactis,-4.956662359449086,0,N,Stool,Maaslin2
Holdemania filiformis,-2.0465366158986775,0,N,Stool,Maaslin2
Faecalibacterium prausnitzii,-2.3991253771065346,0,N,Stool,Maaslin2
Candidatus Pararuminococcus gallinarum,-2.7500799429012837,0,N,Stool,Maaslin2
Candidatus Avimicrobium caecorum,2.3142972180162515,0,Y,Stool,Maaslin2
Ruminococcus bicirculans,-2.3686438647406156,0,N,Stool,Maaslin2
Intestinimonas butyriciproducens,-4.81306583193087,0,N,Stool,Maaslin2
Ruminococcaceae unclassified SGB15234,-5.584842401781543,0,N,Stool,Maaslin2
Ruminococcaceae unclassified SGB15265,-3.8302372953684336,0,N,Stool,Maaslin2
Ruminococcaceae bacterium AM07 15,3.9894237704426945,0,Y,Stool,Maaslin2
Agathobaculum butyriciproducens,3.4234080265048306,0,Y,Stool,Maaslin2
Candidatus Borkfalkia ceftriaxoniphila,5.302230521923036,0,Y,Stool,Maaslin2
Blautia caecimuris,2.599471064344038,0,Y,Stool,Maaslin2
Blautia sp MSK 20 85,-2.0161927622698,0,N,Stool,Maaslin2
Lactonifactor sp BIOML A6,-2.5737809156778124,0,N,Stool,Maaslin2
Lachnoclostridium sp An138,-2.158729826485061,0,N,Stool,Maaslin2
Lachnoclostridium sp An131,-3.153311317056845,0,N,Stool,Maaslin2
Faecalicatena fissicatena,4.181916182611023,0,Y,Stool,Maaslin2
Massilistercora timonensis,3.1529880952841634,0,Y,Stool,Maaslin2
Ruminococcus gnavus,-4.553420678672938,0,N,Stool,Maaslin2
Enterocloster asparagiformis,-3.900693601148049,0,N,Stool,Maaslin2
Enterocloster clostridioformis,2.9485410047469833,0,Y,Stool,Maaslin2
Clostridium sp AT4,2.5778057513154127,0,Y,Stool,Maaslin2
Clostridium sp AM22 11AC,-3.935039339396812,0,N,Stool,Maaslin2
Candidatus Paralachnospira caecorum,-3.43247910140699,0,N,Stool,Maaslin2
Anaerostipes hadrus,3.1482437800070624,0,Y,Stool,Maaslin2
Lachnospira sp NSJ 43,-6.486310930694965,0,N,Stool,Maaslin2
Anaerotignum faecicola,4.919216084687827,0,Y,Stool,Maaslin2
Eubacteriaceae bacterium,5.557012551874793,0,Y,Stool,Maaslin2
Veillonella parvula,2.4429328326138195,0,Y,Stool,Maaslin2
Firmicutes bacterium,-7.818843710868786,0,N,Stool,Maaslin2
Methanobrevibacter smithii,-2.3505760444261865,0,N,Stool,Maaslin2
Gordonibacter urolithinfaciens,2.957088252007694,0,Y,Stool,Maaslin2
Actinomyces oris,-2.574581125937114,0,N,Stool,Maaslin2
Actinomyces SGB17154,6.6480596171057496,0,Y,Stool,Maaslin2
Alloscardovia omnicolens,5.870658450346394,0,Y,Stool,Maaslin2
Clostridiales bacterium 1 7 47FAA,8.422476974656556,0.00357338195314182,Y,Stool,Maaslin2
Clostridium innocuum,-3.2052256802891113,0.00612206622672625,N,Stool,Maaslin2
Clostridia bacterium,-2.580542721502838,0.0143698063664151,N,Stool,Maaslin2
Lactobacillus gasseri,8.909447415613588,0.0477786199850702,Y,Stool,Maaslin2
Enterocloster citroniae,3.572767648554821,0.105419385963726,Y,Stool,Maaslin2
LKT p  Firmicutes,-2.085035660422212,0.119253580330536,N,Stool,Maaslin2
Bacteroides stercoris,3.813066310689515,0.123325620560929,Y,Stool,Maaslin2
Phocaeicola dorei,4.772874512419236,0,Y,Stool,AncomBC
Parabacteroides merdae,4.643027297595283,0,Y,Stool,AncomBC
Alistipes shahii,-7.896433027029802,2.7842192542106013e-6,N,Stool,AncomBC
Alistipes ihumii,-3.599043223932447,0,N,Stool,AncomBC
Klebsiella pneumoniae,3.247355503241418,0,Y,Stool,AncomBC
Parasutterella excrementihominis,2.2385239906818075,0,Y,Stool,AncomBC
Lactobacillus gasseri,3.264830904028284,0,Y,Stool,AncomBC
Streptococcus parasanguinis,4.070355323704286,0,Y,Stool,AncomBC
Hydrogeniiclostidium mannosilyticum,2.0103207170445403,0,Y,Stool,AncomBC
Bittarella massiliensis,2.07200611326006,0,Y,Stool,AncomBC
Phocea massiliensis,3.565089638102436,0,Y,Stool,AncomBC
Massilioclostridium coli,2.577278384945303,0,Y,Stool,AncomBC
Massilimaliae massiliensis,2.332931387009949,0,Y,Stool,AncomBC
Lawsonibacter sp NSJ 51,-4.622395474346553,0,N,Stool,AncomBC
Ruminococcaceae unclassified SGB15234,-2.0405928077834092,0,N,Stool,AncomBC
Clostridia bacterium UC5 1 1D1,3.006768631618702,0,Y,Stool,AncomBC
Agathobaculum butyriciproducens,4.1732533801300065,0,Y,Stool,AncomBC
Blautia caecimuris,3.805863950313097,0,Y,Stool,AncomBC
Blautia glucerasea,2.2101780735473695,0,Y,Stool,AncomBC
Faecalicatena fissicatena,2.289997379929659,0,Y,Stool,AncomBC
Dorea sp AF36 15AT,3.965504627194776,0,Y,Stool,AncomBC
Massilistercora timonensis,2.3657471645619403,0,Y,Stool,AncomBC
Coprococcus comes,3.6056879224095706,0,Y,Stool,AncomBC
Ruminococcus lactaris,2.154396291634844,0,Y,Stool,AncomBC
Mediterraneibacter glycyrrhizinilyticus,2.7483524178133623,0,Y,Stool,AncomBC
Clostridiales bacterium 1 7 47FAA,5.22174070931688,0,Y,Stool,AncomBC
Enterocloster clostridioformis,2.08955906896857,0,Y,Stool,AncomBC
Lachnoclostridium edouardi,4.636249287608566,0,Y,Stool,AncomBC
Lacrimispora amygdalina,3.010780458197466,0,Y,Stool,AncomBC
Candidatus Paralachnospira caecorum,-2.043778613140212,0,N,Stool,AncomBC
Coprococcus catus,5.068069136538457,0,Y,Stool,AncomBC
Anaerostipes caccae,2.7869951173343637,0,Y,Stool,AncomBC
Lachnospira sp NSJ 43,-3.705603212485183,0,N,Stool,AncomBC
